id	trait	ncase	group_name	year	author	consortium	sex	pmid	population	unit	sample_size	build	ncontrol	category	subcategory	ontology	note	mr	nsnp	priority	sd	N
eqtl-a-ENSG00000133477	ENSG00000133477		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	16960	0		31684
eqtl-a-ENSG00000133488	ENSG00000133488		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	17923	0		31684
eqtl-a-ENSG00000133561	ENSG00000133561		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	20006	0		31684
eqtl-a-ENSG00000133574	ENSG00000133574		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	19890	0		31684
eqtl-a-ENSG00000133597	ENSG00000133597		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	17262	0		31684
eqtl-a-ENSG00000133641	ENSG00000133641		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	16808	0		31684
eqtl-a-ENSG00000133703	ENSG00000133703		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	19990	0		31684
eqtl-a-ENSG00000133704	ENSG00000133704		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	21293	0		31684
eqtl-a-ENSG00000133706	ENSG00000133706		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	17940	0		31684
eqtl-a-ENSG00000133731	ENSG00000133731		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	18304	0		31684
eqtl-a-ENSG00000133739	ENSG00000133739		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	16007	0		31684
eqtl-a-ENSG00000133742	ENSG00000133742		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	16217	0		31684
eqtl-a-ENSG00000133789	ENSG00000133789		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	18851	0		31684
eqtl-a-ENSG00000133805	ENSG00000133805		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	19671	0		31684
eqtl-a-ENSG00000133808	ENSG00000133808		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	20242	0		31684
eqtl-a-ENSG00000133874	ENSG00000133874		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	18506	0		31684
eqtl-a-ENSG00000133884	ENSG00000133884		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	16433	0		31684
eqtl-a-ENSG00000133997	ENSG00000133997		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	18968	0		31684
eqtl-a-ENSG00000134001	ENSG00000134001		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	17835	0		31684
eqtl-a-ENSG00000134049	ENSG00000134049		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	18478	0		31684
eqtl-a-ENSG00000134056	ENSG00000134056		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	14921	0		31684
eqtl-a-ENSG00000134057	ENSG00000134057		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	15155	0		31684
eqtl-a-ENSG00000134061	ENSG00000134061		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	19127	0		31684
eqtl-a-ENSG00000134077	ENSG00000134077		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	19489	0		31684
eqtl-a-ENSG00000134107	ENSG00000134107		public	2018	Vosa U	NA	Males and Females		European	NA	31684	HG19/GRCh37		NA	NA	NA	NA	1	21386	0		31684
