GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3824142      0.41235      0.34004
105378580    1     768398     815130     22      11  3824142      0.14044      0.44416
148398       1     890741     954581     39      19  3824142      -1.2647        0.897
339451       1     924952     975720     36      17  3824142       -1.147       0.8743
84069        1     931497     985108     29      14  3824142      -1.3771      0.91576
26155        1     934203     994299     38      16  3824142      -1.5917      0.94427
84808        1     965199    1017117     35      12  3824142      -1.8667      0.96903
9636         1     978467    1024540     32      11  3824142      -1.4449      0.92575
375790       1     985101    1066119     72      24  3824142      -1.8271      0.96616
57801        1     988962    1036285     34      13  3824142     -0.84471      0.80086
105369174    1    1026207    1076390     47      17  3824142      -1.3488       0.9113
105378948    1    1055635    1104326     19      14  3824142      0.57439      0.28285
401934       1    1061746    1109307     19      14  3824142      0.71255      0.23806
54991        1    1071818    1151356     52      29  3824142      0.68279      0.24737
254173       1    1138898    1207935     60      29  3824142     -0.11439      0.54553
8784         1    1193508    1241709     45      13  3824142     -0.84649      0.80136
126792       1    1197249    1245041     43      13  3824142     -0.54259      0.70629
7293         1    1201326    1249638     42      13  3824142      -1.2439      0.89324
51150        1    1206908    1267067     53      15  3824142      -2.2309      0.98715
388581       1    1232446    1282218     37      11  3824142      -2.0009       0.9773
118424       1    1243912    1308854     59      20  3824142      -2.6274       0.9957
6339         1    1245415    1302029     42      13  3824142      -2.1347      0.98361
126789       1    1273571    1321677     44      23  3824142      -1.6801      0.95353
116983       1    1282384    1342925     53      31  3824142      -1.5207      0.93584
80772        1    1289756    1338896     43      27  3824142       -1.157      0.87637
83756        1    1293999    1345320     43      27  3824142      -1.4063      0.92018
54973        1    1301585    1359687     47      29  3824142      -1.2434      0.89314
1855         1    1325278    1384158     39      16  3824142     -0.96121      0.83178
54587        1    1342689    1398541     29      11  3824142     -0.88453      0.81179
54998        1    1363730    1410438     29      13  3824142     -0.48937      0.68771
81669        1    1375711    1434338     36      16  3824142     -0.58663      0.72127
643965       1    1391128    1437787     27      13  3824142     -0.65223      0.74287
55052        1    1391896    1442834     31      16  3824142      -1.0112      0.84404
64856        1    1400523    1452882     35      19  3824142     -0.67757      0.75098
219293       1    1406301    1480158     40      19  3824142     -0.93972      0.82632
441869       1    1408420    1456820     30      18  3824142     -0.87901       0.8103
83858        1    1436732    1519479     74      27  3824142     -0.92831      0.82338
55210        1    1477143    1544687     70      23  3824142      -1.1392      0.87268
339453       1    1524778    1575360     34      14  3824142      -1.0652       0.8566
29101        1    1531673    1609882     58      22  3824142     0.040172      0.48398
142678       1    1579975    1640610     32      24  3824142       1.2643      0.10307
643988       1    1588008    1635096     20      14  3824142       1.1454      0.12602
8510         1    1597181    1644654     19      14  3824142      0.34295      0.36582
984          1    1625226    1694839     22      15  3824142      0.51641      0.30278
728661       1    1650025    1727804     34      10  3824142      0.37384      0.35426
728642       1    1692730    1759352     35      11  3824142      0.34464      0.36518
9906         1    1714838    1780999     38      14  3824142      0.48688      0.31317
65220        1    1741232    1815514     21      15  3824142       0.8351      0.20183
2782         1    1775285    1926117     51      26  3824142      -1.3567      0.91257
105378949    1    1850960    1903010     17      10  3824142      -1.0261      0.84757
163688       1    1878752    1927294     22      10  3824142     -0.98206      0.83697
339456       1    1907589    1954301     20       6  3824142      -1.3339      0.90888
85452        1    1911951    2038837     68      38  3824142     -0.79505      0.78671
2563         1    1984329    2040753     37      26  3824142   -0.0095051      0.50379
5590         1    2015470    2195395    117      51  3824142       -1.199      0.88474
100506504    1    2171811    2219360     17      13  3824142     -0.85089      0.80259
199990       1    2174460    2247720     36      24  3824142      -1.6137       0.9467
6497         1    2193695    2320213     61      38  3824142      -1.0168      0.84537
105378592    1    2198942    2250211     26      16  3824142      -1.2519       0.8947
105378594    1    2245383    2294676     20      14  3824142     -0.62414      0.73373
79906        1    2311253    2426751     74      50  3824142     -0.61527      0.73081
11079        1    2356314    2415444     32      20  3824142     0.075174      0.47004
9651         1    2380782    2515530     78      42  3824142      -1.5008       0.9333
5192         1    2394802    2448780     36      28  3824142      -1.2242      0.88956
55229        1    2498531    2561628     35      17  3824142      0.01132      0.49548
388585       1    2518745    2565245     26      12  3824142    -0.031372      0.51251
8764         1    2521365    2575622     34      17  3824142     0.055926       0.4777
127281       1    2551460    2601469     38      19  3824142      0.57145      0.28385
79258        1    2580639    2668042     27      16  3824142      0.11239      0.45526
100287898    1    2626988    2824665     53      13  3824142      0.36316      0.35824
140625       1    2986482    3032903     44       8  3824142       1.6724     0.047223
63976        1    3033227    3448621    314     127  3824142      0.90379      0.18305
27237        1    3419583    3491115     61      30  3824142     -0.47331        0.682
1953         1    3477942    3659757    134      60  3824142       -1.678      0.95333
127262       1    3589992    3640131     37      20  3824142    -0.091141      0.53631
7161         1    3617565    3746201     84      51  3824142      -1.1463      0.87416
49856        1    3620767    3685107     44      28  3824142      -1.8246      0.96597
148870       1    3717398    3781645     49      26  3824142     -0.28681      0.61287
388588       1    3737761    3785982     46      21  3824142      0.21942      0.41316
57470        1    3770220    3831504     69      18  3824142       0.3387      0.36742
9731         1    3802081    3892387     40      16  3824142     -0.34823      0.63617
1677         1    3822143    3895429     23      10  3824142   0.00012764      0.49995
261734       1    5852808    6027505     87      52  3824142    -0.014762      0.50589
8514         1    5957298    6111193     76      50  3824142      0.19792      0.42155
26038        1    6091787    6215134     56      29  3824142     -0.91744      0.82054
388591       1    6170775    6231299     33      12  3824142     -0.86576      0.80669
6146         1    6175020    6234619     30      10  3824142      -1.2461      0.89363
390992       1    6209158    6255578     23       8  3824142      -1.0824      0.86046
23463        1    6211193    6270984     31      12  3824142      -1.1309      0.87095
387509       1    6237346    6295990     33      20  3824142      -1.1539      0.87574
11332        1    6254272    6428766    147      32  3824142     -0.60621      0.72781
83715        1    6389776    6470944     62      14  3824142      -1.1826      0.88151
54626        1    6405232    6459664     43       9  3824142      -1.0835      0.86071
8718         1    6451151    6501195     30      12  3824142    -0.056272      0.52244
57449        1    6456092    6555061     74      18  3824142       -1.389      0.91758
79707        1    6511347    6589598     49       8  3824142      -2.0844      0.98144
80835        1    6520278    6589757     43       7  3824142      -1.8638      0.96883
3104         1    6544991    6599280     27      10  3824142      -2.1869      0.98563
148479       1    6578696    6634033     22      17  3824142      -1.1812      0.88124
9903         1    6580724    6637898     24      18  3824142      -1.1159      0.86777
90326        1    6589865    6645586     26      17  3824142     -0.91638      0.82027
55735        1    6624168    6736906     37      23  3824142      0.12782      0.44915
23261        1    6750324    7779706    523     197  3824142      -1.2356       0.8917
9341         1    7736269    7791432     30      20  3824142     0.039504      0.48424
8863         1    7749380    7855181     56      28  3824142     -0.08971      0.53574
