GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      0.61039       0.2708
105378580    1     768398     815130     22      11  3462878     -0.88397      0.81164
148398       1     890741     954581     39      19  3462878      -1.1189      0.86841
339451       1     924952     975720     36      17  3462878     -0.89831      0.81549
84069        1     931497     985108     29      14  3462878     -0.68947      0.75474
26155        1     934203     994299     38      16  3462878     -0.71765      0.76351
84808        1     965199    1017117     35      12  3462878      -1.4658      0.92865
9636         1     978467    1024540     32      11  3462878      -1.6702      0.95256
375790       1     985101    1066119     72      24  3462878     -0.99133      0.83924
57801        1     988962    1036285     34      13  3462878      -1.3136      0.90551
105369174    1    1026207    1076390     47      17  3462878     -0.38604      0.65027
105378948    1    1055635    1104326     22      14  3462878     0.081128      0.46767
401934       1    1061746    1109307     22      14  3462878      0.65389      0.25659
54991        1    1071818    1151356     55      29  3462878     -0.32873      0.62882
254173       1    1138898    1207935     60      29  3462878      -1.3981      0.91897
8784         1    1193508    1241709     45      13  3462878     -0.78305       0.7832
126792       1    1197249    1245041     43      13  3462878     -0.91175      0.81905
7293         1    1201326    1249638     42      13  3462878     -0.57047      0.71582
51150        1    1206908    1267067     53      15  3462878     -0.47949      0.68421
388581       1    1232446    1282218     37      11  3462878     -0.62036      0.73249
118424       1    1243912    1308854     59      20  3462878     -0.53536       0.7038
6339         1    1245415    1302029     42      13  3462878     -0.45295      0.67471
126789       1    1273571    1321677     44      23  3462878     -0.89058      0.81342
116983       1    1282384    1342925     53      31  3462878      -1.4225      0.92256
80772        1    1289756    1338896     43      27  3462878       -1.257      0.89563
83756        1    1293999    1345320     43      27  3462878      -1.3192      0.90644
54973        1    1301585    1359687     47      29  3462878      -1.7223      0.95749
1855         1    1325278    1384158     39      16  3462878      -2.1359      0.98365
54587        1    1342689    1398541     29      11  3462878      -1.0817       0.8603
54998        1    1363730    1410438     29      13  3462878      0.19107      0.42424
81669        1    1375711    1434338     36      16  3462878      0.43243      0.33271
643965       1    1391128    1437787     27      13  3462878      0.43529      0.33168
55052        1    1391896    1442834     31      16  3462878      0.47143      0.31867
64856        1    1400523    1452882     35      19  3462878      0.28402       0.3882
219293       1    1406301    1480158     40      19  3462878     -0.35655      0.63929
441869       1    1408420    1456820     30      18  3462878     -0.16738      0.56646
83858        1    1436732    1519479     73      26  3462878     -0.73858      0.76992
55210        1    1477143    1544687     69      23  3462878     -0.22044      0.58724
339453       1    1524778    1575360     34      14  3462878     0.064562      0.47426
29101        1    1531673    1609882     58      22  3462878    -0.053867      0.52148
142678       1    1579975    1640610     32      24  3462878      0.99467      0.15995
643988       1    1588008    1635096     20      14  3462878       1.0439      0.14827
8510         1    1597181    1644654     19      14  3462878       1.1536      0.12434
984          1    1625226    1694839     22      15  3462878     0.061583      0.47545
728661       1    1650025    1727804     34      10  3462878     -0.45757      0.67637
728642       1    1692730    1759352     35      11  3462878      0.29129      0.38541
9906         1    1714838    1780999     38      14  3462878       0.3128      0.37722
65220        1    1741232    1815514     21      15  3462878       0.2244      0.41122
2782         1    1775285    1926117     51      26  3462878       -1.502      0.93345
105378949    1    1850960    1903010     17      10  3462878      -1.1967      0.88428
163688       1    1878752    1927294     22      10  3462878      -1.6401      0.94951
339456       1    1907589    1954301     20       6  3462878     -0.30126      0.61839
85452        1    1911951    2038837     68      38  3462878    -0.069776      0.52781
2563         1    1984329    2040753     37      26  3462878      0.90892       0.1817
5590         1    2015470    2195395    116      51  3462878      -1.7212      0.95739
100506504    1    2171811    2219360     17      13  3462878      -2.4778      0.99339
199990       1    2174460    2247720     36      24  3462878      -3.7143       0.9999
6497         1    2193695    2320213     61      38  3462878      -1.7831      0.96272
105378592    1    2198942    2250211     26      16  3462878      -3.3808      0.99964
105378594    1    2245383    2294676     20      14  3462878      0.22921      0.40935
79906        1    2311253    2426751     73      49  3462878     -0.15599      0.56198
11079        1    2356314    2415444     31      20  3462878      0.43746      0.33089
9651         1    2380782    2515530     77      42  3462878      0.25283       0.4002
5192         1    2394802    2448780     35      27  3462878      0.35648      0.36074
55229        1    2498531    2561628     35      17  3462878     -0.38238      0.64891
388585       1    2518745    2565245     26      12  3462878     -0.42773      0.66558
8764         1    2521365    2575622     34      17  3462878      -0.6144      0.73052
127281       1    2551460    2601469     38      19  3462878     -0.24519      0.59685
79258        1    2580639    2668042     27      16  3462878      0.26897      0.39397
100287898    1    2626988    2824665     53      13  3462878     -0.61641      0.73119
140625       1    2986482    3032903     44       8  3462878     -0.35311        0.638
