GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112       3.3261    0.0004404
339451       1     860967     911099    127      32  408112        1.539     0.061902
84069        1     866872     920488    122      34  408112       2.7636    0.0028587
26155        1     869583     929679    122      35  408112       2.6106    0.0045187
84808        1     900579     952473    130      35  408112       2.3097     0.010451
9636         1     913847     959920    124      32  408112       2.5528    0.0053423
375790       1     920503    1001499    223      50  408112       1.7216     0.042567
57801        1     924342     971608    126      33  408112       1.5895     0.055971
401934       1     997126    1044687    101      18  408112       2.9699    0.0014895
54991        1    1007198    1086736    204      29  408112       2.8314    0.0023173
254173       1    1074286    1143315    216      34  408112      0.24894       0.4017
8784         1    1128888    1177163    177      18  408112     -0.14132      0.55619
126792       1    1132629    1180421    170      17  408112     -0.03043      0.51214
7293         1    1136706    1184703    176      17  408112     0.096624      0.46151
51150        1    1142288    1202447    203      20  408112       0.3594      0.35965
388581       1    1167826    1217102    136      25  408112      0.89868      0.18441
118424       1    1179292    1244234    177      37  408112      0.69364      0.24395
6339         1    1180816    1237409    154      32  408112      0.73892      0.22998
126789       1    1208962    1257057    125      31  408112      0.23239      0.40812
116983       1    1217764    1278304    145      35  408112       0.3996      0.34473
80772        1    1225136    1274276    119      31  408112      0.30989      0.37832
83756        1    1231726    1279844    108      27  408112      0.62101       0.2673
54973        1    1236965    1295067    113      27  408112      0.91359      0.18047
1855         1    1260658    1319509    108      25  408112      0.82013      0.20607
54587        1    1278071    1332183     84      21  408112      0.97425      0.16497
54998        1    1299110    1345818     84      18  408112      0.82901      0.20355
81669        1    1311091    1369718    124      17  408112      0.89352      0.18579
643965       1    1326508    1373167    101      14  408112      0.97679      0.16434
55052        1    1327276    1377693    103      15  408112      0.99274      0.16042
64856        1    1335903    1388262     97      13  408112      0.85906      0.19515
219293       1    1343152    1415538     99      15  408112      0.46799      0.31989
441869       1    1343800    1391824     84      12  408112      0.73361      0.23159
83858        1    1372139    1454852     99      13  408112      0.52275      0.30058
55210        1    1412523    1480067    115      14  408112      0.99224      0.16054
339453       1    1460158    1510740     81      14  408112       1.5735     0.057798
29101        1    1467053    1545262     81      17  408112       1.7309      0.04173
142678       1    1515795    1575990     44       8  408112       0.4714      0.31868
643988       1    1523388    1570476     38       7  408112      0.45289      0.32531
8510         1    1532060    1580030     37       7  408112      0.51869      0.30199
984          1    1561100    1625473     47       8  408112       2.2113     0.013508
728661       1    1581486    1659243     53      10  408112       2.4957    0.0062846
728642       1    1623822    1690999     37       8  408112        4.129    1.822e-05
9906         1    1646277    1712438     51      11  408112       4.5884   2.2332e-06
65220        1    1672671    1746508     76      16  408112       4.6129   1.9854e-06
2782         1    1706725    1857552    159      25  408112       4.3577   6.5725e-06
163688       1    1811266    1858733     70      11  408112       3.7735   8.0484e-05
339456       1    1839029    1885740     95      15  408112       3.3888   0.00035094
85452        1    1843390    1970276    226      35  408112       2.2595     0.011927
2563         1    1915768    1972192     72      15  408112    -0.036798      0.51468
5590         1    1946909    2126834    356      64  408112       3.6606    0.0001258
100506504    1    2103250    2150812     86      29  408112       3.9797   3.4507e-05
199990       1    2105899    2179159    126      38  408112       5.0473   2.2406e-07
6497         1    2125134    2251652    229      65  408112        5.118   1.5436e-07
79906        1    2241719    2358190    320      60  408112       1.7415     0.040801
11079        1    2288214    2346883    130      40  408112       2.1141     0.017255
5192         1    2326241    2379010    118      46  408112      0.35335      0.36191
9651         1    2372754    2446964    193      43  408112       2.3764    0.0087409
55229        1    2429975    2493061    159      33  408112       2.6406    0.0041374
388585       1    2450184    2496684     99      24  408112       1.9596     0.025021
8764         1    2452291    2505268    118      28  408112       2.1179      0.01709
127281       1    2482899    2532908    117      26  408112       1.2829      0.09976
79258        1    2512078    2599499    193      30  408112      0.66837      0.25195
100287898    1    2562807    2741230    216      31  408112      0.29949      0.38228
140625       1    2903046    2949467    138      12  408112      0.28565      0.38757
63976        1    2950565    3365185   1073     153  408112       6.3022   1.4676e-10
27237        1    3336147    3407677    173      33  408112       2.0058     0.022439
1953         1    3394506    3563059    419      83  408112       1.4733     0.070329
127262       1    3506556    3556695    134      35  408112       2.2892     0.011034
7161         1    3534129    3662765    257      56  408112       2.0097     0.022232
49856        1    3537331    3601671    136      33  408112      0.78466      0.21633
148870       1    3633965    3698209    167      34  408112       7.6297   1.1768e-14
388588       1    3654352    3702546    147      28  408112       6.1094        5e-10
57470        1    3686784    3748068    225      30  408112       6.1094        5e-10
9731         1    3718645    3808797    352      34  408112       8.2602   7.2685e-17
1677         1    3738845    3811993    298      35  408112       8.0882   3.0265e-16
339448       1    3795697    3851857    133      24  408112       3.7529   8.7386e-05
55966        1    4680105    4853851    726     119  408112       0.6072      0.27186
261734       1    5912870    6087618    538      38  408112       1.7248      0.04228
8514         1    6017358    6171253    338      65  408112       1.2583      0.10414
26038        1    6151847    6275194    248      51  408112      -0.2244      0.58878
388591       1    6231189    6291359    118      25  408112      -2.5068      0.99391
6146         1    6235080    6294679    111      24  408112      -2.4612      0.99308
390992       1    6269252    6315638     87      18  408112     -0.12738      0.55068
23463        1    6271253    6331044    110      21  408112      0.51895       0.3019
387509       1    6297406    6356035    108      24  408112        2.312     0.010388
11332        1    6314332    6488826    517      30  408112       1.8272     0.033834
83715        1    6449836    6531004    210      25  408112        1.119      0.13157
54626        1    6465292    6519724    140      19  408112       1.1394      0.12727
8718         1    6510787    6562432    102      22  408112      0.63944      0.26127
57449        1    6516152    6615121    214      41  408112       3.0676    0.0010788
79707        1    6571407    6649658    175      29  408112        3.213   0.00065668
80835        1    6579987    6649817    155      26  408112       3.2136   0.00065531
3104         1    6605051    6659340    126      34  408112       2.9213    0.0017429
148479       1    6638756    6694093    103      34  408112       3.3298   0.00043449
9903         1    6640784    6697958    111      36  408112       3.1337     0.000863
90326        1    6649925    6705646    114      36  408112       3.0813    0.0010305
55735        1    6684228    6796966    219      46  408112       3.6423   0.00013508
23261        1    6810384    7839766   2131     216  408112       3.8581   5.7144e-05
9341         1    7796329    7851492     95      26  408112        3.967   3.6391e-05
8863         1    7809413    7915241    253      35  408112       4.3853   5.7907e-06
10911        1    7897672    7948551    165      32  408112       2.4592    0.0069617
3604         1    7965931    8038225    110      34  408112       0.8868      0.18759
11315        1    7986714    8055342    109      33  408112       1.1701      0.12098
54206        1    8061779    8121393    101      21  408112        1.263       0.1033
50651        1    8343171    8414227    140      35  408112    -0.018836      0.50751
473          1    8402464    8912699    702      51  408112       1.9242     0.027166
2023         1    8911059    8974151    105      30  408112      0.30757      0.37921
765          1    8970893    9045151    185      53  408112       1.6575     0.048706
155184       1    9053359    9121404    150      40  408112       2.1768     0.014747
6518         1    9087005    9166763    219      38  408112       1.5052     0.066142
80045        1    9153472    9224229    140      38  408112      0.56482       0.2861
9563         1    9259822    9341396    213      46  408112       2.5144    0.0059622
80176        1    9300202    9439591    422      87  408112       3.0427    0.0011724
84275        1    9564528    9652831    115      28  408112      -1.2746      0.89877
199953       1    9613932    9684935     82      22  408112     -0.90302      0.81674
5293         1    9676789    9799172    225      62  408112       1.5969     0.055139
22883        1    9779079    9919550    243      53  408112       1.5062     0.066005
56998        1    9898334   10005316    210      46  408112       2.1797      0.01464
64802        1    9968486   10055556    131      30  408112       1.6506     0.049408
84328        1    9972168   10038460     99      25  408112       1.5251     0.063623
116362       1   10022255   10086078    109      22  408112       1.1756      0.11987
10277        1   10058041   10251297    429      36  408112      0.95197      0.17056
23095        1   10235606   10451664    593      28  408112       3.0081    0.0013144
5226         1   10423884   10490565    164      32  408112       4.5129   3.1976e-06
378708       1   10454944   10520239    119      34  408112        4.286   9.0965e-06
100526739    1   10455159   10522060    121      35  408112       4.0785   2.2663e-05
1325         1   10474776   10522060     76      25  408112       3.3495   0.00040483
5195         1   10500003   10700815    324      44  408112       3.0217    0.0012568
1676         1   10510588   10567613     95      21  408112       2.9163    0.0017709
54897        1   10686661   10891733    368      91  408112       6.1289   4.4255e-10
148345       1   10996530   11077094    159      28  408112       1.0386       0.1495
23435        1   11037462   11095549     95      19  408112      0.43777      0.33078
10747        1   11076580   11142296    135      15  408112      0.50404      0.30712
6723         1   11104649   11155091     92       7  408112      0.66725      0.25231
5394         1   11116675   11194961    145       8  408112       0.5772       0.2819
2475         1   11156588   11357614    320      18  408112      0.85928      0.19509
10218        1   11214346   11266038     79       5  408112      0.31338        0.377
29914        1   11298255   11358491     82      16  408112       1.8473     0.032352
57540        1   11504295   11607640    174      33  408112    0.0093125      0.49628
93611        1   11679432   11733384     97      28  408112      -1.8136      0.96513
26270        1   11689150   11744411    104      29  408112      -1.8833      0.97017
26232        1   11697924   11749888     91      25  408112        -2.16      0.98461
374946       1   11716781   11790336    131      34  408112      -1.1276      0.87027
10459        1   11724537   11786678    110      29  408112     -0.99456      0.84003
57085        1   11761142   11820828     91      24  408112     0.011929      0.49524
284498       1   11788827   11859642    153      26  408112     -0.37573      0.64644
1185         1   11831153   11913201    304      19  408112     -0.14761      0.55868
4524         1   11835787   11901160    251      20  408112     -0.25927      0.60229
4878         1   11895766   11942840    160      29  408112     -0.24501      0.59678
4879         1   11907521   11953992    144      27  408112     -0.20261      0.58028
5351         1   11959724   12045599    187      30  408112       1.2737      0.10138
90231        1   11969645   12021485    117      19  408112        1.418     0.078089
9927         1   12005238   12083572    139      22  408112       1.7052     0.044079
60672        1   12044299   12102106     84      17  408112       1.2995     0.096887
943          1   12088434   12214264    170      44  408112     -0.33313      0.63048
7133         1   12192044   12279279    152      23  408112     -0.52904      0.70161
55187        1   12255101   12582099    617      33  408112     -0.11909       0.5474
9249         1   12617939   12712820    213      43  408112        4.198   1.3463e-05
343066       1   12669566   12737097    133      17  408112       2.3189       0.0102
126767       1   12741118   12798726     86      25  408112     -0.13515      0.55375
93190        1   12771163   12831102    130      21  408112      -1.6475      0.95027
390999       1   12799984   12848049     99      17  408112      -1.5773      0.94264
65121        1   12816546   12866777    130      24  408112      -2.2394      0.98743
440560       1   12874468   12926264    113       6  408112     -0.47078       0.6811
65122        1   12881941   12931764    112       6  408112     -0.45658      0.67601
343069       1   12897261   12943578    108       6  408112     -0.50992      0.69495
400735       1   12929033   12981025      1       1  408112      0.49585         0.31
441871       1   12941467   12990300      1       1  408112      0.49585         0.31
343071       1   12942727   12993094      1       1  408112      0.49585         0.31
440563       1   13172960   13219326     48       8  408112    -0.021517      0.50858
400736       1   13437414   13487656      4       1  408112      0.32452      0.37277
654348       1   13460254   13508260      4       1  408112      0.32452      0.37277
391003       1   13464053   13512569      4       1  408112      0.32452      0.37277
729528       1   13658269   13708511      1       1  408112       1.2265         0.11
391004       1   13681088   13729064      1       1  408112       1.2265         0.11
645414       1   13684889   13733405      1       1  408112       1.2265         0.11
645425       1   13701907   13757803      1       1  408112       1.2265         0.11
126755       1   13791445   13875242    219      51  408112       1.6839     0.046101
10630        1   13875252   13954452    182      50  408112       -1.324      0.90724
7799         1   13991714   14161574    421      34  408112     -0.18986      0.57529
