GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
375790       1     920503    1001499      1       1  623366      0.22754         0.41
401934       1     997126    1044687     17       4  652643       1.4198     0.077827
54991        1    1007198    1086736     32       7  635793       1.1208       0.1312
254173       1    1074286    1143315     19       7  644129      0.64355      0.25993
8784         1    1128888    1177163     12       4  673639      0.68228      0.24753
126792       1    1132629    1180421     10       3  673974      0.93697      0.17439
7293         1    1136706    1184703     10       3  673355      0.98977      0.16114
51150        1    1142288    1202447     13       4  664517      0.55425       0.2897
388581       1    1167826    1217102     13       4  662604     0.099956      0.46019
118424       1    1179292    1244234     17       6  645667     -0.43667      0.66883
6339         1    1180816    1237409     15       6  653451     -0.28387      0.61174
126789       1    1208962    1257057      8       3  625424     -0.66925      0.74833
116983       1    1217764    1278304      6       2  613457     -0.59745      0.72489
80772        1    1225136    1274276      6       2  613457     -0.59745      0.72489
83756        1    1231726    1279844      4       1  617418     -0.37901      0.64766
54973        1    1236965    1295067      3       1  604681     -0.11776      0.54687
1855         1    1260658    1319509      3       2  628748      0.96964      0.16611
54587        1    1278071    1332183      3       2  628748      0.96964      0.16611
54998        1    1299110    1345818      3       2  628748      0.96964      0.16611
81669        1    1311091    1369718      1       1  657795      0.12566         0.45
83858        1    1372139    1454852      2       1  632476     -0.40781      0.65829
55210        1    1412523    1480067     10       3  650379     -0.68408      0.75304
339453       1    1460158    1510740     17       2  671705     -0.92725       0.8231
29101        1    1467053    1545262     17       2  674036     -0.94559      0.82782
9906         1    1646277    1712438      3       1  761729       6.3019   1.4697e-10
65220        1    1672671    1746508     12       3  672743       8.0577   3.8858e-16
2782         1    1706725    1857552     45       6  660448       8.1259   2.2204e-16
163688       1    1811266    1858733      9       3  673820       7.8865   1.5543e-15
339456       1    1839029    1885740     12       2  676770       6.3813   8.7819e-11
85452        1    1843390    1970276     16       3  663923       7.4977   3.2474e-14
2563         1    1915768    1972192      1       1  492764       1.6849        0.046
5590         1    1946909    2126834     67       7  681868       1.1766      0.11967
100506504    1    2103250    2150812     13       3  689072       1.6289      0.05167
199990       1    2105899    2179159     20       4  684053       1.7573     0.039435
6497         1    2125134    2251652     68      15  674261       2.4143    0.0078823
79906        1    2241719    2358190     80      19  667841       1.5155     0.064818
11079        1    2288214    2346883     43      14  659681       1.5437     0.061324
5192         1    2326241    2379010     19       7  626913       1.1294      0.12937
9651         1    2372754    2446964     37       8  668538       7.1731   3.6665e-13
55229        1    2429975    2493061     16       4  659545       6.3189    1.317e-10
388585       1    2450184    2496684      8       3  640745        5.291   6.0841e-08
8764         1    2452291    2505268     10       3  650920       6.0895    5.663e-10
127281       1    2482899    2532908     23       3  685162       5.7653   4.0748e-09
79258        1    2512078    2599499     29       3  685502       4.2613   1.0163e-05
100287898    1    2562807    2741230     16       4  693560       7.4957   3.2974e-14
140625       1    2903046    2949467     49       2  688074       1.1801      0.11898
63976        1    2950565    3365185    294      61  673095       1.6235     0.052243
27237        1    3336147    3407677     37       7  664708      0.43999      0.32997
1953         1    3394506    3563059     64      23  628240       1.3925     0.081891
127262       1    3506556    3556695     22       8  641618      0.31801      0.37524
7161         1    3534129    3662765     57      20  642336      0.04292      0.48288
49856        1    3537331    3601671     26       9  640003     0.055173        0.478
148870       1    3633965    3698209     49      13  679515      0.45138      0.32586
388588       1    3654352    3702546     42      10  683576      0.81816      0.20663
57470        1    3686784    3748068     73      10  680908      0.33741       0.3679
