GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    347      40  313103      0.14265      0.44328
339451       1     860967     911099    275      38  292690   -0.0068163      0.50272
84069        1     866872     920488    274      38  300634       0.3633      0.35819
26155        1     869583     929679    295      46  308984      0.34067      0.36668
84808        1     900579     952473    279      33  319622      0.70115       0.2416
9636         1     913847     959920    264      28  330182       1.0211       0.1536
375790       1     920503    1001499    458      48  327511       2.1416     0.016114
57801        1     924342     971608    264      30  316711       1.3338     0.091129
401934       1     997126    1044687    201      29  307109        1.369     0.085499
54991        1    1007198    1086736    390      33  307115      0.59083      0.27732
254173       1    1074286    1143315    390      43  315291        1.248      0.10601
8784         1    1128888    1177163    271      22  355548       1.5457     0.061089
126792       1    1132629    1180421    257      19  353254       1.1854      0.11794
7293         1    1136706    1184703    269      16  333669        1.018      0.15433
51150        1    1142288    1202447    320      24  335503      0.91959      0.17889
388581       1    1167826    1217102    234      32  337463       0.5612      0.28733
118424       1    1179292    1244234    338      40  306374      0.80115      0.21152
6339         1    1180816    1237409    291      35  299273      0.81761      0.20679
126789       1    1208962    1257057    247      47  306086       0.8253       0.2046
116983       1    1217764    1278304    295      40  298101      0.96636      0.16693
80772        1    1225136    1274276    242      46  298742      0.94318      0.17279
83756        1    1231726    1279844    222      40  306763      0.81179      0.20846
54973        1    1236965    1295067    246      37  325293      0.83733       0.2012
1855         1    1260658    1319509    342      27  309959      0.25292      0.40017
54587        1    1278071    1332183    291      22  307937     0.040073      0.48402
54998        1    1299110    1345818    246      28  309564     -0.19155      0.57595
81669        1    1311091    1369718    245      27  309373     0.079417      0.46835
643965       1    1326508    1373167    177      22  319945     0.095965      0.46177
55052        1    1327276    1377693    191      24  305233    -0.048387       0.5193
64856        1    1335903    1388262    200      26  258547     -0.24121       0.5953
219293       1    1343152    1415538    293      30  172722    -0.078766      0.53139
441869       1    1343800    1391824    198      25  212664     -0.14584      0.55798
83858        1    1372139    1454852    355      28  122967      0.16716      0.43362
55210        1    1412523    1480067    313      23  173068      0.19772      0.42163
339453       1    1460158    1510740    204      25  259706     -0.89554      0.81475
29101        1    1467053    1545262    294      32  192849     -0.29448       0.6158
142678       1    1515795    1575990    156      20  142832       0.6684      0.25194
643988       1    1523388    1570476    119      15  166350      0.68451      0.24683
8510         1    1532060    1580030     95      14  196345      0.50157      0.30798
984          1    1561100    1625473    143      20  140292      0.60342      0.27312
728661       1    1581486    1659243    218      26   94727      0.10279      0.45906
728642       1    1623822    1690999    223      21   76213     -0.65443      0.74358
9906         1    1646277    1712438    251      24  145565      -1.0947      0.86317
65220        1    1672671    1746508    172      22  307341      -1.2977      0.90281
2782         1    1706725    1857552    322      28  336314      -1.7269      0.95791
163688       1    1811266    1858733    141      18  340801      -1.3414      0.91011
339456       1    1839029    1885740    215      21  314091      -1.3649      0.91386
85452        1    1843390    1970276    584      49  258995      -0.1763      0.56997
2563         1    1915768    1972192    218      34  194700       1.0186       0.1542
5590         1    1946909    2126834    747      66  326862     -0.43869      0.66956
100506504    1    2103250    2150812    133      32  360713     -0.29206      0.61488
199990       1    2105899    2179159    220      46  350217      -0.4069      0.65796
6497         1    2125134    2251652    456      76  330747     0.084885      0.46618
79906        1    2241719    2358190    576      76  353881     -0.65901      0.74506
11079        1    2288214    2346883    252      45  345610      -1.3609      0.91322
5192         1    2326241    2379010    235      63  318916     -0.15201      0.56041
9651         1    2372754    2446964    361      56  339204     -0.70069      0.75825
55229        1    2429975    2493061    274      36  348373     -0.47696      0.68331
388585       1    2450184    2496684    175      32  329179     -0.29255      0.61507
8764         1    2452291    2505268    210      34  322929    -0.063228      0.52521
127281       1    2482899    2532908    217      24  338484      0.14843        0.441
79258        1    2512078    2599499    339      27  337631     -0.22006      0.58709
100287898    1    2562807    2741230    566      28  197842      -1.2019      0.88529
140625       1    2903046    2949467    255      17  357670     0.031439      0.48746
63976        1    2950565    3365185   2017     199  323477      0.69439      0.24372
27237        1    3336147    3407677    337      38  347483     -0.31965      0.62538
1953         1    3394506    3563059    819     107  313558      -1.9698      0.97557
127262       1    3506556    3556695    248      45  357218      -1.5474      0.93912
7161         1    3534129    3662765    534      79  323209      -1.3482       0.9112
49856        1    3537331    3601671    267      50  314389     -0.46166      0.67784
148870       1    3633965    3698209    284      42  354200      0.06823       0.4728
