GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961     21       5  563946     -0.59928      0.72551
339451       1     860967     911099     27       4  563946      0.41841      0.33782
84069        1     866872     920488     26       4  563946         1.06      0.14456
26155        1     869583     929679     37       5  563946       2.0416     0.020595
84808        1     900579     952473     38       3  563946       2.5599    0.0052345
9636         1     913847     959920     34       2  563946       2.5152    0.0059487
375790       1     920503    1001499     55       4  563946       2.1516     0.015715
57801        1     924342     971608     27       2  563946       2.5349    0.0056247
401934       1     997126    1044687      1       1  563946       1.0515      0.14651
54991        1    1007198    1086736      6       2  563946      0.66502      0.25302
254173       1    1074286    1143315     14       2  563946      0.29894      0.38249
8784         1    1128888    1177163      2       1  563946       1.1033      0.13496
126792       1    1132629    1180421      2       1  563946       1.1033      0.13496
7293         1    1136706    1184703      2       1  563946       1.1033      0.13496
51150        1    1142288    1202447      2       1  563946       1.1033      0.13496
118424       1    1179292    1244234      9       2  563946     0.024032      0.49041
6339         1    1180816    1237409      1       1  563946     -0.57617      0.71775
126789       1    1208962    1257057     12       2  563946      0.20914      0.41717
116983       1    1217764    1278304     31       3  563946      0.48399       0.3142
80772        1    1225136    1274276     30       3  563946       0.4547      0.32466
83756        1    1231726    1279844     30       2  563946      0.51087      0.30472
54973        1    1236965    1295067     46       3  563946       0.5815      0.28045
1855         1    1260658    1319509     73       3  563946      0.72099      0.23546
54587        1    1278071    1332183     58       3  563946      0.72638       0.2338
54998        1    1299110    1345818     31       3  563946      0.50572      0.30653
81669        1    1311091    1369718     21       3  563946      0.42096      0.33689
643965       1    1326508    1373167      2       1  563946      0.31673      0.37572
55052        1    1327276    1377693      2       1  563946      0.31673      0.37572
64856        1    1335903    1388262      2       1  563946      0.31673      0.37572
219293       1    1343152    1415538      3       1  563946     -0.10244       0.5408
441869       1    1343800    1391824      2       1  563946      0.31673      0.37572
83858        1    1372139    1454852      2       1  563946     -0.21826      0.58639
55210        1    1412523    1480067      1       1  563946      0.47679      0.31676
339453       1    1460158    1510740      1       1  563946      0.62296      0.26666
29101        1    1467053    1545262      6       2  563946      0.66813      0.25203
142678       1    1515795    1575990      7       1  563946      0.51995      0.30155
643988       1    1523388    1570476      7       1  563946      0.51995      0.30155
8510         1    1532060    1580030      5       1  563946      0.49902      0.30888
984          1    1561100    1625473      8       2  563946      -1.7959      0.96375
728661       1    1581486    1659243     25       3  563946      0.59051      0.27743
728642       1    1623822    1690999     29       2  563946      0.48729      0.31303
9906         1    1646277    1712438     34       2  563946      0.28532       0.3877
65220        1    1672671    1746508     16       1  563946      -1.5566      0.94022
2782         1    1706725    1857552     32       2  563946     -0.61983      0.73232
163688       1    1811266    1858733      6       2  563946     -0.87827       0.8101
339456       1    1839029    1885740      2       1  563946      -1.3794      0.91611
85452        1    1843390    1970276      5       3  563946      0.44644      0.32764
2563         1    1915768    1972192      3       2  563946      0.93883      0.17391
5590         1    1946909    2126834      2       1  563946      0.32886      0.37113
6497         1    2125134    2251652      2       1  563946       2.5315    0.0056783
79906        1    2241719    2358190      6       1  563946       1.2091      0.11331
11079        1    2288214    2346883      6       1  563946       1.2091      0.11331
5192         1    2326241    2379010      6       1  563946       1.2091      0.11331
127281       1    2482899    2532908      1       1  563946     -0.16203      0.56436
79258        1    2512078    2599499      2       1  563946     -0.15268      0.56068
100287898    1    2562807    2741230      2       1  563946     -0.89796       0.8154
63976        1    2950565    3365185     34       9  563946       1.5722     0.057948
27237        1    3336147    3407677     27       5  563946       1.2555      0.10465
1953         1    3394506    3563059     30       8  563946      0.56438      0.28625
127262       1    3506556    3556695     14       4  563946      0.54531      0.29277
7161         1    3534129    3662765     15       4  563946     -0.16657      0.56615
49856        1    3537331    3601671      6       1  563946      0.55844      0.28827
148870       1    3633965    3698209      2       1  563946      0.15889      0.43688
388588       1    3654352    3702546      2       1  563946      0.15889      0.43688
57470        1    3686784    3748068      6       2  563946      0.34904      0.36353
9731         1    3718645    3808797     40       2  563946      0.87992      0.18945
1677         1    3738845    3811993     39       2  563946      0.89194      0.18621
339448       1    3795697    3851857      2       1  563946     -0.35817      0.63989
55966        1    4680105    4853851     16       4  563946     -0.67797       0.7511
261734       1    5912870    6087618     14       2  563946     -0.10036      0.53997
8514         1    6017358    6171253     17       2  563946      0.14289      0.44319
26038        1    6151847    6275194      2       1  563946     -0.22682      0.58972
388591       1    6231189    6291359      1       1  563946     -0.61744      0.73153
6146         1    6235080    6294679      1       1  563946     -0.61744      0.73153
387509       1    6297406    6356035      2       1  563946      0.22164       0.4123
11332        1    6314332    6488826      5       1  563946      0.78529      0.21614
83715        1    6449836    6531004      2       1  563946       1.8849      0.02972
54626        1    6465292    6519724      2       1  563946       1.8849      0.02972
8718         1    6510787    6562432      3       1  563946       2.1847     0.014455
57449        1    6516152    6615121      4       2  563946       2.1504     0.015762
79707        1    6571407    6649658      9       3  563946       3.2436   0.00059019
80835        1    6579987    6649817      9       3  563946       3.2436   0.00059019
3104         1    6605051    6659340      9       3  563946       3.2436   0.00059019
148479       1    6638756    6694093      2       1  563946       2.6768    0.0037167
9903         1    6640784    6697958      2       1  563946       2.6768    0.0037167
90326        1    6649925    6705646      3       1  563946       2.7576    0.0029114
55735        1    6684228    6796966      6       1  563946       2.7584    0.0029042
23261        1    6810384    7839766     79      10  563946       1.6551     0.048953
8863         1    7809413    7915241     21       1  563946      -2.3454       0.9905
10911        1    7897672    7948551      7       1  563946      -1.2808      0.89987
3604         1    7965931    8038225      1       1  563946       1.7863     0.037026
11315        1    7986714    8055342      2       1  563946       1.5288     0.063157
54206        1    8061779    8121393      1       1  563946       -0.439      0.66967
50651        1    8343171    8414227      3       1  563946    -0.059297      0.52364
473          1    8402464    8912699      9       3  563946       3.0524    0.0011349
155184       1    9053359    9121404      2       1  563946      -1.0464      0.85231
6518         1    9087005    9166763      1       1  563946      -1.9896      0.97668
80045        1    9153472    9224229      8       2  563946       0.4798      0.31568
9563         1    9259822    9341396      5       2  563946     -0.72582      0.76602
80176        1    9300202    9439591      8       2  563946      -1.1052      0.86546
84275        1    9564528    9652831      4       2  563946    0.0050242        0.498
199953       1    9613932    9684935      2       1  563946       -0.474      0.68225
5293         1    9676789    9799172      2       1  563946       2.1412     0.016129
22883        1    9779079    9919550     20       3  563946       1.2195      0.11133
56998        1    9898334   10005316      5       1  563946      0.82605      0.20439
64802        1    9968486   10055556     13       1  563946      0.10493      0.45822
84328        1    9972168   10038460     11       1  563946      0.11027       0.4561
116362       1   10022255   10086078      8       1  563946     0.095328      0.46203
10277        1   10058041   10251297      5       3  563946      0.16091      0.43608
23095        1   10235606   10451664      3       2  563946      0.81142      0.20856
5226         1   10423884   10490565      1       1  563946      0.86225      0.19428
378708       1   10454944   10520239     13       1  563946        3.006    0.0013237
100526739    1   10455159   10522060     13       1  563946        3.006    0.0013237
1325         1   10474776   10522060     13       1  563946        3.006    0.0013237
5195         1   10500003   10700815     24       3  563946       2.7119    0.0033449
1676         1   10510588   10567613      6       1  563946       2.8264    0.0023536
54897        1   10686661   10891733     10       5  563946       1.1825      0.11851
148345       1   10996530   11077094      8       2  563946      0.35979       0.3595
23435        1   11037462   11095549      8       2  563946      0.35979       0.3595
10747        1   11076580   11142296      1       1  563946       1.4253     0.077037
6723         1   11104649   11155091      1       1  563946       1.4253     0.077037
5394         1   11116675   11194961      1       1  563946       1.4253     0.077037
2475         1   11156588   11357614      5       1  563946      -1.1418      0.87323
10218        1   11214346   11266038      4       1  563946      -1.2649      0.89704
29914        1   11298255   11358491      1       1  563946      0.03416      0.48637
57540        1   11504295   11607640      3       1  563946       1.0969      0.13633
93611        1   11679432   11733384      3       1  563946      0.44542      0.32801
26270        1   11689150   11744411      3       1  563946      0.44542      0.32801
374946       1   11716781   11790336      2       1  563946      -1.1728      0.87955
10459        1   11724537   11786678      1       1  563946     -0.74047      0.77049
57085        1   11761142   11820828      2       1  563946      -1.1728      0.87955
284498       1   11788827   11859642      6       2  563946       0.3275      0.37165
1185         1   11831153   11913201      7       3  563946      0.71244       0.2381
4524         1   11835787   11901160      7       3  563946      0.71244       0.2381
4878         1   11895766   11942840      1       1  563946       1.2039      0.11432
4879         1   11907521   11953992      1       1  563946       1.2039      0.11432
943          1   12088434   12214264      3       2  563946       2.4613    0.0069209
7133         1   12192044   12279279      3       2  563946       2.0814     0.018698
55187        1   12255101   12582099      9       2  563946      0.48231      0.31479
9249         1   12617939   12712820      8       3  563946     -0.63106        0.736
343066       1   12669566   12737097      6       2  563946     -0.97323      0.83478
126767       1   12741118   12798726     23       1  563946     -0.36032      0.64069
390999       1   12799984   12848049      1       1  563946      0.44557      0.32795
65121        1   12816546   12866777      2       1  563946     0.086008      0.46573
126755       1   13791445   13875242      2       1  563946      -1.7532      0.96022
10630        1   13875252   13954452      2       1  563946     -0.20895      0.58276
7799         1   13991714   14161574      4       1  563946      -1.9307      0.97324
23254        1   14184646   15454544    137      34  563946      0.40695      0.34202
55092        1   15444028   15556974     28       1  563946      0.55788      0.28846
727684       1   15480692   15533120     13       1  563946      0.62132      0.26719
114827       1   15538730   15734767      1       1  563946      0.48042      0.31546
79180        1   15701391   15766839      1       1  563946      -1.4007      0.91934
11330        1   15729938   15783153      1       1  563946      -1.4007      0.91934
23341        1   15818343   15908228      1       1  563946      -0.8874      0.81257
79814        1   15888194   15946605      1       1  563946      -0.8874      0.81257
84301        1   15908953   16005539      1       1  563946      -1.7086      0.95624
23207        1   15975632   16071264      1       1  563946      -1.7086      0.95624
54751        1   16048107   16123089      1       1  563946     -0.89486      0.81457
440567       1   16123657   16169194      1       1  563946       1.0879      0.13832
23013        1   16139359   16276951      1       1  563946       1.0879      0.13832
7709         1   16258364   16337627     13       2  563946     -0.73721       0.7695
101928566    1   16267626   16333701     13       2  563946     -0.73721       0.7695
149563       1   16295731   16343184     13       2  563946     -0.73364      0.76842
1187         1   16313486   16370548     15       2  563946     -0.82775      0.79609
27129        1   16330523   16381084     15       2  563946     -0.14409      0.55728
1188         1   16335231   16393821     15       2  563946      0.29982      0.38216
