GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112      0.72559      0.23405
339451       1     860967     911099    127      32  408112       1.2133      0.11251
84069        1     866872     920488    122      34  408112       1.1484       0.1254
26155        1     869583     929679    122      35  408112       1.1819      0.11863
84808        1     900579     952473    130      35  408112      0.67882      0.24863
9636         1     913847     959920    124      32  408112      0.47407      0.31773
375790       1     920503    1001499    223      50  408112      0.23481      0.40718
57801        1     924342     971608    126      33  408112      0.36283      0.35837
401934       1     997126    1044687    101      18  408112       1.1171      0.13197
54991        1    1007198    1086736    204      29  408112      0.44845      0.32692
254173       1    1074286    1143315    216      34  408112       1.0832      0.13936
8784         1    1128888    1177163    177      18  408112       1.3351     0.090921
126792       1    1132629    1180421    170      17  408112       1.2644      0.10304
7293         1    1136706    1184703    176      17  408112       1.1287      0.12951
51150        1    1142288    1202447    203      20  408112       1.0552      0.14566
388581       1    1167826    1217102    136      25  408112       1.4834     0.068984
118424       1    1179292    1244234    177      37  408112       1.7478     0.040253
6339         1    1180816    1237409    154      32  408112       1.7193     0.042779
126789       1    1208962    1257057    125      31  408112       1.8388     0.032976
116983       1    1217764    1278304    145      35  408112       1.6678     0.047682
80772        1    1225136    1274276    119      31  408112        1.643     0.050191
83756        1    1231726    1279844    108      27  408112       1.4221     0.077505
54973        1    1236965    1295067    113      27  408112       1.2796      0.10034
1855         1    1260658    1319509    108      25  408112       1.3764     0.084345
54587        1    1278071    1332183     84      21  408112       1.5692     0.058296
54998        1    1299110    1345818     84      18  408112       2.4594    0.0069587
81669        1    1311091    1369718    124      17  408112       2.6578    0.0039324
643965       1    1326508    1373167    101      14  408112       2.6937    0.0035329
55052        1    1327276    1377693    103      15  408112        2.736    0.0031092
64856        1    1335903    1388262     97      13  408112        2.727    0.0031954
219293       1    1343152    1415538     99      15  408112       2.6809    0.0036709
441869       1    1343800    1391824     84      12  408112       2.6572    0.0039399
83858        1    1372139    1454852     99      13  408112       2.7094    0.0033698
55210        1    1412523    1480067    115      14  408112       2.4604    0.0069384
339453       1    1460158    1510740     81      14  408112       1.6112     0.053566
29101        1    1467053    1545262     81      17  408112       1.6138      0.05328
142678       1    1515795    1575990     44       8  408112      0.77345      0.21963
643988       1    1523388    1570476     38       7  408112      0.65673      0.25568
8510         1    1532060    1580030     37       7  408112      0.79002      0.21476
984          1    1561100    1625473     47       8  408112       2.5593    0.0052437
728661       1    1581486    1659243     53      10  408112       2.6293    0.0042777
728642       1    1623822    1690999     37       8  408112       1.8418     0.032755
9906         1    1646277    1712438     51      11  408112       1.9969      0.02292
65220        1    1672671    1746508     76      16  408112       2.1002     0.017854
2782         1    1706725    1857552    159      25  408112       2.1375      0.01628
163688       1    1811266    1858733     70      11  408112       2.0959     0.018044
339456       1    1839029    1885740     95      15  408112       1.0294      0.15165
85452        1    1843390    1970276    226      35  408112       1.1869      0.11764
