GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    324      34  408112        1.352     0.088182
339451       1     860967     911099    253      32  408112       1.6692     0.047539
84069        1     866872     920488    259      36  408112       2.5075    0.0060788
26155        1     869583     929679    281      39  408112       2.9475     0.001602
84808        1     900579     952473    269      30  408112       3.2031   0.00067968
9636         1     913847     959920    257      26  408112       3.1238   0.00089258
375790       1     920503    1001499    455      48  408112       2.9461    0.0016092
57801        1     924342     971608    257      28  408112       3.0575    0.0011158
401934       1     997126    1044687    177      25  408112       2.0243      0.02147
54991        1    1007198    1086736    351      29  408112       1.1451      0.12608
254173       1    1074286    1143315    348      35  408112      0.63335      0.26325
8784         1    1128888    1177163    254      20  408112        1.326     0.092427
126792       1    1132629    1180421    241      20  408112       1.1206      0.13123
7293         1    1136706    1184703    245      19  408112        1.012      0.15576
51150        1    1142288    1202447    296      22  408112      0.97287      0.16531
388581       1    1167826    1217102    224      30  408112      0.78157      0.21723
118424       1    1179292    1244234    318      40  408112       1.7516     0.039925
6339         1    1180816    1237409    271      33  408112       1.4509     0.073404
126789       1    1208962    1257057    235      42  408112       2.1712     0.014959
116983       1    1217764    1278304    275      34  408112        3.233   0.00061241
80772        1    1225136    1274276    222      39  408112       3.3765   0.00036711
83756        1    1231726    1279844    211      35  408112       3.5909   0.00016474
54973        1    1236965    1295067    237      33  408112       3.8016   7.1872e-05
1855         1    1260658    1319509    307      24  408112       3.7672   8.2537e-05
54587        1    1278071    1332183    262      20  408112       3.4676   0.00026255
54998        1    1299110    1345818    220      24  408112       2.8075    0.0024962
81669        1    1311091    1369718    227      23  408112       2.9055    0.0018331
643965       1    1326508    1373167    169      21  408112       2.5409    0.0055291
55052        1    1327276    1377693    178      22  408112       2.4854    0.0064704
64856        1    1335903    1388262    167      20  408112       2.4219    0.0077188
219293       1    1343152    1415538    190      22  408112       2.1615     0.015328
441869       1    1343800    1391824    152      18  408112       2.1477     0.015867
83858        1    1372139    1454852    209      20  408112       0.8285      0.20369
55210        1    1412523    1480067    214      19  408112      0.87359      0.19117
339453       1    1460158    1510740    152      16  408112       1.4736     0.070296
29101        1    1467053    1545262    170      21  408112       1.5116     0.065316
142678       1    1515795    1575990     88      11  408112       0.7261      0.23389
643988       1    1523388    1570476     79       9  408112      0.86032      0.19481
8510         1    1532060    1580030     72      10  408112      0.94765      0.17165
984          1    1561100    1625473     98      12  408112     -0.24895       0.5983
728661       1    1581486    1659243    132      16  408112     -0.19672      0.57798
728642       1    1623822    1690999    113      11  408112      0.22513      0.41094
9906         1    1646277    1712438    142      15  408112       1.2376      0.10793
65220        1    1672671    1746508    154      19  408112       1.9178     0.027565
2782         1    1706725    1857552    300      25  408112       2.3458    0.0094926
163688       1    1811266    1858733    130      15  408112       2.2151     0.013377
339456       1    1839029    1885740    187      17  408112       2.0393     0.020711
85452        1    1843390    1970276    459      36  408112         1.24      0.10749
2563         1    1915768    1972192    146      20  408112     -0.67762      0.75099
5590         1    1946909    2126834    699      54  408112       0.6939      0.24387
100506504    1    2103250    2150812    134      33  408112       2.8062    0.0025062
199990       1    2105899    2179159    211      43  408112       4.8052   7.7299e-07
6497         1    2125134    2251652    408      66  408112       5.8623   2.2826e-09
79906        1    2241719    2358190    563      75  408112       2.9743    0.0014685
11079        1    2288214    2346883    237      52  408112       2.0912     0.018254
5192         1    2326241    2379010    209      55  408112       3.1342   0.00086167
9651         1    2372754    2446964    332      47  408112       1.3305      0.09168
55229        1    2429975    2493061    272      35  408112        0.757      0.22452
388585       1    2450184    2496684    175      32  408112      0.22465      0.41113
8764         1    2452291    2505268    209      33  408112      0.24264      0.40414
127281       1    2482899    2532908    222      25  408112       1.2299      0.10937
79258        1    2512078    2599499    323      24  408112       1.6484     0.049633
100287898    1    2562807    2741230    505      24  408112      0.88082      0.18921
140625       1    2903046    2949467    235      15  408112       1.2666      0.10265
63976        1    2950565    3365185   1815     186  408112       1.4383     0.075173
27237        1    3336147    3407677    306      33  408112      0.82527      0.20461
1953         1    3394506    3563059    704      97  408112       3.1091   0.00093841
127262       1    3506556    3556695    243      43  408112       1.8271     0.033842
7161         1    3534129    3662765    469      75  408112       4.7159   1.2031e-06
49856        1    3537331    3601671    236      46  408112       2.8311    0.0023191
148870       1    3633965    3698209    259      36  408112        7.655   9.6666e-15
388588       1    3654352    3702546    218      34  408112       6.1094        5e-10
57470        1    3686784    3748068    377      26  408112       7.4089   6.3659e-14
9731         1    3718645    3808797    613      37  408112       9.4483   1.7216e-21
1677         1    3738845    3811993    506      34  408112       7.6376   1.1062e-14
339448       1    3795697    3851857    211      30  408112       3.2725   0.00053291
55966        1    4680105    4853851   1113     124  408112       -1.073      0.85836
261734       1    5912870    6087618    806      40  408112     -0.68239       0.7525
8514         1    6017358    6171253    578      71  408112     -0.50642      0.69372
26038        1    6151847    6275194    439      50  408112      0.72453      0.23437
388591       1    6231189    6291359    180      28  408112      0.92635      0.17713
6146         1    6235080    6294679    167      27  408112      0.58712      0.27856
390992       1    6269252    6315638    134      22  408112     -0.61135      0.72952
23463        1    6271253    6331044    176      25  408112      -1.0496      0.85306
387509       1    6297406    6356035    173      28  408112        0.459      0.32312
11332        1    6314332    6488826    765      32  408112       0.6878      0.24579
83715        1    6449836    6531004    318      24  408112   -0.0068098      0.50272
54626        1    6465292    6519724    201      21  408112      0.21703      0.41409
8718         1    6510787    6562432    157      28  408112     -0.20211      0.58008
57449        1    6516152    6615121    401      40  408112       5.4992   1.9081e-08
79707        1    6571407    6649658    350      26  408112       6.2014   2.7982e-10
80835        1    6579987    6649817    301      27  408112       6.4549   5.4158e-11
3104         1    6605051    6659340    222      35  408112       5.6441   8.3023e-09
148479       1    6638756    6694093    172      39  408112       1.7243     0.042325
9903         1    6640784    6697958    184      38  408112       1.6798     0.046494
90326        1    6649925    6705646    188      38  408112       1.5381     0.062012
55735        1    6684228    6796966    387      32  408112        0.476      0.31704
23261        1    6810384    7839766   3594     216  408112      0.48375      0.31428
9341         1    7796329    7851492    174      33  408112       1.5353     0.062356
8863         1    7809413    7915241    425      43  408112       1.9873     0.023446
10911        1    7897672    7948551    275      30  408112       3.0091    0.0013099
3604         1    7965931    8038225    209      35  408112       2.4992    0.0062243
11315        1    7986714    8055342    199      34  408112       2.6685      0.00381
54206        1    8061779    8121393    151      22  408112       2.9007    0.0018614
50651        1    8343171    8414227    265      32  408112     -0.55854      0.71176
473          1    8402464    8912699   1198      46  408112       1.3142      0.09439
2023         1    8911059    8974151    196      31  408112       1.7157      0.04311
765          1    8970893    9045151    321      55  408112      0.91805       0.1793
155184       1    9053359    9121404    268      40  408112     -0.14905      0.55924
6518         1    9087005    9166763    385      38  408112     -0.68084      0.75201
80045        1    9153472    9224229    245      41  408112       0.9326      0.17551
9563         1    9259822    9341396    379      40  408112       1.7298     0.041837
80176        1    9300202    9439591    719     102  408112       1.7582     0.039355
84275        1    9564528    9652831    187      28  408112     -0.20541      0.58137
199953       1    9613932    9684935    145      23  408112      -0.9143      0.81972
5293         1    9676789    9799172    383      57  408112      0.70087      0.24169
22883        1    9779079    9919550    372      40  408112      0.94803      0.17156
56998        1    9898334   10005316    306      45  408112       1.5696     0.058249
64802        1    9968486   10055556    216      32  408112       1.2028      0.11453
84328        1    9972168   10038460    170      27  408112       1.2066       0.1138
116362       1   10022255   10086078    172      24  408112      0.74799      0.22723
10277        1   10058041   10251297    612      37  408112        1.278      0.10062
23095        1   10235606   10451664    880      27  408112      0.37639      0.35331
5226         1   10423884   10490565    255      24  408112   -0.0030583      0.50122
378708       1   10454944   10520239    225      31  408112      0.39283      0.34722
100526739    1   10455159   10522060    228      32  408112      0.38946      0.34847
1325         1   10474776   10522060    160      21  408112      0.43337      0.33237
5195         1   10500003   10700815    582      42  408112      0.83501      0.20186
1676         1   10510588   10567613    182      25  408112       1.4817     0.069215
54897        1   10686661   10891733    602     100  408112      -1.3547      0.91224
148345       1   10996530   11077094    288      31  408112     -0.64409      0.74024
23435        1   11037462   11095549    174      21  408112      0.80822      0.20948
10747        1   11076580   11142296    215      17  408112    -0.029729      0.51186
6723         1   11104649   11155091    157      11  408112      -1.6703      0.95257
5394         1   11116675   11194961    228      11  408112      -1.6843      0.95394
2475         1   11156588   11357614    491      19  408112      -1.0813      0.86023
10218        1   11214346   11266038    117       7  408112      -1.4327      0.92403
29914        1   11298255   11358491    133      16  408112     -0.46446      0.67884
57540        1   11504295   11607640    348      26  408112       -0.534      0.70333
93611        1   11679432   11733384    177      34  408112      0.72649      0.23377
26270        1   11689150   11744411    190      37  408112      0.82885      0.20359
26232        1   11697924   11749888    165      34  408112       0.4567      0.32394
374946       1   11716781   11790336    236      44  408112      0.71028      0.23877
10459        1   11724537   11786678    203      38  408112      0.86842      0.19258
57085        1   11761142   11820828    168      32  408112      0.73464      0.23128
284498       1   11788827   11859642    290      24  408112       4.0727   2.3236e-05
1185         1   11831153   11913201    476      24  408112       4.5202   3.0889e-06
4524         1   11835787   11901160    384      20  408112       4.2869   9.0611e-06
4878         1   11895766   11942840    239      35  408112       4.6379   1.7597e-06
4879         1   11907521   11953992    229      31  408112       3.8802   5.2195e-05
5351         1   11959724   12045599    339      30  408112       3.8081   7.0021e-05
90231        1   11969645   12021485    205      27  408112         3.57   0.00017851
9927         1   12005238   12083572    252      23  408112       3.3605   0.00038902
60672        1   12044299   12102106    159      20  408112       2.7328    0.0031398
943          1   12088434   12214264    305      51  408112       2.4893    0.0063996
7133         1   12192044   12279279    243      35  408112       2.7589    0.0028997
55187        1   12255101   12582099    837      35  408112    -0.055154      0.52199
9249         1   12617939   12712820    367      48  408112       0.2449      0.40327
343066       1   12669566   12737097    211      27  408112     -0.28333      0.61154
126767       1   12741118   12798726    197      29  408112      0.48393      0.31422
93190        1   12771163   12831102    259      16  408112      0.87974       0.1895
390999       1   12799984   12848049    184      21  408112      0.55036      0.29104
65121        1   12816546   12866777    218      30  408112      -1.2745      0.89875
440560       1   12874468   12926264    160       7  408112       1.2957      0.09754
65122        1   12881941   12931764    159       7  408112       1.2989     0.096988
343069       1   12897261   12943578    154       7  408112       1.3121     0.094739
400735       1   12929033   12981025      3       2  408112      0.20927      0.41712
441871       1   12941467   12990300      2       1  408112     -0.39111      0.65214
343071       1   12942727   12993094      2       1  408112     -0.39111      0.65214
441873       1   13105447   13155000      1       1  408112      0.61281         0.27
440563       1   13172960   13219326     85      10  408112       0.6517       0.2573
391002       1   13376646   13425765      1       1  408112      0.61281         0.27
343070       1   13386176   13438191      2       1  408112      0.64408      0.25976
400736       1   13437414   13487656      6       1  408112      0.71661      0.23681
654348       1   13460254   13508260      7       1  408112      0.60727      0.27184
391003       1   13464053   13512569      7       1  408112      0.60727      0.27184
729528       1   13658269   13708511      1       1  408112      0.73885         0.23
391004       1   13681088   13729064      1       1  408112      0.73885         0.23
645414       1   13684889   13733405      1       1  408112      0.73885         0.23
645425       1   13701907   13757803      1       1  408112      0.73885         0.23
126755       1   13791445   13875242    417      58  408112       1.0016      0.15827
10630        1   13875252   13954452    320      51  408112      -1.2722      0.89836
7799         1   13991714   14161574    652      35  408112       1.8634     0.031202
23254        1   14184646   15454544   5757     384  408112      0.32061      0.37425
55092        1   15444028   15556974    712      43  408112     -0.28929      0.61382
727684       1   15480692   15533120    284      25  408112     -0.12616       0.5502
114827       1   15538730   15734767    832      84  408112      0.10848      0.45681
79180        1   15701391   15766839    277      37  408112       0.3548      0.36137
11330        1   15729938   15783153    194      42  408112      0.47656      0.31684
63036        1   15748223   15808586    229      43  408112      -0.4938      0.68928
51032        1   15767596   15827895    238      40  408112     -0.78947      0.78508
842          1   15807896   15886407    290      15  408112     -0.51474      0.69663
23341        1   15818343   15908228    320      18  408112     -0.43622      0.66866
79814        1   15888194   15946605    278      14  408112     -0.24027      0.59494
84301        1   15908953   16005539    362      13  408112     -0.12653      0.55035
6248         1   15951364   15998217    125      11  408112   -0.0060664      0.50242
23207        1   15975632   16071264    322      22  408112     -0.22996      0.59094
284723       1   16027721   16077884    192      28  408112     -0.20257      0.58027
388595       1   16033987   16084292    187      28  408112     -0.15837      0.56292
54751        1   16048107   16123089    272      40  408112       1.7235     0.042397
440567       1   16123657   16169194    246      20  408112      -1.2282      0.89031
23013        1   16139359   16276951    447      38  408112      -1.1722      0.87945
7709         1   16258364   16337627    314      32  408112      0.53447      0.29651
101928566    1   16267626   16333701    277      30  408112      0.56533      0.28593
149563       1   16295731   16343184    266      26  408112      0.75607       0.2248
1187         1   16313486   16370548    416      32  408112      0.85895      0.19518
27129        1   16330523   16381084    395      33  408112      0.60051      0.27408
1188         1   16335231   16393821    472      41  408112       1.0146      0.15516
348487       1   16374264   16435127    375      31  408112       1.7817       0.0374
