GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600     -0.21597       0.5855
105378580    1     768398     815130     22      11  8087600      0.86432      0.19371
148398       1     890741     954581     39      19  8087600      0.38628      0.34965
339451       1     924952     975720     36      17  8087600     -0.94726      0.82825
84069        1     931497     985108     29      14  8087600     -0.93824      0.82594
26155        1     934203     994299     38      16  8087600      -1.2303       0.8907
84808        1     965199    1017117     35      12  8087600      -1.3763      0.91563
9636         1     978467    1024540     32      11  8087600     -0.86405      0.80622
375790       1     985101    1066119     72      24  8087600      -2.0457      0.97961
57801        1     988962    1036285     34      13  8087600       -1.225      0.88972
105369174    1    1026207    1076390     47      17  8087600      -2.0602      0.98031
105378948    1    1055635    1104326     19      14  8087600      0.23807      0.40591
401934       1    1061746    1109307     19      14  8087600      0.21701       0.4141
54991        1    1071818    1151356     52      29  8087600      0.53809      0.29526
254173       1    1138898    1207935     60      29  8087600      0.55329      0.29003
8784         1    1193508    1241709     45      13  8087600      0.57718      0.28191
126792       1    1197249    1245041     43      13  8087600      0.63591      0.26242
7293         1    1201326    1249638     42      13  8087600      0.60029      0.27416
51150        1    1206908    1267067     53      15  8087600      0.54855      0.29166
388581       1    1232446    1282218     37      11  8087600      0.71482      0.23736
118424       1    1243912    1308854     59      20  8087600      0.48458      0.31399
6339         1    1245415    1302029     42      13  8087600      0.62137      0.26718
126789       1    1273571    1321677     44      23  8087600     -0.22168      0.58772
116983       1    1282384    1342925     53      31  8087600     -0.34653      0.63553
80772        1    1289756    1338896     43      27  8087600     -0.44144      0.67055
83756        1    1293999    1345320     43      27  8087600     -0.66491      0.74694
54973        1    1301585    1359687     47      29  8087600     -0.66953      0.74842
1855         1    1325278    1384158     39      16  8087600     -0.33483      0.63112
54587        1    1342689    1398541     29      11  8087600      0.31124      0.37781
54998        1    1363730    1410438     29      13  8087600      0.12268      0.45118
81669        1    1375711    1434338     36      16  8087600     -0.27344      0.60774
643965       1    1391128    1437787     27      13  8087600    -0.016195      0.50646
55052        1    1391896    1442834     31      16  8087600     -0.34177      0.63374
64856        1    1400523    1452882     35      19  8087600     -0.68501      0.75333
219293       1    1406301    1480158     40      19  8087600     -0.91225      0.81918
441869       1    1408420    1456820     30      18  8087600     -0.77383      0.78049
83858        1    1436732    1519479     74      27  8087600     -0.21524      0.58521
55210        1    1477143    1544687     70      23  8087600      0.34318      0.36573
339453       1    1524778    1575360     34      14  8087600      0.67617      0.24947
29101        1    1531673    1609882     58      22  8087600      0.40441      0.34296
142678       1    1579975    1640610     32      24  8087600     -0.23987      0.59478
643988       1    1588008    1635096     20      14  8087600      -1.1312      0.87101
8510         1    1597181    1644654     19      14  8087600      -1.9241      0.97283
984          1    1625226    1694839     22      15  8087600      -2.2417      0.98751
728661       1    1650025    1727804     34      10  8087600      -0.6395      0.73875
728642       1    1692730    1759352     35      11  8087600      0.13881       0.4448
9906         1    1714838    1780999     38      14  8087600     0.060783      0.47577
65220        1    1741232    1815514     21      15  8087600      0.17815       0.4293
2782         1    1775285    1926117     51      26  8087600      -1.4082      0.92046
105378949    1    1850960    1903010     17      10  8087600     -0.86184      0.80561
163688       1    1878752    1927294     22      10  8087600     -0.72139      0.76466
339456       1    1907589    1954301     20       6  8087600     -0.77744      0.78155
85452        1    1911951    2038837     68      38  8087600      0.71564      0.23711
2563         1    1984329    2040753     37      26  8087600       1.6587      0.04859
5590         1    2015470    2195395    118      51  8087600     -0.15644      0.56216
100506504    1    2171811    2219360     18      14  8087600     -0.78123      0.78267
199990       1    2174460    2247720     37      25  8087600      -1.5373      0.93789
6497         1    2193695    2320213     61      38  8087600      -2.0585      0.98023
105378592    1    2198942    2250211     26      16  8087600       -1.754      0.96028
105378594    1    2245383    2294676     20      14  8087600      -1.9891      0.97665
79906        1    2311253    2426751     74      50  8087600     -0.22613      0.58945
11079        1    2356314    2415444     32      20  8087600      0.51711      0.30254
9651         1    2380782    2515530     78      42  8087600      -0.2992      0.61761
5192         1    2394802    2448780     36      28  8087600     0.048574      0.48063
55229        1    2498531    2561628     35      17  8087600    -0.033568      0.51339
388585       1    2518745    2565245     26      12  8087600     -0.87097      0.80811
8764         1    2521365    2575622     34      17  8087600     -0.24286      0.59594
127281       1    2551460    2601469     38      19  8087600     -0.17829      0.57075
79258        1    2580639    2668042     27      16  8087600    -0.073964      0.52948
100287898    1    2626988    2824665     53      13  8087600      -1.5362      0.93776
140625       1    2986482    3032903     44       8  8087600     -0.84429      0.80075
63976        1    3033227    3448621    314     127  8087600     -0.60049      0.72591
27237        1    3419583    3491115     61      30  8087600      0.53903      0.29493
1953         1    3477942    3659757    135      59  8087600      -1.8444      0.96744
127262       1    3589992    3640131     37      20  8087600     -0.80031      0.78824
7161         1    3617565    3746201     85      51  8087600      -1.4047      0.91995
49856        1    3620767    3685107     45      27  8087600     -0.95249      0.82958
148870       1    3717398    3781645     49      26  8087600      -2.8244      0.99763
388588       1    3737761    3785982     46      21  8087600      -2.4777      0.99339
57470        1    3770220    3831504     69      18  8087600      -2.3718      0.99115
9731         1    3802081    3892387     40      16  8087600      -2.1595      0.98459
1677         1    3822143    3895429     23      10  8087600      -1.5208      0.93585
261734       1    5852808    6027505     87      52  8087600       1.3698      0.08537
8514         1    5957298    6111193     75      49  8087600     -0.57201      0.71634
26038        1    6091787    6215134     56      29  8087600      -0.6864      0.75377
388591       1    6170775    6231299     33      12  8087600     -0.68615      0.75369
6146         1    6175020    6234619     30      10  8087600     -0.89375      0.81427
390992       1    6209158    6255578     23       8  8087600     -0.79406      0.78642
23463        1    6211193    6270984     31      12  8087600      -1.4049      0.91997
387509       1    6237346    6295990     33      20  8087600      -1.3018      0.90351
11332        1    6254272    6428766    147      32  8087600       1.1453      0.12603
83715        1    6389776    6470944     62      14  8087600      0.65213      0.25716
54626        1    6405232    6459664     43       9  8087600       0.5199      0.30157
8718         1    6451151    6501195     30      12  8087600       1.1853      0.11795
57449        1    6456092    6555061     74      18  8087600      0.75494      0.22514
79707        1    6511347    6589598     49       8  8087600      0.46597      0.32062
80835        1    6520278    6589757     43       7  8087600      0.53367      0.29679
3104         1    6544991    6599280     27      10  8087600     -0.16317      0.56481
148479       1    6578696    6634033     22      17  8087600      -1.4844      0.93115
9903         1    6580724    6637898     24      18  8087600      -1.6542      0.95096
90326        1    6589865    6645586     26      17  8087600      -1.8671      0.96905
55735        1    6624168    6736906     37      23  8087600      -1.1425      0.87339
23261        1    6750324    7779706    526     199  8087600     -0.66074      0.74561
9341         1    7736269    7791432     30      20  8087600      0.39389      0.34683
8863         1    7749380    7855181     56      28  8087600       1.2184      0.11154
10911        1    7837612    7948610     67      24  8087600       1.0283      0.15191
3604         1    7905871    7978165     33      17  8087600      0.29987      0.38214
11315        1    7926654    7995283     25      14  8087600     -0.24416      0.59645
54206        1    8001719    8061333     14      10  8087600      -1.4962       0.9327
50651        1    8283085    8354167     30      19  8087600      -1.0322      0.84901
473          1    8342404    8852691    143      88  8087600     -0.91354      0.81952
2023         1    8851000    8914092     29       9  8087600     -0.51683      0.69736
765          1    8910785    8985092     53      26  8087600      0.21066      0.41658
155184       1    8950853    9061384     69      40  8087600      0.16447      0.43468
6518         1    9026943    9106704     61      22  8087600      -1.0353      0.84974
80045        1    9093391    9164170     48      28  8087600      -1.2808      0.89987
9563         1    9199776    9281337     42      26  8087600      -2.0255      0.97859
