GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      0.31809      0.37521
105378580    1     768398     815130     22      11  3462878     0.060994      0.47568
148398       1     890741     954581     39      19  3462878      -1.7401      0.95908
339451       1     924952     975720     36      17  3462878     -0.99566      0.84029
84069        1     931497     985108     29      14  3462878     -0.96803      0.83349
26155        1     934203     994299     38      16  3462878     -0.77519      0.78089
84808        1     965199    1017117     35      12  3462878      -1.1636       0.8777
9636         1     978467    1024540     32      11  3462878     -0.90641      0.81764
375790       1     985101    1066119     72      24  3462878      -1.1658      0.87815
57801        1     988962    1036285     34      13  3462878      -0.1902      0.57542
105369174    1    1026207    1076390     47      17  3462878      -1.0021      0.84185
105378948    1    1055635    1104326     22      14  3462878     -0.34232      0.63395
401934       1    1061746    1109307     22      14  3462878     -0.24744      0.59772
54991        1    1071818    1151356     55      29  3462878    -0.075085      0.52993
254173       1    1138898    1207935     60      29  3462878     -0.20733      0.58212
8784         1    1193508    1241709     45      13  3462878     -0.46913      0.68051
126792       1    1197249    1245041     43      13  3462878     -0.21336      0.58448
7293         1    1201326    1249638     42      13  3462878     -0.72182       0.7648
51150        1    1206908    1267067     53      15  3462878       -1.134      0.87161
388581       1    1232446    1282218     37      11  3462878      -1.2907       0.9016
118424       1    1243912    1308854     59      20  3462878       -2.001      0.97731
6339         1    1245415    1302029     42      13  3462878      -1.6098      0.94628
126789       1    1273571    1321677     44      23  3462878      -1.0095      0.84364
116983       1    1282384    1342925     53      31  3462878     -0.66199      0.74601
80772        1    1289756    1338896     43      27  3462878     -0.31964      0.62538
83756        1    1293999    1345320     43      27  3462878     -0.45582      0.67574
54973        1    1301585    1359687     47      29  3462878     -0.31903      0.62515
1855         1    1325278    1384158     39      16  3462878     -0.36475      0.64235
54587        1    1342689    1398541     29      11  3462878     -0.65539      0.74389
54998        1    1363730    1410438     29      13  3462878      -0.3643      0.64218
81669        1    1375711    1434338     36      16  3462878     -0.65164      0.74268
643965       1    1391128    1437787     27      13  3462878     -0.80137      0.78854
55052        1    1391896    1442834     31      16  3462878      -1.1642      0.87782
64856        1    1400523    1452882     35      19  3462878      -0.4818      0.68503
219293       1    1406301    1480158     40      19  3462878     -0.63944      0.73873
441869       1    1408420    1456820     30      18  3462878        -0.55      0.70884
83858        1    1436732    1519479     74      27  3462878     -0.54785       0.7081
55210        1    1477143    1544687     70      23  3462878      -1.3305      0.90833
339453       1    1524778    1575360     34      14  3462878      -1.4169      0.92175
29101        1    1531673    1609882     58      22  3462878     -0.40064      0.65566
142678       1    1579975    1640610     32      24  3462878      0.72464      0.23434
643988       1    1588008    1635096     20      14  3462878      0.91083      0.18119
8510         1    1597181    1644654     19      14  3462878      0.14615       0.4419
984          1    1625226    1694839     22      15  3462878      0.13404      0.44669
728661       1    1650025    1727804     34      10  3462878       1.0544      0.14586
728642       1    1692730    1759352     35      11  3462878       1.0265      0.15233
9906         1    1714838    1780999     38      14  3462878       1.1012       0.1354
65220        1    1741232    1815514     21      15  3462878      0.89645      0.18501
2782         1    1775285    1926117     51      26  3462878      -1.0849      0.86101
105378949    1    1850960    1903010     17      10  3462878     -0.61239      0.72986
163688       1    1878752    1927294     22      10  3462878     -0.89305      0.81409
339456       1    1907589    1954301     20       6  3462878      -1.4868      0.93146
85452        1    1911951    2038837     68      38  3462878     -0.93776      0.82582
2563         1    1984329    2040753     37      26  3462878      0.15871      0.43695
5590         1    2015470    2195395    116      51  3462878      -1.5088      0.93433
100506504    1    2171811    2219360     17      13  3462878     -0.67626      0.75056
199990       1    2174460    2247720     36      24  3462878      -1.2654      0.89714
6497         1    2193695    2320213     61      38  3462878     -0.42772      0.66557
105378592    1    2198942    2250211     26      16  3462878      -1.0857       0.8612
105378594    1    2245383    2294676     20      14  3462878    -0.071158      0.52836
79906        1    2311253    2426751     73      49  3462878     -0.82671       0.7958
11079        1    2356314    2415444     31      20  3462878      0.41603      0.33869
9651         1    2380782    2515530     77      42  3462878      -1.8406      0.96716
5192         1    2394802    2448780     35      27  3462878      -1.0294      0.84835
55229        1    2498531    2561628     35      17  3462878       -1.369       0.9145
388585       1    2518745    2565245     26      12  3462878      -1.1264         0.87
8764         1    2521365    2575622     34      17  3462878     -0.84079      0.79977
127281       1    2551460    2601469     38      19  3462878    -0.097974      0.53902
79258        1    2580639    2668042     27      16  3462878     0.097234      0.46127
100287898    1    2626988    2824665     53      13  3462878     -0.86096      0.80537
140625       1    2986482    3032903     44       8  3462878       1.2963      0.09743
63976        1    3033227    3448621    317     132  3462878      0.47348      0.31793
27237        1    3419583    3491115     61      30  3462878     -0.92568      0.82269
1953         1    3477942    3659757    134      60  3462878      -1.0099      0.84372
127262       1    3589992    3640131     37      20  3462878     -0.52141      0.69896
7161         1    3617565    3746201     84      51  3462878       -1.345      0.91068
49856        1    3620767    3685107     44      28  3462878      -1.0678       0.8572
148870       1    3717398    3781645     49      26  3462878      0.25458      0.39952
388588       1    3737761    3785982     46      21  3462878      0.68403      0.24698
57470        1    3770220    3831504     69      18  3462878      0.32093      0.37413
9731         1    3802081    3892387     40      16  3462878     -0.62069       0.7326
1677         1    3822143    3895429     23      10  3462878     -0.37548      0.64635
261734       1    5852808    6027505     87      52  3462878     -0.82238      0.79457
8514         1    5957298    6111193     75      49  3462878     -0.58729      0.72149
26038        1    6091787    6215134     56      29  3462878     -0.47091      0.68115
388591       1    6170775    6231299     33      12  3462878     -0.68978      0.75483
6146         1    6175020    6234619     30      10  3462878      -1.1101      0.86652
390992       1    6209158    6255578     23       8  3462878      -1.1325      0.87129
23463        1    6211193    6270984     31      12  3462878       -1.352      0.91181
387509       1    6237346    6295990     33      20  3462878      -1.3573      0.91266
11332        1    6254272    6428766    147      32  3462878      0.10325      0.45888
83715        1    6389776    6470944     62      14  3462878      0.31856      0.37503
54626        1    6405232    6459664     43       9  3462878      0.32642      0.37205
8718         1    6451151    6501195     30      12  3462878     0.028295      0.48871
57449        1    6456092    6555061     74      18  3462878     -0.83888      0.79923
79707        1    6511347    6589598     49       8  3462878      -0.9227      0.82192
80835        1    6520278    6589757     43       7  3462878     -0.74388      0.77153
3104         1    6544991    6599280     27      10  3462878       -1.527      0.93662
148479       1    6578696    6634033     21      16  3462878      -1.3212      0.90678
9903         1    6580724    6637898     23      17  3462878       -1.051      0.85337
90326        1    6589865    6645586     25      16  3462878     -0.53209      0.70267
55735        1    6624168    6736906     37      23  3462878      0.41053      0.34071
23261        1    6750324    7779706    522     188  3462878     -0.12132      0.54828
9341         1    7736269    7791432     30      20  3462878     -0.24525      0.59687
8863         1    7749380    7855181     56      28  3462878     -0.50676      0.69384
10911        1    7837612    7948610     67      24  3462878      0.73486      0.23121
3604         1    7905871    7978165     33      17  3462878     -0.90904      0.81834
11315        1    7926654    7995283     25      14  3462878     -0.65631      0.74419
54206        1    8001719    8061333     14      10  3462878     -0.25738      0.60156
50651        1    8283085    8354167     31      20  3462878       1.2145      0.11227
473          1    8342404    8852691    143      88  3462878       1.4745     0.070171
2023         1    8851000    8914092     29       9  3462878      -1.2402      0.89256
765          1    8910785    8985092     53      26  3462878     -0.61766       0.7316
155184       1    8950853    9061384     69      40  3462878     -0.31645      0.62417
6518         1    9026943    9106704     61      22  3462878     -0.41852      0.66222
80045        1    9093391    9164170     48      28  3462878      0.19568      0.42243
9563         1    9199776    9281337     42      26  3462878       0.4217      0.33662
80176        1    9257882    9379532     97      51  3462878     -0.51341      0.69617
84275        1    9504469    9592773     51      18  3462878     -0.62713      0.73471
199953       1    9553853    9624877     36      14  3462878      0.45817      0.32341
5293         1    9594889    9739114     94      34  3462878     -0.35146      0.63738
22883        1    9719021    9859526    107      21  3462878     0.079444      0.46834
56998        1    9838276    9945258     50      26  3462878     -0.46725      0.67984
64802        1    9907923    9995501     38      15  3462878     -0.53139      0.70243
84328        1    9912110    9978402     31      13  3462878     -0.60418      0.72714
116362       1    9962197   10026020     32       8  3462878     -0.28507       0.6122
105376719    1    9986423   10033089     24      10  3462878    -0.088522      0.53527
10277        1    9997983   10191239    138      29  3462878     -0.12581      0.55006
23095        1   10175706   10391603    139      18  3462878     -0.52199      0.69916
5226         1   10363992   10430511     22       9  3462878      -1.1004      0.86443
378708       1   10395102   10452815     21      11  3462878     0.072403      0.47114
100526739    1   10395102   10462003     27      14  3462878     -0.45526      0.67554
