id	trait	note	group_name	mr	year	author	sex	pmid	population	unit	sample_size	nsnp	build	category	subcategory	ontology	ncase	consortium	ncontrol	priority	sd	N
eqtl-a-ENSG00000133704	ENSG00000133704	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	21293	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133706	ENSG00000133706	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17940	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133731	ENSG00000133731	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	18304	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133739	ENSG00000133739	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	16007	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133742	ENSG00000133742	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	16217	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133789	ENSG00000133789	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	18851	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133805	ENSG00000133805	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	19671	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133808	ENSG00000133808	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	20242	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133874	ENSG00000133874	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	18506	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133884	ENSG00000133884	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	16433	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000133997	ENSG00000133997	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	18968	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134001	ENSG00000134001	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17835	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134049	ENSG00000134049	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	18478	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134056	ENSG00000134056	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	14921	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134057	ENSG00000134057	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	15155	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134061	ENSG00000134061	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	19127	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134077	ENSG00000134077	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	19489	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134107	ENSG00000134107	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	21386	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134108	ENSG00000134108	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	21366	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134183	ENSG00000134183	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17928	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134186	ENSG00000134186	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17860	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134222	ENSG00000134222	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17532	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134243	ENSG00000134243	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17626	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134253	ENSG00000134253	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17581	HG19/GRCh37	NA	NA	NA		NA		0		31684
eqtl-a-ENSG00000134256	ENSG00000134256	NA	public	1	2018	Vosa U	Males and Females		European	NA	31684	17719	HG19/GRCh37	NA	NA	NA		NA		0		31684
