GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112      0.67126      0.25103
339451       1     860967     911099    128      32  408112      -1.1399      0.87283
84069        1     866872     920488    123      34  408112      -1.1082      0.86612
26155        1     869583     929679    123      35  408112     -0.30675      0.62048
84808        1     900579     952473    131      36  408112       1.4415     0.074718
9636         1     913847     959920    124      32  408112       2.0451     0.020422
375790       1     920503    1001499    223      50  408112       1.8192     0.034441
57801        1     924342     971608    126      33  408112       2.4709    0.0067385
401934       1     997126    1044687    101      18  408112      0.53656      0.29578
54991        1    1007198    1086736    204      29  408112     -0.34288      0.63415
254173       1    1074286    1143315    216      34  408112    0.0039938      0.49841
8784         1    1128888    1177163    177      18  408112       1.3431     0.089621
126792       1    1132629    1180421    170      17  408112       1.4075     0.079639
7293         1    1136706    1184703    176      17  408112        1.453     0.073107
51150        1    1142288    1202447    203      20  408112       1.4043     0.080118
388581       1    1167826    1217102    136      25  408112       1.3957     0.081403
118424       1    1179292    1244234    177      37  408112      0.88135      0.18906
6339         1    1180816    1237409    154      32  408112      0.76353      0.22257
126789       1    1208962    1257057    125      31  408112       1.1119      0.13309
116983       1    1217764    1278304    145      35  408112       1.9181      0.02755
80772        1    1225136    1274276    119      31  408112       1.9696     0.024441
83756        1    1231726    1279844    108      27  408112       2.0967     0.018011
54973        1    1236965    1295067    113      27  408112       2.3714     0.008861
1855         1    1260658    1319509    108      25  408112       2.1665     0.015135
54587        1    1278071    1332183     84      21  408112       1.9697     0.024435
54998        1    1299110    1345818     84      18  408112       2.1162     0.017165
81669        1    1311091    1369718    124      17  408112       2.0503     0.020165
643965       1    1326508    1373167    101      14  408112       2.1042     0.017679
55052        1    1327276    1377693    103      15  408112       2.0826     0.018644
64856        1    1335903    1388262     97      13  408112       2.0602     0.019688
219293       1    1343152    1415538     99      15  408112       1.7019      0.04439
441869       1    1343800    1391824     84      12  408112       1.8651     0.031083
83858        1    1372139    1454852     99      13  408112      0.97765      0.16412
55210        1    1412523    1480067    115      14  408112       1.3984     0.080999
339453       1    1460158    1510740     81      14  408112       1.1283      0.12959
29101        1    1467053    1545262     81      17  408112       1.6168     0.052961
142678       1    1515795    1575990     44       8  408112       1.8764     0.030298
643988       1    1523388    1570476     38       7  408112       1.9739     0.024196
8510         1    1532060    1580030     37       7  408112       1.7537      0.03974
984          1    1561100    1625473     47       8  408112       1.8898     0.029395
728661       1    1581486    1659243     53      10  408112       1.6622     0.048236
728642       1    1623822    1690999     37       8  408112        1.543     0.061421
9906         1    1646277    1712438     51      11  408112       2.3224     0.010105
65220        1    1672671    1746508     79      17  408112       2.8148    0.0024402
2782         1    1706725    1857552    165      26  408112       3.2587   0.00055965
163688       1    1811266    1858733     71      12  408112       3.3535   0.00039897
339456       1    1839029    1885740     95      15  408112       2.8968    0.0018849
85452        1    1843390    1970276    226      35  408112        4.029    2.801e-05
2563         1    1915768    1972192     72      15  408112       4.7964   8.0768e-07
5590         1    1946909    2126834    356      64  408112       6.7005   1.0383e-11
100506504    1    2103250    2150812     86      29  408112       7.0812   7.1465e-13
199990       1    2105899    2179159    126      38  408112       6.1094        5e-10
6497         1    2125134    2251652    229      65  408112       6.1094        5e-10
79906        1    2241719    2358190    320      60  408112       4.1649   1.5571e-05
11079        1    2288214    2346883    130      40  408112       3.4779   0.00025272
5192         1    2326241    2379010    118      46  408112       2.4844    0.0064879
9651         1    2372754    2446964    193      43  408112       2.0399     0.020678
55229        1    2429975    2493061    159      33  408112       2.4846    0.0064844
388585       1    2450184    2496684     99      24  408112        2.558    0.0052634
8764         1    2452291    2505268    119      29  408112       2.6881    0.0035934
127281       1    2482899    2532908    118      26  408112       3.2669   0.00054374
79258        1    2512078    2599499    193      30  408112       3.5953   0.00016203
100287898    1    2562807    2741230    216      31  408112       2.4876     0.006431
140625       1    2903046    2949467    138      12  408112       7.3267   1.1791e-13
63976        1    2950565    3365185   1073     153  408112       9.1041   4.3506e-20
27237        1    3336147    3407677    173      33  408112       1.3516     0.088244
1953         1    3394506    3563059    419      83  408112      0.14276      0.44324
127262       1    3506556    3556695    134      35  408112      0.28111      0.38931
7161         1    3534129    3662765    257      56  408112     0.021902      0.49126
49856        1    3537331    3601671    136      33  408112      0.32387      0.37302
148870       1    3633965    3698209    167      34  408112      0.47553       0.3172
388588       1    3654352    3702546    147      28  408112      0.78775      0.21542
57470        1    3686784    3748068    225      30  408112       1.0101      0.15621
9731         1    3718645    3808797    352      34  408112       2.2867     0.011107
1677         1    3738845    3811993    298      35  408112       2.5673    0.0051246
339448       1    3795697    3851857    133      24  408112       3.7251   9.7626e-05
55966        1    4680105    4853851    726     119  408112      -2.1102      0.98258
261734       1    5912870    6087618    538      38  408112       2.0134     0.022037
8514         1    6017358    6171253    338      65  408112        1.114      0.13264
26038        1    6151847    6275194    248      51  408112        2.249     0.012255
388591       1    6231189    6291359    118      25  408112       2.1603     0.015375
6146         1    6235080    6294679    111      24  408112       2.2375     0.012628
390992       1    6269252    6315638     87      18  408112      0.96377      0.16758
23463        1    6271253    6331044    110      21  408112      0.90588       0.1825
387509       1    6297406    6356035    108      24  408112       2.5089    0.0060546
11332        1    6314332    6488826    518      31  408112       1.6437     0.050116
83715        1    6449836    6531004    210      25  408112      0.93527      0.17482
54626        1    6465292    6519724    140      19  408112       1.0334       0.1507
8718         1    6510787    6562432    102      22  408112     0.026507      0.48943
57449        1    6516152    6615121    214      41  408112       5.5948   1.1041e-08
79707        1    6571407    6649658    175      29  408112       5.8967   1.8543e-09
80835        1    6579987    6649817    155      26  408112       5.7898   3.5244e-09
3104         1    6605051    6659340    126      34  408112       4.9469   3.7708e-07
148479       1    6638756    6694093    103      34  408112      0.37178      0.35503
9903         1    6640784    6697958    111      36  408112      0.39776      0.34541
90326        1    6649925    6705646    114      36  408112       0.5639      0.28641
55735        1    6684228    6796966    219      46  408112       0.5395      0.29477
23261        1    6810384    7839766   2131     216  408112        1.858     0.031581
9341         1    7796329    7851492     95      26  408112       3.5877   0.00016683
8863         1    7809413    7915241    253      35  408112       3.3299    0.0004344
10911        1    7897672    7948551    165      32  408112       2.2221     0.013139
3604         1    7965931    8038225    110      34  408112       1.6868     0.045822
11315        1    7986714    8055342    109      33  408112       1.8828     0.029866
54206        1    8061779    8121393    101      21  408112       1.6658     0.047875
50651        1    8343171    8414227    140      35  408112       6.4454   5.7647e-11
473          1    8402464    8912699    703      50  408112       7.4978   3.2455e-14
2023         1    8911059    8974151    105      30  408112       6.1094        5e-10
765          1    8970893    9045151    185      53  408112       5.6488   8.0784e-09
155184       1    9053359    9121404    150      40  408112     -0.60429      0.72717
6518         1    9087005    9166763    219      38  408112       0.8028      0.21104
80045        1    9153472    9224229    140      38  408112       1.9539     0.025359
9563         1    9259822    9341396    213      46  408112       1.5788     0.057196
80176        1    9300202    9439591    422      87  408112       2.2715     0.011557
84275        1    9564528    9652831    115      28  408112       2.7307    0.0031604
199953       1    9613932    9684935     82      22  408112        2.938    0.0016519
5293         1    9676789    9799172    225      62  408112       3.7563   8.6211e-05
22883        1    9779079    9919550    244      53  408112       2.7871    0.0026594
56998        1    9898334   10005316    210      46  408112       2.0906     0.018282
64802        1    9968486   10055556    131      30  408112       1.5097     0.065555
84328        1    9972168   10038460     99      25  408112       1.6184     0.052788
116362       1   10022255   10086078    109      22  408112        1.197      0.11566
10277        1   10058041   10251297    429      36  408112        1.212      0.11276
23095        1   10235606   10451664    593      28  408112      0.76174      0.22311
5226         1   10423884   10490565    164      32  408112       1.3942     0.081629
378708       1   10454944   10520239    119      34  408112       2.0849     0.018539
100526739    1   10455159   10522060    121      35  408112       2.1704     0.014989
1325         1   10474776   10522060     76      25  408112       1.5478     0.060831
5195         1   10500003   10700815    324      44  408112      0.87729      0.19016
1676         1   10510588   10567613     95      21  408112       1.5661     0.058663
54897        1   10686661   10891733    368      91  408112       4.6562   1.6105e-06
148345       1   10996530   11077094    159      28  408112       1.3415     0.089874
23435        1   11037462   11095549     95      19  408112       1.2977     0.097188
10747        1   11076580   11142296    135      15  408112       1.3788     0.083978
6723         1   11104649   11155091     92       7  408112       1.5213     0.064091
