GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112      0.52071      0.30129
339451       1     860967     911099    127      32  408112     -0.25288      0.59982
84069        1     866872     920488    122      34  408112     -0.67392      0.74982
26155        1     869583     929679    122      35  408112     -0.60792      0.72838
84808        1     900579     952473    130      35  408112      0.31002      0.37827
9636         1     913847     959920    124      32  408112      0.63866      0.26152
375790       1     920503    1001499    223      50  408112      0.38013      0.35192
57801        1     924342     971608    126      33  408112      0.73114      0.23235
401934       1     997126    1044687    101      18  408112       0.1413      0.44382
54991        1    1007198    1086736    204      29  408112       -0.428      0.66567
254173       1    1074286    1143315    216      34  408112      0.81829       0.2066
8784         1    1128888    1177163    177      18  408112      0.76183      0.22308
126792       1    1132629    1180421    170      17  408112      0.58748      0.27844
7293         1    1136706    1184703    176      17  408112      0.48063      0.31539
51150        1    1142288    1202447    203      20  408112      0.38296      0.35087
388581       1    1167826    1217102    136      25  408112      0.63966       0.2612
118424       1    1179292    1244234    177      37  408112      0.83966      0.20055
6339         1    1180816    1237409    154      32  408112      0.70239      0.24122
126789       1    1208962    1257057    125      31  408112       1.1066      0.13423
116983       1    1217764    1278304    145      35  408112       1.1589      0.12325
80772        1    1225136    1274276    119      31  408112       1.1219      0.13096
83756        1    1231726    1279844    108      27  408112       1.0601      0.14455
54973        1    1236965    1295067    113      27  408112       1.0483      0.14725
1855         1    1260658    1319509    108      25  408112         1.07      0.14231
54587        1    1278071    1332183     84      21  408112       1.2653      0.10289
54998        1    1299110    1345818     84      18  408112        1.811     0.035073
81669        1    1311091    1369718    124      17  408112       1.9445     0.025919
643965       1    1326508    1373167    101      14  408112       1.9453     0.025872
55052        1    1327276    1377693    103      15  408112       1.9955     0.022996
64856        1    1335903    1388262     97      13  408112       1.9795     0.023877
219293       1    1343152    1415538     99      15  408112       1.8967     0.028931
441869       1    1343800    1391824     84      12  408112       1.9264     0.027026
83858        1    1372139    1454852     99      13  408112       1.8744     0.030441
55210        1    1412523    1480067    115      14  408112         1.75     0.040059
339453       1    1460158    1510740     81      14  408112       1.9157     0.027699
29101        1    1467053    1545262     81      17  408112        2.215      0.01338
142678       1    1515795    1575990     44       8  408112       1.2722      0.10165
643988       1    1523388    1570476     38       7  408112       1.1619      0.12263
8510         1    1532060    1580030     37       7  408112       1.2896     0.098587
984          1    1561100    1625473     47       8  408112       2.8663    0.0020766
728661       1    1581486    1659243     53      10  408112       2.8662    0.0020769
728642       1    1623822    1690999     37       8  408112       2.6892    0.0035813
9906         1    1646277    1712438     51      11  408112       3.0645    0.0010903
65220        1    1672671    1746508     76      16  408112       3.2155   0.00065104
2782         1    1706725    1857552    159      25  408112       3.1689   0.00076503
163688       1    1811266    1858733     70      11  408112       2.9566    0.0015552
339456       1    1839029    1885740     95      15  408112       2.0283     0.021266
85452        1    1843390    1970276    226      35  408112       2.4069    0.0080444
2563         1    1915768    1972192     72      15  408112       2.2093     0.013578
5590         1    1946909    2126834    356      64  408112       1.1899      0.11705
100506504    1    2103250    2150812     86      29  408112        2.225     0.013039
199990       1    2105899    2179159    126      38  408112       3.3669   0.00038007
6497         1    2125134    2251652    229      65  408112       4.4162   5.0234e-06
79906        1    2241719    2358190    320      60  408112       3.9472   3.9532e-05
11079        1    2288214    2346883    130      40  408112       3.4263   0.00030595
5192         1    2326241    2379010    118      46  408112       2.4651    0.0068489
9651         1    2372754    2446964    193      43  408112      0.67032      0.25133
55229        1    2429975    2493061    159      33  408112        1.025      0.15269
388585       1    2450184    2496684     99      24  408112      0.95628      0.16947
8764         1    2452291    2505268    118      28  408112      0.85196      0.19712
127281       1    2482899    2532908    117      26  408112      0.95039      0.17096
79258        1    2512078    2599499    193      30  408112      0.99866      0.15898
100287898    1    2562807    2741230    216      31  408112       1.8147     0.034782
140625       1    2903046    2949467    138      12  408112       3.7622   8.4226e-05
63976        1    2950565    3365185   1073     153  408112       8.5734   5.0223e-18
27237        1    3336147    3407677    173      33  408112       1.7897     0.036751
1953         1    3394506    3563059    419      83  408112       2.0939     0.018136
127262       1    3506556    3556695    134      35  408112       1.7332     0.041528
7161         1    3534129    3662765    257      56  408112       2.1959     0.014049
49856        1    3537331    3601671    136      33  408112       2.6141    0.0044726
148870       1    3633965    3698209    167      34  408112     -0.53774      0.70462
388588       1    3654352    3702546    147      28  408112     -0.58191      0.71969
57470        1    3686784    3748068    225      30  408112      0.51437       0.3035
9731         1    3718645    3808797    352      34  408112       1.7428      0.04068
1677         1    3738845    3811993    298      35  408112       1.8863     0.029625
339448       1    3795697    3851857    133      24  408112      0.75793      0.22425
55966        1    4680105    4853851    726     119  408112      -0.7334      0.76834
261734       1    5912870    6087618    538      38  408112     -0.61822      0.73179
8514         1    6017358    6171253    338      65  408112     -0.55442      0.71035
26038        1    6151847    6275194    248      51  408112      0.87692      0.19026
388591       1    6231189    6291359    118      25  408112       1.6392      0.05059
6146         1    6235080    6294679    111      24  408112       1.4258     0.076968
390992       1    6269252    6315638     87      18  408112       1.2011      0.11485
23463        1    6271253    6331044    110      21  408112      0.86254       0.1942
387509       1    6297406    6356035    108      24  408112       2.0808     0.018727
11332        1    6314332    6488826    517      30  408112      0.66575      0.25279
83715        1    6449836    6531004    210      25  408112      0.31543      0.37622
54626        1    6465292    6519724    140      19  408112      0.13697      0.44553
8718         1    6510787    6562432    102      22  408112     0.065967       0.4737
57449        1    6516152    6615121    214      41  408112       0.1012       0.4597
79707        1    6571407    6649658    175      29  408112      0.47068      0.31894
80835        1    6579987    6649817    155      26  408112       0.2771      0.39085
3104         1    6605051    6659340    126      34  408112      0.83981      0.20051
148479       1    6638756    6694093    103      34  408112       1.9037     0.028476
9903         1    6640784    6697958    111      36  408112       2.0558     0.019901
90326        1    6649925    6705646    114      36  408112       2.2361     0.012671
55735        1    6684228    6796966    219      46  408112       2.4442    0.0072586
23261        1    6810384    7839766   2131     216  408112       1.6266     0.051912
9341         1    7796329    7851492     95      26  408112      0.79059      0.21459
8863         1    7809413    7915241    253      35  408112      0.62388      0.26635
10911        1    7897672    7948551    165      32  408112      0.66068      0.25441
3604         1    7965931    8038225    110      34  408112       2.4873     0.006435
11315        1    7986714    8055342    109      33  408112       2.5292    0.0057168
54206        1    8061779    8121393    101      21  408112       2.5755    0.0050044
50651        1    8343171    8414227    140      35  408112     -0.52501      0.70021
473          1    8402464    8912699    703      50  408112       1.7476     0.040267
2023         1    8911059    8974151    105      30  408112       1.1982      0.11542
765          1    8970893    9045151    185      53  408112       1.3322     0.091405
155184       1    9053359    9121404    150      40  408112      0.65817      0.25521
6518         1    9087005    9166763    219      38  408112       1.8744     0.030439
80045        1    9153472    9224229    140      38  408112       2.5479    0.0054181
