GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    103      19  260279      0.46457      0.32112
339451       1     860967     911099     66      21  260279     0.027965      0.48884
84069        1     866872     920488     65      22  260279     -0.14282      0.55678
26155        1     869583     929679     67      22  260279     -0.32112      0.62594
84808        1     900579     952473     61      15  260279      0.40763      0.34177
9636         1     913847     959920     56      13  260279      0.47222      0.31838
375790       1     920503    1001499     85      21  260279        0.772      0.22006
57801        1     924342     971608     49      11  260279      0.96866      0.16636
401934       1     997126    1044687     72      13  260279      0.27539      0.39151
54991        1    1007198    1086736    157      22  260279     0.050004      0.48006
254173       1    1074286    1143315    187      30  260279       0.7351      0.23114
8784         1    1128888    1177163    137      12  260279       1.5391     0.061884
126792       1    1132629    1180421    135      11  260279       1.5041     0.066279
7293         1    1136706    1184703    134      11  260279       1.4963     0.067291
51150        1    1142288    1202447    159      14  260279       1.5574     0.059685
388581       1    1167826    1217102     97      17  260279       1.2959     0.097501
118424       1    1179292    1244234    114      22  260279       1.2672      0.10254
6339         1    1180816    1237409     96      18  260279       1.2429      0.10696
126789       1    1208962    1257057     67      15  260279       1.2524      0.10521
116983       1    1217764    1278304     77      17  260279        1.468     0.071051
80772        1    1225136    1274276     64      16  260279       1.4397     0.074969
83756        1    1231726    1279844     56      13  260279        1.538     0.062029
54973        1    1236965    1295067     59      13  260279       1.5507     0.060486
1855         1    1260658    1319509     64      14  260279        1.284     0.099566
54587        1    1278071    1332183     49      13  260279       1.0905      0.13776
54998        1    1299110    1345818     52      11  260279      0.42996      0.33361
81669        1    1311091    1369718     86      11  260279     -0.33154      0.62988
643965       1    1326508    1373167     71       9  260279     -0.71691      0.76329
55052        1    1327276    1377693     75      10  260279     -0.68743       0.7541
64856        1    1335903    1388262     85      13  260279     -0.52539      0.70034
219293       1    1343152    1415538     98      19  260279     -0.44342      0.67127
441869       1    1343800    1391824     75      12  260279     -0.56424       0.7137
83858        1    1372139    1454852     91      24  260279    -0.084617      0.53372
55210        1    1412523    1480067     84      19  260279     -0.48545      0.68632
339453       1    1460158    1510740     71      14  260279     -0.70352      0.75913
29101        1    1467053    1545262    122      20  260279     -0.17521      0.56954
142678       1    1515795    1575990     72      15  260279    -0.094758      0.53775
643988       1    1523388    1570476     56      12  260279    -0.067313      0.52683
8510         1    1532060    1580030     43      10  260279     0.094719      0.46227
984          1    1561100    1625473     29      11  260279       1.4991     0.066918
728661       1    1581486    1659243     34      12  260279       1.6145     0.053205
728642       1    1623822    1690999     33       9  260279      0.24243      0.40422
9906         1    1646277    1712438     48      11  260279     -0.83325      0.79765
65220        1    1672671    1746508     62      12  260279     -0.60956      0.72892
2782         1    1706725    1857552    128      19  260279     -0.21689      0.58585
163688       1    1811266    1858733     56       9  260279       -0.383      0.64914
339456       1    1839029    1885740     74      10  260279      -0.9636      0.83238
85452        1    1843390    1970276    207      35  260279      -1.2622      0.89656
2563         1    1915768    1972192     86      21  260279     -0.15514      0.56164
5590         1    1946909    2126834    239      49  260279       1.4118     0.078998
100506504    1    2103250    2150812     60      16  260279     -0.18995      0.57533
199990       1    2105899    2179159     90      24  260279    -0.068928      0.52748
6497         1    2125134    2251652    164      41  260279     -0.81779      0.79326
79906        1    2241719    2358190    231      56  260279     -0.59877      0.72534
11079        1    2288214    2346883     91      27  260279      0.33568      0.36856
5192         1    2326241    2379010     93      34  260279      -0.4618      0.67789
9651         1    2372754    2446964    123      28  260279     -0.51095      0.69531
55229        1    2429975    2493061     67      12  260279     -0.99416      0.83993
388585       1    2450184    2496684     47      10  260279      -1.0313       0.8488
8764         1    2452291    2505268     55      12  260279     -0.80984      0.79098
127281       1    2482899    2532908     57      10  260279      -0.9402      0.82644
79258        1    2512078    2599499    110      13  260279      -1.5881      0.94387
100287898    1    2562807    2741230    105      13  260279       -1.514      0.93499
140625       1    2903046    2949467    115       9  260279      0.12427      0.45055
63976        1    2950565    3365185    900     151  260279      0.35133      0.36267
27237        1    3336147    3407677    148      27  260279     -0.85741      0.80439
1953         1    3394506    3563059    354      70  260279      -2.1708      0.98503
127262       1    3506556    3556695     96      26  260279     -0.43862      0.66953
7161         1    3534129    3662765    213      54  260279     -0.27088      0.60676
49856        1    3537331    3601671     97      27  260279     -0.11718      0.54664
148870       1    3633965    3698209    153      30  260279     -0.36047      0.64075
388588       1    3654352    3702546    130      23  260279      -1.2882      0.90116
57470        1    3686784    3748068    187      23  260279      -2.1252      0.98322
9731         1    3718645    3808797    295      30  260279      -2.4265      0.99238
1677         1    3738845    3811993    254      29  260279      -2.3882      0.99154
339448       1    3795697    3851857    115      19  260279      -1.3103      0.90495
55966        1    4680105    4853851    491      85  260279     -0.12338       0.5491
261734       1    5912870    6087618    313      20  260279     -0.58001      0.71905
8514         1    6017358    6171253    241      48  260279      0.73764      0.23037
26038        1    6151847    6275194    199      39  260279      0.80511      0.21038
388591       1    6231189    6291359     78      16  260279      0.16357      0.43503
6146         1    6235080    6294679     77      16  260279     0.027728      0.48894
390992       1    6269252    6315638     59      12  260279      0.12601      0.44986
23463        1    6271253    6331044     81      17  260279     -0.13761      0.55473
387509       1    6297406    6356035     95      23  260279      -1.3995      0.91917
11332        1    6314332    6488826    387      25  260279      -1.8529      0.96805
83715        1    6449836    6531004    158      17  260279      -1.5793      0.94287
54626        1    6465292    6519724    105      12  260279      -1.4106      0.92081
8718         1    6510787    6562432     72      15  260279      -1.2405      0.89261
57449        1    6516152    6615121    127      22  260279      -2.2347      0.98728
79707        1    6571407    6649658     68       9  260279      -1.5062        0.934
80835        1    6579987    6649817     61       7  260279      -1.6693      0.95247
