GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961     41       7  212453      -1.0861      0.86128
339451       1     860967     911099     41       9  212453     -0.30371      0.61933
84069        1     866872     920488     42      12  212453      0.23756      0.40611
26155        1     869583     929679     46      14  212453      0.37338      0.35443
84808        1     900579     952473     54      14  212453      0.59194      0.27695
9636         1     913847     959920     45       9  212453      0.45731      0.32372
375790       1     920503    1001499     62      13  212453      0.51495      0.30329
57801        1     924342     971608     38       7  212453      0.57458      0.28279
401934       1     997126    1044687     39       5  212453    -0.031398      0.51252
54991        1    1007198    1086736     57       5  212453     0.034997      0.48604
254173       1    1074286    1143315     65       9  212453    -0.062511      0.52492
8784         1    1128888    1177163     99       8  212453      0.17401      0.43093
126792       1    1132629    1180421     96       7  212453      0.24793      0.40209
7293         1    1136706    1184703     95       7  212453       0.3099      0.37832
51150        1    1142288    1202447     97       6  212453      0.48687      0.31318
388581       1    1167826    1217102     37       6  212453      0.87054        0.192
118424       1    1179292    1244234     47      13  212453      0.89841      0.18448
6339         1    1180816    1237409     41      13  212453      0.83427      0.20206
126789       1    1208962    1257057     36      11  212453      0.70278       0.2411
116983       1    1217764    1278304     44      12  212453      0.35862      0.35994
80772        1    1225136    1274276     37      10  212453      0.17452      0.43073
83756        1    1231726    1279844     32      10  212453      0.27966      0.38987
54973        1    1236965    1295067     35      10  212453    -0.068923      0.52747
1855         1    1260658    1319509     46       9  212453     -0.16091      0.56392
54587        1    1278071    1332183     39       9  212453     0.039206      0.48436
54998        1    1299110    1345818     45       8  212453      0.95889      0.16881
81669        1    1311091    1369718     69       7  212453       1.3464      0.08908
643965       1    1326508    1373167     55       5  212453       1.3868     0.082758
55052        1    1327276    1377693     55       5  212453       1.3868     0.082758
64856        1    1335903    1388262     49       4  212453       1.3827     0.083374
219293       1    1343152    1415538     44       5  212453       1.3161     0.094076
441869       1    1343800    1391824     42       4  212453       1.3416     0.089864
83858        1    1372139    1454852      4       2  212453      -1.1868      0.88234
55210        1    1412523    1480067     21       3  212453      -3.3408      0.99958
339453       1    1460158    1510740     19       3  212453      -2.7216      0.99675
29101        1    1467053    1545262     16       4  212453     -0.91141      0.81896
142678       1    1515795    1575990     12       4  212453      0.62918      0.26462
643988       1    1523388    1570476      9       3  212453      0.58543      0.27913
8510         1    1532060    1580030      8       3  212453      0.62593      0.26568
984          1    1561100    1625473      9       4  212453      -2.5615      0.99479
728661       1    1581486    1659243      7       3  212453      -2.1223      0.98309
728642       1    1623822    1690999      4       1  212453       1.3517     0.088231
9906         1    1646277    1712438     14       3  212453       1.7647      0.03881
65220        1    1672671    1746508     28       5  212453        1.852     0.032014
2782         1    1706725    1857552     95      14  212453       1.6956      0.04498
163688       1    1811266    1858733     52       9  212453       1.6436     0.050134
339456       1    1839029    1885740     49       7  212453       1.1934      0.11635
85452        1    1843390    1970276    113      21  212453       1.5505     0.060513
2563         1    1915768    1972192     35      10  212453       2.1252     0.016786
5590         1    1946909    2126834    219      27  212453     -0.40448      0.65707
100506504    1    2103250    2150812     45      10  212453      -0.4894      0.68772
199990       1    2105899    2179159     63      15  212453     -0.81003      0.79104
6497         1    2125134    2251652    121      32  212453       2.2339     0.012746
79906        1    2241719    2358190    206      51  212453       1.6389     0.050614
11079        1    2288214    2346883     81      28  212453      0.75065      0.22643
5192         1    2326241    2379010     62      26  212453      -1.0782      0.85952
9651         1    2372754    2446964     57      14  212453     -0.93518      0.82515
55229        1    2429975    2493061     46       8  212453    -0.026461      0.51056
388585       1    2450184    2496684     29       9  212453      0.47054      0.31898
8764         1    2452291    2505268     40      10  212453      0.39245      0.34736
127281       1    2482899    2532908     59       9  212453     -0.19694      0.57806
79258        1    2512078    2599499     83       8  212453      -0.3744      0.64595
100287898    1    2562807    2741230     52       8  212453      0.23096      0.40867
140625       1    2903046    2949467    113      10  212453       3.6278    0.0001429
63976        1    2950565    3365185    593     100  212453       4.6874   1.3838e-06
27237        1    3336147    3407677     83      15  212453       1.2481        0.106
1953         1    3394506    3563059    232      49  212453      -1.2903      0.90153
127262       1    3506556    3556695     48      14  212453     -0.52461      0.70007
7161         1    3534129    3662765    125      31  212453      -1.1398      0.87281
49856        1    3537331    3601671     47      14  212453      0.20989      0.41688
148870       1    3633965    3698209    104      16  212453      0.31426      0.37666
388588       1    3654352    3702546     91      13  212453      0.98805      0.16156
57470        1    3686784    3748068    133      10  212453       1.4445     0.074304
9731         1    3718645    3808797    197      21  212453      0.79188      0.21422
1677         1    3738845    3811993    170      22  212453       0.5813      0.28052
339448       1    3795697    3851857     76      16  212453      -2.2355      0.98731
55966        1    4680105    4853851    441      76  212453       1.9446     0.025914
261734       1    5912870    6087618    278      21  212453     0.070885      0.47174
8514         1    6017358    6171253    169      38  212453      -1.5416      0.93841
26038        1    6151847    6275194    183      34  212453     -0.46382      0.67861
388591       1    6231189    6291359     81      16  212453      0.93318      0.17536
6146         1    6235080    6294679     73      15  212453       1.0989       0.1359
390992       1    6269252    6315638     50       9  212453       1.5046     0.066219
23463        1    6271253    6331044     69      11  212453        1.306     0.095782
387509       1    6297406    6356035     71      13  212453       1.7182     0.042879
11332        1    6314332    6488826    329      17  212453       1.4808     0.069334
83715        1    6449836    6531004    100      11  212453      0.97723      0.16423
54626        1    6465292    6519724     64       8  212453       1.0986      0.13598
8718         1    6510787    6562432     49      10  212453       1.8743     0.030442
57449        1    6516152    6615121    121      23  212453       1.1104      0.13342
79707        1    6571407    6649658    141      15  212453      0.13813      0.44507
80835        1    6579987    6649817    135      14  212453      0.17248      0.43153
3104         1    6605051    6659340    106      13  212453      0.55103      0.29081
148479       1    6638756    6694093     55      15  212453      0.72404      0.23452
9903         1    6640784    6697958     54      15  212453      0.60766      0.27171
90326        1    6649925    6705646     53      14  212453      0.66039       0.2545
55735        1    6684228    6796966    105      19  212453      0.82597      0.20441
23261        1    6810384    7839766   1595     209  212453       1.6996     0.044599
9341         1    7796329    7851492     84      25  212453      -0.3025      0.61886
8863         1    7809413    7915241    204      37  212453     -0.19599      0.57769
10911        1    7897672    7948551    145      32  212453      0.99999      0.15866
3604         1    7965931    8038225     52      12  212453      0.92631      0.17714
11315        1    7986714    8055342     45      12  212453      0.78913      0.21502
54206        1    8061779    8121393     43       8  212453      0.77982      0.21775
50651        1    8343171    8414227     59      14  212453       1.2467      0.10625
473          1    8402464    8912699    267      22  212453        1.113      0.13286
2023         1    8911059    8974151     53      13  212453      -1.0557      0.85445
765          1    8970893    9045151    111      38  212453      -0.3757      0.64643
155184       1    9053359    9121404    143      39  212453       1.4578     0.072449
6518         1    9087005    9166763    182      32  212453       1.6366     0.050858
80045        1    9153472    9224229     93      21  212453       1.8771     0.030252
9563         1    9259822    9341396    122      25  212453       2.1194      0.01703
80176        1    9300202    9439591    196      55  212453       2.1245     0.016816
84275        1    9564528    9652831    113      18  212453     -0.45424      0.67517
199953       1    9613932    9684935     81      16  212453      0.19598      0.42231
5293         1    9676789    9799172    208      34  212453     0.096472      0.46157
22883        1    9779079    9919550    247      15  212453      0.47413       0.3177
56998        1    9898334   10005316     94      18  212453     -0.72098      0.76454
64802        1    9968486   10055556     69      16  212453      0.94656      0.17193
84328        1    9972168   10038460     55      14  212453       1.1091      0.13368
116362       1   10022255   10086078     39      13  212453       1.1274      0.12978
10277        1   10058041   10251297    143      34  212453       2.1349     0.016384
23095        1   10235606   10451664    230      20  212453       1.8973     0.028893
5226         1   10423884   10490565     90      15  212453        1.529     0.063135
378708       1   10454944   10520239     80      22  212453       1.0041      0.15767
100526739    1   10455159   10522060     83      23  212453      0.96248       0.1679
1325         1   10474776   10522060     63      21  212453     -0.23332      0.59224
5195         1   10500003   10700815    241      40  212453     -0.32409      0.62706
1676         1   10510588   10567613     64      14  212453      -1.0768      0.85923
54897        1   10686661   10891733    240      65  212453      0.75214      0.22598
148345       1   10996530   11077094    105      23  212453       0.2334      0.40773
23435        1   11037462   11095549     65      13  212453       1.3024     0.096392
10747        1   11076580   11142296    102      11  212453       1.7392     0.040997
6723         1   11104649   11155091     90       7  212453        1.608     0.053913
5394         1   11116675   11194961    144      10  212453       1.3042     0.096087
2475         1   11156588   11357614    285      10  212453       1.0045      0.15756
10218        1   11214346   11266038     90       6  212453       0.9738      0.16508
29914        1   11298255   11358491     63       9  212453       1.0655      0.14332
57540        1   11504295   11607640    173      35  212453      0.84609      0.19875
93611        1   11679432   11733384     82      24  212453     -0.59195      0.72306
26270        1   11689150   11744411     90      26  212453    -0.042807      0.51707
26232        1   11697924   11749888     73      22  212453      0.33244      0.36978
374946       1   11716781   11790336    114      33  212453     0.006695      0.49733
10459        1   11724537   11786678     99      29  212453     -0.28086      0.61059
57085        1   11761142   11820828     74      21  212453      0.45241      0.32549
284498       1   11788827   11859642    124      20  212453     0.049884      0.48011
1185         1   11831153   11913201    215      14  212453      -0.4449      0.67181
4524         1   11835787   11901160    181      12  212453     -0.56079      0.71253
4878         1   11895766   11942840    115      23  212453      0.91041       0.1813
4879         1   11907521   11953992    105      20  212453      0.51471      0.30338
5351         1   11959724   12045599    164      23  212453      0.41328       0.3397
90231        1   11969645   12021485    106      17  212453      0.23114       0.4086
9927         1   12005238   12083572    143      17  212453      0.68919      0.24535
60672        1   12044299   12102106    122       8  212453     0.060953       0.4757
943          1   12088434   12214264    178      31  212453     0.048383      0.48071
7133         1   12192044   12279279    125      20  212453       2.1719      0.01493
55187        1   12255101   12582099    183      27  212453       1.5123     0.065234
9249         1   12617939   12712820    144      33  212453     -0.84393      0.80064
343066       1   12669566   12737097     78      20  212453     -0.14825      0.55893
126767       1   12741118   12798726     59      16  212453    -0.042668      0.51702
93190        1   12771163   12831102     54       7  212453      0.14332      0.44302
390999       1   12799984   12848049     34       4  212453     -0.19848      0.57867
65121        1   12816546   12866777     23       3  212453      -0.2358       0.5932
126755       1   13791445   13875242    145      36  212453      0.18481      0.42669
10630        1   13875252   13954452    165      48  212453      -2.2548      0.98793
7799         1   13991714   14161574    342      36  212453      -1.4943      0.93245
23254        1   14184646   15454544   2326     277  212453     -0.31358      0.62308
55092        1   15444028   15556974    215      27  212453    -0.048491      0.51934
727684       1   15480692   15533120     99      17  212453       0.5552      0.28938
114827       1   15538730   15734767    356      62  212453      0.32418       0.3729
79180        1   15701391   15766839     80      14  212453      0.65035      0.25773
11330        1   15729938   15783153     60      14  212453      0.68087      0.24798
63036        1   15748223   15808586     81      16  212453     -0.43708      0.66897
51032        1   15767596   15827895    110      15  212453     -0.26362      0.60396
842          1   15807896   15886407    128      13  212453     -0.12599      0.55013
23341        1   15818343   15908228    110      10  212453     -0.14313      0.55691
79814        1   15888194   15946605     99       7  212453    -0.092284      0.53676
84301        1   15908953   16005539    161       9  212453     0.032491      0.48704
6248         1   15951364   15998217     70       6  212453      0.15049      0.44019
23207        1   15975632   16071264    138      11  212453     -0.22251      0.58804
284723       1   16027721   16077884     81      10  212453     -0.57921      0.71878
388595       1   16033987   16084292     87      12  212453     -0.73265      0.76811
54751        1   16048107   16123089    105      16  212453      -1.5101      0.93449
440567       1   16123657   16169194    106       5  212453      0.25017      0.40123
23013        1   16139359   16276951    131      11  212453        0.755      0.22512
7709         1   16258364   16337627     96      13  212453      0.59011      0.27756
101928566    1   16267626   16333701     84      12  212453       0.6169      0.26865
149563       1   16295731   16343184     78      12  212453      0.16699      0.43369
1187         1   16313486   16370548    111      14  212453      0.11838      0.45288
27129        1   16330523   16381084    104      14  212453     -0.31003      0.62173
1188         1   16335231   16393821    102      14  212453     -0.41621      0.66137
348487       1   16374264   16435127     61      12  212453     0.010341      0.49587
1969         1   16440832   16517582     61      19  212453      0.73181      0.23214
128272       1   16514599   16574104     59       7  212453      0.52726      0.29901
101927546    1   16541343   16588528     40       5  212453      0.38687      0.34943
79363        1   16548182   16598659     47       5  212453      0.36311      0.35826
54455        1   16563339   16713965    101       5  212453       0.4787      0.31608
26099        1   16658525   16734643     48       4  212453      0.54552       0.2927
374955       1   16712101   16798919     52       9  212453     -0.34111      0.63349
55707        1   16732167   16796585     30       5  212453     -0.94159       0.8268
729574       1   16964498   17010007      1       1  212453      -1.2328      0.89118
9696         1   17213445   17309474     22       2  212453      -1.1313      0.87103
4237         1   17290997   17343081     23       4  212453      0.43821      0.33062
23400        1   17302453   17373467     55       7  212453      0.32484      0.37265
6390         1   17335217   17415665    104       8  212453     -0.05981      0.52385
11240        1   17383256   17480948    116      13  212453        -2.33       0.9901
29943        1   17496621   17582501    170      32  212453      0.60385      0.27297
51702        1   17540593   17620728    168      29  212453     -0.16869      0.56698
23569        1   17599690   17700495    160      21  212453      0.39317       0.3471
353238       1   17663741   17738195    140      16  212453     0.088232      0.46485
55920        1   17723251   17801250     89      16  212453     -0.13504      0.55371
55160        1   17811693   18034370    262      46  212453     -0.28737      0.61309
81569        1   18046808   18163558    187      38  212453     -0.49107      0.68831
84966        1   18399240   18714977    500     104  212453      -1.8395      0.96708
127707       1   18772424   18822540    103      23  212453      0.22697      0.41022
5081         1   18922500   19085360    258      48  212453     -0.26779      0.60557
80834        1   19156093   19221155    157      39  212453     0.034607       0.4862
8659         1   19187924   19264293    171      35  212453       1.3299     0.091769
126917       1   19220774   19317826    202      39  212453       1.3313     0.091545
23352        1   19391000   19571812    254      27  212453      0.97989      0.16357
23065        1   19532158   19613053    218      17  212453       1.4691     0.070897
51154        1   19543075   19596622    125      17  212453       1.1835       0.1183
22977        1   19599057   19650280    141      12  212453       1.5429     0.061431
54896        1   19603740   19668925    159      21  212453       1.2792      0.10041
8574         1   19619202   19673640    114      21  212453      0.39857      0.34511
832          1   19655267   19847066    420      40  212453      -0.2563      0.60114
440574       1   19888471   19966315    134      18  212453     -0.86657      0.80691
100532736    1   19888471   19994949    192      29  212453      -1.3258      0.90755
4681         1   19934723   19994949    107      23  212453      -1.6385      0.94934
3362         1   19956780   20016055    114      24  212453      -1.6047      0.94572
255104       1   19998706   20161424    245      54  212453     -0.72721      0.76645
54546        1   20130522   20176771     91      23  212453      0.33733      0.36793
23252        1   20173356   20249438    110      16  212453      0.15276      0.43929
30814        1   20236800   20285110     88      19  212453     0.093755      0.46265
5320         1   20291924   20341932     76      17  212453      0.94488      0.17236
5322         1   20351157   20428394    113      20  212453       3.4923   0.00023945
26279        1   20429143   20481059     63      24  212453       0.7161      0.23696
64600        1   20430823   20486879     62      24  212453      0.67078      0.25118
127733       1   20477578   20532540     41      11  212453     -0.18651      0.57398
391013       1   20480484   20536687     39      12  212453     -0.58672       0.7213
127731       1   20582412   20691662    155      27  212453      0.74203      0.22903
55450        1   20798884   20847728     54      12  212453      0.82387      0.20501
79594        1   20815941   20869674     64      11  212453       1.0403       0.1491
163933       1   20843932   20891513     83      19  212453    -0.057516      0.52293
978          1   20880444   20955401    184      31  212453     -0.27897      0.60986
65018        1   20924948   20988004    175      29  212453     0.050858      0.47972
1650         1   20968260   21023037    115      32  212453     -0.13612      0.55414
57576        1   20980475   21079317    147      47  212453       3.0465    0.0011577
400745       1   21036225   21094133     59      13  212453       3.6292   0.00014212
50809        1   21059170   21148808     67      13  212453       3.4208   0.00031214
8672         1   21122785   21538381    311      19  212453       3.7843   7.7071e-05
1889         1   21533740   21707034    141      29  212453       1.9567     0.025194
84224        1   21731583   21821393     83      13  212453    -0.063399      0.52528
249          1   21800475   21914905    164      35  212453    -0.090174      0.53593
5909         1   21912708   22031010    174      44  212453      0.90936      0.18158
84196        1   21994791   22144688    153      28  212453      0.21514      0.41483
401944       1   22103758   22161714     70      27  212453    -0.022617      0.50902
3339         1   22138737   22298750    252      56  212453      0.31109      0.37787
23436        1   22268418   22325847    159      26  212453     -0.47577      0.68288
10136        1   22293149   22349035    132      20  212453     -0.80466      0.78949
998          1   22344120   22429439    128      21  212453     -0.65367      0.74334
54361        1   22433798   22505474    130      35  212453      -0.1306      0.55195
9923         1   22743344   22867650    140      20  212453     -0.21291       0.5843
2046         1   22855004   22940087    186      32  212453      0.19523      0.42261
712          1   22928118   22976175    102      19  212453      0.59441      0.27612
714          1   22934969   22984603     95      20  212453        1.083      0.13941
713          1   22944682   22998130     93      19  212453       1.3316     0.091498
2048         1   23002263   23251823    332      71  212453       2.4717    0.0067241
646262       1   23269536   23334524     50      13  212453      -1.6746      0.95299
23028        1   23310937   23420184     42      11  212453      -1.4323      0.92397
729059       1   23327327   23377343     22       6  212453      -1.1097      0.86643
7798         1   23400516   23539301    120      11  212453     -0.91739      0.82053
3352         1   23508388   23556222     73       9  212453     -0.92323      0.82206
10236        1   23625953   23706143     56       9  212453     0.067008      0.47329
80818        1   23675941   23731357     60       9  212453      0.33869      0.36742
6920         1   23697555   23786269     69      10  212453       1.0378      0.14969
55616        1   23745056   23845750     72      12  212453       1.3834     0.083272
1870         1   23822920   23892712     42       9  212453       2.9449    0.0016152
3399         1   23874421   23921285     24       6  212453       2.0483     0.020263
6135         1   23983269   24032915     55       8  212453      0.90343      0.18315
6924         1   24034856   24098549     23       5  212453       1.1039      0.13481
57095        1   24069876   24124722      9       5  212453      0.86836       0.1926
11313        1   24082275   24132029      8       5  212453      0.87294      0.19135
2582         1   24112089   24162294     22       7  212453      -0.2835       0.6116
3155         1   24118367   24200110     62      11  212453       -1.188      0.88259
2517         1   24161567   24229859     91      12  212453     -0.98798      0.83842
1269         1   24187005   24320549     82      11  212453     -0.62034      0.73248
55629        1   24251301   24299952      2       1  212453      0.31758       0.3754
10772        1   24282935   24341953      2       1  212453      0.36736      0.35668
127294       1   24372531   24473665    125      29  212453       2.5702    0.0050827
58985        1   24436261   24504783     90      17  212453       1.0088      0.15654
163702       1   24470647   24548765    111      21  212453      0.60434      0.27281
57822        1   24610812   24700972     96      19  212453   -0.0018088      0.50072
90529        1   24673489   24776587    203      29  212453     -0.18395      0.57297
57185        1   24707245   24809473    180      28  212453     -0.35428      0.63844
11123        1   24793841   24873510     98      25  212453     -0.84382      0.80061
400746       1   24847567   24945819    208      36  212453      -1.6788      0.95341
10250        1   24934594   25009772     62      18  212453      -1.3355      0.90915
25932        1   25036760   25180815     83      23  212453      -1.1879      0.88257
864          1   25216002   25326648    127      37  212453      -3.1816      0.99927
25949        1   25538767   25594013      2       1  212453      0.76001      0.22362
57035        1   25558740   25609010      2       1  212453      0.12213       0.4514
6007         1   25563884   25666936     12       4  212453       0.5818      0.28035
23585        1   25629789   25698852     11       3  212453      0.73814      0.23021
6006         1   25677853   25782363     46       2  212453      0.96367      0.16761
55219        1   25722388   25836700     42       2  212453      0.93603      0.17463
26119        1   25835071   25905377     14       3  212453      0.10256      0.45916
57134        1   25908959   26121258    197      13  212453     -0.11705      0.54659
57190        1   26091667   26154713     61      11  212453      0.32194      0.37375
56181        1   26111397   26169433     59       9  212453      0.45714      0.32379
79000        1   26148414   26220939     80       8  212453      0.54783      0.29191
164091       1   26177975   26237461     53       5  212453      0.85626      0.19593
3925         1   26200670   26268368     57       8  212453      0.61465      0.26939
5051         1   26276258   26361366     73      13  212453      0.34351      0.36561
2134         1   26313266   26372955     48       9  212453      0.28607      0.38741
7780         1   26354513   26408439     54       9  212453     -0.63351       0.7368
84676        1   26367792   26429142     79       7  212453         -1.3       0.9032
149420       1   26402656   26462039     95       7  212453     -0.94796      0.82842
79927        1   26450511   26499119     58      11  212453     -0.75058      0.77355
51042        1   26461388   26507364     58      14  212453      0.64914      0.25812
10256        1   26468981   26526375     86      18  212453       0.9658      0.16707
378807       1   26482119   26539033     88      18  212453       1.0244      0.15283
64793        1   26525644   26615529    167      18  212453     -0.17799      0.57064
83442        1   26571213   26618013     77      13  212453    -0.038818      0.51548
91544        1   26598773   26679756    165      25  212453    -0.036441      0.51453
1043         1   26609411   26657014     91      16  212453      0.20487      0.41883
55057        1   26638350   26715621    156      27  212453     -0.57811      0.71841
257101       1   26678125   26736023     89      18  212453       0.1526      0.43936
79727        1   26702269   26766219     76      16  212453      0.88854      0.18712
79947        1   26723773   26807797     78      19  212453      0.86853      0.19255
3151         1   26763902   26813133     44      13  212453      0.69926      0.24219
6195         1   26821249   26911520    104      22  212453       1.2023      0.11462
8289         1   26987522   27118601    126      11  212453     -0.19555      0.57752
101928728    1   27008623   27057896     57       6  212453     -0.15642      0.56215
55650        1   27078739   27134894     55       9  212453     0.062993      0.47489
84243        1   27118201   27194092     74      10  212453      0.27681      0.39096
2810         1   27154633   27200947     51       8  212453      0.64778      0.25856
54707        1   27195872   27251869     52       7  212453      0.99054      0.16096
63906        1   27206979   27261962     43       6  212453      0.92985      0.17622
10726        1   27213187   27283362     43       7  212453       0.8386      0.20085
8431         1   27227975   27275567     29       6  212453      0.46711      0.32021
126695       1   27266047   27321901     11       3  212453     -0.34601      0.63533
388610       1   27285189   27337377     13       4  212453     -0.39616      0.65401
115572       1   27321511   27374333     25       6  212453       0.7225      0.23499
6548         1   27415300   27516621     99       5  212453     -0.45888      0.67684
23038        1   27526007   27645124     94      10  212453      -2.1976      0.98601
84065        1   27613636   27672891     47       9  212453      -1.5352      0.93764
84958        1   27633483   27690423     56      11  212453      -1.7727      0.96186
9064         1   27671670   27728558     45      15  212453       2.1064     0.017583
2827         1   27684148   27732318     30      10  212453        2.683    0.0036483
8547         1   27685601   27736315     33      12  212453       2.6949    0.0035208
388611       1   27695596   27744823     37      10  212453       2.8296    0.0023303
10163        1   27720734   27851678     86       9  212453       2.8745    0.0020231
27245        1   27850756   27965463     35      18  212453       2.4161    0.0078435
2268         1   27928800   27996727     36       5  212453       2.1442     0.016008
2537         1   27982572   28033724     33       5  212453       1.3414     0.089891
199870       1   28017490   28099426     67       3  212453       1.5674     0.058506
23673        1   28064694   28160963     59       4  212453       1.7356     0.041318
5511         1   28122252   28188183     38       4  212453       1.8244     0.034044
9473         1   28164055   28223196     61      10  212453       1.2223      0.11079
6118         1   28208035   28276255     97      11  212453      -0.1206        0.548
27293        1   28226456   28295663     94      12  212453     -0.23574      0.59318
55113        1   28251504   28304604     71      10  212453    -0.023029      0.50919
2140         1   28286855   28450173    110      20  212453      0.26504      0.39549
5724         1   28463677   28555447     64      10  212453      -1.2683      0.89765
22826        1   28516789   28594542     82       5  212453     -0.20934      0.58291
93974        1   28527602   28574616     52       4  212453      -0.4813      0.68485
83667        1   28550963   28619002     61       5  212453       -0.051      0.52034
54797        1   28620513   28672478     34       9  212453       1.4447     0.074266
65979        1   28661093   28836881    185       7  212453      0.45613      0.32415
1104         1   28797455   28875708     35       5  212453      0.49331       0.3109
54952        1   28844529   28915057     33       3  212453       0.6513      0.25743
115273       1   28883712   28931098     23       3  212453       0.1313      0.44777
6883         1   28919608   29010416     49       7  212453     -0.21536      0.58526
10691        1   28960234   29052115     36       8  212453      0.43699      0.33106
51441        1   29028133   29106287     30       6  212453       1.4859     0.068651
4985         1   29103654   29200208     85      16  212453       1.7299     0.041822
2035         1   29178603   29456558    170      24  212453      0.55393      0.28981
399474       1   29435937   29485421     51      12  212453       0.6195      0.26779
6429         1   29464250   29543637     68      12  212453      0.76933      0.22085
51102        1   29509385   29592460     70      11  212453      0.69643      0.24308
10076        1   29528028   29663325    137      27  212453      0.33527      0.36871
4146         1   31174124   31231432    105      18  212453   -0.0097016      0.50387
7805         1   31195315   31265683    101      27  212453      0.65961      0.25475
9672         1   31332313   31416480    141      28  212453    -0.057346      0.52287
9698         1   31394353   31573838    224      24  212453     -0.89958      0.81583
79570        1   31642592   31747734    274      22  212453       1.0154      0.15496
9410         1   31722415   31804644    146      17  212453     -0.42773      0.66558
51538        1   31734832   31848569    189      20  212453      -0.6423      0.73966
2170         1   31828100   31880923    116      12  212453     -0.84138      0.79993
347735       1   31847412   31917527    175      16  212453      -0.6124      0.72986
64129        1   32007086   32063290     87      25  212453      0.28994      0.38593
3061         1   32048290   32103214     56      13  212453      0.74511       0.2281
553115       1   32085463   32145838     86      21  212453      0.54909      0.29147
1307         1   32107848   32204768    185      37  212453      0.36552      0.35736
576          1   32182718   32265494    150      18  212453     -0.32782      0.62848
90853        1   32246023   32316630    109      20  212453      -0.1447      0.55753
8073         1   32362022   32438988     39      14  212453     -0.94027      0.82646
10657        1   32444295   32536460     57       8  212453      0.65018      0.25779
55116        1   32503503   32578467     38      12  212453      0.73851       0.2301
23633        1   32538644   32652169     80      10  212453      0.80938      0.20915
200081       1   32610293   32673886     45       8  212453       0.8175      0.20682
79140        1   32631202   32680991     35       9  212453       1.0913      0.13756
55721        1   32636236   32684288     32       8  212453       1.0713      0.14203
149069       1   32639695   32691797     37       6  212453       1.0934       0.1371
8668         1   32652971   32707205     47       6  212453      0.93056      0.17604
56063        1   32670040   32722954     48       6  212453       1.0234      0.15306
84734        1   32677818   32724461     41       5  212453      0.92303        0.178
3932         1   32681840   32761766     48       6  212453      0.91377      0.18042
3065         1   32722708   32809227     20      13  212453       0.2896      0.38606
81629        1   32783365   32840098      5       3  212453     -0.23248      0.59192
65108        1   32789430   32836840      3       2  212453    -0.095921      0.53821
100128071    1   32816871   32862844      4       2  212453       1.6435     0.050143
55108        1   32820704   32895062      8       5  212453       1.5203     0.064217
728116       1   32895658   32963460     84       5  212453     -0.92522      0.82257
653121       1   32969772   33081542    207      14  212453      0.30819      0.37897
339487       1   33076421   33151565    100       8  212453      0.40573      0.34247
5928         1   33081749   33161812    102       7  212453      0.34711      0.36425
81493        1   33135507   33203361     84      10  212453      0.39978      0.34466
57648        1   33172492   33250571     67      13  212453     -0.42904      0.66605
8565         1   33230840   33318633     57      10  212453     -0.81296      0.79188
64766        1   33247368   33334480     57      10  212453     -0.94189      0.82687
3208         1   33316688   33370247     36      16  212453     -0.59047      0.72256
252995       1   33317869   33373093     35      15  212453     -0.55865       0.7118
113452       1   33350196   33402041     33      12  212453      0.63595       0.2624
127544       1   33392050   33465467     63      14  212453        1.293     0.098002
204          1   33463541   33537512     60       9  212453       1.0598      0.14462
113451       1   33511711   33596132    102       9  212453      0.75315      0.22568
55223        1   33601000   33682671    131      22  212453       1.7439     0.040586
149076       1   33686908   33776321    149      32  212453   -0.0022601       0.5009
