GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
54991        1    1007198    1086736      1       1  197174     -0.48793       0.6872
254173       1    1074286    1143315      5       2  197174     -0.19918      0.57894
118424       1    1179292    1244234      2       1  197174     -0.65614      0.74413
126789       1    1208962    1257057      2       1  197174     -0.65614      0.74413
116983       1    1217764    1278304      2       1  197174     -0.65614      0.74413
80772        1    1225136    1274276      2       1  197174     -0.65614      0.74413
83756        1    1231726    1279844      2       1  197174     -0.65614      0.74413
54973        1    1236965    1295067      2       1  197174     -0.65614      0.74413
1855         1    1260658    1319509      1       1  197174       1.1445       0.1262
54587        1    1278071    1332183      1       1  197174       1.1445       0.1262
54998        1    1299110    1345818      1       1  197174       1.1445       0.1262
81669        1    1311091    1369718      1       1  197174       1.1445       0.1262
9906         1    1646277    1712438      1       1  197174     -0.40238       0.6563
65220        1    1672671    1746508      2       1  197174     -0.40289      0.65649
2782         1    1706725    1857552     13       1  197174     -0.47786      0.68363
163688       1    1811266    1858733      3       1  197174     -0.44152      0.67058
339456       1    1839029    1885740      1       1  197174      0.29473       0.3841
79906        1    2241719    2358190      5       1  197174     -0.83307       0.7976
11079        1    2288214    2346883      5       1  197174     -0.83307       0.7976
5192         1    2326241    2379010      4       1  197174     -0.84269       0.8003
63976        1    2950565    3365185     11       4  197174      -1.0628      0.85607
27237        1    3336147    3407677      6       2  197174      -1.9189       0.9725
1953         1    3394506    3563059      6       2  197174     -0.81309      0.79192
127262       1    3506556    3556695      3       2  197174      -1.1013      0.86462
7161         1    3534129    3662765      3       1  197174      -1.2092       0.8867
49856        1    3537331    3601671      1       1  197174     -0.10447       0.5416
57470        1    3686784    3748068      2       1  197174      0.89555      0.18525
9731         1    3718645    3808797     11       1  197174      0.84861      0.19805
1677         1    3738845    3811993     11       1  197174      0.84861      0.19805
55966        1    4680105    4853851      6       2  197174     -0.68724      0.75403
261734       1    5912870    6087618      3       1  197174      -0.7561       0.7752
148479       1    6638756    6694093      1       1  197174      -2.9478       0.9984
9903         1    6640784    6697958      1       1  197174      -2.9478       0.9984
90326        1    6649925    6705646      2       1  197174      -1.3182      0.90628
55735        1    6684228    6796966      4       1  197174      -1.0204      0.84623
23261        1    6810384    7839766     48       6  197174      -1.0079      0.84324
8863         1    7809413    7915241      4       1  197174       1.3853     0.082982
10911        1    7897672    7948551      1       1  197174      -1.4452       0.9258
50651        1    8343171    8414227      1       1  197174       1.7295      0.04186
473          1    8402464    8912699      2       1  197174      -1.1806      0.88113
155184       1    9053359    9121404      1       1  197174       1.4123      0.07893
80045        1    9153472    9224229      2       1  197174       1.3002     0.096758
80176        1    9300202    9439591      3       1  197174       0.0564      0.47751
22883        1    9779079    9919550      5       1  197174     -0.06681      0.52663
64802        1    9968486   10055556      2       1  197174       2.1399      0.01618
84328        1    9972168   10038460      2       1  197174       2.1399      0.01618
116362       1   10022255   10086078      1       1  197174       2.0915      0.01824
378708       1   10454944   10520239      8       1  197174       2.0052     0.022471
100526739    1   10455159   10522060      8       1  197174       2.0052     0.022471
1325         1   10474776   10522060      8       1  197174       2.0052     0.022471
5195         1   10500003   10700815     14       2  197174       2.1408     0.016147
1676         1   10510588   10567613      5       1  197174       1.9589     0.025061
54897        1   10686661   10891733      3       1  197174     -0.77713      0.78146
148345       1   10996530   11077094      1       1  197174      0.68111       0.2479
23435        1   11037462   11095549      1       1  197174      0.68111       0.2479
2475         1   11156588   11357614      1       1  197174       1.0732       0.1416
29914        1   11298255   11358491      1       1  197174       1.0732       0.1416
93611        1   11679432   11733384      2       1  197174      0.28549      0.38763
26270        1   11689150   11744411      2       1  197174      0.28549      0.38763
284498       1   11788827   11859642      1       1  197174       1.5709     0.058101
1185         1   11831153   11913201      1       1  197174       1.5709     0.058101
4524         1   11835787   11901160      1       1  197174       1.5709     0.058101
943          1   12088434   12214264      1       1  197174      0.62923       0.2646
7133         1   12192044   12279279      1       1  197174      0.62923       0.2646
55187        1   12255101   12582099      7       1  197174     -0.89511      0.81464
9249         1   12617939   12712820      3       1  197174      -1.2802      0.89976
343066       1   12669566   12737097      4       2  197174      -2.0111      0.97784
126767       1   12741118   12798726      3       1  197174     -0.52073      0.69872
93190        1   12771163   12831102      1       1  197174      0.61372       0.2697
390999       1   12799984   12848049      1       1  197174      0.61372       0.2697
10630        1   13875252   13954452      1       1  197174      0.40103       0.3442
7799         1   13991714   14161574      1       1  197174      0.61978       0.2677
23254        1   14184646   15454544     61      15  197174       1.0064      0.15712
