GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      -1.5748      0.94235
105378580    1     768398     815130     22      11  3462878      0.91408      0.18034
148398       1     890741     954581     39      19  3462878    -0.050071      0.51997
339451       1     924952     975720     36      17  3462878     -0.26107      0.60298
84069        1     931497     985108     29      14  3462878      -1.3365       0.9093
26155        1     934203     994299     38      16  3462878     -0.87961      0.81046
84808        1     965199    1017117     35      12  3462878      0.73762      0.23037
9636         1     978467    1024540     32      11  3462878      0.72306      0.23482
375790       1     985101    1066119     72      24  3462878      0.81889      0.20642
57801        1     988962    1036285     34      13  3462878      0.51639      0.30279
105369174    1    1026207    1076390     47      17  3462878       0.6737      0.25025
105378948    1    1055635    1104326     19      14  3462878       1.7799     0.037542
401934       1    1061746    1109307     19      14  3462878       1.5496     0.060625
54991        1    1071818    1151356     52      29  3462878      0.78937      0.21495
254173       1    1138898    1207935     60      29  3462878     0.056029      0.47766
8784         1    1193508    1241709     45      13  3462878     -0.77166      0.77984
126792       1    1197249    1245041     43      13  3462878     0.039439      0.48427
7293         1    1201326    1249638     42      13  3462878      0.36823      0.35635
51150        1    1206908    1267067     53      15  3462878      0.33089      0.37036
388581       1    1232446    1282218     37      11  3462878      0.93993      0.17363
118424       1    1243912    1308854     59      20  3462878      0.93219      0.17562
6339         1    1245415    1302029     42      13  3462878      0.23039      0.40889
126789       1    1273571    1321677     44      23  3462878      0.59559      0.27573
116983       1    1282384    1342925     53      31  3462878      0.12385      0.45072
80772        1    1289756    1338896     43      27  3462878     0.010031        0.496
83756        1    1293999    1345320     43      27  3462878     0.032575      0.48701
54973        1    1301585    1359687     47      29  3462878    0.0082181      0.49672
1855         1    1325278    1384158     39      16  3462878      -1.1629      0.87757
54587        1    1342689    1398541     29      11  3462878     -0.26686      0.60521
54998        1    1363730    1410438     29      13  3462878        1.499     0.066942
81669        1    1375711    1434338     36      16  3462878       1.4388     0.075102
643965       1    1391128    1437787     27      13  3462878       1.8953     0.029024
55052        1    1391896    1442834     31      16  3462878       1.8713      0.03065
64856        1    1400523    1452882     35      19  3462878       1.7552     0.039615
219293       1    1406301    1480158     40      19  3462878      0.10129      0.45966
441869       1    1408420    1456820     30      18  3462878      0.58548      0.27911
83858        1    1436732    1519479     74      27  3462878     -0.78445      0.78361
55210        1    1477143    1544687     70      23  3462878     -0.66915       0.7483
339453       1    1524778    1575360     34      14  3462878     -0.25988      0.60252
29101        1    1531673    1609882     58      22  3462878     -0.95699      0.83071
142678       1    1579975    1640610     32      24  3462878     -0.82423      0.79509
643988       1    1588008    1635096     20      14  3462878     -0.94074      0.82658
8510         1    1597181    1644654     19      14  3462878     -0.85216      0.80294
984          1    1625226    1694839     22      15  3462878     -0.53863      0.70493
728661       1    1650025    1727804     34      10  3462878     -0.16653      0.56613
728642       1    1692730    1759352     35      11  3462878      0.58607      0.27891
9906         1    1714838    1780999     38      14  3462878       1.0654      0.14335
65220        1    1741232    1815514     21      15  3462878       2.4058    0.0080695
2782         1    1775285    1926117     51      26  3462878       1.9048     0.028402
105378949    1    1850960    1903010     17      10  3462878       1.6809     0.046395
163688       1    1878752    1927294     22      10  3462878       1.9128     0.027888
339456       1    1907589    1954301     20       6  3462878       1.5822     0.056806
85452        1    1911951    2038837     68      38  3462878       1.1795      0.11909
2563         1    1984329    2040753     37      26  3462878     -0.17911      0.57108
5590         1    2015470    2195395    118      51  3462878     -0.52012      0.69851
100506504    1    2171811    2219360     18      14  3462878       1.4454     0.074168
199990       1    2174460    2247720     37      25  3462878      0.54482      0.29294
6497         1    2193695    2320213     61      38  3462878      0.29161      0.38529
105378592    1    2198942    2250211     26      16  3462878       0.3836      0.35064
105378594    1    2245383    2294676     20      14  3462878      0.31503      0.37637
79906        1    2311253    2426751     74      50  3462878      -1.1745      0.87989
11079        1    2356314    2415444     32      20  3462878       -1.243      0.89307
9651         1    2380782    2515530     78      42  3462878     -0.87971      0.81049
5192         1    2394802    2448780     36      28  3462878       -1.796      0.96375
55229        1    2498531    2561628     35      17  3462878     -0.82316      0.79479
388585       1    2518745    2565245     26      12  3462878      -1.0659      0.85676
8764         1    2521365    2575622     34      17  3462878      -1.4645      0.92847
127281       1    2551460    2601469     38      19  3462878     -0.63045       0.7358
79258        1    2580639    2668042     27      16  3462878     0.011593      0.49538
100287898    1    2626988    2824665     53      13  3462878     -0.48313       0.6855
140625       1    2986482    3032903     44       8  3462878       0.4087      0.34138
63976        1    3033227    3448621    315     124  3462878      -1.0163      0.84526
27237        1    3419583    3491115     61      30  3462878      -1.0091      0.84353
1953         1    3477942    3659757    135      59  3462878      -1.1989      0.88472
127262       1    3589992    3640131     37      20  3462878       0.1219      0.45149
7161         1    3617565    3746201     85      51  3462878      0.15959       0.4366
49856        1    3620767    3685107     45      27  3462878      -1.3776      0.91584
148870       1    3717398    3781645     49      26  3462878      0.41545      0.33891
388588       1    3737761    3785982     46      21  3462878      0.83267      0.20252
57470        1    3770220    3831504     69      18  3462878     -0.16643      0.56609
9731         1    3802081    3892387     40      16  3462878       -1.945      0.97412
1677         1    3822143    3895429     23      10  3462878       -2.076      0.98105
261734       1    5852808    6027505     87      52  3462878     -0.46601       0.6794
8514         1    5957298    6111193     75      49  3462878      -1.2905      0.90157
26038        1    6091787    6215134     56      29  3462878      0.33444      0.36902
388591       1    6170775    6231299     33      12  3462878       1.2966     0.097383
6146         1    6175020    6234619     30      10  3462878       1.4154     0.078479
390992       1    6209158    6255578     23       8  3462878       2.2249     0.013043
23463        1    6211193    6270984     31      12  3462878       2.0027     0.022605
387509       1    6237346    6295990     33      20  3462878      0.86842      0.19258
11332        1    6254272    6428766    147      32  3462878      0.32496      0.37261
83715        1    6389776    6470944     62      14  3462878     -0.13535      0.55383
54626        1    6405232    6459664     43       9  3462878     -0.44695      0.67254
8718         1    6451151    6501195     30      12  3462878      0.44914      0.32667
57449        1    6456092    6555061     74      18  3462878     0.010688      0.49574
79707        1    6511347    6589598     49       8  3462878     0.010007      0.49601
80835        1    6520278    6589757     43       7  3462878     -0.11725      0.54667
3104         1    6544991    6599280     27      10  3462878     -0.93145      0.82419
148479       1    6578696    6634033     22      17  3462878      0.23203      0.40826
9903         1    6580724    6637898     24      18  3462878     0.030607      0.48779
90326        1    6589865    6645586     26      17  3462878      0.52034      0.30141
55735        1    6624168    6736906     37      23  3462878      0.47958      0.31576
23261        1    6750324    7779706    525     200  3462878      0.79324      0.21382
9341         1    7736269    7791432     30      20  3462878      0.55095      0.29084
8863         1    7749380    7855181     56      28  3462878       1.6062     0.054114
10911        1    7837612    7948610     67      24  3462878      0.43776      0.33078
3604         1    7905871    7978165     33      17  3462878      -1.1061      0.86565
11315        1    7926654    7995283     25      14  3462878      -1.0651      0.85658
54206        1    8001719    8061333     14      10  3462878      0.93212      0.17564
50651        1    8283085    8354167     30      19  3462878       -1.471      0.92935
473          1    8342404    8852691    143      88  3462878       1.1026       0.1351
2023         1    8851000    8914092     29       9  3462878        1.283     0.099745
765          1    8910785    8985092     53      26  3462878       1.4085     0.079493
155184       1    8950853    9061384     69      40  3462878       1.2194      0.11134
6518         1    9026943    9106704     61      22  3462878       0.9574      0.16918
80045        1    9093391    9164170     48      28  3462878      0.91297      0.18063
9563         1    9199776    9281337     42      26  3462878       1.8776     0.030217
80176        1    9257882    9379532     97      51  3462878     -0.32034      0.62564
84275        1    9504469    9592773     51      18  3462878     -0.57478      0.71728
199953       1    9553853    9624877     36      14  3462878      -1.3186      0.90635
5293         1    9594889    9739114     94      34  3462878      -1.3459      0.91082
22883        1    9719021    9859526    107      21  3462878     -0.29707      0.61679
56998        1    9838276    9945258     50      26  3462878      -1.2315      0.89094
64802        1    9907923    9995501     38      15  3462878     -0.77176      0.77987
84328        1    9912110    9978402     31      13  3462878       -0.702      0.75866
116362       1    9962197   10026020     32       8  3462878      -1.6961      0.95506
105376719    1    9986423   10033089     24      10  3462878      -1.1508      0.87509
10277        1    9997983   10191239    139      29  3462878       -1.667      0.95224
23095        1   10175706   10391603    140      18  3462878      -1.6792      0.95344
5226         1   10363992   10430511     22       9  3462878      -2.1449      0.98402
378708       1   10395102   10452815     21      11  3462878      -1.0251      0.84735
100526739    1   10395102   10462003     27      14  3462878     -0.94013      0.82642
1325         1   10414719   10462003     19      10  3462878     -0.59775        0.725
5195         1   10439946   10640758     84      44  3462878      -1.3736      0.91521
1676         1   10450531   10507556     23      14  3462878     -0.87342      0.80878
54897        1   10626604   10831676    131      71  3462878     -0.80095      0.78842
148345       1   10936473   11017037     38      22  3462878     -0.20481      0.58114
23435        1   10977622   11035492     27      16  3462878     -0.68006      0.75177
10747        1   11016523   11082239     41       9  3462878      -1.4731      0.92964
6723         1   11044592   11095034     33       6  3462878     -0.66577      0.74722
5394         1   11056613   11134910     53       7  3462878      -1.0493      0.85298
2475         1   11096531   11297557    111      18  3462878      -1.2028      0.88547
10218        1   11154289   11205981     33       9  3462878     -0.65706      0.74443
29914        1   11238198   11306595     32      10  3462878     0.053406       0.4787
57540        1   11444238   11547583     45      30  3462878       1.1545      0.12414
93611        1   11619375   11673327     35      18  3462878       1.2654      0.10286
26270        1   11629093   11684354     35      20  3462878       1.0932      0.13715
26232        1   11638361   11689831     31      18  3462878      0.83817      0.20097
374946       1   11651647   11730612     48      31  3462878      0.24131      0.40466
10459        1   11664480   11726788     39      27  3462878      0.24878      0.40177
57085        1   11700474   11760771     29      21  3462878      0.70638      0.23998
284498       1   11727183   11799585     27      20  3462878     -0.51485      0.69667
1185         1   11771096   11853144     53      16  3462878     -0.39025      0.65182
4524         1   11775730   11841103     40      13  3462878     -0.97613       0.8355
4878         1   11835709   11882783     46      19  3462878     -0.20943      0.58294
4879         1   11847464   11893935     32      15  3462878      0.15551      0.43821
5351         1   11899667   11985542     59      22  3462878     -0.76016      0.77642
90231        1   11909588   11961428     35      13  3462878      -1.8555      0.96824
9927         1   11945181   12023515     41      17  3462878     -0.25259      0.59971
60672        1   11984242   12042049     24      11  3462878     -0.73792      0.76972
943          1   12028330   12154207     65      32  3462878      -2.0052      0.97753
