GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
55229        1    2429975    2493061      2       1  2229      0.52768      0.29886
388585       1    2450184    2496684      2       1  2229      0.52768      0.29886
8764         1    2452291    2505268      2       1  2229      0.52768      0.29886
127281       1    2482899    2532908      1       1  2229      0.41137       0.3404
79258        1    2512078    2599499      2       1  2229       1.5158     0.064779
100287898    1    2562807    2741230      3       2  2229       1.2889     0.098709
23261        1    6810384    7839766     15       3  2229     -0.11928      0.54747
9341         1    7796329    7851492      1       1  2229       1.8268     0.033864
8863         1    7809413    7915241     22       3  2229       2.3254     0.010026
10911        1    7897672    7948551      7       2  2229       1.7564     0.039511
3604         1    7965931    8038225      5       3  2229      0.38841      0.34886
11315        1    7986714    8055342      5       3  2229    0.0034889      0.49861
54206        1    8061779    8121393      1       1  2229      0.38966      0.34839
374946       1   11716781   11790336      1       1  2229     -0.67615      0.75053
57085        1   11761142   11820828      1       1  2229     -0.67615      0.75053
5351         1   11959724   12045599      1       1  2229     -0.29688      0.61672
90231        1   11969645   12021485      1       1  2229     -0.29688      0.61672
9927         1   12005238   12083572      1       1  2229     -0.72813      0.76673
60672        1   12044299   12102106      1       1  2229     -0.72813      0.76673
55092        1   15444028   15556974      1       1  2229      -1.3098      0.90486
114827       1   15538730   15734767      1       1  2229      -1.3098      0.90486
27129        1   16330523   16381084      1       1  2229     -0.13929      0.55539
1188         1   16335231   16393821      1       1  2229     -0.13929      0.55539
348487       1   16374264   16435127      1       1  2229     -0.13929      0.55539
51702        1   17540593   17620728      4       1  2229       1.3429     0.089654
23569        1   17599690   17700495     17       5  2229      0.92337      0.17791
353238       1   17663741   17738195      5       2  2229     -0.48156      0.68494
55160        1   17811693   18034370      2       1  2229       1.3138     0.094455
23352        1   19391000   19571812      1       1  2229      -1.6419       0.9497
54546        1   20130522   20176771      1       1  2229     -0.13389      0.55325
23252        1   20173356   20249438      4       2  2229       1.3202     0.093386
30814        1   20236800   20285110      1       1  2229      0.91416      0.18032
5909         1   21912708   22031010      1       1  2229     -0.10042      0.53999
864          1   25216002   25326648      5       3  2229       -0.425      0.66458
10076        1   29528028   29663325      1       1  2229      -2.2552      0.98794
9672         1   31332313   31416480      1       1  2229      0.73486      0.23121
79932        1   35889091   36058037      1       1  2229     -0.43523       0.6683
5453         1   38499523   38547450      1       1  2229      0.28341      0.38843
79647        1   39421916   39481737      1       1  2229     -0.72932       0.7671
4725         1   39456967   39510308      1       1  2229     -0.72932       0.7671
59269        1   41962036   42536596      1       1  2229      -1.6029      0.94552
57643        1   45472071   45707250      1       1  2229      0.72074      0.23553
2060         1   51809935   52020026      1       1  2229      -1.7357      0.95869
9372         1   52572678   52822358      1       1  2229      -0.6429      0.73986
255738       1   55470149   55540526      2       1  2229      0.65557      0.25605
23358        1   55522032   55716039      1       1  2229      -1.3709       0.9148
1600         1   57450453   58751211      1       1  2229      0.63755      0.26188
7398         1   62866975   62927475      1       1  2229       1.0469      0.14758
400757       1   67547859   67635654     10       2  2229     -0.56067      0.71249
149233       1   67569590   67735662     26       3  2229     -0.24937      0.59846
3595         1   67738047   67872583     14       5  2229      0.20459      0.41895
26135        1   67863493   67931123      2       1  2229      -0.5267       0.7008
79971        1   68554142   68733284      1       1  2229      0.51633      0.30281
6121         1   68884507   68950642      1       1  2229     -0.75085      0.77363
55635        1   68929835   68997799      1       1  2229     -0.75085      0.77363
5737         1   78921728   79016386      1       1  2229       1.9195     0.027458
64123        1   79345449   79507495      1       1  2229       1.0965      0.13642
23566        1   85269086   85393896      1       1  2229      -1.2373      0.89202
8915         1   85721459   85777604      2       1  2229      0.99363       0.1602
23576        1   85774168   86079046      1       1  2229       0.1185      0.45284
9653         1   87345335   87585681      4       1  2229      0.91546      0.17998
7049         1   92135900   92406559      1       1  2229    -0.030605      0.51221
676          1   92379928   92489985      3       2  2229      -1.2395      0.89242
253152       1   92460533   92539093      4       2  2229       0.1291      0.44864
284697       1   92510862   92623397      4       2  2229       1.2135      0.11247
23285        1   92597609   92660280      4       2  2229      0.85456       0.1964
388649       1   92648573   92721367      3       1  2229    0.0014482      0.49942
11146        1   92701955   92799566      8       1  2229      0.13151      0.44769
79871        1   92729522   92863732     11       1  2229     0.093715      0.46267
2672         1   92930318   92987433     18       2  2229     -0.54151      0.70592
7813         1   92964253   93292961    136       3  2229     -0.88893      0.81298
6125         1   93262594   93317481      9       1  2229      0.31392      0.37679
388650       1   93288286   93462079     10       2  2229     -0.88414      0.81169
22823        1   93509792   93614638      2       1  2229      -1.1238      0.86945
1810         1   93776478   93838149      1       1  2229    -0.017152      0.50684
1806         1   97533299   98421615      1       1  2229      0.27379      0.39212
148867       1  101326632  101562821      5       2  2229       1.7542     0.039694
2135         1  101327928  101396548      1       1  2229     -0.71088      0.76142
51611        1  101445179  101526365      2       1  2229       2.3538    0.0092924
1301         1  103332023  103609052      1       1  2229       0.5305      0.29788
1952         1  109757641  109828378      1       1  2229      0.21071      0.41656
55917        1  112903800  113013786      1       1  2229      0.55795      0.28844
260425       1  113898087  114238545     20       6  2229       1.0156      0.15492
10745        1  114229824  114337165      2       1  2229       1.9255     0.027085
