GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
254173       1    1074286    1143315      2       1  497      0.43872      0.33043
1855         1    1260658    1319509      1       1  497    -0.012626      0.50504
54587        1    1278071    1332183      1       1  497    -0.012626      0.50504
54998        1    1299110    1345818      1       1  497    -0.012626      0.50504
81669        1    1311091    1369718      1       1  497    -0.012626      0.50504
5590         1    1946909    2126834      1       1  497     -0.46515      0.67909
79906        1    2241719    2358190      4       1  497     0.013861      0.49447
11079        1    2288214    2346883      4       1  497     0.013861      0.49447
5192         1    2326241    2379010      4       1  497     0.013861      0.49447
63976        1    2950565    3365185      6       2  497      -1.8857      0.97033
27237        1    3336147    3407677      4       1  497     -0.62814      0.73504
1953         1    3394506    3563059      1       1  497     -0.83856      0.79914
127262       1    3506556    3556695      1       1  497     -0.83856      0.79914
7161         1    3534129    3662765      2       1  497      0.42204       0.3365
49856        1    3537331    3601671      2       1  497      0.42204       0.3365
55966        1    4680105    4853851      3       1  497      -1.1983       0.8846
261734       1    5912870    6087618      2       1  497     -0.42351      0.66404
148479       1    6638756    6694093      2       1  497       1.7446     0.040526
9903         1    6640784    6697958      2       1  497       1.7446     0.040526
90326        1    6649925    6705646      3       1  497       1.9283     0.026911
55735        1    6684228    6796966      4       1  497       2.2614     0.011868
23261        1    6810384    7839766     37       4  497       1.6711     0.047353
8863         1    7809413    7915241      1       1  497     -0.26491      0.60446
473          1    8402464    8912699      1       1  497      -0.2956      0.61623
80176        1    9300202    9439591      2       1  497        1.626     0.051971
22883        1    9779079    9919550      4       1  497       0.2042       0.4191
64802        1    9968486   10055556      2       1  497      0.22614      0.41055
84328        1    9972168   10038460      2       1  497      0.22614      0.41055
116362       1   10022255   10086078      1       1  497      0.22614      0.41055
378708       1   10454944   10520239      8       1  497       0.5779      0.28167
100526739    1   10455159   10522060      8       1  497       0.5779      0.28167
1325         1   10474776   10522060      8       1  497       0.5779      0.28167
5195         1   10500003   10700815     13       2  497      0.57335      0.28321
1676         1   10510588   10567613      5       1  497      0.77026      0.22057
54897        1   10686661   10891733      3       1  497      0.10729      0.45728
284498       1   11788827   11859642      1       1  497     0.047575      0.48103
1185         1   11831153   11913201      1       1  497     0.047575      0.48103
4524         1   11835787   11901160      1       1  497     0.047575      0.48103
9249         1   12617939   12712820      3       1  497       1.0322        0.151
343066       1   12669566   12737097      4       2  497      0.87709      0.19022
23254        1   14184646   15454544     32       8  497      -2.4994      0.99378
55092        1   15444028   15556974      8       1  497      0.25582      0.39904
727684       1   15480692   15533120      5       1  497      0.51501      0.30327
440567       1   16123657   16169194      3       1  497       1.4495     0.073603
23013        1   16139359   16276951      9       1  497       1.6724     0.047227
7709         1   16258364   16337627      7       1  497       2.0173     0.021832
101928566    1   16267626   16333701      6       1  497       2.0588     0.019758
149563       1   16295731   16343184      7       1  497       2.0173     0.021832
1187         1   16313486   16370548      6       1  497       2.0197     0.021706
27129        1   16330523   16381084      4       1  497      -1.2739      0.89866
1188         1   16335231   16393821      4       1  497      -1.2739      0.89866
348487       1   16374264   16435127      1       1  497     -0.45092      0.67398
1969         1   16440832   16517582      4       1  497        0.243        0.404
100133301    1   16830561   16876198      1       1  497      0.25972      0.39754
9696         1   17213445   17309474      3       1  497     -0.10016      0.53989
6390         1   17335217   17415665      2       1  497      0.70701      0.23978
11240        1   17383256   17480948      1       1  497       1.3038     0.096157
23569        1   17599690   17700495      2       1  497       1.8105     0.035109
55160        1   17811693   18034370      1       1  497       1.1125      0.13297
84966        1   18399240   18714977      7       3  497     -0.77197      0.77993
127707       1   18772424   18822540      1       1  497     -0.93319      0.82464
5081         1   18922500   19085360      5       1  497      0.97922      0.16373
80834        1   19156093   19221155      1       1  497      -1.3532        0.912
23065        1   19532158   19613053      3       1  497      0.52187      0.30088
22977        1   19599057   19650280      5       1  497      0.41664      0.33847
54896        1   19603740   19668925      4       1  497      0.52073      0.30128
8574         1   19619202   19673640      1       1  497      0.43913      0.33028
255104       1   19998706   20161424      2       1  497       1.1227      0.13078
127731       1   20582412   20691662      1       1  497     -0.94628        0.828
978          1   20880444   20955401     11       2  497      -1.6311      0.94856
65018        1   20924948   20988004      3       1  497     -0.64015      0.73896
249          1   21800475   21914905      1       1  497      0.74157      0.22917
5909         1   21912708   22031010      3       1  497       1.0323      0.15096
3339         1   22138737   22298750      1       1  497       0.2073      0.41789
23436        1   22268418   22325847      1       1  497       0.2073      0.41789
998          1   22344120   22429439     19       1  497     0.086964      0.46535
54361        1   22433798   22505474      7       1  497     -0.63772      0.73817
2048         1   23002263   23251823      8       3  497       1.3211     0.093237
10236        1   23625953   23706143      6       1  497     -0.81882      0.79355
