GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600      -1.0753      0.85887
105378580    1     768398     815130     22      11  8087600     -0.24938      0.59847
148398       1     890741     954581     39      19  8087600      -2.1544       0.9844
339451       1     924952     975720     36      17  8087600      -2.6106      0.99548
84069        1     931497     985108     29      14  8087600      -1.5654      0.94126
26155        1     934203     994299     38      16  8087600      0.84878        0.198
84808        1     965199    1017117     35      12  8087600       1.5821     0.056812
9636         1     978467    1024540     32      11  8087600       1.7922     0.036553
375790       1     985101    1066119     72      24  8087600      0.68336      0.24719
57801        1     988962    1036285     34      13  8087600       1.6064     0.054088
105369174    1    1026207    1076390     47      17  8087600      -1.3243       0.9073
105378948    1    1055635    1104326     19      14  8087600     -0.36099      0.64095
401934       1    1061746    1109307     19      14  8087600     -0.43281      0.66743
54991        1    1071818    1151356     52      29  8087600     -0.68093      0.75204
254173       1    1138898    1207935     60      29  8087600    -0.055239      0.52203
8784         1    1193508    1241709     45      13  8087600     -0.82966      0.79663
126792       1    1197249    1245041     43      13  8087600      -1.3113      0.90512
7293         1    1201326    1249638     42      13  8087600      -1.2527      0.89484
51150        1    1206908    1267067     53      15  8087600      -1.6699      0.95253
388581       1    1232446    1282218     37      11  8087600      -1.4782      0.93032
118424       1    1243912    1308854     59      20  8087600      -2.1959      0.98595
6339         1    1245415    1302029     42      13  8087600      -1.8531      0.96806
126789       1    1273571    1321677     44      23  8087600      -2.0132      0.97795
116983       1    1282384    1342925     53      31  8087600      -1.9884      0.97661
80772        1    1289756    1338896     43      27  8087600       -1.493      0.93228
83756        1    1293999    1345320     43      27  8087600      -1.5326      0.93731
54973        1    1301585    1359687     47      29  8087600       -1.504      0.93371
1855         1    1325278    1384158     39      16  8087600       1.1369       0.1278
54587        1    1342689    1398541     29      11  8087600        1.497     0.067192
54998        1    1363730    1410438     29      13  8087600        0.999       0.1589
81669        1    1375711    1434338     36      16  8087600      0.55693      0.28879
643965       1    1391128    1437787     27      13  8087600     -0.09407      0.53747
55052        1    1391896    1442834     31      16  8087600      0.22981      0.40912
64856        1    1400523    1452882     35      19  8087600     -0.63128      0.73607
219293       1    1406301    1480158     40      19  8087600     -0.59413      0.72379
441869       1    1408420    1456820     30      18  8087600     -0.28242      0.61119
83858        1    1436732    1519479     74      27  8087600     -0.60393      0.72705
55210        1    1477143    1544687     70      23  8087600     -0.36597       0.6428
339453       1    1524778    1575360     34      14  8087600      0.45984      0.32282
29101        1    1531673    1609882     58      22  8087600    0.0027316      0.49891
142678       1    1579975    1640610     32      24  8087600      -2.7964      0.99742
643988       1    1588008    1635096     20      14  8087600      -3.0367       0.9988
8510         1    1597181    1644654     19      14  8087600      -2.7687      0.99719
984          1    1625226    1694839     22      15  8087600      -2.3326      0.99017
728661       1    1650025    1727804     34      10  8087600      -1.3039      0.90387
728642       1    1692730    1759352     35      11  8087600      -1.6089      0.94618
9906         1    1714838    1780999     38      14  8087600       -1.216      0.88801
65220        1    1741232    1815514     21      15  8087600      -1.8941       0.9709
2782         1    1775285    1926117     51      26  8087600       -1.597      0.94486
105378949    1    1850960    1903010     17      10  8087600     -0.84171      0.80002
163688       1    1878752    1927294     22      10  8087600      -1.4599      0.92784
339456       1    1907589    1954301     20       6  8087600     -0.73633      0.76924
85452        1    1911951    2038837     68      38  8087600     -0.58259      0.71991
2563         1    1984329    2040753     37      26  8087600    -0.037487      0.51495
5590         1    2015470    2195395    118      51  8087600      -0.5518      0.70946
100506504    1    2171811    2219360     18      14  8087600      0.96151      0.16815
199990       1    2174460    2247720     37      25  8087600     -0.12681      0.55045
6497         1    2193695    2320213     61      38  8087600       -2.023      0.97847
105378592    1    2198942    2250211     26      16  8087600     -0.29124      0.61457
105378594    1    2245383    2294676     20      14  8087600      -2.0087      0.97772
79906        1    2311253    2426751     74      50  8087600     -0.47826      0.68377
11079        1    2356314    2415444     32      20  8087600      0.76742      0.22142
9651         1    2380782    2515530     78      42  8087600      -1.4403       0.9251
5192         1    2394802    2448780     36      28  8087600      -1.8411       0.9672
55229        1    2498531    2561628     35      17  8087600    0.0082289      0.49672
388585       1    2518745    2565245     26      12  8087600       0.4917      0.31147
8764         1    2521365    2575622     34      17  8087600      0.65426      0.25647
127281       1    2551460    2601469     38      19  8087600      0.68702      0.24603
79258        1    2580639    2668042     27      16  8087600      0.10441      0.45842
100287898    1    2626988    2824665     53      13  8087600     -0.47809      0.68371
140625       1    2986482    3032903     44       8  8087600      0.43734      0.33093
63976        1    3033227    3448621    315     124  8087600      -1.5379      0.93796
27237        1    3419583    3491115     61      30  8087600     -0.78551      0.78392
1953         1    3477942    3659757    135      59  8087600      0.90854       0.1818
127262       1    3589992    3640131     37      20  8087600      0.93536       0.1748
7161         1    3617565    3746201     85      51  8087600    -0.084613      0.53372
49856        1    3620767    3685107     45      27  8087600      0.45572      0.32429
148870       1    3717398    3781645     49      26  8087600     -0.89187      0.81377
388588       1    3737761    3785982     46      21  8087600       -0.641      0.73924
57470        1    3770220    3831504     69      18  8087600      0.28108      0.38932
9731         1    3802081    3892387     40      16  8087600      -0.5782      0.71844
1677         1    3822143    3895429     23      10  8087600       -1.287      0.90095
261734       1    5852808    6027505     87      52  8087600     -0.31971      0.62541
8514         1    5957298    6111193     75      49  8087600      0.28672      0.38716
26038        1    6091787    6215134     56      29  8087600      0.21043      0.41667
388591       1    6170775    6231299     33      12  8087600     0.038897      0.48449
