GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
375790       1     920503    1001499      2       1   84632      0.20814      0.41756
57801        1     924342     971608      1       1   68617      0.73885         0.23
401934       1     997126    1044687     19       5  119735     -0.19522      0.57739
54991        1    1007198    1086736     33       8  114611      0.11958      0.45241
254173       1    1074286    1143315     20       7  116988      -1.3408         0.91
8784         1    1128888    1177163     14       5  128880      -1.4098       0.9207
126792       1    1132629    1180421     12       5  128676       -1.265      0.89707
7293         1    1136706    1184703     12       4  128474      -1.2121      0.88727
51150        1    1142288    1202447     14       4  123477      -1.2862      0.90081
388581       1    1167826    1217102     13       5  122639      -1.1894      0.88286
118424       1    1179292    1244234     16       6  115605     -0.92876      0.82349
6339         1    1180816    1237409     14       5  120664      -1.4117      0.92099
126789       1    1208962    1257057      8       3  102572    -0.093714      0.53733
116983       1    1217764    1278304      6       2   96518      0.15926      0.43673
80772        1    1225136    1274276      6       2   96518      0.15926      0.43673
83756        1    1231726    1279844      4       1   98214      0.21914      0.41327
54973        1    1236965    1295067      3       1   89082      0.36439      0.35778
1855         1    1260658    1319509      3       2  107215      -1.8491      0.96778
54587        1    1278071    1332183      3       2  107215      -1.8491      0.96778
54998        1    1299110    1345818      3       2  107215      -1.8491      0.96778
81669        1    1311091    1369718      1       1  125742      -0.7722         0.78
219293       1    1343152    1415538      1       1  103197     -0.35846         0.64
441869       1    1343800    1391824      1       1  103197     -0.35846         0.64
83858        1    1372139    1454852      4       2  113940      0.26705      0.39471
55210        1    1412523    1480067     12       3  120815      -0.8946       0.8145
339453       1    1460158    1510740     20       3  130546      -1.4932      0.93231
29101        1    1467053    1545262     18       2  134377      -1.0529       0.8538
9906         1    1646277    1712438      3       1  203177       1.8563     0.031702
65220        1    1672671    1746508     12       3  138229       0.8884      0.18716
2782         1    1706725    1857552     46       6  128946      0.97852      0.16391
163688       1    1811266    1858733      9       3  147811      0.77773      0.21837
339456       1    1839029    1885740     14       2  143729      0.99857        0.159
85452        1    1843390    1970276     18       3  141810       1.1145      0.13254
5590         1    1946909    2126834     62       6  139554     -0.49883      0.69105
100506504    1    2103250    2150812     12       3  145988      -0.2796      0.61011
199990       1    2105899    2179159     19       4  142405     -0.63943      0.73873
6497         1    2125134    2251652     73      17  135879     -0.69758      0.75728
79906        1    2241719    2358190     79      20  130358      0.18299       0.4274
11079        1    2288214    2346883     42      14  127809      0.82245      0.20541
5192         1    2326241    2379010     22       8  105662     -0.18512      0.57343
9651         1    2372754    2446964     40       9  134268    -0.009034       0.5036
55229        1    2429975    2493061     20       5  129550    -0.061044      0.52434
388585       1    2450184    2496684     14       5  125526    0.0040416      0.49839
8764         1    2452291    2505268     17       4  128662      0.10232      0.45925
127281       1    2482899    2532908     30       4  133845       1.0985      0.13599
79258        1    2512078    2599499     29       3  139514       1.7786     0.037654
100287898    1    2562807    2741230     16       4  148493      0.67493      0.24986
140625       1    2903046    2949467     55       4  132585       2.0135      0.02203
63976        1    2950565    3365185    322      66  133913       1.4695     0.070851
27237        1    3336147    3407677     37       7  128833     -0.91401      0.81964
1953         1    3394506    3563059     84      27  112102     -0.39442      0.65337
127262       1    3506556    3556695     25       9  113964      -1.3717      0.91492
7161         1    3534129    3662765     61      22  116087      -2.3166      0.98974
49856        1    3537331    3601671     30      10  111938      -1.1366      0.87215
148870       1    3633965    3698209     50      13  137446     -0.45581      0.67574
388588       1    3654352    3702546     42      11  140019    -0.025634      0.51023
57470        1    3686784    3748068     74      10  138586     0.089051      0.46452
9731         1    3718645    3808797    104      13  137724      0.28616      0.38738
1677         1    3738845    3811993     90      13  136860      0.32195      0.37375
339448       1    3795697    3851857     35       6  129416      0.36075      0.35914
55966        1    4680105    4853851    258      51  135797      0.76156      0.22316
261734       1    5912870    6087618    170      14  139795        1.044      0.14825
8514         1    6017358    6171253     94      20  128363     -0.18209      0.57225
26038        1    6151847    6275194     58      13  129211      -1.0374      0.85022
388591       1    6231189    6291359     17       6  139311     -0.40886      0.65868
6146         1    6235080    6294679     19       6  137963     -0.46095      0.67758
390992       1    6269252    6315638     16       4  150756     -0.70027      0.75812
23463        1    6271253    6331044     21       5  150627     -0.75362      0.77446
387509       1    6297406    6356035     18       5  150734       0.1035      0.45878
11332        1    6314332    6488826     64       9  139282      0.92356      0.17786
83715        1    6449836    6531004     24       5  138639      0.56093      0.28742
54626        1    6465292    6519724     12       2  142416      0.75748      0.22438
8718         1    6510787    6562432     17       5  122563     -0.91618      0.82021
57449        1    6516152    6615121     55       6  135615     -0.31152       0.6223
79707        1    6571407    6649658     46       3  141083    -0.025466      0.51016
80835        1    6579987    6649817     39       3  142643   -0.0016166      0.50064
3104         1    6605051    6659340     20       5  143696     -0.12604      0.55015
148479       1    6638756    6694093     22       5  151201      0.64733      0.25871
9903         1    6640784    6697958     25       5  147307      0.66994      0.25145
90326        1    6649925    6705646     26       5  149321      0.78592      0.21596
55735        1    6684228    6796966     60       7  142430      0.85488      0.19631
23261        1    6810384    7839766    981     124  139406      0.15395      0.43882
9341         1    7796329    7851492     30       7  135910      0.37301      0.35457
8863         1    7809413    7915241     74      14  138790      0.20786      0.41767
10911        1    7897672    7948551     20       6  145059        0.355      0.36129
3604         1    7965931    8038225     29       8  131287      0.35075      0.36289
11315        1    7986714    8055342     28       7  135936      0.61065      0.27072
54206        1    8061779    8121393     18       3  145017      0.56841      0.28488
50651        1    8343171    8414227     35       8  140466       1.4099     0.079286
473          1    8402464    8912699    273      12  139580        2.123     0.016878
2023         1    8911059    8974151     39       6  138983    -0.012812      0.50511
765          1    8970893    9045151     72      23  132144     -0.97215      0.83451
155184       1    9053359    9121404     54      15  130861      0.35788      0.36022
6518         1    9087005    9166763     60      10  139501     -0.86477      0.80642
80045        1    9153472    9224229     42       9  143102      -1.0963      0.86353
9563         1    9259822    9341396     47      11  145088       2.1188     0.017056
80176        1    9300202    9439591     86      27  134913       1.4079     0.079576
84275        1    9564528    9652831     21       4  139402    -0.066552      0.52653
199953       1    9613932    9684935     22       3  135135      -0.2193      0.58679
5293         1    9676789    9799172     44      12  135489       -0.575      0.71735
22883        1    9779079    9919550     44       7  138104      -1.0095      0.84362
56998        1    9898334   10005316     35       6  138721      -2.7858      0.99733
64802        1    9968486   10055556     22       3  145785      -2.1802      0.98538
84328        1    9972168   10038460     21       3  145936       -2.149      0.98418
116362       1   10022255   10086078     11       2  143692      -1.1911       0.8832
10277        1   10058041   10251297     52      10  137887     -0.81397      0.79217
23095        1   10235606   10451664    136       8  145925        1.021      0.15362
5226         1   10423884   10490565     29       4  148448        1.014      0.15529
378708       1   10454944   10520239     23       4  134206      0.12215      0.45139
100526739    1   10455159   10522060     23       4  134206      0.12215      0.45139
1325         1   10474776   10522060     18       3  133811     -0.41875       0.6623
5195         1   10500003   10700815    160      19  139696      -1.1841      0.88181
1676         1   10510588   10567613     45       6  143061      -1.0099      0.84374
54897        1   10686661   10891733    101      38  123856     -0.64997      0.74214
148345       1   10996530   11077094     63      14  129510     -0.85805      0.80457
23435        1   11037462   11095549     30       5  134975     -0.23059      0.59118
10747        1   11076580   11142296     28       2  147171       1.5428     0.061446
6723         1   11104649   11155091     18       2  149796        1.949     0.025649
5394         1   11116675   11194961     22       2  143686       2.0373      0.02081
2475         1   11156588   11357614     51       4  140610       1.8621     0.031294
10218        1   11214346   11266038      7       1  135682       1.8841     0.029779
29914        1   11298255   11358491     18       3  139010        1.322     0.093089
57540        1   11504295   11607640     65       7  139274     -0.49176      0.68856
93611        1   11679432   11733384     31       8  126966     -0.48145       0.6849
26270        1   11689150   11744411     28       9  125478     -0.47278      0.68181
26232        1   11697924   11749888     20       8  116644     -0.45833      0.67664
374946       1   11716781   11790336     31      11  115930     -0.66485      0.74693
10459        1   11724537   11786678     26       9  117824     -0.50945      0.69478
57085        1   11761142   11820828     38      10  156558     -0.39615        0.654
284498       1   11788827   11859642     62      11  197164      0.55649      0.28894
1185         1   11831153   11913201     98      11  198886        1.538     0.062024
4524         1   11835787   11901160     82      10  199314       1.5245      0.06369
4878         1   11895766   11942840     68      12  191210       1.7243     0.042331
4879         1   11907521   11953992     50       9  189157      0.95206      0.17053
5351         1   11959724   12045599     40       8  146428     -0.41452      0.66075
90231        1   11969645   12021485     29       6  142061     -0.37267       0.6453
9927         1   12005238   12083572     37       8  135017      -1.2053      0.88595
60672        1   12044299   12102106     26       5  132980     -0.62234      0.73314
943          1   12088434   12214264     62      21  120542     -0.78481      0.78372
7133         1   12192044   12279279     67      16  154780      0.18976      0.42475
55187        1   12255101   12582099     92      20  133360      0.29504      0.38398
9249         1   12617939   12712820     82      23  119458     -0.53342      0.70313
343066       1   12669566   12737097     64      14  109891    -0.053415       0.5213
126767       1   12741118   12798726     50       7  141444    -0.044661      0.51781
93190        1   12771163   12831102     78       7  140452     -0.22023      0.58715
390999       1   12799984   12848049     44       6  137905     -0.75729      0.77556
65121        1   12816546   12866777     34       6  134902     -0.41579      0.66122
440560       1   12874468   12926264      7       2   59246      -1.0669      0.85698
65122        1   12881941   12931764      5       1   52341     -0.76283      0.77722
343069       1   12897261   12943578      5       1   52341     -0.76283      0.77722
126755       1   13791445   13875242     93      23  135360     -0.45972      0.67714
10630        1   13875252   13954452     83      21  133802     -0.44861      0.67314
7799         1   13991714   14161574    165      23  136519      0.11237      0.45527
23254        1   14184646   15454544   1453     184  137542      -1.9931      0.97688
55092        1   15444028   15556974    150      22  141807       1.5619     0.059151
727684       1   15480692   15533120     63      10  143748       2.2045     0.013745
114827       1   15538730   15734767    180      38  132779     -0.20413      0.58087
79180        1   15701391   15766839     31       8  133900      -0.1946      0.57715
11330        1   15729938   15783153     16       5  138775      0.57406      0.28296
63036        1   15748223   15808586     29       6  142818       1.0226      0.15324
51032        1   15767596   15827895     48       8  146635       1.2451      0.10656
842          1   15807896   15886407     87       6  139207      0.82731      0.20403
23341        1   15818343   15908228     82       6  138061      0.93047      0.17606
79814        1   15888194   15946605     24       3  137781       1.9261     0.027044
84301        1   15908953   16005539     51       3  139491       1.9074     0.028237
6248         1   15951364   15998217     29       2  141121       1.8667     0.030971
23207        1   15975632   16071264     51       4  144578       1.6648     0.047981
284723       1   16027721   16077884     29       3  147063       1.5275     0.063321
388595       1   16033987   16084292     29       4  146721       1.4923     0.067806
54751        1   16048107   16123089     26       7  142003      0.11952      0.45243
440567       1   16123657   16169194     25       5  151074      0.21149      0.41625
23013        1   16139359   16276951     55       8  139966      -0.0305      0.51217
7709         1   16258364   16337627     39       8  142194     -0.24468      0.59665
101928566    1   16267626   16333701     32       7  143198     -0.23688      0.59363
149563       1   16295731   16343184     29       6  139148     -0.14092      0.55603
1187         1   16313486   16370548     52       9  140060     0.041595      0.48341
27129        1   16330523   16381084     59      11  138340     -0.44341      0.67127
1188         1   16335231   16393821     63      13  137547     -0.39898      0.65505
348487       1   16374264   16435127     28       7  131747     -0.29183      0.61479
1969         1   16440832   16517582     62       9  140130      0.45553      0.32437
128272       1   16514599   16574104     29       5  145738       1.2355      0.10832
101927546    1   16541343   16588528     14       2  144068     -0.43889      0.66963
79363        1   16548182   16598659     15       2  143875     -0.26238      0.60348
54455        1   16563339   16713965     46       4  145232     0.064346      0.47435
26099        1   16658525   16734643     34       5  144937     -0.10543      0.54198
374955       1   16712101   16798919     46       9  139852     -0.80993      0.79101
55707        1   16732167   16796585     29       7  137700     -0.55936      0.71204
100133301    1   16830561   16876198      6       2  122596      0.20367      0.41931
55672        1   16878922   16975100      3       2   59279     -0.78797      0.78464
729574       1   16964498   17010007      1       1   73984     -0.58284         0.72
9696         1   17213445   17309474     24       6  140251     -0.68448      0.75316
4237         1   17290997   17343081     22       6  157504      0.48884      0.31248
23400        1   17302453   17373467     30       6  150350       0.7436      0.22856
6390         1   17335217   17415665     89       8  141263        0.907       0.1822
11240        1   17383256   17480948     87      10  138602      0.36088      0.35909
29943        1   17496621   17582501    121      20  129225       1.8408     0.032828
51702        1   17540593   17620728    119      24  130147       1.5537     0.060128
23569        1   17599690   17700495    142      21  137209      0.57582      0.28237
353238       1   17663741   17738195    102      18  135777       1.1714      0.12072
55920        1   17723251   17801250     29       5  151130       2.0972     0.017987
55160        1   17811693   18034370    138      20  136184      -1.3944       0.9184
81569        1   18046808   18163558     88      14  136152       1.3089     0.095289
84966        1   18399240   18714977    361      73  135344      0.58058      0.28076
127707       1   18772424   18822540     74      14  140010      0.27652      0.39107
5081         1   18922500   19085360    150      34  124397       1.5565     0.059795
80834        1   19156093   19221155     34      10  126530       1.7116     0.043481
8659         1   19187924   19264293     24       9  116716      -1.5548         0.94
126917       1   19220774   19317826     46      11  130204      -1.3259      0.90756
23352        1   19391000   19571812    130      11  141254     -0.37197      0.64504
23065        1   19532158   19613053     50      11  142571     -0.30361      0.61929
51154        1   19543075   19596622     34       8  142277     -0.19869      0.57875
22977        1   19599057   19650280     27       8  140896     -0.99922      0.84115
54896        1   19603740   19668925     39      10  140797      -1.2495      0.89426
8574         1   19619202   19673640     33       8  141953      -1.5171      0.93538
832          1   19655267   19847066    202      19  143078     -0.15876      0.56307
440574       1   19888471   19966315     39       7  142921      0.20945      0.41705
100532736    1   19888471   19994949     54      11  142893      0.15856      0.43701
4681         1   19934723   19994949     31      10  140884      0.11115      0.45575
3362         1   19956780   20016055     32       6  139330    -0.051269      0.52044
255104       1   19998706   20161424    128      35  126651     -0.75763      0.77566
54546        1   20130522   20176771     62      18  126577    -0.099815      0.53975
23252        1   20173356   20249438     66      13  139116     -0.24386      0.59633
30814        1   20236800   20285110     54      12  138646      0.26658      0.39489
5320         1   20291924   20341932     30      10  133023       1.3925     0.081888
5322         1   20351157   20428394     88      14  134863       2.0471     0.020324
26279        1   20429143   20481059     37      15  123893      0.59038      0.27747
64600        1   20430823   20486879     34      13  123052      0.64877      0.25824
127733       1   20477578   20532540     43       9  138979        1.876     0.030328
391013       1   20480484   20536687     45      10  140714         2.09     0.018308
127731       1   20582412   20691662    179      24  141824        2.504    0.0061399
55450        1   20798884   20847728     21       6  137904    -0.038661      0.51542
79594        1   20815941   20869674     49       7  138092      -0.2216      0.58769
163933       1   20843932   20891513     52       9  138645     -0.74258      0.77113
978          1   20880444   20955401     58      14  139376       0.7326       0.2319
65018        1   20924948   20988004     55       8  138443        1.611     0.053595
1650         1   20968260   21023037     64      14  133527       2.1513     0.015727
57576        1   20980475   21079317     95      25  136144       2.0138     0.022015
400745       1   21036225   21094133     36       7  138381      0.72072      0.23554
50809        1   21059170   21148808     39       5  144598      0.91396      0.18037
8672         1   21122785   21538381    171       8  141343       0.8953      0.18531
1889         1   21533740   21707034    151      28  139941     -0.34455      0.63478
84224        1   21731583   21821393     40       7  139535     -0.81027      0.79111
249          1   21800475   21914905    112      21  139674      -1.3641      0.91374
5909         1   21912708   22031010    103      28  134101       1.2219      0.11086
84196        1   21994791   22144688    105      14  136767      0.30009      0.38205
401944       1   22103758   22161714     28       8  136496       1.8342      0.03331
3339         1   22138737   22298750    119      18  134636       1.6662     0.047835
23436        1   22268418   22325847     47       8  138176       2.0233     0.021522
10136        1   22293149   22349035     29       6  136939       2.4266    0.0076208
998          1   22344120   22429439     54       8  137037       3.5181   0.00021732
54361        1   22433798   22505474     85      21  139104       4.2907   8.9046e-06
9923         1   22743344   22867650     69       8  133709      -1.1532      0.87559
2046         1   22855004   22940087     52      14  134776      -1.3297      0.90819
712          1   22928118   22976175     37       7  141533      -1.5763      0.94253
714          1   22934969   22984603     42       7  141351      -2.1546       0.9844
713          1   22944682   22998130     47       7  142201      -2.4486      0.99283
2048         1   23002263   23251823    198      35  138905      -1.6505      0.95058
646262       1   23269536   23334524     22       3  145585       1.5775     0.057336
23028        1   23310937   23420184     30       3  141031       1.3527      0.08807
729059       1   23327327   23377343     12       2  141424       1.4178     0.078129
7798         1   23400516   23539301     56       6  144241       1.6152     0.053134
3352         1   23508388   23556222     23       3  149642        2.551    0.0053708
10236        1   23625953   23706143     40       5  142389       2.9085    0.0018158
80818        1   23675941   23731357     51       8  147853       3.2675   0.00054247
6920         1   23697555   23786269     66      11  154095       2.4652    0.0068464
55616        1   23745056   23845750     52       8  152698      0.70465      0.24052
