GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112      0.75431      0.22533
339451       1     860967     911099    128      32  408112      0.18494      0.42664
84069        1     866872     920488    123      34  408112      0.33998      0.36694
26155        1     869583     929679    123      35  408112      0.49402      0.31065
84808        1     900579     952473    131      36  408112      0.94822      0.17151
9636         1     913847     959920    124      32  408112       1.4447     0.074274
375790       1     920503    1001499    223      50  408112       1.2614      0.10358
57801        1     924342     971608    126      33  408112        1.239      0.10767
401934       1     997126    1044687    101      18  408112      0.84312      0.19958
54991        1    1007198    1086736    204      29  408112      0.97559      0.16463
254173       1    1074286    1143315    216      34  408112      -1.9815      0.97623
8784         1    1128888    1177163    177      18  408112      -1.2939      0.90215
126792       1    1132629    1180421    170      17  408112      -1.1511      0.87516
7293         1    1136706    1184703    176      17  408112     -0.99231      0.83948
51150        1    1142288    1202447    203      20  408112     -0.70684      0.76017
388581       1    1167826    1217102    136      25  408112     -0.18078      0.57173
118424       1    1179292    1244234    177      37  408112      0.90481      0.18278
6339         1    1180816    1237409    154      32  408112      0.73725      0.23048
126789       1    1208962    1257057    125      31  408112       1.4758     0.070004
116983       1    1217764    1278304    145      35  408112       1.5441     0.061285
80772        1    1225136    1274276    119      31  408112        1.849     0.032228
83756        1    1231726    1279844    108      27  408112       1.5366     0.062194
54973        1    1236965    1295067    113      27  408112       1.4666     0.071249
1855         1    1260658    1319509    108      25  408112       1.4353     0.075596
54587        1    1278071    1332183     84      21  408112       1.5271     0.063362
54998        1    1299110    1345818     84      18  408112       1.8199     0.034389
81669        1    1311091    1369718    124      17  408112       2.2501     0.012221
643965       1    1326508    1373167    101      14  408112       2.2688     0.011641
55052        1    1327276    1377693    103      15  408112       2.2518     0.012167
64856        1    1335903    1388262     97      13  408112       2.2933     0.010915
219293       1    1343152    1415538     99      15  408112       2.6964    0.0035051
441869       1    1343800    1391824     84      12  408112       2.3923    0.0083722
83858        1    1372139    1454852     99      13  408112       2.8401    0.0022549
55210        1    1412523    1480067    115      14  408112       2.5893    0.0048083
339453       1    1460158    1510740     81      14  408112       2.0835     0.018603
29101        1    1467053    1545262     81      17  408112       1.7759     0.037875
142678       1    1515795    1575990     44       8  408112      -1.0333      0.84927
643988       1    1523388    1570476     38       7  408112     -0.77038      0.77946
8510         1    1532060    1580030     37       7  408112     -0.87327      0.80874
984          1    1561100    1625473     47       8  408112      0.82039        0.206
728661       1    1581486    1659243     53      10  408112       1.0619      0.14413
728642       1    1623822    1690999     37       8  408112       1.0419      0.14873
9906         1    1646277    1712438     51      11  408112       1.1948      0.11609
65220        1    1672671    1746508     79      17  408112        1.643     0.050188
2782         1    1706725    1857552    164      26  408112       1.5865     0.056316
