GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600     -0.15617      0.56205
105378580    1     768398     815130     22      11  8087600     -0.83959      0.79943
148398       1     890741     954581     39      19  8087600     -0.69646      0.75693
339451       1     924952     975720     36      17  8087600      -1.1594      0.87684
84069        1     931497     985108     29      14  8087600      -1.6938      0.95485
26155        1     934203     994299     38      16  8087600        -1.74      0.95907
84808        1     965199    1017117     35      12  8087600      -1.6212      0.94751
9636         1     978467    1024540     32      11  8087600      -1.5658       0.9413
375790       1     985101    1066119     72      24  8087600      -2.2275      0.98704
57801        1     988962    1036285     34      13  8087600      -1.0787      0.85964
105369174    1    1026207    1076390     47      17  8087600      -1.6645      0.95199
105378948    1    1055635    1104326     22      14  8087600      0.17455      0.43072
401934       1    1061746    1109307     22      14  8087600      0.57444      0.28283
54991        1    1071818    1151356     55      29  8087600      0.41126      0.34044
254173       1    1138898    1207935     60      29  8087600     -0.10476      0.54172
8784         1    1193508    1241709     45      13  8087600      0.96316      0.16773
126792       1    1197249    1245041     43      13  8087600       1.1735       0.1203
7293         1    1201326    1249638     42      13  8087600       1.1761      0.11979
51150        1    1206908    1267067     53      15  8087600       1.0035       0.1578
388581       1    1232446    1282218     37      11  8087600      0.87634      0.19042
118424       1    1243912    1308854     59      20  8087600     -0.57271      0.71658
6339         1    1245415    1302029     42      13  8087600     -0.20629      0.58172
126789       1    1273571    1321677     44      23  8087600      -1.8323      0.96655
116983       1    1282384    1342925     53      31  8087600       -1.697      0.95516
80772        1    1289756    1338896     43      27  8087600      -1.6646        0.952
83756        1    1293999    1345320     43      27  8087600      -1.6773      0.95326
54973        1    1301585    1359687     47      29  8087600      -1.8047      0.96444
1855         1    1325278    1384158     39      16  8087600     -0.96248      0.83209
54587        1    1342689    1398541     29      11  8087600     -0.81598      0.79274
54998        1    1363730    1410438     29      13  8087600      0.36028      0.35932
81669        1    1375711    1434338     36      16  8087600      0.19987      0.42079
643965       1    1391128    1437787     27      13  8087600      0.46962      0.31931
55052        1    1391896    1442834     31      16  8087600      0.19693      0.42194
64856        1    1400523    1452882     35      19  8087600      0.48288      0.31459
219293       1    1406301    1480158     40      19  8087600     -0.22718      0.58986
441869       1    1408420    1456820     30      18  8087600     -0.32967      0.62917
83858        1    1436732    1519479     74      27  8087600      0.49548      0.31013
55210        1    1477143    1544687     70      23  8087600       0.7459      0.22786
339453       1    1524778    1575360     34      14  8087600     0.022512      0.49102
29101        1    1531673    1609882     58      22  8087600     -0.15608      0.56202
142678       1    1579975    1640610     32      24  8087600      0.81161      0.20851
643988       1    1588008    1635096     20      14  8087600       0.2453      0.40311
8510         1    1597181    1644654     19      14  8087600     -0.10155      0.54044
984          1    1625226    1694839     22      15  8087600      -1.5796       0.9429
728661       1    1650025    1727804     34      10  8087600     -0.57388      0.71698
728642       1    1692730    1759352     35      11  8087600      -0.0888      0.53538
9906         1    1714838    1780999     38      14  8087600     -0.15998      0.56355
65220        1    1741232    1815514     21      15  8087600     0.041185      0.48357
2782         1    1775285    1926117     51      26  8087600       -0.903      0.81674
105378949    1    1850960    1903010     17      10  8087600     -0.93197      0.82432
