GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3824142     -0.17862      0.57088
105378580    1     768398     815130     22      11  3824142      0.91665      0.17966
148398       1     890741     954581     39      19  3824142       0.3902       0.3482
339451       1     924952     975720     36      17  3824142      -0.7359       0.7691
84069        1     931497     985108     29      14  3824142     -0.78339       0.7833
26155        1     934203     994299     38      16  3824142      -1.0837      0.86075
84808        1     965199    1017117     35      12  3824142      -1.3694      0.91456
9636         1     978467    1024540     32      11  3824142     -0.86144       0.8055
375790       1     985101    1066119     72      24  3824142      -2.0626      0.98043
57801        1     988962    1036285     34      13  3824142      -1.1262      0.86997
105369174    1    1026207    1076390     47      17  3824142      -2.1602      0.98462
105378948    1    1055635    1104326     19      14  3824142      0.28476      0.38791
401934       1    1061746    1109307     19      14  3824142        0.274      0.39204
54991        1    1071818    1151356     52      29  3824142      0.65743      0.25545
254173       1    1138898    1207935     60      29  3824142      0.24787      0.40212
8784         1    1193508    1241709     45      13  3824142      0.53058      0.29785
126792       1    1197249    1245041     43      13  3824142      0.59801      0.27492
7293         1    1201326    1249638     42      13  3824142      0.57721       0.2819
51150        1    1206908    1267067     53      15  3824142      0.48009      0.31558
388581       1    1232446    1282218     37      11  3824142      0.56332      0.28661
118424       1    1243912    1308854     59      20  3824142      0.31617      0.37594
6339         1    1245415    1302029     42      13  3824142      0.48447      0.31403
126789       1    1273571    1321677     44      23  3824142     -0.34703      0.63571
116983       1    1282384    1342925     53      31  3824142     -0.32733      0.62829
80772        1    1289756    1338896     43      27  3824142     -0.44557      0.67205
83756        1    1293999    1345320     43      27  3824142     -0.57208      0.71637
54973        1    1301585    1359687     47      29  3824142      -0.6414      0.73937
1855         1    1325278    1384158     39      16  3824142     -0.29578       0.6163
54587        1    1342689    1398541     29      11  3824142      0.17891        0.429
54998        1    1363730    1410438     29      13  3824142    -0.044584      0.51778
81669        1    1375711    1434338     36      16  3824142     -0.48698      0.68687
643965       1    1391128    1437787     27      13  3824142     -0.21259      0.58417
55052        1    1391896    1442834     31      16  3824142     -0.56502      0.71397
64856        1    1400523    1452882     35      19  3824142     -0.87437      0.80904
219293       1    1406301    1480158     40      19  3824142      -1.0933      0.86287
441869       1    1408420    1456820     30      18  3824142     -0.90378      0.81694
83858        1    1436732    1519479     74      27  3824142     -0.24551      0.59697
55210        1    1477143    1544687     70      23  3824142       0.3014      0.38156
