GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378580    1     768398     815130      3       1  3824142      -2.4133       0.9921
148398       1     890741     954581     16       2  3824142     -0.68993      0.75488
339451       1     924952     975720     20       1  3824142     -0.28452      0.61199
84069        1     931497     985108     29       1  3824142     -0.25565      0.60089
26155        1     934203     994299     33       1  3824142     -0.21277      0.58425
84808        1     965199    1017117     31       1  3824142     -0.29973      0.61781
9636         1     978467    1024540     10       1  3824142    -0.095726      0.53813
375790       1     985101    1066119      5       1  3824142     -0.19535      0.57744
57801        1     988962    1036285      1       1  3824142     -0.38532         0.65
105369174    1    1026207    1076390      3       1  3824142      0.55649      0.28894
105378948    1    1055635    1104326     16       2  3824142       0.6608      0.25437
401934       1    1061746    1109307     16       2  3824142       0.6608      0.25437
54991        1    1071818    1151356     14       2  3824142      0.63283      0.26342
254173       1    1138898    1207935      1       1  3824142      0.17638         0.43
126792       1    1197249    1245041      4       1  3824142      0.72189      0.23518
7293         1    1201326    1249638      4       1  3824142      0.72189      0.23518
51150        1    1206908    1267067     17       1  3824142      0.45699      0.32384
388581       1    1232446    1282218     21       1  3824142      0.42321      0.33607
118424       1    1243912    1308854     33       1  3824142      0.31734      0.37549
6339         1    1245415    1302029     33       1  3824142      0.31734      0.37549
126789       1    1273571    1321677     35       2  3824142      0.45925      0.32303
116983       1    1282384    1342925     32       2  3824142      0.47504      0.31738
80772        1    1289756    1338896     29       2  3824142      0.48403      0.31418
83756        1    1293999    1345320     26       2  3824142      0.51193      0.30435
54973        1    1301585    1359687     16       1  3824142      0.63009      0.26432
142678       1    1579975    1640610      1       1  3824142     -0.49585         0.69
643988       1    1588008    1635096      1       1  3824142     -0.49585         0.69
8510         1    1597181    1644654      1       1  3824142     -0.49585         0.69
984          1    1625226    1694839     30       2  3824142      -1.4065      0.92022
728661       1    1650025    1727804     31       2  3824142     -0.38188      0.64872
728642       1    1692730    1759352      9       1  3824142      0.87624      0.19045
9906         1    1714838    1780999      3       1  3824142      0.90382      0.18305
65220        1    1741232    1815514      3       1  3824142      0.90382      0.18305
2782         1    1775285    1926117      3       2  3824142      0.67766      0.24899
163688       1    1878752    1927294      2       1  3824142       0.5827      0.28005
339456       1    1907589    1954301      2       1  3824142       0.5827      0.28005
85452        1    1911951    2038837      1       1  3824142      0.95417         0.17
5590         1    2015470    2195395      1       1  3824142     -0.55338         0.71
199990       1    2174460    2247720      1       1  3824142       1.4255        0.077
6497         1    2193695    2320213      1       1  3824142       1.4255        0.077
105378592    1    2198942    2250211      1       1  3824142       1.4255        0.077
79906        1    2311253    2426751      5       1  3824142     -0.87779      0.80997
100287898    1    2626988    2824665      1       1  3824142       2.3999    0.0081999
63976        1    3033227    3448621     36       6  3824142      0.18145      0.42801
1953         1    3477942    3659757     21       4  3824142     -0.51979       0.6984
127262       1    3589992    3640131      2       1  3824142      0.65514      0.25619
7161         1    3617565    3746201      1       1  3824142       0.7063         0.24
49856        1    3620767    3685107      1       1  3824142       0.7063         0.24
148870       1    3717398    3781645      1       1  3824142      -1.8808         0.97
388588       1    3737761    3785982      1       1  3824142      -1.8808         0.97
55966        1    4620045    4802534     59       4  3824142      -1.3827      0.91663
261734       1    5852808    6027505     19       2  3824142      0.13906       0.4447
8514         1    5957298    6111193      5       1  3824142       -0.465      0.67904
55735        1    6624168    6736906      6       1  3824142      0.70801      0.23947
23261        1    6750324    7779706     76       8  3824142       1.5737     0.057782
