GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112      0.22582      0.41067
339451       1     860967     911099    127      32  408112      0.86203      0.19434
84069        1     866872     920488    122      34  408112       1.1059      0.13438
26155        1     869583     929679    122      35  408112       1.1649      0.12203
84808        1     900579     952473    130      35  408112      0.99988      0.15868
9636         1     913847     959920    124      32  408112       1.6662     0.047834
375790       1     920503    1001499    223      50  408112        1.162      0.12262
57801        1     924342     971608    126      33  408112       1.6778     0.046696
401934       1     997126    1044687    101      18  408112    -0.098082      0.53907
54991        1    1007198    1086736    204      29  408112      0.31861      0.37501
254173       1    1074286    1143315    216      34  408112       0.9121      0.18086
8784         1    1128888    1177163    177      18  408112       1.4532     0.073088
126792       1    1132629    1180421    170      17  408112       1.3996     0.080815
7293         1    1136706    1184703    176      17  408112       1.2831     0.099734
51150        1    1142288    1202447    203      20  408112          1.1      0.13567
388581       1    1167826    1217102    136      25  408112     -0.52925      0.70169
118424       1    1179292    1244234    177      37  408112     -0.74562      0.77205
6339         1    1180816    1237409    154      32  408112     -0.69518      0.75653
126789       1    1208962    1257057    125      31  408112     -0.50421      0.69294
116983       1    1217764    1278304    145      35  408112    0.0070011      0.49721
80772        1    1225136    1274276    119      31  408112      0.11612      0.45378
83756        1    1231726    1279844    108      27  408112      0.11305        0.455
54973        1    1236965    1295067    113      27  408112       0.2337      0.40761
1855         1    1260658    1319509    108      25  408112      0.35783      0.36023
54587        1    1278071    1332183     84      21  408112     -0.24273      0.59589
54998        1    1299110    1345818     84      18  408112    -0.099431       0.5396
81669        1    1311091    1369718    124      17  408112     -0.11218      0.54466
643965       1    1326508    1373167    101      14  408112   -0.0040254      0.50161
55052        1    1327276    1377693    103      15  408112   -0.0079318      0.50316
64856        1    1335903    1388262     97      13  408112     -0.17093      0.56786
219293       1    1343152    1415538     99      15  408112     -0.48933       0.6877
441869       1    1343800    1391824     84      12  408112     -0.24316      0.59606
83858        1    1372139    1454852     99      13  408112     -0.39162      0.65233
55210        1    1412523    1480067    115      14  408112    0.0034052      0.49864
339453       1    1460158    1510740     81      14  408112       1.2684      0.10232
29101        1    1467053    1545262     81      17  408112       1.5725      0.05792
142678       1    1515795    1575990     44       8  408112    0.0062246      0.49752
643988       1    1523388    1570476     38       7  408112      0.11209      0.45538
8510         1    1532060    1580030     37       7  408112    0.0066627      0.49734
984          1    1561100    1625473     47       8  408112     -0.45327      0.67482
728661       1    1581486    1659243     53      10  408112     -0.20814      0.58244
728642       1    1623822    1690999     37       8  408112      0.84801      0.19822
9906         1    1646277    1712438     50      10  408112      0.94848      0.17144
65220        1    1672671    1746508     73      15  408112       1.0859      0.13876
2782         1    1706725    1857552    157      24  408112      0.86198      0.19435
163688       1    1811266    1858733     70      11  408112      0.68895      0.24543
339456       1    1839029    1885740     95      15  408112      0.36494      0.35758
85452        1    1843390    1970276    226      35  408112      0.22771      0.40994
2563         1    1915768    1972192     72      15  408112      0.96514      0.16724
5590         1    1946909    2126834    356      64  408112      0.78835      0.21525
100506504    1    2103250    2150812     86      29  408112      0.86029      0.19482
199990       1    2105899    2179159    126      38  408112       1.8414      0.03278
6497         1    2125134    2251652    229      65  408112       4.0234   2.8682e-05
79906        1    2241719    2358190    320      60  408112       3.9704   3.5879e-05
11079        1    2288214    2346883    130      40  408112       3.4523   0.00027792
5192         1    2326241    2379010    118      46  408112       2.9482    0.0015982
9651         1    2372754    2446964    193      43  408112        1.021      0.15364
55229        1    2429975    2493061    158      32  408112       1.2217      0.11091
388585       1    2450184    2496684     98      24  408112       1.3051     0.095924
8764         1    2452291    2505268    117      28  408112       1.2839     0.099594
127281       1    2482899    2532908    116      25  408112       1.9319     0.026685
79258        1    2512078    2599499    193      30  408112       1.9144     0.027782
100287898    1    2562807    2741230    216      31  408112       1.4341     0.075766
140625       1    2903046    2949467    138      12  408112       3.3537    0.0003987
63976        1    2950565    3365185   1073     153  408112       9.0042   1.0863e-19
27237        1    3336147    3407677    173      33  408112       1.6591     0.048544
1953         1    3394506    3563059    419      83  408112       1.3235     0.092833
127262       1    3506556    3556695    134      35  408112       2.2742     0.011477
7161         1    3534129    3662765    257      56  408112      0.61426      0.26952
49856        1    3537331    3601671    136      33  408112       1.2675      0.10248
148870       1    3633965    3698209    167      34  408112    -0.065904      0.52627
388588       1    3654352    3702546    147      28  408112      0.73305      0.23176
57470        1    3686784    3748068    225      30  408112       1.2396      0.10756
9731         1    3718645    3808797    352      34  408112       1.1135      0.13275
1677         1    3738845    3811993    298      35  408112       1.0657      0.14327
339448       1    3795697    3851857    133      24  408112      0.94353      0.17271
55966        1    4680105    4853851    726     119  408112     -0.62351      0.73352
261734       1    5912870    6087618    538      38  408112       2.9956    0.0013695
8514         1    6017358    6171253    338      65  408112       4.1017   2.0509e-05
26038        1    6151847    6275194    248      51  408112       3.1281   0.00087976
388591       1    6231189    6291359    118      25  408112       1.4492     0.073641
6146         1    6235080    6294679    111      24  408112        1.652      0.04927
390992       1    6269252    6315638     87      18  408112       1.2898     0.098558
23463        1    6271253    6331044    110      21  408112       1.1777      0.11946
387509       1    6297406    6356035    108      24  408112      0.53898      0.29495
11332        1    6314332    6488826    518      31  408112      0.26389      0.39593
83715        1    6449836    6531004    210      25  408112      0.42742      0.33454
54626        1    6465292    6519724    140      19  408112      0.46045       0.3226
8718         1    6510787    6562432    102      22  408112       1.4242     0.077201
57449        1    6516152    6615121    214      41  408112       4.4831   3.6787e-06
79707        1    6571407    6649658    175      29  408112       4.6077   2.0358e-06
80835        1    6579987    6649817    155      26  408112       4.5512   2.6666e-06
3104         1    6605051    6659340    126      34  408112       4.7926   8.2336e-07
148479       1    6638756    6694093    103      34  408112       5.4739   2.2007e-08
9903         1    6640784    6697958    111      36  408112       5.4995   1.9041e-08
90326        1    6649925    6705646    114      36  408112       5.4932   1.9739e-08
55735        1    6684228    6796966    219      46  408112       5.4017      3.3e-08
23261        1    6810384    7839766   2131     216  408112       3.6234    0.0001454
9341         1    7796329    7851492     95      26  408112       1.1064      0.13428
8863         1    7809413    7915241    252      34  408112       1.7021     0.044368
10911        1    7897672    7948551    165      32  408112      0.28698      0.38706
3604         1    7965931    8038225    110      34  408112      0.76337      0.22262
11315        1    7986714    8055342    109      33  408112       1.1314      0.12894
54206        1    8061779    8121393    101      21  408112      0.40792      0.34167
50651        1    8343171    8414227    140      35  408112      0.22404      0.41136
473          1    8402464    8912699    703      50  408112     -0.55242      0.70967
2023         1    8911059    8974151    105      30  408112       0.4817      0.31501
765          1    8970893    9045151    185      53  408112      0.52096       0.3012
155184       1    9053359    9121404    150      40  408112       1.3094     0.095197
6518         1    9087005    9166763    219      38  408112      0.30711      0.37938
80045        1    9153472    9224229    140      38  408112      -0.2747      0.60823
9563         1    9259822    9341396    213      46  408112     -0.47871      0.68393
80176        1    9300202    9439591    422      87  408112      0.56994      0.28436
84275        1    9564528    9652831    115      28  408112       1.5358     0.062297
199953       1    9613932    9684935     82      22  408112       1.7314     0.041692
5293         1    9676789    9799172    225      62  408112         2.33    0.0099038
22883        1    9779079    9919550    243      53  408112      0.54865      0.29162
56998        1    9898334   10005316    210      46  408112      0.14636      0.44182
64802        1    9968486   10055556    131      30  408112      0.15825      0.43713
84328        1    9972168   10038460     99      25  408112      0.24389      0.40366
116362       1   10022255   10086078    109      22  408112     -0.32272      0.62655
10277        1   10058041   10251297    429      36  408112      0.08054       0.4679
23095        1   10235606   10451664    593      28  408112       1.4013     0.080555
5226         1   10423884   10490565    164      32  408112       1.3533     0.087977
378708       1   10454944   10520239    119      34  408112       1.0024      0.15808
100526739    1   10455159   10522060    121      35  408112      0.94397      0.17259
1325         1   10474776   10522060     76      25  408112      0.34191      0.36621
5195         1   10500003   10700815    324      44  408112       1.3618     0.086629
1676         1   10510588   10567613     95      21  408112       1.7295     0.041861
54897        1   10686661   10891733    368      91  408112      -0.5529      0.70983
148345       1   10996530   11077094    159      28  408112       2.6448    0.0040873
23435        1   11037462   11095549     95      19  408112       5.5168   1.7261e-08
10747        1   11076580   11142296    135      15  408112       4.7961   8.0905e-07
6723         1   11104649   11155091     92       7  408112       3.7067   0.00010498
5394         1   11116675   11194961    145       8  408112       3.4516   0.00027864
2475         1   11156588   11357614    320      18  408112       4.3761    6.041e-06
10218        1   11214346   11266038     79       5  408112       2.9298    0.0016956
29914        1   11298255   11358491     82      16  408112       5.9569   1.2857e-09
57540        1   11504295   11607640    174      33  408112     0.069802      0.47218
93611        1   11679432   11733384     97      28  408112      0.29329      0.38465
26270        1   11689150   11744411    104      29  408112       1.0546       0.1458
26232        1   11697924   11749888     91      25  408112       1.4548      0.07286
374946       1   11716781   11790336    131      34  408112       2.3711    0.0088678
10459        1   11724537   11786678    110      29  408112       2.3387    0.0096763
57085        1   11761142   11820828     91      24  408112       1.6435     0.050136
284498       1   11788827   11859642    153      26  408112       6.1094        5e-10
1185         1   11831153   11913201    304      19  408112       7.2751   1.7314e-13
4524         1   11835787   11901160    251      20  408112       6.1094        5e-10
4878         1   11895766   11942840    160      29  408112       7.1078   5.8958e-13
4879         1   11907521   11953992    144      27  408112        6.269   1.8173e-10
5351         1   11959724   12045599    187      30  408112       3.3497   0.00040449
90231        1   11969645   12021485    117      19  408112       3.1188   0.00090797
9927         1   12005238   12083572    139      22  408112       2.0053     0.022468
60672        1   12044299   12102106     84      17  408112       2.3684    0.0089329
943          1   12088434   12214264    170      44  408112       1.6719     0.047276
7133         1   12192044   12279279    152      23  408112     -0.93958      0.82628
55187        1   12255101   12582099    617      33  408112     -0.43978      0.66995
9249         1   12617939   12712820    213      43  408112      0.25305      0.40012
343066       1   12669566   12737097    133      17  408112      0.39879      0.34503
126767       1   12741118   12798726     86      25  408112     -0.58592      0.72103
93190        1   12771163   12831102    130      21  408112     -0.38298      0.64913
390999       1   12799984   12848049     99      17  408112     -0.72562      0.76596
65121        1   12816546   12866777    130      24  408112      -1.4775      0.93023
440560       1   12874468   12926264    113       6  408112      -1.1584      0.87666
65122        1   12881941   12931764    112       6  408112      -1.1362      0.87205
343069       1   12897261   12943578    108       6  408112      -1.1394      0.87273
400735       1   12929033   12981025      1       1  408112      0.67449         0.25
441871       1   12941467   12990300      1       1  408112      0.67449         0.25
343071       1   12942727   12993094      1       1  408112      0.67449         0.25
440563       1   13172960   13219326     48       8  408112      -2.0462      0.97963
400736       1   13437414   13487656      4       1  408112      -0.5502      0.70891
654348       1   13460254   13508260      4       1  408112      -0.5502      0.70891
391003       1   13464053   13512569      4       1  408112      -0.5502      0.70891
729528       1   13658269   13708511      1       1  408112      0.20189         0.42
391004       1   13681088   13729064      1       1  408112      0.20189         0.42
645414       1   13684889   13733405      1       1  408112      0.20189         0.42
645425       1   13701907   13757803      1       1  408112      0.20189         0.42
126755       1   13791445   13875242    219      51  408112     0.043503      0.48265
10630        1   13875252   13954452    182      50  408112     -0.47136      0.68131
7799         1   13991714   14161574    421      34  408112      0.87904      0.18969
23254        1   14184646   15454544   3380     351  408112     0.022821       0.4909
55092        1   15444028   15556974    396      36  408112      0.14341      0.44298
