GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3824142      0.34285      0.36586
105378580    1     768398     815130     22      11  3824142     -0.63533      0.73739
148398       1     890741     954581     39      19  3824142      -1.7177      0.95707
339451       1     924952     975720     36      17  3824142      -1.3542      0.91217
84069        1     931497     985108     29      14  3824142      -1.0172      0.84546
26155        1     934203     994299     38      16  3824142      -1.1305      0.87088
84808        1     965199    1017117     35      12  3824142      -1.8832      0.97017
9636         1     978467    1024540     32      11  3824142      -1.8811      0.97002
375790       1     985101    1066119     72      24  3824142     -0.98256      0.83709
57801        1     988962    1036285     34      13  3824142      -1.6782      0.95335
105369174    1    1026207    1076390     47      17  3824142     -0.13919      0.55535
105378948    1    1055635    1104326     19      14  3824142      0.92463      0.17758
401934       1    1061746    1109307     19      14  3824142       1.4722     0.070477
54991        1    1071818    1151356     52      29  3824142        0.347       0.3643
254173       1    1138898    1207935     60      29  3824142      -1.7336      0.95851
8784         1    1193508    1241709     45      13  3824142     -0.61056      0.72925
126792       1    1197249    1245041     43      13  3824142     -0.57161      0.71621
7293         1    1201326    1249638     42      13  3824142     -0.25414      0.60031
51150        1    1206908    1267067     53      15  3824142     -0.30394      0.61941
388581       1    1232446    1282218     37      11  3824142     -0.45406      0.67511
118424       1    1243912    1308854     59      20  3824142     -0.67094      0.74887
6339         1    1245415    1302029     42      13  3824142     -0.36468      0.64233
126789       1    1273571    1321677     44      23  3824142      -1.1187      0.86837
116983       1    1282384    1342925     53      31  3824142      -1.4258      0.92304
80772        1    1289756    1338896     43      27  3824142      -1.1695       0.8789
83756        1    1293999    1345320     43      27  3824142      -1.2605      0.89625
54973        1    1301585    1359687     47      29  3824142      -1.5685      0.94162
1855         1    1325278    1384158     39      16  3824142      -1.6306      0.94851
54587        1    1342689    1398541     29      11  3824142      -1.5089      0.93434
54998        1    1363730    1410438     29      13  3824142     -0.25442      0.60042
81669        1    1375711    1434338     36      16  3824142    -0.058519      0.52333
643965       1    1391128    1437787     27      13  3824142    -0.061706       0.5246
55052        1    1391896    1442834     31      16  3824142     0.072325      0.47117
64856        1    1400523    1452882     35      19  3824142   -0.0014557      0.50058
219293       1    1406301    1480158     40      19  3824142     -0.57611      0.71773
441869       1    1408420    1456820     30      18  3824142     -0.54236      0.70622
83858        1    1436732    1519479     74      27  3824142     -0.47108      0.68121
55210        1    1477143    1544687     70      23  3824142    -0.056922       0.5227
339453       1    1524778    1575360     34      14  3824142     -0.29515      0.61606
29101        1    1531673    1609882     58      22  3824142     -0.29541      0.61616
142678       1    1579975    1640610     32      24  3824142       1.0778      0.14056
643988       1    1588008    1635096     20      14  3824142      0.97115      0.16574
8510         1    1597181    1644654     19      14  3824142      0.97251       0.1654
984          1    1625226    1694839     22      15  3824142       0.6175      0.26845
728661       1    1650025    1727804     34      10  3824142     -0.13994      0.55565
