GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     824993     889961     11       1  30717      -0.8233      0.79483
339451       1     860967     911099     18       1  30717       -1.252      0.89471
84069        1     866872     920488     18       1  30717       -1.252      0.89471
26155        1     869583     929679     37       4  30717      -1.0081      0.84331
84808        1     900579     952473     34       2  30717     0.086818      0.46541
9636         1     913847     959920     34       2  30717     0.086818      0.46541
375790       1     920503    1001499     34       2  30717     0.086818      0.46541
57801        1     924342     971608     28       2  30717      0.15385      0.43887
54991        1    1007198    1086736      5       1  30717      -1.2731      0.89851
254173       1    1074286    1143315     13       2  30717     -0.74794      0.77275
116983       1    1217764    1278304      5       1  30717       2.0463     0.020365
83756        1    1231726    1279844      5       1  30717       2.0463     0.020365
54973        1    1236965    1295067     21       2  30717       1.6742     0.047045
1855         1    1260658    1319509     59       3  30717       1.6097     0.053729
54587        1    1278071    1332183     56       3  30717        1.547     0.060937
54998        1    1299110    1345818     29       3  30717       1.5041     0.066275
81669        1    1311091    1369718     17       2  30717         1.41     0.079277
728661       1    1581486    1659243     10       1  30717     -0.23456      0.59272
728642       1    1623822    1690999     11       1  30717     -0.31915      0.62519
9906         1    1646277    1712438     15       2  30717      -0.7145      0.76254
65220        1    1672671    1746508      8       1  30717      -1.2686      0.89771
2782         1    1706725    1857552     31       1  30717    -0.033593       0.5134
163688       1    1811266    1858733      4       1  30717     0.046917      0.48129
339456       1    1839029    1885740      1       1  30717    -0.035854       0.5143
79906        1    2241719    2358190      3       1  30717      0.29472       0.3841
11079        1    2288214    2346883      3       1  30717      0.29472       0.3841
5192         1    2326241    2379010      2       1  30717      0.49487      0.31035
63976        1    2950565    3365185     25       5  30717     -0.48424      0.68589
27237        1    3336147    3407677     27       5  30717     -0.75191      0.77395
1953         1    3394506    3563059     33       8  30717     0.028704      0.48855
127262       1    3506556    3556695     18       3  30717      0.17032      0.43238
7161         1    3534129    3662765     11       3  30717      0.64213       0.2604
49856        1    3537331    3601671      6       1  30717      0.67189      0.25083
148870       1    3633965    3698209      1       1  30717       2.0137      0.02202
57470        1    3686784    3748068      3       1  30717     -0.21307      0.58437
9731         1    3718645    3808797     35       1  30717      -0.2996      0.61776
1677         1    3738845    3811993     35       1  30717      -0.2996      0.61776
55966        1    4680105    4853851     18       4  30717      -1.5861      0.94364
261734       1    5912870    6087618      4       1  30717      0.38092      0.35163
8514         1    6017358    6171253      2       1  30717      0.42587       0.3351
26038        1    6151847    6275194      1       1  30717     -0.21291       0.5843
387509       1    6297406    6356035      2       1  30717      0.28718      0.38699
11332        1    6314332    6488826      3       1  30717      0.27986      0.38979
79707        1    6571407    6649658      5       2  30717     -0.11757       0.5468
80835        1    6579987    6649817      5       2  30717     -0.11757       0.5468
3104         1    6605051    6659340      5       2  30717     -0.11757       0.5468
148479       1    6638756    6694093      1       1  30717      0.56423       0.2863
9903         1    6640784    6697958      1       1  30717      0.56423       0.2863
90326        1    6649925    6705646      3       1  30717      0.17416      0.43087
55735        1    6684228    6796966      6       1  30717    -0.029952      0.51195
23261        1    6810384    7839766     58       8  30717      0.52299      0.30049
8863         1    7809413    7915241     22       1  30717     -0.98452      0.83757
10911        1    7897672    7948551      8       1  30717      -1.2577      0.89574
3604         1    7965931    8038225      1       1  30717      -1.0669        0.857
11315        1    7986714    8055342      1       1  30717      -1.0669        0.857
50651        1    8343171    8414227      1       1  30717      0.64581       0.2592
473          1    8402464    8912699      9       3  30717       2.1109     0.017389
80045        1    9153472    9224229      3       1  30717        1.894      0.02911
9563         1    9259822    9341396      3       1  30717       0.2668      0.39481
80176        1    9300202    9439591      6       2  30717     -0.60573      0.72765
22883        1    9779079    9919550     19       2  30717    -0.067536      0.52692
56998        1    9898334   10005316      1       1  30717     -0.26787       0.6056
64802        1    9968486   10055556      7       1  30717     -0.20942      0.58294
84328        1    9972168   10038460      7       1  30717     -0.20942      0.58294
116362       1   10022255   10086078      4       1  30717     -0.19677        0.578
378708       1   10454944   10520239     16       1  30717      0.15239      0.43944
100526739    1   10455159   10522060     16       1  30717      0.15239      0.43944
1325         1   10474776   10522060     16       1  30717      0.15239      0.43944
5195         1   10500003   10700815     25       2  30717       0.0646      0.47425
1676         1   10510588   10567613      9       1  30717      0.42971       0.3337
54897        1   10686661   10891733      5       2  30717      0.98031      0.16347
148345       1   10996530   11077094      1       1  30717     -0.12566         0.55
23435        1   11037462   11095549      1       1  30717     -0.12566         0.55
10747        1   11076580   11142296      1       1  30717      -1.6666       0.9522
6723         1   11104649   11155091      1       1  30717      -1.6666       0.9522
5394         1   11116675   11194961      1       1  30717      -1.6666       0.9522
57540        1   11504295   11607640      2       1  30717     -0.85488      0.80369
93611        1   11679432   11733384      1       1  30717      0.55426       0.2897
26270        1   11689150   11744411      1       1  30717      0.55426       0.2897
284498       1   11788827   11859642      1       1  30717      0.50836       0.3056
1185         1   11831153   11913201      1       1  30717      0.50836       0.3056
4524         1   11835787   11901160      1       1  30717      0.50836       0.3056
55187        1   12255101   12582099      8       2  30717      0.34092      0.36658
9249         1   12617939   12712820      4       1  30717      -1.9025      0.97145
343066       1   12669566   12737097      6       2  30717     -0.99127      0.83922
126767       1   12741118   12798726     22       1  30717      0.90948      0.18155
126755       1   13791445   13875242      1       1  30717     -0.23012        0.591
10630        1   13875252   13954452      1       1  30717     -0.24481       0.5967
7799         1   13991714   14161574      3       1  30717       1.0399       0.1492
23254        1   14184646   15454544    103      24  30717       1.4625     0.071801
55092        1   15444028   15556974     26       1  30717      0.71756      0.23651
727684       1   15480692   15533120     11       1  30717      0.66882       0.2518
54751        1   16048107   16123089      1       1  30717       2.4186      0.00779
440567       1   16123657   16169194      1       1  30717      -1.1815       0.8813
23013        1   16139359   16276951      1       1  30717      -1.1815       0.8813
7709         1   16258364   16337627      2       1  30717     -0.62441      0.73382
101928566    1   16267626   16333701      1       1  30717     -0.55602       0.7109
149563       1   16295731   16343184      3       1  30717     -0.67821      0.75118
1187         1   16313486   16370548      7       2  30717       0.4396      0.33011
27129        1   16330523   16381084     16       2  30717      0.54274      0.29365
1188         1   16335231   16393821     15       1  30717      0.59335      0.27647
348487       1   16374264   16435127      5       1  30717      0.62863       0.2648
1969         1   16440832   16517582     14       3  30717       1.8523      0.03199
128272       1   16514599   16574104      3       1  30717       1.3285     0.092011
101927546    1   16541343   16588528      2       1  30717      0.35376      0.36176
79363        1   16548182   16598659      1       1  30717      0.29918       0.3824
54455        1   16563339   16713965      3       1  30717      0.33154      0.37012
23400        1   17302453   17373467      7       1  30717      0.95611      0.16951
6390         1   17335217   17415665     25       1  30717      0.95025      0.17099
11240        1   17383256   17480948     25       2  30717      0.69805      0.24257
29943        1   17496621   17582501      3       1  30717      -1.0475      0.85256
51702        1   17540593   17620728      1       1  30717      -1.2856       0.9007
23569        1   17599690   17700495     10       2  30717     -0.53171      0.70254
353238       1   17663741   17738195      2       1  30717     -0.14467      0.55751
55920        1   17723251   17801250      4       1  30717      -2.1044      0.98233
55160        1   17811693   18034370     23       6  30717      0.39445      0.34663
81569        1   18046808   18163558      2       1  30717      -0.6717      0.74911
84966        1   18399240   18714977     19       6  30717      0.86802      0.19269
127707       1   18772424   18822540      3       1  30717      0.34298      0.36581
5081         1   18922500   19085360     11       3  30717       1.0327      0.15086
80834        1   19156093   19221155      2       1  30717      -1.7964      0.96378
8659         1   19187924   19264293      3       2  30717       -1.573      0.94214
126917       1   19220774   19317826      4       1  30717      -1.4419      0.92533
23352        1   19391000   19571812      1       1  30717       1.3806     0.083701
23065        1   19532158   19613053      6       1  30717       0.2979      0.38289
51154        1   19543075   19596622      2       1  30717      0.91575       0.1799
22977        1   19599057   19650280      7       1  30717     -0.24132      0.59535
54896        1   19603740   19668925      6       1  30717     -0.25293      0.59984
8574         1   19619202   19673640      2       1  30717    0.0053194      0.49788
832          1   19655267   19847066     12       1  30717      0.17919      0.42889
440574       1   19888471   19966315      1       1  30717       1.6467      0.04981
100532736    1   19888471   19994949      2       1  30717         1.92     0.027427
4681         1   19934723   19994949      2       1  30717         1.92     0.027427
3362         1   19956780   20016055      1       1  30717        2.029      0.02123
255104       1   19998706   20161424      1       1  30717     -0.86289       0.8059
54546        1   20130522   20176771      1       1  30717     -0.86289       0.8059
30814        1   20236800   20285110      1       1  30717     -0.14261       0.5567
5322         1   20351157   20428394      4       1  30717      0.29962      0.38223
127731       1   20582412   20691662      2       1  30717    -0.029403      0.51173
163933       1   20843932   20891513      8       1  30717     -0.17897      0.57102
978          1   20880444   20955401     29       3  30717      0.85529      0.19619
65018        1   20924948   20988004     13       2  30717        1.414     0.078679
8672         1   21122785   21538381      1       1  30717     0.015542       0.4938
84224        1   21731583   21821393      5       2  30717     0.018021      0.49281
249          1   21800475   21914905      6       1  30717      0.49902      0.30888
5909         1   21912708   22031010      5       1  30717      0.20459      0.41895
84196        1   21994791   22144688      3       1  30717      0.37349      0.35439
3339         1   22138737   22298750     19       2  30717     -0.19981      0.57919
23436        1   22268418   22325847     32       4  30717      0.11819      0.45296
10136        1   22293149   22349035     30       3  30717      0.70986       0.2389
998          1   22344120   22429439     48       2  30717      0.36616      0.35712
54361        1   22433798   22505474     20       1  30717     -0.20763      0.58224
9923         1   22743344   22867650      1       1  30717     -0.30443       0.6196
2046         1   22855004   22940087      4       1  30717       -1.314      0.90558
713          1   22944682   22998130      1       1  30717        1.258       0.1042
2048         1   23002263   23251823     20       5  30717      0.49811       0.3092
646262       1   23269536   23334524      1       1  30717     -0.11506       0.5458
7798         1   23400516   23539301      1       1  30717      0.37347       0.3544
3352         1   23508388   23556222      1       1  30717      0.37347       0.3544
10236        1   23625953   23706143      9       1  30717       2.2793     0.011325
80818        1   23675941   23731357     27       2  30717       2.6571    0.0039409
6920         1   23697555   23786269     23       2  30717       2.7317    0.0031508
55616        1   23745056   23845750      3       1  30717       1.1779      0.11943
1870         1   23822920   23892712      2       1  30717        1.003      0.15794
6135         1   23983269   24032915      4       1  30717     -0.63726      0.73802
6924         1   24034856   24098549      1       1  30717    -0.082813        0.533
57095        1   24069876   24124722      1       1  30717    -0.082813        0.533
11313        1   24082275   24132029      1       1  30717     -0.17154       0.5681
2582         1   24112089   24162294      3       1  30717     -0.24712      0.59759
3155         1   24118367   24200110      4       1  30717     -0.50547      0.69339
2517         1   24161567   24229859      1       1  30717      -1.6636       0.9519
1269         1   24187005   24320549      1       1  30717      -1.6636       0.9519
127294       1   24372531   24473665     10       3  30717      -1.5089      0.93434
58985        1   24436261   24504783      8       3  30717      -1.0978      0.86384
163702       1   24470647   24548765     14       5  30717     -0.70472      0.75951
57822        1   24610812   24700972      2       1  30717     -0.73425       0.7686
90529        1   24673489   24776587      2       1  30717     -0.47629      0.68307
57185        1   24707245   24809473      2       1  30717     -0.36418      0.64214
864          1   25216002   25326648      1       1  30717      0.91765       0.1794
57190        1   26091667   26154713      1       1  30717      -1.3754       0.9155
56181        1   26111397   26169433      1       1  30717      -1.3754       0.9155
5051         1   26276258   26361366      2       1  30717     -0.14643      0.55821
2134         1   26313266   26372955      6       1  30717   -0.0077876      0.50311
7780         1   26354513   26408439     10       1  30717     0.061155      0.47562
84676        1   26367792   26429142      9       1  30717     0.090357        0.464
10256        1   26468981   26526375      3       1  30717      0.35641      0.36077
378807       1   26482119   26539033      3       1  30717      0.35641      0.36077
64793        1   26525644   26615529     36       1  30717     -0.74618      0.77222
83442        1   26571213   26618013     23       1  30717     -0.66404      0.74667
91544        1   26598773   26679756     30       1  30717     -0.54562      0.70733
1043         1   26609411   26657014     26       1  30717     -0.54274      0.70634
55057        1   26638350   26715621      5       1  30717     -0.62782      0.73494
257101       1   26678125   26736023      2       1  30717      0.78189      0.21714
79727        1   26702269   26766219      2       1  30717      0.78189      0.21714
79947        1   26723773   26807797      2       1  30717      0.71073      0.23863
3151         1   26763902   26813133      1       1  30717      0.23578       0.4068
6195         1   26821249   26911520     15       1  30717      -1.1206      0.86877
115572       1   27321511   27374333     23       2  30717     -0.64901      0.74183
6548         1   27415300   27516621      5       1  30717      -1.0272      0.84784
23038        1   27526007   27645124     11       1  30717      0.31425      0.37667
84065        1   27613636   27672891      1       1  30717      0.49443       0.3105
2268         1   27928800   27996727      3       1  30717      0.19007      0.42463
2537         1   27982572   28033724     35       1  30717     -0.27907       0.6099
199870       1   28017490   28099426     26       1  30717     -0.39427      0.65331
23673        1   28064694   28160963      2       1  30717     -0.16689      0.56627
5511         1   28122252   28188183      1       1  30717      0.46658       0.3204
27293        1   28226456   28295663      9       2  30717      0.22201      0.41215
55113        1   28251504   28304604     10       2  30717      0.10461      0.45834
2140         1   28286855   28450173      6       2  30717     0.083318       0.4668
22826        1   28516789   28594542      1       1  30717      0.01504        0.494
83667        1   28550963   28619002      1       1  30717      0.01504        0.494
65979        1   28661093   28836881      1       1  30717      -1.5382        0.938
10691        1   28960234   29052115      3       1  30717     -0.51213      0.69572
51441        1   29028133   29106287      1       1  30717      -1.1397       0.8728
4985         1   29103654   29200208      2       1  30717     -0.93496      0.82509
2035         1   29178603   29456558      3       2  30717     -0.79925      0.78793
51102        1   29509385   29592460      1       1  30717    -0.051409       0.5205
10076        1   29528028   29663325      1       1  30717    -0.051409       0.5205
347735       1   31847412   31917527      3       1  30717      0.99146      0.16073
64129        1   32007086   32063290      4       1  30717   -0.0026943      0.50107
1307         1   32107848   32204768      1       1  30717     -0.14413       0.5573
56063        1   32670040   32722954      1       1  30717      -1.0326       0.8491
84734        1   32677818   32724461      1       1  30717      -1.0326       0.8491
3932         1   32681840   32761766      1       1  30717      -1.0326       0.8491
653121       1   32969772   33081542      3       1  30717       0.1742      0.43086
339487       1   33076421   33151565     27       1  30717      -1.1476      0.87443
5928         1   33081749   33161812     35       1  30717      -1.2436      0.89317
81493        1   33135507   33203361     29       2  30717      -1.8099      0.96485
57648        1   33172492   33250571      8       1  30717      -1.3531      0.91198
127544       1   33392050   33465467      1       1  30717       1.7603      0.03918
204          1   33463541   33537512      2       1  30717       1.3588     0.087103
113451       1   33511711   33596132      3       1  30717       1.3473     0.088938
55223        1   33601000   33682671     10       2  30717     0.089122      0.46449
149076       1   33686908   33776321      1       1  30717      0.33212       0.3699
114784       1   33969609   34666443     30       8  30717      0.68301       0.2473
84970        1   34597624   34694732     10       3  30717      0.58277      0.28002
113444       1   35305963   35360417      4       1  30717       1.3508     0.088378
58512        1   35321037   35426083      2       1  30717      -1.0997      0.86426
79830        1   35490387   35591460     20       1  30717       -0.917      0.82043
6421         1   35631981   35693766      7       1  30717      0.92851      0.17657
9202         1   35699444   35897545      9       1  30717    -0.050781      0.52025
79932        1   35889091   36058037      1       1  30717      0.77558        0.219
23154        1   35988311   36042380      1       1  30717      0.77558        0.219
339488       1   36003971   36070929      1       1  30717      0.77558        0.219
5690         1   36030259   36142445      9       2  30717     -0.14827      0.55894
192669       1   36361364   36532360      8       1  30717     -0.86237      0.80576
27285        1   36514676   36563877      8       1  30717      -0.7096      0.76103
54936        1   36519453   36569533      7       1  30717     -0.69988        0.758
1296         1   36550840   36626305      4       2  30717      0.14661      0.44172
55700        1   36586751   36656450      1       1  30717       1.2624       0.1034
