GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600       -0.497      0.69041
105378580    1     768398     815130     22      11  8087600     -0.48038      0.68452
148398       1     890741     954581     39      19  8087600     0.054313      0.47834
339451       1     924952     975720     36      17  8087600     -0.52114      0.69886
84069        1     931497     985108     29      14  8087600      -0.3936      0.65306
26155        1     934203     994299     38      16  8087600     -0.18476      0.57329
84808        1     965199    1017117     35      12  8087600     0.058016      0.47687
9636         1     978467    1024540     32      11  8087600      0.13392      0.44673
375790       1     985101    1066119     72      24  8087600     -0.24502      0.59678
57801        1     988962    1036285     34      13  8087600      0.30106      0.38169
105369174    1    1026207    1076390     47      17  8087600     -0.65288      0.74308
105378948    1    1055635    1104326     22      14  8087600      -0.9613       0.8318
401934       1    1061746    1109307     22      14  8087600      -0.8721      0.80842
54991        1    1071818    1151356     55      29  8087600     -0.77646      0.78126
254173       1    1138898    1207935     60      29  8087600       -1.499      0.93307
8784         1    1193508    1241709     45      13  8087600      -1.3003      0.90325
126792       1    1197249    1245041     43      13  8087600      -1.1135      0.86726
7293         1    1201326    1249638     42      13  8087600      -1.2753       0.8989
51150        1    1206908    1267067     53      15  8087600     -0.57385      0.71697
388581       1    1232446    1282218     37      11  8087600      0.61102      0.27059
118424       1    1243912    1308854     59      20  8087600     0.055725      0.47778
6339         1    1245415    1302029     42      13  8087600       0.5021       0.3078
126789       1    1273571    1321677     44      23  8087600     -0.06406      0.52554
116983       1    1282384    1342925     53      31  8087600      -1.1037      0.86515
80772        1    1289756    1338896     43      27  8087600        -1.49      0.93188
83756        1    1293999    1345320     43      27  8087600      -1.2039      0.88569
54973        1    1301585    1359687     47      29  8087600     -0.98111      0.83673
1855         1    1325278    1384158     39      16  8087600     -0.89498       0.8146
54587        1    1342689    1398541     29      11  8087600      -1.1535      0.87566
54998        1    1363730    1410438     29      13  8087600     0.086278      0.46562
81669        1    1375711    1434338     36      16  8087600      0.33772      0.36779
643965       1    1391128    1437787     27      13  8087600      0.63882      0.26147
55052        1    1391896    1442834     31      16  8087600      0.51588      0.30297
64856        1    1400523    1452882     35      19  8087600      0.23055      0.40883
219293       1    1406301    1480158     40      19  8087600     -0.56564      0.71418
441869       1    1408420    1456820     30      18  8087600     -0.46158      0.67781
83858        1    1436732    1519479     74      27  8087600      0.21189       0.4161
55210        1    1477143    1544687     70      23  8087600      0.68245      0.24748
339453       1    1524778    1575360     34      14  8087600       0.3733      0.35446
29101        1    1531673    1609882     58      22  8087600      0.90004      0.18405
142678       1    1579975    1640610     32      24  8087600    0.0086257      0.49656
643988       1    1588008    1635096     20      14  8087600      -1.6749      0.95302
8510         1    1597181    1644654     19      14  8087600    -0.085656      0.53413
984          1    1625226    1694839     22      15  8087600      0.61689      0.26865
728661       1    1650025    1727804     34      10  8087600      0.24244      0.40422
728642       1    1692730    1759352     35      11  8087600    0.0078488      0.49687
9906         1    1714838    1780999     38      14  8087600    -0.047223      0.51883
65220        1    1741232    1815514     21      15  8087600     -0.46284      0.67826
2782         1    1775285    1926117     51      26  8087600       -1.276      0.89902
105378949    1    1850960    1903010     17      10  8087600      -1.5386      0.93805
163688       1    1878752    1927294     22      10  8087600      -1.9186      0.97249
339456       1    1907589    1954301     20       6  8087600      -1.6463      0.95015
85452        1    1911951    2038837     68      38  8087600      -2.8771      0.99799
2563         1    1984329    2040753     37      26  8087600      -2.0192      0.97827
5590         1    2015470    2195395    116      51  8087600      -1.5906      0.94415
100506504    1    2171811    2219360     17      13  8087600     -0.29165      0.61472
199990       1    2174460    2247720     36      24  8087600     -0.76841      0.77888
6497         1    2193695    2320213     61      38  8087600     -0.92476      0.82245
105378592    1    2198942    2250211     26      16  8087600      -1.0614      0.85575
105378594    1    2245383    2294676     20      14  8087600     -0.57418      0.71708
79906        1    2311253    2426751     73      49  8087600      -1.2512      0.89457
11079        1    2356314    2415444     31      20  8087600     -0.88819      0.81278
9651         1    2380782    2515530     77      42  8087600     -0.40066      0.65567
5192         1    2394802    2448780     35      27  8087600     -0.82618      0.79565
55229        1    2498531    2561628     35      17  8087600     -0.68341      0.75283
388585       1    2518745    2565245     26      12  8087600     -0.68621      0.75371
8764         1    2521365    2575622     34      17  8087600     -0.80444      0.78943
127281       1    2551460    2601469     38      19  8087600    -0.011856      0.50473
79258        1    2580639    2668042     27      16  8087600      0.42707      0.33467
100287898    1    2626988    2824665     53      13  8087600     0.065613      0.47384
140625       1    2986482    3032903     44       8  8087600    -0.012055      0.50481
63976        1    3033227    3448621    317     132  8087600      0.53862      0.29507
27237        1    3419583    3491115     61      30  8087600      0.32921        0.371
1953         1    3477942    3659757    134      60  8087600      0.49428      0.31055
127262       1    3589992    3640131     37      20  8087600     -0.59295      0.72339
7161         1    3617565    3746201     84      51  8087600      -1.0724      0.85822
49856        1    3620767    3685107     44      28  8087600     -0.80482      0.78954
148870       1    3717398    3781645     49      26  8087600     -0.92279      0.82194
388588       1    3737761    3785982     46      21  8087600      0.05633      0.47754
57470        1    3770220    3831504     69      18  8087600       0.4779      0.31636
9731         1    3802081    3892387     40      16  8087600      0.17309      0.43129
1677         1    3822143    3895429     23      10  8087600      0.12544      0.45009
261734       1    5852808    6027505     87      52  8087600      -1.1031        0.865
8514         1    5957298    6111193     76      50  8087600      -1.1972      0.88438
26038        1    6091787    6215134     56      29  8087600      -1.2029       0.8855
