GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112       0.8142      0.20777
339451       1     860967     911099    128      32  408112       1.2713       0.1018
84069        1     866872     920488    123      34  408112       1.6149     0.053169
26155        1     869583     929679    123      35  408112       1.3728     0.084914
84808        1     900579     952473    131      36  408112      0.16292      0.43529
9636         1     913847     959920    124      32  408112      -0.2113      0.58367
375790       1     920503    1001499    223      50  408112     -0.73654       0.7693
57801        1     924342     971608    126      33  408112     -0.72088      0.76451
401934       1     997126    1044687    101      18  408112       1.9749     0.024141
54991        1    1007198    1086736    204      29  408112       2.0869      0.01845
254173       1    1074286    1143315    216      34  408112       1.9599     0.025003
8784         1    1128888    1177163    177      18  408112       1.5555      0.05991
126792       1    1132629    1180421    170      17  408112       1.4924     0.067801
7293         1    1136706    1184703    176      17  408112       1.4299     0.076369
51150        1    1142288    1202447    203      20  408112       1.3102     0.095068
388581       1    1167826    1217102    136      25  408112      -0.7886      0.78483
118424       1    1179292    1244234    177      37  408112     -0.50529      0.69332
6339         1    1180816    1237409    154      32  408112     -0.87472      0.80914
126789       1    1208962    1257057    125      31  408112     0.028028      0.48882
116983       1    1217764    1278304    145      35  408112      0.17479      0.43062
80772        1    1225136    1274276    119      31  408112      0.34225      0.36608
83756        1    1231726    1279844    108      27  408112      0.27554      0.39145
54973        1    1236965    1295067    113      27  408112      0.42937      0.33383
1855         1    1260658    1319509    108      25  408112       0.6753      0.24974
54587        1    1278071    1332183     84      21  408112      0.89695      0.18487
54998        1    1299110    1345818     84      18  408112      0.94672      0.17189
81669        1    1311091    1369718    124      17  408112      0.63291       0.2634
643965       1    1326508    1373167    101      14  408112      0.63994      0.26111
55052        1    1327276    1377693    103      15  408112      0.60705      0.27191
64856        1    1335903    1388262     97      13  408112      0.46794      0.31991
219293       1    1343152    1415538     99      15  408112      0.56051      0.28756
441869       1    1343800    1391824     84      12  408112      0.46156       0.3222
83858        1    1372139    1454852     99      13  408112      0.27337      0.39228
55210        1    1412523    1480067    115      14  408112      0.22354      0.41156
339453       1    1460158    1510740     81      14  408112       1.3957     0.081404
29101        1    1467053    1545262     81      17  408112       1.7198     0.042734
142678       1    1515795    1575990     44       8  408112      0.91836      0.17922
643988       1    1523388    1570476     38       7  408112      0.79146      0.21434
8510         1    1532060    1580030     37       7  408112       0.7136      0.23774
984          1    1561100    1625473     47       8  408112       1.9845     0.023598
728661       1    1581486    1659243     53      10  408112       1.6609     0.048369
728642       1    1623822    1690999     37       8  408112       2.0241     0.021482
9906         1    1646277    1712438     51      11  408112        2.515    0.0059516
65220        1    1672671    1746508     79      17  408112       2.7938    0.0026046
2782         1    1706725    1857552    164      26  408112       2.9721    0.0014788
163688       1    1811266    1858733     71      12  408112       3.1826   0.00072992
339456       1    1839029    1885740     95      15  408112       2.5092    0.0060507
