GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112      0.86308      0.19405
339451       1     860967     911099    127      32  408112       1.4131     0.078818
84069        1     866872     920488    122      34  408112       1.4582     0.072397
26155        1     869583     929679    122      35  408112       2.1157     0.017186
84808        1     900579     952473    130      35  408112       3.5881   0.00016654
9636         1     913847     959920    124      32  408112       3.5107   0.00022345
375790       1     920503    1001499    223      50  408112       2.7969    0.0025798
57801        1     924342     971608    126      33  408112       3.4293   0.00030261
401934       1     997126    1044687    101      18  408112       2.3255     0.010023
54991        1    1007198    1086736    204      29  408112       2.0985     0.017931
254173       1    1074286    1143315    216      34  408112       1.0635      0.14379
8784         1    1128888    1177163    177      18  408112       1.3891     0.082404
126792       1    1132629    1180421    170      17  408112       1.4423     0.074606
7293         1    1136706    1184703    176      17  408112       1.4805     0.069374
51150        1    1142288    1202447    203      20  408112       1.6457      0.04991
388581       1    1167826    1217102    136      25  408112       2.7741    0.0027677
118424       1    1179292    1244234    177      37  408112         2.85    0.0021857
6339         1    1180816    1237409    154      32  408112       2.8657    0.0020806
126789       1    1208962    1257057    125      31  408112       2.9486    0.0015962
116983       1    1217764    1278304    145      35  408112       2.6288     0.004284
80772        1    1225136    1274276    119      31  408112       2.3499    0.0093904
83756        1    1231726    1279844    108      27  408112       2.4637    0.0068755
54973        1    1236965    1295067    113      27  408112       2.7917    0.0026216
1855         1    1260658    1319509    108      25  408112       2.5639    0.0051755
54587        1    1278071    1332183     84      21  408112       2.2184     0.013263
54998        1    1299110    1345818     84      18  408112       1.5894      0.05598
81669        1    1311091    1369718    124      17  408112      0.94308      0.17282
643965       1    1326508    1373167    101      14  408112      0.84763      0.19832
55052        1    1327276    1377693    103      15  408112       0.8173      0.20688
64856        1    1335903    1388262     97      13  408112      0.70644      0.23996
219293       1    1343152    1415538     99      15  408112      0.67267      0.25058
441869       1    1343800    1391824     84      12  408112      0.57417      0.28293
83858        1    1372139    1454852     99      13  408112       2.2762     0.011416
55210        1    1412523    1480067    115      14  408112       2.3559    0.0092396
339453       1    1460158    1510740     81      14  408112        1.571     0.058096
29101        1    1467053    1545262     81      17  408112       1.7291     0.041892
142678       1    1515795    1575990     44       8  408112       2.9061      0.00183
643988       1    1523388    1570476     38       7  408112       2.6098    0.0045303
8510         1    1532060    1580030     37       7  408112       3.0971   0.00097728
984          1    1561100    1625473     47       8  408112       4.8549   6.0237e-07
728661       1    1581486    1659243     53      10  408112        4.783    8.634e-07
728642       1    1623822    1690999     37       8  408112    -0.046398       0.5185
9906         1    1646277    1712438     51      11  408112    -0.076358      0.53043
65220        1    1672671    1746508     75      16  408112    -0.066058      0.52633
2782         1    1706725    1857552    158      24  408112      -0.2809      0.61061
163688       1    1811266    1858733     70      11  408112     -0.73251      0.76807
339456       1    1839029    1885740     95      15  408112     -0.42511      0.66462
85452        1    1843390    1970276    226      35  408112    -0.032967      0.51315
2563         1    1915768    1972192     72      15  408112       0.5443      0.29312
5590         1    1946909    2126834    356      64  408112       3.2867   0.00050681
100506504    1    2103250    2150812     86      29  408112       2.6781    0.0037025
199990       1    2105899    2179159    126      38  408112       3.1357   0.00085721
6497         1    2125134    2251652    229      65  408112       4.7995    7.953e-07
79906        1    2241719    2358190    320      60  408112       3.3398    0.0004192
11079        1    2288214    2346883    130      40  408112       2.5371    0.0055891
5192         1    2326241    2379010    118      46  408112       1.0068      0.15701
9651         1    2372754    2446964    193      43  408112      -1.7567      0.96052
55229        1    2429975    2493061    159      33  408112     -0.78539      0.78389
388585       1    2450184    2496684     99      24  408112     -0.50072      0.69171
8764         1    2452291    2505268    118      28  408112      0.19057      0.42443
127281       1    2482899    2532908    117      26  408112      0.23254      0.40806
79258        1    2512078    2599499    193      30  408112     0.040798      0.48373
100287898    1    2562807    2741230    216      31  408112    -0.018353      0.50732
140625       1    2903046    2949467    138      12  408112      0.66821        0.252
63976        1    2950565    3365185   1073     153  408112       4.7927   8.2294e-07
27237        1    3336147    3407677    173      33  408112       1.8679     0.030891
1953         1    3394506    3563059    419      83  408112       1.2857     0.099274
127262       1    3506556    3556695    134      35  408112     -0.56334       0.7134
7161         1    3534129    3662765    257      56  408112      -2.5503      0.99462
49856        1    3537331    3601671    136      33  408112      -1.4578      0.92755
148870       1    3633965    3698209    167      34  408112     -0.72457      0.76564
388588       1    3654352    3702546    147      28  408112     -0.31162      0.62233
57470        1    3686784    3748068    225      30  408112     -0.60908      0.72876
9731         1    3718645    3808797    352      34  408112      -1.1509      0.87512
1677         1    3738845    3811993    298      35  408112       -1.043      0.85154
339448       1    3795697    3851857    133      24  408112      0.96656      0.16688
55966        1    4680105    4853851    726     119  408112      -1.1624      0.87747
261734       1    5912870    6087618    538      38  408112       2.2479     0.012292
8514         1    6017358    6171253    338      65  408112       1.4805     0.069369
26038        1    6151847    6275194    248      51  408112       1.2926     0.098072
388591       1    6231189    6291359    118      25  408112       1.4804     0.069385
6146         1    6235080    6294679    111      24  408112        1.077      0.14075
390992       1    6269252    6315638     87      18  408112      0.86297      0.19408
23463        1    6271253    6331044    110      21  408112      0.95232      0.17047
387509       1    6297406    6356035    108      24  408112      0.14007       0.4443
11332        1    6314332    6488826    517      30  408112      0.79624      0.21295
83715        1    6449836    6531004    210      25  408112       2.5298    0.0057071
54626        1    6465292    6519724    140      19  408112       2.4098    0.0079808
8718         1    6510787    6562432    102      22  408112       2.6103    0.0045231
57449        1    6516152    6615121    214      41  408112       4.3985    5.449e-06
79707        1    6571407    6649658    175      29  408112       4.2018    1.324e-05
80835        1    6579987    6649817    155      26  408112         4.04   2.6726e-05
3104         1    6605051    6659340    126      34  408112       3.8421   6.0985e-05
148479       1    6638756    6694093    103      34  408112       1.7419     0.040763
9903         1    6640784    6697958    111      36  408112       1.6665     0.047802
90326        1    6649925    6705646    114      36  408112       1.8555     0.031761
55735        1    6684228    6796966    219      46  408112        1.871     0.030674
23261        1    6810384    7839766   2131     216  408112       2.8489    0.0021934
9341         1    7796329    7851492     95      26  408112       2.2985     0.010768
8863         1    7809413    7915241    253      35  408112       2.4045    0.0080975
10911        1    7897672    7948551    165      32  408112       1.5977      0.05506
3604         1    7965931    8038225    110      34  408112       3.5319   0.00020633
11315        1    7986714    8055342    109      33  408112       3.9554   3.8206e-05
54206        1    8061779    8121393    101      21  408112       3.5629   0.00018337
50651        1    8343171    8414227    140      35  408112       6.2189   2.5029e-10
473          1    8402464    8912699    702      51  408112       7.5848   1.6644e-14
2023         1    8911059    8974151    105      30  408112       2.3725    0.0088329
765          1    8970893    9045151    185      53  408112       1.9403     0.026171
155184       1    9053359    9121404    150      40  408112       2.3541     0.009285
6518         1    9087005    9166763    219      38  408112       1.6283      0.05173
80045        1    9153472    9224229    140      38  408112       2.1192     0.017035
9563         1    9259822    9341396    213      46  408112       4.5924   2.1913e-06
80176        1    9300202    9439591    422      87  408112        4.058    2.475e-05
84275        1    9564528    9652831    115      28  408112        2.467    0.0068128
199953       1    9613932    9684935     82      22  408112       1.5171     0.064618
5293         1    9676789    9799172    225      62  408112       4.8426   6.4078e-07
22883        1    9779079    9919550    244      53  408112       2.0942     0.018123
56998        1    9898334   10005316    210      46  408112       2.9171    0.0017666
64802        1    9968486   10055556    131      30  408112       5.4609   2.3682e-08
84328        1    9972168   10038460     99      25  408112        5.184   1.0861e-07
116362       1   10022255   10086078    109      22  408112       5.5501   1.4273e-08
10277        1   10058041   10251297    429      36  408112       6.1883   3.0409e-10
23095        1   10235606   10451664    593      28  408112       6.2185   2.5104e-10
5226         1   10423884   10490565    164      32  408112       4.9275   4.1653e-07
378708       1   10454944   10520239    119      34  408112       4.8505   6.1569e-07
100526739    1   10455159   10522060    121      35  408112        4.749   1.0219e-06
1325         1   10474776   10522060     76      25  408112       4.2023   1.3209e-05
5195         1   10500003   10700815    324      44  408112       3.9767   3.4942e-05
1676         1   10510588   10567613     95      21  408112       4.4092   5.1883e-06
54897        1   10686661   10891733    368      91  408112        4.412     5.12e-06
148345       1   10996530   11077094    159      28  408112       1.2681      0.10238
23435        1   11037462   11095549     95      19  408112      0.39157      0.34769
10747        1   11076580   11142296    135      15  408112      0.24696      0.40247
6723         1   11104649   11155091     92       7  408112      0.27554      0.39145
5394         1   11116675   11194961    145       8  408112      0.17782      0.42943
2475         1   11156588   11357614    320      18  408112      0.42902      0.33395
10218        1   11214346   11266038     79       5  408112      0.27045      0.39341
29914        1   11298255   11358491     82      16  408112      0.44604      0.32778
57540        1   11504295   11607640    174      33  408112       1.5766     0.057443
93611        1   11679432   11733384     97      28  408112       1.8118     0.035011
26270        1   11689150   11744411    104      29  408112       1.6305     0.051499
26232        1   11697924   11749888     91      25  408112       1.5941     0.055456
374946       1   11716781   11790336    131      34  408112       1.5471     0.060919
10459        1   11724537   11786678    110      29  408112       1.0005      0.15852
57085        1   11761142   11820828     91      24  408112       2.3327    0.0098323
284498       1   11788827   11859642    153      26  408112       2.0417     0.020589
1185         1   11831153   11913201    304      19  408112       1.3263      0.09237
4524         1   11835787   11901160    251      20  408112        1.469     0.070912
4878         1   11895766   11942840    160      29  408112       1.5937     0.055497
4879         1   11907521   11953992    144      27  408112       2.5062    0.0061011
5351         1   11959724   12045599    187      30  408112        1.051      0.14663
90231        1   11969645   12021485    117      19  408112      0.77545      0.21904
9927         1   12005238   12083572    139      22  408112       1.3083     0.095394
60672        1   12044299   12102106     84      17  408112       2.1304      0.01657
943          1   12088434   12214264    170      44  408112       4.3314   7.4079e-06
7133         1   12192044   12279279    152      23  408112       2.7235    0.0032298
55187        1   12255101   12582099    617      33  408112       1.5545     0.060033
9249         1   12617939   12712820    213      43  408112      0.47604      0.31702
343066       1   12669566   12737097    133      17  408112       0.5757      0.28241
126767       1   12741118   12798726     86      25  408112     -0.35696      0.63944
93190        1   12771163   12831102    130      21  408112     -0.16663      0.56617
390999       1   12799984   12848049     99      17  408112     -0.14469      0.55752
65121        1   12816546   12866777    130      24  408112     0.090489      0.46395
440560       1   12874468   12926264    113       6  408112      -1.5834      0.94334
65122        1   12881941   12931764    112       6  408112      -1.6027       0.9455
343069       1   12897261   12943578    108       6  408112      -1.5917      0.94428
400735       1   12929033   12981025      1       1  408112       1.7169        0.043
441871       1   12941467   12990300      1       1  408112       1.7169        0.043
343071       1   12942727   12993094      1       1  408112       1.7169        0.043
440563       1   13172960   13219326     48       8  408112      -2.1345       0.9836
400736       1   13437414   13487656      4       1  408112       -1.806      0.96454
654348       1   13460254   13508260      4       1  408112       -1.806      0.96454
391003       1   13464053   13512569      4       1  408112       -1.806      0.96454
729528       1   13658269   13708511      1       1  408112     -0.22754         0.59
391004       1   13681088   13729064      1       1  408112     -0.22754         0.59
645414       1   13684889   13733405      1       1  408112     -0.22754         0.59
645425       1   13701907   13757803      1       1  408112     -0.22754         0.59
126755       1   13791445   13875242    219      51  408112     -0.24925      0.59841
10630        1   13875252   13954452    182      50  408112     -0.99944      0.84121
7799         1   13991714   14161574    421      34  408112      0.60066      0.27403
23254        1   14184646   15454544   3380     351  408112       2.1294     0.016609
55092        1   15444028   15556974    396      36  408112      0.74809       0.2272
727684       1   15480692   15533120    149      26  408112      0.48597      0.31349
114827       1   15538730   15734767    492      80  408112      0.62255      0.26679
79180        1   15701391   15766839    189      38  408112      0.75378      0.22549
11330        1   15729938   15783153    127      33  408112      0.76508      0.22211
63036        1   15748223   15808586    148      35  408112       0.9782      0.16399
51032        1   15767596   15827895    141      35  408112       1.6177     0.052865
842          1   15807896   15886407    148      20  408112       1.9796     0.023873
23341        1   15818343   15908228    173      22  408112       1.8788     0.030134
79814        1   15888194   15946605    158      16  408112       1.4942     0.067562
84301        1   15908953   16005539    218      16  408112        1.155      0.12405
6248         1   15951364   15998217     88      11  408112       1.0283       0.1519
23207        1   15975632   16071264    230      27  408112      0.87933      0.18961
284723       1   16027721   16077884    135      25  408112      0.43734      0.33093
388595       1   16033987   16084292    136      25  408112     0.097731      0.46107
54751        1   16048107   16123089    181      42  408112     -0.54733      0.70793
440567       1   16123657   16169194    151      16  408112      0.40775      0.34173
23013        1   16139359   16276951    282      36  408112       1.1631      0.12239
7709         1   16258364   16337627    204      41  408112       1.3909     0.082127
101928566    1   16267626   16333701    178      37  408112       1.3998     0.080783
149563       1   16295731   16343184    157      31  408112       1.2101      0.11312
1187         1   16313486   16370548    222      33  408112       1.1032      0.13498
27129        1   16330523   16381084    207      32  408112      0.89552      0.18526
1188         1   16335231   16393821    239      37  408112       1.2176      0.11169
348487       1   16374264   16435127    194      29  408112       1.6148     0.053176
1969         1   16440832   16517582    107      29  408112      0.70251      0.24118
128272       1   16514599   16574104    115      17  408112       3.2765   0.00052542
101927546    1   16541343   16588528     74      13  408112       3.1214   0.00090003
79363        1   16548182   16598659     84      13  408112        3.093   0.00099076
54455        1   16563339   16713965    237      27  408112        2.979     0.001446
26099        1   16658525   16734643    124      20  408112       2.5749     0.005014
374955       1   16712101   16798919    172      32  408112       2.1401     0.016173
55707        1   16732167   16796585    129      25  408112       1.8738     0.030477
100133301    1   16830561   16876198     39       6  408112      0.60459      0.27272
729574       1   16964498   17010007      1       1  408112      0.33185         0.37
9696         1   17213445   17309474    133      19  408112     -0.29816      0.61721
4237         1   17290997   17343081     88      23  408112     -0.36135      0.64108
23400        1   17302453   17373467    117      24  408112     -0.63179      0.73624
6390         1   17335217   17415665    197      24  408112     -0.96945      0.83384
11240        1   17383256   17480948    253      38  408112       1.0841      0.13916
29943        1   17496621   17582501    267      48  408112       1.8349     0.033262
51702        1   17540593   17620728    262      40  408112     -0.20258      0.58027
23569        1   17599690   17700495    302      39  408112     -0.28257      0.61125
353238       1   17663741   17738195    243      42  408112       2.1786     0.014682
55920        1   17723251   17801250    175      33  408112       2.4515    0.0071124
55160        1   17811693   18034370    338      61  408112       1.0875       0.1384
81569        1   18046808   18163558    201      36  408112     -0.84573      0.80115
84966        1   18399240   18714977    697     125  408112      0.45577      0.32428
127707       1   18772424   18822540    148      37  408112    -0.063473       0.5253
5081         1   18922500   19085360    359      70  408112      -0.0924      0.53681
80834        1   19156093   19221155    262      48  408112       1.1836      0.11829
8659         1   19187924   19264293    280      38  408112     -0.84408      0.80069
126917       1   19220774   19317826    281      43  408112     -0.66429      0.74675
23352        1   19391000   19571812    353      45  408112      -0.3859      0.65021
23065        1   19532158   19613053    251      22  408112    -0.063644      0.52537
51154        1   19543075   19596622    156      23  408112     0.029728      0.48814
22977        1   19599057   19650280    136      19  408112       1.7995     0.035973
54896        1   19603740   19668925    182      33  408112       2.9717     0.001481
8574         1   19619202   19673640    154      29  408112       3.4472   0.00028321
832          1   19655267   19847066    567      43  408112       5.4037   3.2637e-08
440574       1   19888471   19966315    223      24  408112       1.0041      0.15767
100532736    1   19888471   19994949    307      33  408112        3.064    0.0010921
4681         1   19934723   19994949    179      30  408112       3.2998   0.00048371
3362         1   19956780   20016055    163      36  408112       4.3169   7.9116e-06
255104       1   19998706   20161424    369      57  408112        1.991     0.023239
54546        1   20130522   20176771    119      29  408112       2.1153     0.017204
23252        1   20173356   20249438    199      34  408112     -0.12437      0.54949
30814        1   20236800   20285110    128      31  408112      -0.0959       0.5382
5320         1   20291924   20341932    127      34  408112      0.62739       0.2652
5322         1   20351157   20428394    175      38  408112       1.0641      0.14363
26279        1   20429143   20481059     87      32  408112     -0.94274      0.82709
64600        1   20430823   20486879     84      32  408112      -1.0324      0.84905
127733       1   20477578   20532540     86      24  408112      0.22139      0.41239
391013       1   20480484   20536687     83      24  408112       0.3255       0.3724
127731       1   20582412   20691662    270      46  408112      0.95865      0.16887
55450        1   20798884   20847728    121      28  408112      0.84211      0.19986
79594        1   20815941   20869674    146      28  408112       0.7163       0.2369
163933       1   20843932   20891513    134      26  408112       2.3915     0.008391
978          1   20880444   20955401    216      39  408112        5.799   3.3348e-09
65018        1   20924948   20988004    192      26  408112       3.5259   0.00021101
1650         1   20968260   21023037    148      37  408112       3.1417   0.00083975
57576        1   20980475   21079317    241      64  408112       3.9762   3.5006e-05
400745       1   21036225   21094133    115      29  408112        3.862   5.6225e-05
50809        1   21059170   21148808    139      27  408112       3.6293   0.00014211
8672         1   21122785   21538381    678      42  408112       4.5275   2.9842e-06
1889         1   21533740   21707034    440      63  408112       2.8518    0.0021734
84224        1   21731583   21821393    273      35  408112      0.85532      0.19619
249          1   21800475   21914905    345      56  408112      0.51197      0.30434
5909         1   21912708   22031010    324      80  408112       1.5667     0.058597
84196        1   21994791   22144688    417      55  408112      0.59406      0.27624
401944       1   22103758   22161714    144      44  408112    -0.026172      0.51044
3339         1   22138737   22298750    401      54  408112      0.50296       0.3075
23436        1   22268418   22325847    223      30  408112      0.48162      0.31504
10136        1   22293149   22349035    229      29  408112      0.55128      0.29072
998          1   22344120   22429439    198      38  408112       3.9452   3.9875e-05
54361        1   22433798   22505474    215      61  408112       3.1512    0.0008131
9923         1   22743344   22867650    178      42  408112      0.68161      0.24774
2046         1   22855004   22940087    245      53  408112       1.9549     0.025299
712          1   22928118   22976175    129      28  408112       0.4403      0.32986
714          1   22934969   22984603    115      30  408112      0.46425      0.32123
713          1   22944682   22998130    122      29  408112      0.36494      0.35758
2048         1   23002263   23251823    408      80  408112       3.7531   8.7323e-05
646262       1   23269536   23334524    107      31  408112       5.2097   9.4563e-08
23028        1   23310937   23420184    124      32  408112       3.6927   0.00011095
729059       1   23327327   23377343     63      20  408112       4.0103   3.0317e-05
7798         1   23400516   23539301    264      34  408112       5.3792   3.7418e-08
3352         1   23508388   23556222    129      21  408112       4.4688   3.9336e-06
10236        1   23625953   23706143    157      27  408112       4.4501   4.2921e-06
80818        1   23675941   23731357    116      25  408112        5.237     8.16e-08
6920         1   23697555   23786269    158      38  408112       4.7284   1.1316e-06
55616        1   23745056   23845750    212      30  408112       4.0199   2.9111e-05
1870         1   23822920   23892712    116      32  408112       6.6841    1.162e-11
3399         1   23874421   23921285     51      17  408112       5.5565   1.3763e-08
6135         1   23983269   24032915    101      24  408112       1.1703      0.12094
6924         1   24034856   24098549    114      20  408112       1.8074     0.035354
57095        1   24069876   24124722     69      10  408112       1.1675      0.12151
11313        1   24082275   24132029     52      13  408112       2.0562     0.019882
2582         1   24112089   24162294     44      14  408112       2.7528     0.002954
3155         1   24118367   24200110    107      22  408112       6.5984   2.0785e-11
2517         1   24161567   24229859    143      23  408112       6.1094        5e-10
1269         1   24187005   24320549    124      21  408112       7.5126   2.8977e-14
55629        1   24251301   24299952      2       1  408112       6.1094        5e-10
10772        1   24282935   24341953      4       2  408112       7.0204   1.1066e-12
127294       1   24372531   24473665    282      51  408112       4.0102   3.0339e-05
58985        1   24436261   24504783    185      41  408112       2.3602    0.0091331
163702       1   24470647   24548765    157      33  408112       1.6771     0.046761
57822        1   24610812   24700972    194      46  408112       3.1641   0.00077787
90529        1   24673489   24776587    265      33  408112       3.7596   8.5103e-05
57185        1   24707245   24809473    253      37  408112       3.6445   0.00013396
11123        1   24793841   24873510    190      36  408112      0.21168      0.41618
400746       1   24847567   24945819    307      45  408112       1.1964      0.11577
10250        1   24934594   25009772     82      18  408112       1.3469     0.089014
25932        1   25036760   25180815    157      45  408112       4.7043   1.2736e-06
864          1   25216002   25326648    191      50  408112       6.4843    4.457e-11
25949        1   25538767   25594013     97      12  408112        1.587      0.05626
57035        1   25558740   25609010     66       9  408112       1.4515      0.07332
6007         1   25563884   25666936    102      19  408112       1.2197       0.1113
23585        1   25629789   25698852     66      11  408112       1.0937      0.13705
6006         1   25677853   25782363    146      16  408112       1.9781     0.023958
55219        1   25722388   25836700    121      13  408112       2.1965     0.014027
26119        1   25835071   25905377     90      19  408112       2.1996     0.013917
57134        1   25908959   26121258    220      38  408112      0.60516      0.27254
57190        1   26091667   26154713     82      26  408112       2.2987     0.010761
56181        1   26111397   26169433     78      19  408112       2.4679    0.0067963
79000        1   26148414   26220939    107      17  408112       2.8805    0.0019853
164091       1   26177975   26237461     77      16  408112       2.3493    0.0094039
3925         1   26200670   26268368     93      18  408112       1.8501     0.032147
5051         1   26276258   26361366    150      42  408112        1.615     0.053152
2134         1   26313266   26372955    110      36  408112       1.3714      0.08513
7780         1   26354513   26408439    130      29  408112       2.1777     0.014716
84676        1   26367792   26429142    171      27  408112       2.2595     0.011925
149420       1   26402656   26462039    155      14  408112       2.2248     0.013048
79927        1   26450511   26499119    121      27  408112       2.7346    0.0031229
51042        1   26461388   26507364    124      33  408112       3.0555    0.0011234
10256        1   26468981   26526375    163      39  408112       3.5765   0.00017411
378807       1   26482119   26539033    178      39  408112       3.9487    3.929e-05
64793        1   26525644   26615529    275      23  408112       3.3086   0.00046877
83442        1   26571213   26618013    120      19  408112       3.1852   0.00072325
91544        1   26598773   26679756    200      30  408112       3.5053   0.00022804
1043         1   26609411   26657014    122      22  408112       3.5625   0.00018368
55057        1   26638350   26715621    192      36  408112       2.3682    0.0089377
257101       1   26678125   26736023    149      35  408112       3.1047   0.00095226
79727        1   26702269   26766219    123      29  408112       4.5882    2.235e-06
79947        1   26723773   26807797    139      36  408112       5.6417   8.4204e-09
3151         1   26763902   26813133     68      23  408112       4.7218   1.1689e-06
6195         1   26821249   26911520    140      42  408112       5.9604   1.2582e-09
8289         1   26987522   27118601    161      17  408112       4.6343   1.7908e-06
101928728    1   27008623   27057896     72       9  408112       4.5822   2.3004e-06
55650        1   27078739   27134894     70      14  408112       4.7912   8.2907e-07
84243        1   27118201   27194092     97      17  408112       4.0429   2.6401e-05
2810         1   27154633   27200947     66      11  408112       3.6955   0.00010974
54707        1   27195872   27251869     89      16  408112       3.5689   0.00017922
63906        1   27206979   27261962     83      17  408112       3.7266   9.7052e-05
10726        1   27213187   27283362    113      22  408112       4.0515   2.5441e-05
8431         1   27227975   27275567     81      18  408112       3.8752   5.3279e-05
126695       1   27266047   27321901     98      16  408112       3.7772   7.9316e-05
388610       1   27285189   27337377     78      14  408112       3.7324   9.4815e-05
115572       1   27321511   27374333     79      17  408112        2.023     0.021536
6548         1   27415300   27516621    145      13  408112      0.59067      0.27737
23038        1   27526007   27645124    168      24  408112       1.8119     0.035004
84065        1   27613636   27672891    103      23  408112       1.8605      0.03141
84958        1   27633483   27690423    123      26  408112       1.8426     0.032694
9064         1   27671670   27728558     96      31  408112       1.1563      0.12379
2827         1   27684148   27732318     74      27  408112      0.64025        0.261
