GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112       1.5761     0.057498
339451       1     860967     911099    127      32  408112      0.74183      0.22909
84069        1     866872     920488    122      34  408112       2.3497    0.0093946
26155        1     869583     929679    122      35  408112       2.5026    0.0061634
84808        1     900579     952473    130      35  408112        3.681   0.00011616
9636         1     913847     959920    124      32  408112       3.6352    0.0001389
375790       1     920503    1001499    223      50  408112       2.6775    0.0037087
57801        1     924342     971608    126      33  408112         2.73    0.0031665
401934       1     997126    1044687    101      18  408112      0.90475       0.1828
54991        1    1007198    1086736    204      29  408112       1.7998     0.035945
254173       1    1074286    1143315    216      34  408112       2.6554    0.0039611
8784         1    1128888    1177163    177      18  408112        1.848     0.032302
126792       1    1132629    1180421    170      17  408112       1.8331     0.033394
7293         1    1136706    1184703    176      17  408112        1.702     0.044376
51150        1    1142288    1202447    203      20  408112       1.7637      0.03889
388581       1    1167826    1217102    136      25  408112       2.8674    0.0020694
118424       1    1179292    1244234    177      37  408112       3.2977   0.00048745
6339         1    1180816    1237409    154      32  408112       3.2604    0.0005563
126789       1    1208962    1257057    125      31  408112        3.593   0.00016346
116983       1    1217764    1278304    145      35  408112       3.4727   0.00025758
80772        1    1225136    1274276    119      31  408112       3.4787   0.00025194
83756        1    1231726    1279844    108      27  408112       3.4099   0.00032494
54973        1    1236965    1295067    113      27  408112       3.1728   0.00075479
1855         1    1260658    1319509    108      25  408112       3.2236    0.0006329
54587        1    1278071    1332183     84      21  408112       2.8391    0.0022619
54998        1    1299110    1345818     84      18  408112        3.218   0.00064534
81669        1    1311091    1369718    124      17  408112       3.2367   0.00060455
643965       1    1326508    1373167    101      14  408112       3.1424   0.00083796
55052        1    1327276    1377693    103      15  408112       3.1429   0.00083634
64856        1    1335903    1388262     97      13  408112       3.0933   0.00098988
219293       1    1343152    1415538     99      15  408112       2.9384    0.0016494
441869       1    1343800    1391824     84      12  408112       3.0064    0.0013216
83858        1    1372139    1454852     99      13  408112       2.0875     0.018421
55210        1    1412523    1480067    115      14  408112       1.8647     0.031115
339453       1    1460158    1510740     81      14  408112      0.42827      0.33423
29101        1    1467053    1545262     81      17  408112      0.43549       0.3316
142678       1    1515795    1575990     44       8  408112      0.45562      0.32433
643988       1    1523388    1570476     38       7  408112      0.52766      0.29887
8510         1    1532060    1580030     37       7  408112      0.32056      0.37427
984          1    1561100    1625473     47       8  408112       1.4364     0.075438
728661       1    1581486    1659243     53      10  408112       1.7118     0.043467
728642       1    1623822    1690999     37       8  408112       5.8196   2.9503e-09
9906         1    1646277    1712438     50      10  408112       6.4411   5.9323e-11
65220        1    1672671    1746508     73      15  408112       6.5938   2.1435e-11
2782         1    1706725    1857552    157      24  408112       6.6396   1.5728e-11
163688       1    1811266    1858733     70      11  408112       6.1238   4.5698e-10
339456       1    1839029    1885740     95      15  408112       5.9479   1.3578e-09
85452        1    1843390    1970276    226      35  408112       4.8815   5.2644e-07
2563         1    1915768    1972192     72      15  408112       1.1713      0.12075
5590         1    1946909    2126834    356      64  408112       3.9123   4.5706e-05
100506504    1    2103250    2150812     86      29  408112       6.2079   2.6853e-10
199990       1    2105899    2179159    126      38  408112       6.1094        5e-10
6497         1    2125134    2251652    229      65  408112       6.1094        5e-10
79906        1    2241719    2358190    320      60  408112       3.0335    0.0012085
11079        1    2288214    2346883    130      40  408112       3.0351    0.0012021
5192         1    2326241    2379010    118      46  408112      0.72259      0.23497
9651         1    2372754    2446964    193      43  408112      0.15479      0.43849
55229        1    2429975    2493061    158      32  408112      0.61093      0.27062
388585       1    2450184    2496684     98      24  408112      0.78055      0.21753
8764         1    2452291    2505268    117      28  408112       1.0054      0.15734
127281       1    2482899    2532908    116      25  408112       1.7196     0.042757
79258        1    2512078    2599499    193      30  408112       2.0131      0.02205
100287898    1    2562807    2741230    216      31  408112      0.99246      0.16049
140625       1    2903046    2949467    138      12  408112     -0.87288      0.80864
63976        1    2950565    3365185   1073     153  408112      0.85781       0.1955
27237        1    3336147    3407677    173      33  408112       1.2272      0.10987
1953         1    3394506    3563059    419      83  408112        1.593      0.05558
127262       1    3506556    3556695    134      35  408112        1.516     0.064755
7161         1    3534129    3662765    257      56  408112        1.304     0.096112
49856        1    3537331    3601671    136      33  408112       1.1274      0.12979
148870       1    3633965    3698209    167      34  408112       6.1094        5e-10
388588       1    3654352    3702546    147      28  408112       6.1094        5e-10
57470        1    3686784    3748068    225      30  408112       6.1094        5e-10
9731         1    3718645    3808797    352      34  408112       6.8865   2.8587e-12
1677         1    3738845    3811993    298      35  408112       8.5016   9.3463e-18
339448       1    3795697    3851857    133      24  408112       3.7557   8.6426e-05
55966        1    4680105    4853851    726     119  408112     -0.99702      0.84062
261734       1    5912870    6087618    538      38  408112      0.52296       0.3005
8514         1    6017358    6171253    338      65  408112       2.4205    0.0077501
26038        1    6151847    6275194    248      51  408112       1.0408      0.14898
388591       1    6231189    6291359    118      25  408112      0.58687      0.27865
6146         1    6235080    6294679    111      24  408112      0.66034      0.25452
390992       1    6269252    6315638     87      18  408112      0.50408       0.3071
23463        1    6271253    6331044    110      21  408112     0.014085      0.49438
387509       1    6297406    6356035    108      24  408112      -1.1617      0.87732
11332        1    6314332    6488826    518      31  408112      0.40488      0.34278
83715        1    6449836    6531004    210      25  408112      0.95778      0.16909
54626        1    6465292    6519724    140      19  408112      0.97343      0.16517
8718         1    6510787    6562432    102      22  408112        1.918     0.027553
57449        1    6516152    6615121    214      41  408112       7.1967   3.0848e-13
79707        1    6571407    6649658    175      29  408112       7.2248   2.5097e-13
80835        1    6579987    6649817    155      26  408112       7.4813   3.6804e-14
3104         1    6605051    6659340    126      34  408112       6.9822   1.4524e-12
148479       1    6638756    6694093    103      34  408112       4.8485   6.2187e-07
9903         1    6640784    6697958    111      36  408112       4.8645   5.7387e-07
90326        1    6649925    6705646    114      36  408112       4.8674   5.6538e-07
55735        1    6684228    6796966    219      46  408112       4.6546   1.6228e-06
23261        1    6810384    7839766   2131     216  408112       2.1637     0.015242
9341         1    7796329    7851492     95      26  408112     -0.16607      0.56595
8863         1    7809413    7915241    252      34  408112       1.2157      0.11204
