GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
163259       1  115117155  115247732      4       2  55134      -1.0831      0.86062
270          1  115205719  115273239     19       5  55134      0.34881      0.36362
4893         1  115237085  115294515     40       7  55134    -0.067626      0.52696
7812         1  115249534  115335671     64       9  55134     -0.29554      0.61621
80143        1  115302100  115358308     50      12  55134      -1.2118       0.8872
6847         1  115362455  115547991    258      19  55134     -0.83777      0.79892
7252         1  115537445  115586930     67       9  55134     -0.82295      0.79473
10100        1  115580632  115667121    152      25  55134     0.097567      0.46114
4803         1  115818537  115915857    204      45  55134      0.32254      0.37352
81839        1  116149574  116250845    163      25  55134      0.84012      0.20042
845          1  116232624  116346426    183      24  55134     -0.88135      0.81093
4808         1  116368998  116418747     90      15  55134      0.30415      0.38051
55356        1  116484119  116622675    162      19  55134      0.11183      0.45548
126868       1  116619376  116687861     74      11  55134      0.41418      0.33937
476          1  116879802  116958069     76       6  55134      0.77732      0.21848
965          1  117047156  117148715     46      10  55134     -0.10253      0.54083
3321         1  117107020  117245377     53      10  55134     -0.32811      0.62859
388667       1  117201734  117259225     24       7  55134     -0.29022      0.61418
914          1  117262057  117321851     59      14  55134     -0.39119      0.65217
5738         1  117417689  117542972    162      21  55134      -1.8956      0.97099
9398         1  117509372  117589173    123      21  55134      -1.3123      0.90528
8458         1  117567910  117655492    109      21  55134       -1.351      0.91165
80263        1  117643677  117699411     67       9  55134     -0.86758      0.80719
79679        1  117676209  117788582    145      19  55134      0.15792      0.43726
10905        1  117875085  118078320    313      18  55134     -0.42582      0.66488
54855        1  118113604  118181011    117      16  55134      -2.5627      0.99481
54834        1  118396107  118507302     64      14  55134     -0.79641       0.7871
10885        1  118437372  118513049     41      10  55134    -0.014205      0.50567
200162       1  118486288  118762848    292      16  55134      0.69972      0.24205
6913         1  119415666  119567179    215      29  55134      -1.1465      0.87421
10352        1  119563839  119718404    212      23  55134      -1.3715      0.91489
51179        1  119876399  119946753     97      21  55134     -0.10172      0.54051
3284         1  119922554  119975662     66      10  55134     -0.42087      0.66307
3283         1  120014826  120067681     22       6  55134      0.68351      0.24714
90874        1  120152000  120225813     76      19  55134      -1.3177       0.9062
26227        1  120219419  120296849     72      19  55134       -1.276      0.89902
3158         1  120280619  120346555     65      13  55134      0.11403      0.45461
83998        1  120326641  120389203     36       7  55134        2.047     0.020328
343505       1  120367388  120422503     22       4  55134       2.8232    0.0023776
11085        1  120426156  120474147     57       8  55134       2.0421     0.020569
4853         1  120444176  120674880     90       7  55134       1.7961      0.03624
148738       1  145378191  145427545     22       3  55134     -0.55815      0.71163
10628        1  145403438  145452635     10       3  55134     0.044911      0.48209
284615       1  145435508  145485647      8       4  55134      0.70284      0.24108
128077       1  145442059  145511670     10       5  55134      0.26856      0.39413
84265        1  145446236  145511081      8       4  55134     -0.20464      0.58107
9939         1  145472557  145523536      7       3  55134     -0.84133      0.79992
8799         1  145481165  145533732      6       2  55134      -1.0589      0.85519
