GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
375790       1     920503    1001499      1       1  633787       2.7266       0.0032
401934       1     997126    1044687     17       4  666559       3.1791   0.00073859
54991        1    1007198    1086736     32       7  649180       2.7195    0.0032686
254173       1    1074286    1143315     19       7  650922      0.36932      0.35594
8784         1    1128888    1177163     12       4  678408       2.9099    0.0018076
126792       1    1132629    1180421     10       3  676992       2.8282    0.0023404
7293         1    1136706    1184703     10       3  676669       3.1153   0.00091865
51150        1    1142288    1202447     13       4  677001        3.617   0.00014904
388581       1    1167826    1217102     13       4  675755       3.3933    0.0003453
118424       1    1179292    1244234     17       6  653198        3.926   4.3189e-05
6339         1    1180816    1237409     15       6  664244       3.6824   0.00011552
126789       1    1208962    1257057      8       3  626553       3.0195     0.001266
116983       1    1217764    1278304      6       2  609446       3.0866    0.0010124
80772        1    1225136    1274276      6       2  609446       3.0866    0.0010124
83756        1    1231726    1279844      4       1  613217       3.0775    0.0010437
54973        1    1236965    1295067      3       1  595941       3.1209   0.00090152
1855         1    1260658    1319509      3       2  638079       5.8078   3.1647e-09
54587        1    1278071    1332183      3       2  638079       5.8078   3.1647e-09
54998        1    1299110    1345818      3       2  638079       5.8078   3.1647e-09
81669        1    1311091    1369718      1       1  669749       2.5828       0.0049
83858        1    1372139    1454852      2       1  644013      0.40373      0.34321
55210        1    1412523    1480067     10       3  664791       4.2742   9.5908e-06
339453       1    1460158    1510740     17       2  687588        4.914   4.4612e-07
29101        1    1467053    1545262     17       2  690236       4.9628   3.4744e-07
9906         1    1646277    1712438      3       1  675979      0.75948      0.22378
65220        1    1672671    1746508     12       3  649930        1.714     0.043267
2782         1    1706725    1857552     45       6  662535       1.0855      0.13884
163688       1    1811266    1858733      9       3  663090       1.0741      0.14139
339456       1    1839029    1885740     12       2  692233       1.7253      0.04224
85452        1    1843390    1970276     16       3  671873        1.832     0.033479
2563         1    1915768    1972192      1       1  490900       2.3615       0.0091
5590         1    1946909    2126834     68       7  692295       6.1094        5e-10
100506504    1    2103250    2150812     13       3  689389       6.1094        5e-10
199990       1    2105899    2179159     20       4  689452       6.1094        5e-10
6497         1    2125134    2251652     69      15  678895       6.1094        5e-10
79906        1    2241719    2358190     81      19  678861       4.9131   4.4834e-07
11079        1    2288214    2346883     44      14  672055       3.9397   4.0792e-05
5192         1    2326241    2379010     19       7  640060       2.8565    0.0021417
9651         1    2372754    2446964     37       8  675386      0.67708      0.24918
55229        1    2429975    2493061     16       4  673901       0.8143      0.20774
388585       1    2450184    2496684      8       3  653468       1.6403     0.050469
8764         1    2452291    2505268     10       3  664525       1.2338      0.10865
127281       1    2482899    2532908     23       3  701653      0.56324      0.28664
79258        1    2512078    2599499     29       3  698317      0.54329      0.29347
100287898    1    2562807    2741230     16       4  692357       1.1029      0.13505
140625       1    2903046    2949467     49       2  703254       1.7947     0.036349
63976        1    2950565    3365185    300      60  682325       5.4749   2.1887e-08
27237        1    3336147    3407677     36       7  682328       1.6354     0.050987
1953         1    3394506    3563059     64      23  638628        4.506   3.3036e-06
127262       1    3506556    3556695     22       8  653540       3.8185   6.7126e-05
7161         1    3534129    3662765     57      20  649778       3.0207     0.001261
49856        1    3537331    3601671     26       9  648467       3.4827    0.0002482
148870       1    3633965    3698209     49      13  686895       2.1298     0.016593
388588       1    3654352    3702546     42      10  691298       2.6277    0.0042978
57470        1    3686784    3748068     74      10  695310       4.0766   2.2853e-05
9731         1    3718645    3808797    102      12  696252       4.6872   1.3851e-06
1677         1    3738845    3811993     89      13  696655        4.966   3.4168e-07
339448       1    3795697    3851857     34       5  690332      0.69546      0.24338
55966        1    4680105    4853851    262      49  693080       1.0432      0.14842
261734       1    5912870    6087618    177      14  700191       1.1814      0.11872
8514         1    6017358    6171253     90      19  682662       1.0787      0.14037
26038        1    6151847    6275194     58      13  664230       1.3683      0.08561
388591       1    6231189    6291359     15       5  661672       1.2627      0.10334
6146         1    6235080    6294679     17       5  665025       1.2521      0.10526
390992       1    6269252    6315638     15       4  671914       1.8042     0.035602
23463        1    6271253    6331044     18       4  672399        1.832     0.033477
387509       1    6297406    6356035     16       5  680759       2.1552     0.015574
11332        1    6314332    6488826     59       8  696625       3.1143   0.00092189
83715        1    6449836    6531004     21       4  704977        2.456    0.0070249
54626        1    6465292    6519724     10       2  707556       1.8632      0.03122
8718         1    6510787    6562432     16       4  671978     -0.30823      0.62105
57449        1    6516152    6615121     56       6  691469       6.0008   9.8203e-10
79707        1    6571407    6649658     47       3  694488       6.2565   1.9682e-10
80835        1    6579987    6649817     41       3  696273       6.3059   1.4329e-10
3104         1    6605051    6659340     20       5  686224       6.4746    4.753e-11
148479       1    6638756    6694093     23       5  697748       4.2992   8.5698e-06
9903         1    6640784    6697958     26       5  699902       4.1714   1.5139e-05
90326        1    6649925    6705646     26       5  703787       4.1679   1.5374e-05
55735        1    6684228    6796966     59       7  705380       3.8213   6.6382e-05
23261        1    6810384    7839766    959     119  697045       5.2394   8.0571e-08
9341         1    7796329    7851492     30       7  686221       6.0367   7.8647e-10
8863         1    7809413    7915241     79      13  689766       6.8776   3.0441e-12
10911        1    7897672    7948551     21       6  693778       6.1048   5.1473e-10
3604         1    7965931    8038225     23       6  692612       6.6588   1.3801e-11
11315        1    7986714    8055342     26       6  696210       7.7016   6.7168e-15
54206        1    8061779    8121393     21       3  703773       7.6975   6.9389e-15
50651        1    8343171    8414227     32       7  695703       4.2182   1.2312e-05
473          1    8402464    8912699    270      12  700747       6.4472    5.695e-11
2023         1    8911059    8974151     39       6  695520        2.678    0.0037026
765          1    8970893    9045151     65      20  679706       1.4803     0.069401
