GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112    -0.017299       0.5069
339451       1     860967     911099    127      32  408112     -0.38051      0.64822
84069        1     866872     920488    122      34  408112    -0.038385      0.51531
26155        1     869583     929679    122      35  408112      0.21353      0.41546
84808        1     900579     952473    130      35  408112       1.4842     0.068872
9636         1     913847     959920    124      32  408112       1.9917       0.0232
375790       1     920503    1001499    223      50  408112       1.6481     0.049665
57801        1     924342     971608    126      33  408112       2.0707     0.019194
401934       1     997126    1044687    101      18  408112      0.37383      0.35427
54991        1    1007198    1086736    204      29  408112     0.058915      0.47651
254173       1    1074286    1143315    216      34  408112       1.2763      0.10093
8784         1    1128888    1177163    177      18  408112       2.2083     0.013612
126792       1    1132629    1180421    170      17  408112       2.2442      0.01241
7293         1    1136706    1184703    176      17  408112       2.2096     0.013566
51150        1    1142288    1202447    203      20  408112       2.2444     0.012405
388581       1    1167826    1217102    136      25  408112       2.7632    0.0028617
118424       1    1179292    1244234    177      37  408112       2.5626     0.005194
6339         1    1180816    1237409    154      32  408112       2.5471    0.0054313
126789       1    1208962    1257057    125      31  408112       2.4264    0.0076237
116983       1    1217764    1278304    145      35  408112       2.5665    0.0051363
80772        1    1225136    1274276    119      31  408112       2.4976    0.0062524
83756        1    1231726    1279844    108      27  408112       2.5034    0.0061499
54973        1    1236965    1295067    113      27  408112       2.5602    0.0052306
1855         1    1260658    1319509    108      25  408112       2.7818    0.0027031
54587        1    1278071    1332183     84      21  408112       2.7619    0.0028732
54998        1    1299110    1345818     84      18  408112        2.436    0.0074255
81669        1    1311091    1369718    124      17  408112       1.8028     0.035708
643965       1    1326508    1373167    101      14  408112         1.69     0.045513
55052        1    1327276    1377693    103      15  408112       1.6656     0.047898
64856        1    1335903    1388262     97      13  408112       1.6513     0.049335
219293       1    1343152    1415538     99      15  408112        1.652     0.049267
441869       1    1343800    1391824     84      12  408112       1.6359     0.050927
83858        1    1372139    1454852     99      13  408112      0.70043      0.24183
55210        1    1412523    1480067    115      14  408112      0.83349      0.20228
339453       1    1460158    1510740     81      14  408112       1.6429       0.0502
29101        1    1467053    1545262     81      17  408112       1.7697     0.038385
142678       1    1515795    1575990     44       8  408112      0.88635      0.18771
643988       1    1523388    1570476     38       7  408112      0.98915      0.16129
8510         1    1532060    1580030     37       7  408112      0.99371      0.16018
984          1    1561100    1625473     47       8  408112      0.34309      0.36577
728661       1    1581486    1659243     53      10  408112      0.54392      0.29325
728642       1    1623822    1690999     37       8  408112      0.71551      0.23715
9906         1    1646277    1712438     51      11  408112      0.29055       0.3857
65220        1    1672671    1746508     76      16  408112      0.10296        0.459
2782         1    1706725    1857552    159      25  408112     -0.15218      0.56048
163688       1    1811266    1858733     70      11  408112     -0.22584      0.58934
339456       1    1839029    1885740     95      15  408112      0.15458      0.43858
85452        1    1843390    1970276    226      35  408112     -0.14791      0.55879
2563         1    1915768    1972192     72      15  408112      0.04668      0.48138
5590         1    1946909    2126834    356      64  408112      0.73744      0.23043
100506504    1    2103250    2150812     86      29  408112      0.85005      0.19765
199990       1    2105899    2179159    126      38  408112       1.0869      0.13853
6497         1    2125134    2251652    229      65  408112       1.2191      0.11141
79906        1    2241719    2358190    320      60  408112     0.036095       0.4856
11079        1    2288214    2346883    130      40  408112      0.32554      0.37239
5192         1    2326241    2379010    118      46  408112      0.24027      0.40506
9651         1    2372754    2446964    193      43  408112      -1.3052      0.90408
55229        1    2429975    2493061    158      32  408112      -1.1018      0.86473
388585       1    2450184    2496684     98      24  408112     -0.72192      0.76483
8764         1    2452291    2505268    117      28  408112     -0.71551      0.76285
127281       1    2482899    2532908    116      25  408112     -0.78477      0.78371
79258        1    2512078    2599499    193      30  408112     -0.50791      0.69424
100287898    1    2562807    2741230    216      31  408112     -0.69505      0.75649
140625       1    2903046    2949467    138      12  408112       2.7458    0.0030185
63976        1    2950565    3365185   1073     153  408112       2.3799    0.0086579
27237        1    3336147    3407677    173      33  408112     -0.13977      0.55558
1953         1    3394506    3563059    419      83  408112    -0.058785      0.52344
127262       1    3506556    3556695    134      35  408112      -0.1297       0.5516
7161         1    3534129    3662765    257      56  408112      0.97655       0.1644
49856        1    3537331    3601671    136      33  408112      0.71467      0.23741
148870       1    3633965    3698209    167      34  408112      0.91571      0.17991
388588       1    3654352    3702546    147      28  408112      0.41024      0.34081
57470        1    3686784    3748068    225      30  408112      0.52175      0.30092
9731         1    3718645    3808797    352      34  408112      0.19298      0.42349
1677         1    3738845    3811993    298      35  408112      0.14069      0.44406
339448       1    3795697    3851857    133      24  408112     -0.35475      0.63861
