GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
401934       1     997126    1044687      2       1  3024       1.3774      0.08419
54991        1    1007198    1086736      3       1  3024       1.5447     0.061207
254173       1    1074286    1143315      6       4  3024      -1.5107      0.93457
8784         1    1128888    1177163      3       1  3024     -0.64133      0.73934
126792       1    1132629    1180421      3       1  3024     -0.64133      0.73934
7293         1    1136706    1184703      2       1  3024     -0.23891      0.59441
51150        1    1142288    1202447      2       1  3024     -0.23891      0.59441
388581       1    1167826    1217102      1       1  3024     0.083316       0.4668
55210        1    1412523    1480067      1       1  3024      0.81024       0.2089
339453       1    1460158    1510740      1       1  3024      0.81024       0.2089
65220        1    1672671    1746508      1       1  3024     -0.91613       0.8202
2782         1    1706725    1857552      3       1  3024     0.062855      0.47494
339456       1    1839029    1885740      1       1  3024     -0.78987       0.7852
85452        1    1843390    1970276      1       1  3024     -0.78987       0.7852
5590         1    1946909    2126834      6       3  3024       1.0587      0.14488
100506504    1    2103250    2150812      2       1  3024       1.0973      0.13626
199990       1    2105899    2179159      3       2  3024      0.66563      0.25282
6497         1    2125134    2251652      5       3  3024      0.52563      0.29957
79906        1    2241719    2358190     13       6  3024       2.0382     0.020765
11079        1    2288214    2346883     10       6  3024       1.9459     0.025834
5192         1    2326241    2379010      3       2  3024      0.19954      0.42092
9651         1    2372754    2446964      4       2  3024     -0.81939      0.79372
55229        1    2429975    2493061      1       1  3024      -1.2988        0.903
8764         1    2452291    2505268      1       1  3024      -1.4669       0.9288
127281       1    2482899    2532908      1       1  3024      -1.4669       0.9288
79258        1    2512078    2599499      2       1  3024       0.0684      0.47273
100287898    1    2562807    2741230      2       1  3024       1.9215     0.027332
140625       1    2903046    2949467      3       2  3024      0.45811      0.32344
63976        1    2950565    3365185     35      19  3024      -0.5568      0.71117
27237        1    3336147    3407677      2       1  3024    0.0090868      0.49637
1953         1    3394506    3563059     12       8  3024      0.47245       0.3183
127262       1    3506556    3556695      4       2  3024       1.4593     0.072247
7161         1    3534129    3662765      8       5  3024      0.53877      0.29502
49856        1    3537331    3601671      4       2  3024      0.73815      0.23021
148870       1    3633965    3698209      7       3  3024     -0.20116      0.57971
388588       1    3654352    3702546      5       2  3024      -1.1041      0.86523
57470        1    3686784    3748068      5       2  3024     -0.01534      0.50612
9731         1    3718645    3808797      8       3  3024       0.8843      0.18827
1677         1    3738845    3811993      9       4  3024      0.72305      0.23482
339448       1    3795697    3851857      4       2  3024     -0.99084      0.83912
55966        1    4680105    4853851     34      17  3024      0.70812      0.23943
261734       1    5912870    6087618     12       4  3024       1.0712      0.14204
8514         1    6017358    6171253      4       2  3024      0.44061      0.32975
26038        1    6151847    6275194      8       4  3024      0.47164      0.31859
388591       1    6231189    6291359      1       1  3024      0.56805        0.285
6146         1    6235080    6294679      2       1  3024    0.0012387      0.49951
390992       1    6269252    6315638      1       1  3024     -0.30706       0.6206
23463        1    6271253    6331044      2       1  3024     -0.32203      0.62628
387509       1    6297406    6356035      1       1  3024      0.23681       0.4064
11332        1    6314332    6488826      8       3  3024     -0.48537      0.68629
83715        1    6449836    6531004      5       2  3024     0.024654      0.49017
54626        1    6465292    6519724      2       1  3024      0.07583      0.46978
8718         1    6510787    6562432      3       2  3024      0.22252      0.41195
57449        1    6516152    6615121      8       3  3024     -0.81887      0.79357
79707        1    6571407    6649658      7       2  3024      -1.0595      0.85531
80835        1    6579987    6649817      6       2  3024      -1.1061      0.86566
3104         1    6605051    6659340      4       2  3024     -0.86455      0.80636
148479       1    6638756    6694093      2       1  3024      -0.3378      0.63224
9903         1    6640784    6697958      1       1  3024      -0.9234       0.8221
90326        1    6649925    6705646      2       1  3024      -1.3375      0.90947
55735        1    6684228    6796966      8       4  3024      -1.4559      0.92728
23261        1    6810384    7839766    120      52  3024   -0.0021103      0.50084
9341         1    7796329    7851492      2       1  3024     -0.90885      0.81828
8863         1    7809413    7915241      7       2  3024      -1.4231      0.92264
10911        1    7897672    7948551      3       2  3024      0.61841      0.26815
3604         1    7965931    8038225      3       2  3024      0.98015      0.16351
11315        1    7986714    8055342      3       2  3024     -0.36682      0.64312
54206        1    8061779    8121393      1       1  3024      0.97694       0.1643
50651        1    8343171    8414227      1       1  3024      -1.5341       0.9375
473          1    8402464    8912699     12       4  3024      0.47227      0.31837
2023         1    8911059    8974151      3       2  3024      0.94155      0.17321
765          1    8970893    9045151     11       6  3024     -0.91608      0.82019
155184       1    9053359    9121404     12       6  3024      0.42631      0.33494
6518         1    9087005    9166763      8       3  3024      0.79317      0.21384
80045        1    9153472    9224229     11       5  3024      0.29887      0.38252
9563         1    9259822    9341396      2       1  3024       1.5535     0.060154
80176        1    9300202    9439591      7       4  3024      0.69197      0.24448
84275        1    9564528    9652831      5       2  3024     -0.89114      0.81357
199953       1    9613932    9684935      2       1  3024     -0.73168      0.76782
5293         1    9676789    9799172      2       1  3024      0.32506      0.37257
22883        1    9779079    9919550      4       1  3024       1.4092     0.079391
56998        1    9898334   10005316      1       1  3024      0.78373       0.2166
64802        1    9968486   10055556      2       1  3024     -0.57449      0.71718
84328        1    9972168   10038460      2       1  3024     -0.57449      0.71718
116362       1   10022255   10086078      2       1  3024     -0.57449      0.71718
10277        1   10058041   10251297     11       4  3024      -1.4476      0.92613
23095        1   10235606   10451664     15       3  3024      0.53556      0.29613
5226         1   10423884   10490565      3       1  3024       1.3621     0.086585
378708       1   10454944   10520239      1       1  3024      -1.2133       0.8875
100526739    1   10455159   10522060      1       1  3024      -1.2133       0.8875
1325         1   10474776   10522060      1       1  3024      -1.2133       0.8875
5195         1   10500003   10700815      9       4  3024      0.68683       0.2461
1676         1   10510588   10567613      4       2  3024      0.55704      0.28875
54897        1   10686661   10891733     13       8  3024         1.01      0.15624
148345       1   10996530   11077094      6       3  3024      -1.5742      0.94228
23435        1   11037462   11095549      4       2  3024      -1.0045      0.84243
10747        1   11076580   11142296      1       1  3024      -0.6213       0.7328
6723         1   11104649   11155091      1       1  3024      -0.6213       0.7328
5394         1   11116675   11194961      2       1  3024      -0.8209      0.79415
2475         1   11156588   11357614      6       2  3024       2.0616     0.019624
10218        1   11214346   11266038      1       1  3024       2.5426     0.005501
29914        1   11298255   11358491      2       1  3024       1.3284     0.092024
57540        1   11504295   11607640      8       3  3024     -0.46388      0.67863
93611        1   11679432   11733384      3       2  3024       2.3917    0.0083861
26270        1   11689150   11744411      4       2  3024        2.145     0.015977
26232        1   11697924   11749888      3       2  3024     -0.13926      0.55538
374946       1   11716781   11790336      6       3  3024     0.059871      0.47613
10459        1   11724537   11786678      5       3  3024      0.35503      0.36128
57085        1   11761142   11820828      6       3  3024      0.58504      0.27926
284498       1   11788827   11859642      4       2  3024        0.381       0.3516
1185         1   11831153   11913201      8       3  3024     0.053655       0.4786
4524         1   11835787   11901160      6       2  3024      0.22279      0.41185
4878         1   11895766   11942840      8       4  3024     -0.81217      0.79165
4879         1   11907521   11953992      6       3  3024     -0.61829      0.73181
5351         1   11959724   12045599      4       2  3024      -1.4843      0.93114
90231        1   11969645   12021485      4       2  3024      -1.4843      0.93114
9927         1   12005238   12083572      3       2  3024      -1.5388      0.93807
60672        1   12044299   12102106      3       1  3024     -0.96839      0.83358
943          1   12088434   12214264     11       6  3024     -0.18897      0.57494
7133         1   12192044   12279279      9       4  3024     -0.55442      0.71035
55187        1   12255101   12582099     18      10  3024      -1.8107      0.96491
9249         1   12617939   12712820     10       5  3024      0.89054      0.18659
343066       1   12669566   12737097      7       4  3024      0.63984      0.26114
126767       1   12741118   12798726      3       2  3024      -1.7421      0.95925
93190        1   12771163   12831102      2       1  3024     0.070426      0.47193
390999       1   12799984   12848049      1       1  3024      0.76579       0.2219
126755       1   13791445   13875242     13       7  3024      0.28639      0.38729
10630        1   13875252   13954452     12       7  3024    -0.004109      0.50164
7799         1   13991714   14161574      5       3  3024      0.90823      0.18188
23254        1   14184646   15454544    130      65  3024     -0.12506      0.54976
55092        1   15444028   15556974     13       6  3024      0.36429      0.35782
727684       1   15480692   15533120      5       3  3024      0.19643      0.42214
114827       1   15538730   15734767     21      12  3024      0.38125      0.35151
79180        1   15701391   15766839      6       3  3024     -0.48321      0.68553
11330        1   15729938   15783153      3       1  3024      0.37993        0.352
63036        1   15748223   15808586      3       1  3024      0.37993        0.352
51032        1   15767596   15827895      2       1  3024      0.48756      0.31293
842          1   15807896   15886407      4       2  3024      0.18632       0.4261
23341        1   15818343   15908228      2       1  3024    -0.094427      0.53762
79814        1   15888194   15946605      1       1  3024       0.3606       0.3592
84301        1   15908953   16005539      2       1  3024      0.28979      0.38599
6248         1   15951364   15998217      1       1  3024       0.2549       0.3994
23207        1   15975632   16071264      8       2  3024      0.94355       0.1727
284723       1   16027721   16077884      7       2  3024      0.87515      0.19075
388595       1   16033987   16084292      7       2  3024      0.70983       0.2389
54751        1   16048107   16123089      4       2  3024       1.9365     0.026404
440567       1   16123657   16169194      4       2  3024     -0.43088      0.66672
23013        1   16139359   16276951      6       2  3024      -1.0911      0.86239
7709         1   16258364   16337627      6       3  3024      -2.0172      0.97816
101928566    1   16267626   16333701      5       3  3024      -2.1295      0.98339
149563       1   16295731   16343184      3       2  3024      -1.8446      0.96745
1187         1   16313486   16370548      2       1  3024      -1.0791      0.85973
27129        1   16330523   16381084      2       1  3024     -0.73244      0.76805
1188         1   16335231   16393821      3       1  3024      -1.1224      0.86914
348487       1   16374264   16435127      4       2  3024       -1.264      0.89688
1969         1   16440832   16517582      5       2  3024       1.6842     0.046067
128272       1   16514599   16574104      4       2  3024       0.2794      0.38997
101927546    1   16541343   16588528      1       1  3024      -1.7369       0.9588
79363        1   16548182   16598659      2       1  3024     -0.83903      0.79927
54455        1   16563339   16713965      5       2  3024       1.0336      0.15066
26099        1   16658525   16734643      5       2  3024       1.6744     0.047021
374955       1   16712101   16798919      8       4  3024      0.88627      0.18773
55707        1   16732167   16796585      5       2  3024      0.28228      0.38886
9696         1   17213445   17309474      2       1  3024      0.91115      0.18111
4237         1   17290997   17343081      2       1  3024      0.85841      0.19533
23400        1   17302453   17373467      2       1  3024     -0.50527      0.69331
6390         1   17335217   17415665      2       1  3024    -0.059141      0.52358
11240        1   17383256   17480948      1       1  3024      0.25879       0.3979
29943        1   17496621   17582501     12       7  3024      -1.4113      0.92092
51702        1   17540593   17620728     18       8  3024     -0.66765      0.74782
23569        1   17599690   17700495      8       3  3024      -0.3315      0.62987
353238       1   17663741   17738195      7       3  3024     0.076005      0.46971
55920        1   17723251   17801250      2       1  3024     -0.95662      0.83062
55160        1   17811693   18034370     13       7  3024      0.67802      0.24888
81569        1   18046808   18163558     14       6  3024       1.2264      0.11002
84966        1   18399240   18714977     46      25  3024      0.32785      0.37151
127707       1   18772424   18822540     12       5  3024       0.4745      0.31757
5081         1   18922500   19085360     12       6  3024      0.73507      0.23115
80834        1   19156093   19221155      4       2  3024      0.56773      0.28511
8659         1   19187924   19264293      4       2  3024       1.0222      0.15334
126917       1   19220774   19317826      5       2  3024      0.75095      0.22634
23352        1   19391000   19571812      7       3  3024    -0.042247      0.51685
23065        1   19532158   19613053      6       2  3024      -1.7357      0.95869
51154        1   19543075   19596622      4       1  3024      -1.4097      0.92069
22977        1   19599057   19650280      2       1  3024     -0.67975      0.75167
54896        1   19603740   19668925      2       1  3024     -0.67975      0.75167
8574         1   19619202   19673640      3       2  3024     -0.83666      0.79861
832          1   19655267   19847066     23       8  3024     -0.80557      0.78975
440574       1   19888471   19966315      6       2  3024      0.33192      0.36998
100532736    1   19888471   19994949      9       3  3024     0.035246      0.48594
4681         1   19934723   19994949      8       3  3024      0.15898      0.43684
3362         1   19956780   20016055      6       3  3024     -0.89296      0.81406
255104       1   19998706   20161424     18      11  3024      0.17662       0.4299
54546        1   20130522   20176771      6       4  3024       0.7333      0.23169
23252        1   20173356   20249438      8       4  3024      0.78113      0.21736
30814        1   20236800   20285110      4       2  3024      0.18755      0.42562
5320         1   20291924   20341932      4       2  3024      -3.5008      0.99977
5322         1   20351157   20428394      5       3  3024     -0.78438      0.78359
26279        1   20429143   20481059      3       2  3024     -0.23046      0.59113
64600        1   20430823   20486879      3       2  3024     -0.23046      0.59113
127733       1   20477578   20532540      3       2  3024      0.82117      0.20577
391013       1   20480484   20536687      3       2  3024      0.82117      0.20577
127731       1   20582412   20691662     17       7  3024      0.42642       0.3349
55450        1   20798884   20847728      1       1  3024        0.226       0.4106
79594        1   20815941   20869674      2       1  3024     -0.03442      0.51373
163933       1   20843932   20891513      3       2  3024     -0.43695      0.66892
978          1   20880444   20955401      7       4  3024      0.61524       0.2692
65018        1   20924948   20988004      5       3  3024      0.19195      0.42389
1650         1   20968260   21023037      5       3  3024       -1.836      0.96682
57576        1   20980475   21079317      8       5  3024      0.47221      0.31839
400745       1   21036225   21094133      4       2  3024       1.4126     0.078889
50809        1   21059170   21148808      4       2  3024       1.4126     0.078889
8672         1   21122785   21538381     10       2  3024      0.78317      0.21676
1889         1   21533740   21707034     15       8  3024      0.51542      0.30313
84224        1   21731583   21821393      3       2  3024      0.49952      0.30871
249          1   21800475   21914905     17       7  3024       1.1759      0.11982
5909         1   21912708   22031010     23      11  3024       1.1381      0.12753
84196        1   21994791   22144688     15       7  3024      0.51015      0.30497
401944       1   22103758   22161714      5       3  3024     0.041798      0.48333
3339         1   22138737   22298750     14       6  3024     -0.53417      0.70339
23436        1   22268418   22325847      8       3  3024      0.73904      0.22994
10136        1   22293149   22349035      3       2  3024       1.5342     0.062495
998          1   22344120   22429439      1       1  3024       1.3865       0.0828
54361        1   22433798   22505474      8       4  3024    -0.015119      0.50603
9923         1   22743344   22867650      6       2  3024     -0.40606      0.65765
2046         1   22855004   22940087      7       3  3024      -1.0202      0.84619
712          1   22928118   22976175      2       1  3024     -0.72634      0.76618
714          1   22934969   22984603      2       1  3024      0.31293      0.37717
713          1   22944682   22998130      4       2  3024      -0.1955       0.5775
2048         1   23002263   23251823     17       9  3024     -0.38677      0.65054
646262       1   23269536   23334524      1       1  3024       2.1054      0.01763
23028        1   23310937   23420184      1       1  3024      0.61554       0.2691
729059       1   23327327   23377343      1       1  3024      0.61554       0.2691
7798         1   23400516   23539301      3       2  3024      0.23651      0.40652
3352         1   23508388   23556222      1       1  3024      0.12036       0.4521
10236        1   23625953   23706143      4       2  3024      0.26512      0.39546
80818        1   23675941   23731357      2       1  3024      0.55967      0.28785
6920         1   23697555   23786269      2       1  3024      0.25245      0.40035
55616        1   23745056   23845750      2       1  3024      -1.5727      0.94211
1870         1   23822920   23892712      3       1  3024     -0.24512      0.59682
3399         1   23874421   23921285      2       1  3024      0.34203      0.36616
6135         1   23983269   24032915      2       1  3024     0.094793      0.46224
6924         1   24034856   24098549      3       2  3024     0.077545       0.4691
127294       1   24372531   24473665     19       8  3024      -1.0041      0.84233
58985        1   24436261   24504783     12       5  3024     -0.29977      0.61782
163702       1   24470647   24548765      8       4  3024     -0.98104      0.83671
57822        1   24610812   24700972      8       4  3024      0.54592      0.29256
90529        1   24673489   24776587      7       3  3024      0.34948      0.36336
57185        1   24707245   24809473      4       2  3024      0.31615      0.37594
11123        1   24793841   24873510      7       3  3024      0.27762      0.39065
400746       1   24847567   24945819     11       6  3024      0.54126      0.29417
25932        1   25036760   25180815      1       1  3024     -0.48285       0.6854
864          1   25216002   25326648     13       7  3024       0.1221      0.45141
23585        1   25629789   25698852      1       1  3024     0.082058       0.4673
6006         1   25677853   25782363      1       1  3024      0.23218       0.4082
55219        1   25722388   25836700      1       1  3024      0.23218       0.4082
26119        1   25835071   25905377      2       1  3024     -0.42239      0.66363
57134        1   25908959   26121258      4       2  3024     -0.37996      0.64801
57190        1   26091667   26154713      1       1  3024     -0.35285       0.6379
56181        1   26111397   26169433      2       1  3024     -0.95189      0.82942
79000        1   26148414   26220939      2       1  3024     -0.39895      0.65504
164091       1   26177975   26237461      1       1  3024      0.28036       0.3896
3925         1   26200670   26268368      1       1  3024      0.28036       0.3896
5051         1   26276258   26361366      4       2  3024       1.8608     0.031388
2134         1   26313266   26372955      4       2  3024       1.8608     0.031388
7780         1   26354513   26408439      1       1  3024       1.7428      0.04068
84676        1   26367792   26429142      3       1  3024       1.4144     0.078624
149420       1   26402656   26462039      4       1  3024       1.6075     0.053974
79927        1   26450511   26499119      2       1  3024      0.19732      0.42179
51042        1   26461388   26507364      2       1  3024      0.19732      0.42179
10256        1   26468981   26526375      8       4  3024      0.27254       0.3926
378807       1   26482119   26539033     11       5  3024      0.23273      0.40798
64793        1   26525644   26615529     14       4  3024     -0.23634      0.59341
83442        1   26571213   26618013      6       2  3024    -0.058162      0.52319
91544        1   26598773   26679756      8       3  3024      0.53896      0.29496
1043         1   26609411   26657014      4       2  3024       1.0012      0.15836
55057        1   26638350   26715621     10       4  3024     0.010119      0.49596
257101       1   26678125   26736023      9       4  3024     0.071957      0.47132
79727        1   26702269   26766219      7       3  3024      0.56303      0.28671
79947        1   26723773   26807797      5       2  3024      0.24009      0.40513
3151         1   26763902   26813133      2       1  3024     0.065261      0.47398
6195         1   26821249   26911520      6       3  3024       0.1504      0.44022
8289         1   26987522   27118601      2       1  3024     -0.23289      0.59208
55650        1   27078739   27134894      1       1  3024      0.44877       0.3268
84243        1   27118201   27194092      1       1  3024      -1.9481       0.9743
2810         1   27154633   27200947      1       1  3024      -1.9481       0.9743
54707        1   27195872   27251869      2       1  3024     -0.32212      0.62632
63906        1   27206979   27261962      3       2  3024     -0.40435      0.65702
10726        1   27213187   27283362      3       2  3024     -0.40435      0.65702
8431         1   27227975   27275567      3       2  3024     -0.40435      0.65702
115572       1   27321511   27374333      1       1  3024       -1.808       0.9647
6548         1   27415300   27516621      3       1  3024       -2.382      0.99139
23038        1   27526007   27645124      3       2  3024      -1.2449      0.89341
84065        1   27613636   27672891      1       1  3024     -0.70663       0.7601
84958        1   27633483   27690423      2       1  3024      -1.5052      0.93386
9064         1   27671670   27728558      1       1  3024      -1.0821       0.8604
10163        1   27720734   27851678      3       2  3024       1.0936      0.13707
27245        1   27850756   27965463      4       2  3024       1.2939     0.097844
2268         1   27928800   27996727      4       2  3024       2.2938     0.010902
2537         1   27982572   28033724      3       2  3024       1.0247      0.15275
199870       1   28017490   28099426      1       1  3024     -0.80157       0.7886
23673        1   28064694   28160963      4       1  3024      -1.1144      0.86745
5511         1   28122252   28188183      1       1  3024     -0.10144       0.5404
9473         1   28164055   28223196      1       1  3024         1.66      0.04846
6118         1   28208035   28276255      3       2  3024      0.97637      0.16444
27293        1   28226456   28295663      2       1  3024    -0.049409       0.5197
55113        1   28251504   28304604      2       1  3024    -0.049409       0.5197
2140         1   28286855   28450173      4       2  3024      0.47885      0.31602
5724         1   28463677   28555447      2       1  3024        1.968     0.024532
22826        1   28516789   28594542      4       2  3024       1.7638     0.038881
93974        1   28527602   28574616      2       1  3024        1.968     0.024532
83667        1   28550963   28619002      2       1  3024       1.0211      0.15361
54797        1   28620513   28672478      1       1  3024      -0.2474       0.5977
65979        1   28661093   28836881      4       1  3024     -0.78987       0.7852
54952        1   28844529   28915057      1       1  3024      0.55602       0.2891
115273       1   28883712   28931098      1       1  3024      0.55602       0.2891
6883         1   28919608   29010416      1       1  3024      0.33848       0.3675
10691        1   28960234   29052115      1       1  3024      -1.3813       0.9164
51441        1   29028133   29106287      2       1  3024      -1.3806       0.9163
4985         1   29103654   29200208      2       1  3024     -0.40119      0.65586
2035         1   29178603   29456558      8       3  3024      0.26291      0.39631
399474       1   29435937   29485421      1       1  3024      0.70566       0.2402
6429         1   29464250   29543637      3       1  3024      0.40326      0.34338
51102        1   29509385   29592460      3       2  3024     -0.22746      0.58997
10076        1   29528028   29663325      6       3  3024      0.50341      0.30734
4146         1   31174124   31231432      4       2  3024      -1.1179       0.8682
7805         1   31195315   31265683      6       3  3024     -0.87884      0.81026
9672         1   31332313   31416480     11       7  3024     -0.37167      0.64493
9698         1   31394353   31573838      4       2  3024     -0.54552       0.7073
79570        1   31642592   31747734      8       2  3024       1.1335      0.12849
9410         1   31722415   31804644      3       1  3024        1.154      0.12425
51538        1   31734832   31848569      5       2  3024      0.85976      0.19496
2170         1   31828100   31880923      4       2  3024    -0.027702      0.51105
347735       1   31847412   31917527      3       2  3024      0.32989      0.37074
64129        1   32007086   32063290      4       2  3024      -1.1513       0.8752
3061         1   32048290   32103214      1       1  3024     -0.10951       0.5436
553115       1   32085463   32145838      2       1  3024      -2.2288      0.98709
1307         1   32107848   32204768      5       2  3024      -1.6067      0.94594
576          1   32182718   32265494      3       2  3024     -0.63184      0.73625
90853        1   32246023   32316630      7       3  3024     -0.26111        0.603
8073         1   32362022   32438988      2       1  3024        2.091     0.018262
10657        1   32444295   32536460      4       2  3024      0.11057      0.45598
55116        1   32503503   32578467      1       1  3024      0.82777       0.2039
200081       1   32610293   32673886      2       1  3024     -0.20525      0.58131
79140        1   32631202   32680991      2       1  3024     -0.20525      0.58131
55721        1   32636236   32684288      2       1  3024     -0.20525      0.58131
149069       1   32639695   32691797      2       1  3024     -0.20525      0.58131
8668         1   32652971   32707205      3       1  3024    0.0080971      0.49677
56063        1   32670040   32722954      5       2  3024       1.1372      0.12772
84734        1   32677818   32724461      3       2  3024       1.6494     0.049537
3932         1   32681840   32761766      3       2  3024       1.6494     0.049537
100128071    1   32816871   32862844      1       1  3024     -0.23063       0.5912
55108        1   32820704   32895062      4       2  3024      0.03099      0.48764
728116       1   32895658   32963460      2       1  3024     0.070773      0.47179
653121       1   32969772   33081542      4       2  3024      0.65806      0.25525
8565         1   33230840   33318633      5       2  3024      0.39506       0.3464
64766        1   33247368   33334480      7       3  3024      0.37428       0.3541
3208         1   33316688   33370247      5       3  3024      0.07229      0.47119
252995       1   33317869   33373093      4       2  3024     -0.17703      0.57026
113452       1   33350196   33402041      3       1  3024      -1.6769      0.95322
127544       1   33392050   33465467      3       2  3024      -1.2607      0.89629
204          1   33463541   33537512      2       1  3024     0.078216      0.46883
113451       1   33511711   33596132      2       1  3024     -0.40035      0.65555
55223        1   33601000   33682671      3       1  3024      0.21961      0.41309
149076       1   33686908   33776321      5       2  3024       1.0082      0.15669
127550       1   33762367   33821699      5       2  3024     -0.75204      0.77399
1912         1   33779224   33876194      5       2  3024     -0.75204      0.77399
7579         1   33903232   33972105      8       3  3024        1.042      0.14871
114784       1   33969609   34666443     92      44  3024       1.0692      0.14248
127540       1   34291076   34340392      1       1  3024      -1.5423       0.9385
84970        1   34597624   34694732     10       6  3024      -0.8255      0.79546
113444       1   35305963   35360417      6       3  3024      -2.2521      0.98784
58512        1   35321037   35426083      4       2  3024      -1.3786      0.91599
9204         1   35441766   35532569      2       1  3024      -1.2711      0.89816
79830        1   35490387   35591460      2       1  3024      -1.2711      0.89816
6421         1   35631981   35693766      4       2  3024      0.69264      0.24427
79932        1   35889091   36058037      2       1  3024      0.89731      0.18478
23154        1   35988311   36042380      2       1  3024      0.89731      0.18478
339488       1   36003971   36070929      2       1  3024      0.89731      0.18478
127703       1   36169477   36219790      2       1  3024      0.58834      0.27815
63967        1   36175819   36270568      3       1  3024      0.63945      0.26126
192670       1   36238231   36333491      2       1  3024      0.14885      0.44084
26523        1   36300412   36405211      1       1  3024     -0.53652       0.7042
27285        1   36514676   36563877      1       1  3024      0.49075       0.3118
54936        1   36519453   36569533      1       1  3024      0.49075       0.3118
1296         1   36550840   36626305      2       1  3024    -0.037326      0.51489
55700        1   36586751   36656450      2       1  3024     -0.19321       0.5766
27095        1   36592170   36656654      2       1  3024     -0.19321       0.5766
79729        1   36736889   36803544      2       1  3024      0.34426      0.36533
55194        1   36777631   36825567      4       2  3024       -0.373      0.64543
83931        1   36795225   36886525      6       3  3024      0.62022      0.26756
84967        1   36849031   36898493      2       1  3024       1.2458      0.10641
127700       1   36873507   36951086      5       2  3024     -0.65266      0.74301
64960        1   36911362   36965040      6       3  3024      0.30535      0.38005
1441         1   36921644   36983915      4       2  3024       0.6452       0.2594
2899         1   37251128   37534844      8       5  3024      -1.4002      0.91927
80149        1   37905119   37959978      3       2  3024      -0.2691      0.60607
64769        1   37945561   38015420      3       2  3024     -0.82272      0.79467
79753        1   37990050   38054945      1       1  3024      0.83485       0.2019
29889        1   38022413   38096586      1       1  3024      0.83485       0.2019
284654       1   38066821   38135595      2       1  3024     -0.11226      0.54469
55143        1   38123073   38185391      4       2  3024       1.9153     0.027727
54955        1   38137242   38193007      6       2  3024       2.5814    0.0049196
284656       1   38171646   38265824      5       2  3024       2.4866    0.0064477
149175       1   38224721   38277278      1       1  3024     -0.94904       0.8287
127687       1   38238473   38285126      1       1  3024     -0.94904       0.8287
10946        1   38412647   38491019      2       1  3024      0.44566      0.32792
51118        1   38443384   38500497      3       2  3024     0.026788      0.48931
2275         1   38452439   38506199      2       1  3024     -0.66286      0.74629
5453         1   38499523   38547450      2       1  3024    -0.021767      0.50868
64121        1   39293869   39360495      6       2  3024      -0.5616      0.71281
26292        1   39318162   39374050      6       2  3024     -0.47818      0.68374
81025        1   39329739   39382298      6       2  3024     -0.51113      0.69537
54933        1   39340614   39442456      6       3  3024     -0.49696      0.69039
79647        1   39421916   39481737      1       1  3024       -1.753       0.9602
4725         1   39456967   39510308      3       2  3024      0.14655      0.44174
23499        1   39514839   39962810     17       7  3024      -2.8236      0.99763
353500       1   39922318   40005541      2       1  3024      -1.4468      0.92602
8761         1   40016485   40077522      4       2  3024     -0.67763        0.751
26508        1   40079103   40140348      5       3  3024      -2.8923      0.99809
84618        1   40114793   40172710      6       3  3024        1.115      0.13243
51440        1   40134320   40192382      8       4  3024      0.72228      0.23506
10450        1   40169517   40239586      6       3  3024      0.21625       0.4144
656          1   40213903   40289533      5       3  3024       2.2394     0.012566
101929536    1   40219654   40265843      1       1  3024       0.9518       0.1706
