GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
375790       1     920503    1001499      1       1  69360      0.64335         0.26
401934       1     997126    1044687     19       4  69360     -0.49883      0.69105
54991        1    1007198    1086736     28       6  69360      0.19437      0.42294
254173       1    1074286    1143315     14       4  69360     -0.71541      0.76282
8784         1    1128888    1177163     12       4  69360      0.05415      0.47841
126792       1    1132629    1180421     10       3  69360      0.30725      0.37933
7293         1    1136706    1184703     10       3  69360      0.47764      0.31645
51150        1    1142288    1202447     13       4  69360     -0.16977       0.5674
388581       1    1167826    1217102     12       4  69360      0.31336        0.377
118424       1    1179292    1244234     13       5  69360      0.47434      0.31763
6339         1    1180816    1237409     13       5  69360      0.47434      0.31763
126789       1    1208962    1257057      5       3  69360       1.1236      0.13059
116983       1    1217764    1278304      3       2  69360      0.85274       0.1969
80772        1    1225136    1274276      3       2  69360      0.85274       0.1969
83756        1    1231726    1279844      2       1  69360      0.72051      0.23561
54973        1    1236965    1295067      1       1  69360      0.64335         0.26
1855         1    1260658    1319509      1       1  69360      0.91536         0.18
54587        1    1278071    1332183      1       1  69360      0.91536         0.18
54998        1    1299110    1345818      1       1  69360      0.91536         0.18
81669        1    1311091    1369718      1       1  69360      0.91536         0.18
219293       1    1343152    1415538      1       1  69360     -0.25335          0.6
441869       1    1343800    1391824      1       1  69360     -0.25335          0.6
83858        1    1372139    1454852      4       2  69360      0.22287      0.41182
55210        1    1412523    1480067     12       3  69360        1.053      0.14616
339453       1    1460158    1510740     21       3  69360      0.93258      0.17552
29101        1    1467053    1545262     20       2  69360       0.7036      0.24084
9906         1    1646277    1712438      3       1  69360     0.092266      0.46324
65220        1    1672671    1746508     11       3  69360      0.58181      0.28035
2782         1    1706725    1857552     45       6  69360      0.42834       0.3342
163688       1    1811266    1858733      9       3  69360     0.059966      0.47609
339456       1    1839029    1885740     14       2  69360     -0.29233      0.61498
85452        1    1843390    1970276     18       3  69360     -0.24504      0.59679
5590         1    1946909    2126834     64       6  69360       2.4515    0.0071139
100506504    1    2103250    2150812     13       3  69360       2.5493    0.0053974
199990       1    2105899    2179159     21       4  69360        2.496    0.0062807
6497         1    2125134    2251652     71      15  69360       1.5735     0.057803
