GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600      -1.5859      0.94362
105378580    1     768398     815130     22      11  8087600     -0.50752      0.69411
148398       1     890741     954581     39      19  8087600     -0.45539      0.67558
339451       1     924952     975720     36      17  8087600      -1.4037      0.91979
84069        1     931497     985108     29      14  8087600      -1.5678      0.94154
26155        1     934203     994299     38      16  8087600      -1.6188      0.94726
84808        1     965199    1017117     35      12  8087600      -1.1782      0.88063
9636         1     978467    1024540     32      11  8087600     -0.75525      0.77495
375790       1     985101    1066119     72      24  8087600      -1.0945      0.86313
57801        1     988962    1036285     34      13  8087600     -0.93113      0.82411
105369174    1    1026207    1076390     47      17  8087600     -0.69976      0.75796
105378948    1    1055635    1104326     19      14  8087600       1.1052      0.13453
401934       1    1061746    1109307     19      14  8087600       1.0411      0.14891
54991        1    1071818    1151356     52      29  8087600    -0.002629      0.50105
254173       1    1138898    1207935     60      29  8087600      -1.3973      0.91883
8784         1    1193508    1241709     45      13  8087600     -0.66207      0.74604
126792       1    1197249    1245041     43      13  8087600     -0.13415      0.55336
7293         1    1201326    1249638     42      13  8087600      0.33641      0.36828
51150        1    1206908    1267067     53      15  8087600    -0.024743      0.50987
388581       1    1232446    1282218     37      11  8087600    -0.073663      0.52936
118424       1    1243912    1308854     59      20  8087600      -0.7932      0.78617
6339         1    1245415    1302029     42      13  8087600      -1.1793      0.88086
126789       1    1273571    1321677     44      23  8087600      -1.0956      0.86337
116983       1    1282384    1342925     53      31  8087600      -1.5987      0.94506
80772        1    1289756    1338896     43      27  8087600      -1.4931      0.93229
83756        1    1293999    1345320     43      27  8087600      -1.4506      0.92655
54973        1    1301585    1359687     47      29  8087600      -1.5802      0.94297
1855         1    1325278    1384158     39      16  8087600      -1.7407      0.95914
54587        1    1342689    1398541     29      11  8087600      -1.1593      0.87684
54998        1    1363730    1410438     29      13  8087600      0.32111      0.37406
81669        1    1375711    1434338     36      16  8087600    -0.096768      0.53854
643965       1    1391128    1437787     27      13  8087600      0.31645      0.37583
55052        1    1391896    1442834     31      16  8087600      0.20709      0.41797
64856        1    1400523    1452882     35      19  8087600      -0.1832      0.57268
219293       1    1406301    1480158     40      19  8087600      -1.8619      0.96869
441869       1    1408420    1456820     30      18  8087600      -1.3788      0.91602
83858        1    1436732    1519479     74      27  8087600      -2.3098      0.98955
55210        1    1477143    1544687     70      23  8087600       -1.622       0.9476
