GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878       0.4473      0.32733
105378580    1     768398     815130     22      11  3462878     -0.52951      0.70178
148398       1     890741     954581     39      19  3462878     -0.12175      0.54845
339451       1     924952     975720     36      17  3462878    -0.078662      0.53135
84069        1     931497     985108     29      14  3462878      -1.0645      0.85646
26155        1     934203     994299     38      16  3462878      -1.3319      0.90856
84808        1     965199    1017117     35      12  3462878     -0.72216       0.7649
9636         1     978467    1024540     32      11  3462878      0.10058      0.45994
375790       1     985101    1066119     72      24  3462878       1.0291       0.1517
57801        1     988962    1036285     34      13  3462878      0.24928      0.40157
105369174    1    1026207    1076390     47      17  3462878       1.4097     0.079307
105378948    1    1055635    1104326     19      14  3462878      0.78879      0.21512
401934       1    1061746    1109307     19      14  3462878     -0.34708      0.63574
54991        1    1071818    1151356     52      29  3462878     -0.94042       0.8265
254173       1    1138898    1207935     60      29  3462878       1.2061       0.1139
8784         1    1193508    1241709     45      13  3462878      0.82494       0.2047
126792       1    1197249    1245041     43      13  3462878      0.84732      0.19841
7293         1    1201326    1249638     42      13  3462878      0.77169      0.22015
51150        1    1206908    1267067     53      15  3462878      0.92165      0.17836
388581       1    1232446    1282218     37      11  3462878       1.4554     0.072786
118424       1    1243912    1308854     59      20  3462878      0.87033      0.19206
6339         1    1245415    1302029     42      13  3462878       1.2111      0.11292
126789       1    1273571    1321677     44      23  3462878      0.80032      0.21176
116983       1    1282384    1342925     53      31  3462878      0.21412      0.41523
80772        1    1289756    1338896     43      27  3462878    -0.081549       0.5325
83756        1    1293999    1345320     43      27  3462878     0.061482      0.47549
54973        1    1301585    1359687     47      29  3462878     -0.25445      0.60042
1855         1    1325278    1384158     39      16  3462878      0.63379      0.26311
54587        1    1342689    1398541     29      11  3462878      0.33212       0.3699
54998        1    1363730    1410438     29      13  3462878      0.30013      0.38204
81669        1    1375711    1434338     36      16  3462878     -0.21008       0.5832
643965       1    1391128    1437787     27      13  3462878     0.061053      0.47566
55052        1    1391896    1442834     31      16  3462878    0.0059035      0.49764
64856        1    1400523    1452882     35      19  3462878     0.023094      0.49079
219293       1    1406301    1480158     40      19  3462878     -0.13569      0.55397
441869       1    1408420    1456820     30      18  3462878     -0.32841       0.6287
83858        1    1436732    1519479     74      27  3462878     -0.19691      0.57805
55210        1    1477143    1544687     70      23  3462878     0.073311      0.47078
339453       1    1524778    1575360     34      14  3462878     -0.03125      0.51247
29101        1    1531673    1609882     58      22  3462878     -0.94376      0.82735
142678       1    1579975    1640610     32      24  3462878     -0.38343       0.6493
643988       1    1588008    1635096     20      14  3462878      -1.6819       0.9537
8510         1    1597181    1644654     19      14  3462878     -0.16015      0.56362
984          1    1625226    1694839     22      15  3462878    -0.061892      0.52468
728661       1    1650025    1727804     34      10  3462878       -1.641       0.9496
728642       1    1692730    1759352     35      11  3462878      -1.2975      0.90277
9906         1    1714838    1780999     38      14  3462878      -2.5893      0.99519
65220        1    1741232    1815514     21      15  3462878      -1.3119      0.90522
2782         1    1775285    1926117     51      26  3462878    -0.065609      0.52616
105378949    1    1850960    1903010     17      10  3462878      0.32375      0.37306
163688       1    1878752    1927294     22      10  3462878     0.028286      0.48872
339456       1    1907589    1954301     20       6  3462878     -0.27826      0.60959
85452        1    1911951    2038837     68      38  3462878     -0.73186      0.76787
2563         1    1984329    2040753     37      26  3462878     -0.23706       0.5937
5590         1    2015470    2195395    118      51  3462878     -0.65616      0.74414
100506504    1    2171811    2219360     18      14  3462878     -0.61473      0.73063
199990       1    2174460    2247720     37      25  3462878     -0.52991      0.70191
6497         1    2193695    2320213     61      38  3462878     -0.75719      0.77553
105378592    1    2198942    2250211     26      16  3462878    -0.061654      0.52458
105378594    1    2245383    2294676     20      14  3462878      -1.0761      0.85907
79906        1    2311253    2426751     74      50  3462878     -0.83117      0.79706
11079        1    2356314    2415444     32      20  3462878      -1.3309      0.90838
9651         1    2380782    2515530     78      42  3462878      -2.0395       0.9793
5192         1    2394802    2448780     36      28  3462878     -0.82942      0.79657
55229        1    2498531    2561628     35      17  3462878       1.0592      0.14476
388585       1    2518745    2565245     26      12  3462878       1.1319      0.12883
8764         1    2521365    2575622     34      17  3462878       1.4081     0.079546
127281       1    2551460    2601469     38      19  3462878      0.93454      0.17501
79258        1    2580639    2668042     27      16  3462878     0.052845      0.47893
100287898    1    2626988    2824665     53      13  3462878     0.040466      0.48386
140625       1    2986482    3032903     44       8  3462878      0.15382      0.43888
63976        1    3033227    3448621    314     127  3462878      -1.4705      0.92929
27237        1    3419583    3491115     61      30  3462878      0.51613      0.30288
1953         1    3477942    3659757    135      59  3462878     0.041577      0.48342
127262       1    3589992    3640131     37      20  3462878      0.20871      0.41734
7161         1    3617565    3746201     85      51  3462878     -0.36139      0.64109
49856        1    3620767    3685107     45      27  3462878      0.24732      0.40233
148870       1    3717398    3781645     49      26  3462878     -0.41586      0.66124
388588       1    3737761    3785982     46      21  3462878       0.4137      0.33955
57470        1    3770220    3831504     69      18  3462878      0.16622      0.43399
9731         1    3802081    3892387     40      16  3462878     0.044609      0.48221
1677         1    3822143    3895429     23      10  3462878       0.1779       0.4294
261734       1    5852808    6027505     87      52  3462878     -0.13279      0.55282
8514         1    5957298    6111193     75      49  3462878       1.4647     0.071504
26038        1    6091787    6215134     56      29  3462878      0.11229       0.4553
388591       1    6170775    6231299     33      12  3462878       1.6205     0.052562
6146         1    6175020    6234619     30      10  3462878       2.0004     0.022729
390992       1    6209158    6255578     23       8  3462878       2.5712    0.0050675
23463        1    6211193    6270984     31      12  3462878       2.8897    0.0019281
387509       1    6237346    6295990     33      20  3462878        2.022     0.021586
11332        1    6254272    6428766    147      32  3462878       1.1767      0.11966
83715        1    6389776    6470944     62      14  3462878      -1.0913      0.86243
54626        1    6405232    6459664     43       9  3462878     -0.72836       0.7668
8718         1    6451151    6501195     30      12  3462878      0.20545      0.41861
57449        1    6456092    6555061     74      18  3462878    -0.065087      0.52595
79707        1    6511347    6589598     49       8  3462878     -0.29527      0.61611
80835        1    6520278    6589757     43       7  3462878     -0.25281      0.59979
3104         1    6544991    6599280     27      10  3462878      0.27016      0.39352
148479       1    6578696    6634033     22      17  3462878        1.231      0.10916
9903         1    6580724    6637898     24      18  3462878      0.95976      0.16859
90326        1    6589865    6645586     26      17  3462878      0.63237      0.26357
55735        1    6624168    6736906     37      23  3462878     -0.52922      0.70167
23261        1    6750324    7779706    526     199  3462878      -0.8305      0.79687
9341         1    7736269    7791432     30      20  3462878     -0.52532      0.70032
8863         1    7749380    7855181     56      28  3462878       1.7736     0.038061
10911        1    7837612    7948610     67      24  3462878      0.66954      0.25158
3604         1    7905871    7978165     33      17  3462878     -0.29279      0.61516
11315        1    7926654    7995283     25      14  3462878    -0.038916      0.51552
54206        1    8001719    8061333     14      10  3462878      0.58933      0.27782
50651        1    8283085    8354167     30      19  3462878       2.0446     0.020446
473          1    8342404    8852691    143      88  3462878      0.48175      0.31499
2023         1    8851000    8914092     29       9  3462878     -0.12306      0.54897
765          1    8910785    8985092     53      26  3462878     -0.80525      0.78966
155184       1    8950853    9061384     69      40  3462878       0.8455      0.19892
6518         1    9026943    9106704     61      22  3462878        2.665    0.0038499
80045        1    9093391    9164170     48      28  3462878       2.1095     0.017453
9563         1    9199776    9281337     42      26  3462878       1.2683      0.10235
