GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      0.44076      0.32969
105378580    1     768398     815130     22      11  3462878     0.013775       0.4945
148398       1     890741     954581     39      19  3462878      -1.7597      0.96077
339451       1     924952     975720     36      17  3462878     -0.78254      0.78305
84069        1     931497     985108     29      14  3462878     -0.86507       0.8065
26155        1     934203     994299     38      16  3462878     -0.37898      0.64765
84808        1     965199    1017117     35      12  3462878     -0.46434       0.6788
9636         1     978467    1024540     32      11  3462878     -0.21832      0.58641
375790       1     985101    1066119     72      24  3462878     -0.81567      0.79265
57801        1     988962    1036285     34      13  3462878      0.17637         0.43
105369174    1    1026207    1076390     47      17  3462878     -0.97631      0.83554
105378948    1    1055635    1104326     22      14  3462878    -0.092556      0.53687
401934       1    1061746    1109307     22      14  3462878     0.018856      0.49248
54991        1    1071818    1151356     55      29  3462878      0.36671      0.35692
254173       1    1138898    1207935     60      29  3462878    -0.067941      0.52708
8784         1    1193508    1241709     45      13  3462878     -0.50048      0.69163
126792       1    1197249    1245041     43      13  3462878     -0.25199      0.59947
7293         1    1201326    1249638     42      13  3462878     -0.79296       0.7861
51150        1    1206908    1267067     53      15  3462878      -1.2075      0.88639
388581       1    1232446    1282218     37      11  3462878      -1.3018       0.9035
118424       1    1243912    1308854     59      20  3462878      -2.1505      0.98424
6339         1    1245415    1302029     42      13  3462878       -1.773      0.96189
126789       1    1273571    1321677     44      23  3462878      -1.0239      0.84706
116983       1    1282384    1342925     53      31  3462878     -0.76842      0.77888
80772        1    1289756    1338896     43      27  3462878     -0.37004      0.64432
83756        1    1293999    1345320     43      27  3462878     -0.47491      0.68258
54973        1    1301585    1359687     47      29  3462878     -0.28281      0.61134
1855         1    1325278    1384158     39      16  3462878     -0.42524      0.66467
54587        1    1342689    1398541     29      11  3462878     -0.71975      0.76416
54998        1    1363730    1410438     29      13  3462878     -0.35584      0.63902
81669        1    1375711    1434338     36      16  3462878     -0.53474      0.70359
643965       1    1391128    1437787     27      13  3462878     -0.62075      0.73262
55052        1    1391896    1442834     31      16  3462878       -0.927      0.82304
64856        1    1400523    1452882     35      19  3462878     -0.24159      0.59545
219293       1    1406301    1480158     40      19  3462878     -0.54042      0.70555
441869       1    1408420    1456820     30      18  3462878     -0.32354      0.62686
83858        1    1436732    1519479     74      27  3462878     -0.61268      0.72996
55210        1    1477143    1544687     70      23  3462878      -1.4295      0.92358
339453       1    1524778    1575360     34      14  3462878      -1.4963      0.93272
29101        1    1531673    1609882     58      22  3462878     -0.39296      0.65283
142678       1    1579975    1640610     32      24  3462878      0.70676      0.23986
643988       1    1588008    1635096     20      14  3462878      0.87307      0.19131
8510         1    1597181    1644654     19      14  3462878    -0.021848      0.50872
984          1    1625226    1694839     22      15  3462878      0.40208      0.34381
728661       1    1650025    1727804     34      10  3462878       1.0199      0.15388
728642       1    1692730    1759352     35      11  3462878      0.97755      0.16415
9906         1    1714838    1780999     38      14  3462878       1.0291      0.15171
65220        1    1741232    1815514     21      15  3462878      0.82616      0.20436
2782         1    1775285    1926117     51      26  3462878      -1.1396      0.87277
105378949    1    1850960    1903010     17      10  3462878     -0.53495      0.70366
163688       1    1878752    1927294     22      10  3462878     -0.92724       0.8231
