GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112      0.83639      0.20147
339451       1     860967     911099    127      32  408112      0.88715       0.1875
84069        1     866872     920488    122      34  408112      0.44163      0.32938
26155        1     869583     929679    122      35  408112      0.31749      0.37543
84808        1     900579     952473    130      35  408112     -0.46368      0.67856
9636         1     913847     959920    124      32  408112     -0.14695      0.55841
375790       1     920503    1001499    223      50  408112     -0.31914      0.62519
57801        1     924342     971608    126      33  408112     -0.27597      0.60871
401934       1     997126    1044687    101      18  408112     -0.64567      0.74075
54991        1    1007198    1086736    204      29  408112      0.39376      0.34688
254173       1    1074286    1143315    216      34  408112      0.77343      0.21963
8784         1    1128888    1177163    177      18  408112       2.7213    0.0032517
126792       1    1132629    1180421    170      17  408112       2.7732    0.0027758
7293         1    1136706    1184703    176      17  408112       2.8082    0.0024912
51150        1    1142288    1202447    203      20  408112       2.8093    0.0024821
388581       1    1167826    1217102    136      25  408112       3.3965   0.00034124
118424       1    1179292    1244234    177      37  408112       3.0226    0.0012529
6339         1    1180816    1237409    154      32  408112       2.9187    0.0017575
126789       1    1208962    1257057    125      31  408112       2.6498    0.0040268
116983       1    1217764    1278304    145      35  408112       3.5807   0.00017134
80772        1    1225136    1274276    119      31  408112       3.4189   0.00031443
83756        1    1231726    1279844    108      27  408112       3.6562   0.00012797
54973        1    1236965    1295067    113      27  408112       3.9984   3.1889e-05
1855         1    1260658    1319509    108      25  408112       4.3309   7.4243e-06
54587        1    1278071    1332183     84      21  408112       4.2335   1.1504e-05
54998        1    1299110    1345818     84      18  408112       4.0656   2.3955e-05
81669        1    1311091    1369718    124      17  408112       3.5816   0.00017072
643965       1    1326508    1373167    101      14  408112       3.6298   0.00014181
55052        1    1327276    1377693    103      15  408112       3.6086   0.00015393
64856        1    1335903    1388262     97      13  408112       3.6523   0.00012995
219293       1    1343152    1415538     99      15  408112       3.5488   0.00019349
441869       1    1343800    1391824     84      12  408112       3.5413   0.00019905
83858        1    1372139    1454852     99      13  408112       3.2772   0.00052423
55210        1    1412523    1480067    115      14  408112       3.7272   9.6819e-05
339453       1    1460158    1510740     81      14  408112       3.3438   0.00041322
29101        1    1467053    1545262     81      17  408112        3.032    0.0012149
142678       1    1515795    1575990     44       8  408112     -0.77747      0.78156
643988       1    1523388    1570476     38       7  408112     -0.90992      0.81857
8510         1    1532060    1580030     37       7  408112      -1.0716      0.85804
984          1    1561100    1625473     47       8  408112      -0.4873      0.68698
728661       1    1581486    1659243     53      10  408112     -0.11957      0.54759
728642       1    1623822    1690999     37       8  408112      0.73689      0.23059
9906         1    1646277    1712438     51      11  408112      0.99215      0.16056
65220        1    1672671    1746508     76      16  408112      0.95279      0.17035
2782         1    1706725    1857552    159      25  408112       1.3117     0.094808
163688       1    1811266    1858733     70      11  408112       1.8171     0.034602
339456       1    1839029    1885740     95      15  408112       1.9662     0.024635
85452        1    1843390    1970276    226      35  408112       1.3447     0.089355
2563         1    1915768    1972192     72      15  408112      0.66249      0.25383
5590         1    1946909    2126834    356      64  408112       1.1098      0.13355
100506504    1    2103250    2150812     86      29  408112       1.9192      0.02748
199990       1    2105899    2179159    126      38  408112       3.5496   0.00019292
6497         1    2125134    2251652    229      65  408112       3.8985   4.8399e-05
79906        1    2241719    2358190    320      60  408112      0.87132      0.19179
11079        1    2288214    2346883    130      40  408112      0.50302      0.30748
5192         1    2326241    2379010    118      46  408112       1.3441     0.089451
9651         1    2372754    2446964    193      43  408112       1.5232      0.06386
55229        1    2429975    2493061    159      33  408112       3.6712   0.00012072
388585       1    2450184    2496684     99      24  408112       4.0392   2.6817e-05
8764         1    2452291    2505268    118      28  408112        5.335   4.7774e-08
127281       1    2482899    2532908    117      26  408112       5.9557   1.2947e-09
79258        1    2512078    2599499    193      30  408112       4.7392   1.0727e-06
100287898    1    2562807    2741230    216      31  408112       3.3733   0.00037131
140625       1    2903046    2949467    138      12  408112     0.077135      0.46926
63976        1    2950565    3365185   1073     153  408112       2.5576    0.0052694
27237        1    3336147    3407677    173      33  408112      0.61928      0.26787
1953         1    3394506    3563059    419      83  408112       3.1551   0.00080221
127262       1    3506556    3556695    134      35  408112       3.1379   0.00085073
7161         1    3534129    3662765    257      56  408112        2.736    0.0031091
49856        1    3537331    3601671    136      33  408112       2.7172    0.0032915
148870       1    3633965    3698209    167      34  408112       1.8352     0.033241
388588       1    3654352    3702546    147      28  408112       1.8787     0.030139
57470        1    3686784    3748068    225      30  408112       1.7383     0.041082
9731         1    3718645    3808797    352      34  408112       1.5569     0.059749
1677         1    3738845    3811993    298      35  408112       1.6443     0.050061
339448       1    3795697    3851857    133      24  408112       1.2329       0.1088
55966        1    4680105    4853851    726     119  408112      -1.0652       0.8566
261734       1    5912870    6087618    538      38  408112       0.8897      0.18681
8514         1    6017358    6171253    338      65  408112      0.83633      0.20148
26038        1    6151847    6275194    248      51  408112      0.44437      0.32839
388591       1    6231189    6291359    118      25  408112      0.40276      0.34356
6146         1    6235080    6294679    111      24  408112     0.057178       0.4772
390992       1    6269252    6315638     87      18  408112    -0.036842      0.51469
23463        1    6271253    6331044    110      21  408112     -0.32083      0.62583
387509       1    6297406    6356035    108      24  408112       1.4003     0.080717
11332        1    6314332    6488826    517      30  408112       1.2069      0.11374
83715        1    6449836    6531004    210      25  408112       1.8748     0.030411
54626        1    6465292    6519724    140      19  408112        1.676     0.046866
8718         1    6510787    6562432    102      22  408112       2.4745    0.0066719
57449        1    6516152    6615121    214      41  408112       4.2243   1.1985e-05
79707        1    6571407    6649658    175      29  408112       3.7278   9.6568e-05
80835        1    6579987    6649817    155      26  408112       3.7253   9.7535e-05
3104         1    6605051    6659340    126      34  408112        2.767     0.002829
148479       1    6638756    6694093    103      34  408112    -0.098106      0.53908
9903         1    6640784    6697958    111      36  408112    -0.082052       0.5327
90326        1    6649925    6705646    114      36  408112     -0.37075      0.64459
55735        1    6684228    6796966    219      46  408112     0.023723      0.49054
23261        1    6810384    7839766   2131     216  408112    -0.023086      0.50921
9341         1    7796329    7851492     95      26  408112       1.1039      0.13482
8863         1    7809413    7915241    253      35  408112      0.92697      0.17697
10911        1    7897672    7948551    165      32  408112       1.0483      0.14726
3604         1    7965931    8038225    110      34  408112       3.2291   0.00062087
11315        1    7986714    8055342    109      33  408112       2.9774    0.0014533
54206        1    8061779    8121393    101      21  408112       1.2775      0.10072
50651        1    8343171    8414227    140      35  408112       5.5712   1.2648e-08
473          1    8402464    8912699    702      51  408112       5.5373   1.5359e-08
2023         1    8911059    8974151    105      30  408112       2.6015    0.0046409
765          1    8970893    9045151    185      53  408112       2.5882    0.0048241
155184       1    9053359    9121404    150      40  408112       2.4872    0.0064368
6518         1    9087005    9166763    219      38  408112       2.4147    0.0078734
80045        1    9153472    9224229    140      38  408112       3.5408   0.00019943
9563         1    9259822    9341396    213      46  408112        5.815   3.0309e-09
80176        1    9300202    9439591    422      87  408112       7.5742   1.8069e-14
84275        1    9564528    9652831    115      28  408112       3.8289   6.4363e-05
199953       1    9613932    9684935     82      22  408112       3.4273   0.00030481
5293         1    9676789    9799172    225      62  408112       7.8327    2.387e-15
22883        1    9779079    9919550    244      53  408112       3.2992   0.00048484
56998        1    9898334   10005316    210      46  408112       3.3709   0.00037459
64802        1    9968486   10055556    131      30  408112       3.5907   0.00016487
84328        1    9972168   10038460     99      25  408112       3.7983   7.2855e-05
116362       1   10022255   10086078    109      22  408112       2.5462    0.0054444
10277        1   10058041   10251297    429      36  408112       2.6978    0.0034902
23095        1   10235606   10451664    593      28  408112       2.3787    0.0086871
5226         1   10423884   10490565    164      32  408112        2.541    0.0055261
378708       1   10454944   10520239    119      34  408112       3.1346   0.00086058
100526739    1   10455159   10522060    121      35  408112       3.1063   0.00094728
1325         1   10474776   10522060     76      25  408112       3.1055   0.00094966
5195         1   10500003   10700815    324      44  408112       4.1209   1.8873e-05
1676         1   10510588   10567613     95      21  408112       2.9117    0.0017976
54897        1   10686661   10891733    368      91  408112       3.4749   0.00025555
148345       1   10996530   11077094    159      28  408112       1.4798     0.069466
23435        1   11037462   11095549     95      19  408112       3.2008   0.00068514
10747        1   11076580   11142296    135      15  408112       2.5148    0.0059555
6723         1   11104649   11155091     92       7  408112       1.7107     0.043572
5394         1   11116675   11194961    145       8  408112       1.6624     0.048218
2475         1   11156588   11357614    320      18  408112       1.7738      0.03805
10218        1   11214346   11266038     79       5  408112        1.574     0.057742
29914        1   11298255   11358491     82      16  408112       1.6908     0.045438
57540        1   11504295   11607640    174      33  408112     -0.29713      0.61682
93611        1   11679432   11733384     97      28  408112       1.4671     0.071179
26270        1   11689150   11744411    104      29  408112        1.344     0.089477
