GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378580    1     768398     815130      4       1  3824142      -1.2443       0.8933
148398       1     890741     954581     64       5  3824142      -1.0162      0.84523
339451       1     924952     975720     60       4  3824142      -1.8747      0.96958
84069        1     931497     985108     56       4  3824142      -1.5249      0.93635
26155        1     934203     994299     55       3  3824142       -1.271      0.89813
84808        1     965199    1017117     32       1  3824142     -0.66713      0.74766
9636         1     978467    1024540     10       1  3824142     -0.33694      0.63192
375790       1     985101    1066119      6       2  3824142      -1.0222      0.84666
57801        1     988962    1036285      1       1  3824142     -0.86237      0.80576
105369174    1    1026207    1076390      4       2  3824142      -1.0721      0.85817
105378948    1    1055635    1104326     12       2  3824142      -1.3438      0.91049
401934       1    1061746    1109307     12       2  3824142      -1.3438      0.91049
54991        1    1071818    1151356      8       2  3824142      -1.1383       0.8725
254173       1    1138898    1207935      1       1  3824142      0.20178      0.42004
8784         1    1193508    1241709      4       1  3824142      -0.9566      0.83062
126792       1    1197249    1245041      5       1  3824142     -0.63219      0.73637
7293         1    1201326    1249638      5       1  3824142     -0.63219      0.73637
51150        1    1206908    1267067     25       3  3824142      -1.5156      0.93519
388581       1    1232446    1282218     38       3  3824142       -1.283      0.90025
118424       1    1243912    1308854     75       3  3824142      -1.2753       0.8989
6339         1    1245415    1302029     70       3  3824142       -1.259      0.89598
126789       1    1273571    1321677     77       4  3824142      -1.5022      0.93348
116983       1    1282384    1342925     67       4  3824142      -1.5476      0.93914
80772        1    1289756    1338896     56       4  3824142      -1.4833      0.93101
83756        1    1293999    1345320     53       3  3824142      -1.4505      0.92654
54973        1    1301585    1359687     33       3  3824142      -1.4773      0.93021
1855         1    1325278    1384158      1       1  3824142      0.50376      0.30721
54587        1    1342689    1398541      2       1  3824142      0.11861      0.45279
54998        1    1363730    1410438      3       1  3824142    -0.066367      0.52646
81669        1    1375711    1434338      3       1  3824142    -0.066367      0.52646
643965       1    1391128    1437787      2       1  3824142     -0.49231      0.68875
55052        1    1391896    1442834      2       1  3824142     -0.49231      0.68875
64856        1    1400523    1452882      1       1  3824142     -0.41373      0.66047
55210        1    1477143    1544687      7       1  3824142      0.67853      0.24872
339453       1    1524778    1575360      7       1  3824142      0.28349       0.3884
29101        1    1531673    1609882     16       2  3824142      0.59776        0.275
142678       1    1579975    1640610     10       1  3824142      0.72641       0.2338
643988       1    1588008    1635096      6       1  3824142      0.73735      0.23046
8510         1    1597181    1644654      2       1  3824142      0.58239      0.28015
984          1    1625226    1694839     48       2  3824142        1.588     0.056142
728661       1    1650025    1727804     42       2  3824142       1.5423     0.061499
728642       1    1692730    1759352     12       1  3824142      0.75452      0.22527
9906         1    1714838    1780999     19       1  3824142      0.28154      0.38915
65220        1    1741232    1815514     27       1  3824142      0.19025      0.42455
2782         1    1775285    1926117     23       3  3824142     -0.39084      0.65204
105378949    1    1850960    1903010      1       1  3824142     -0.74686      0.77243
163688       1    1878752    1927294      5       2  3824142     -0.46645      0.67955
339456       1    1907589    1954301      4       2  3824142     -0.26355      0.60393
85452        1    1911951    2038837      4       2  3824142     -0.29639      0.61653
2563         1    1984329    2040753      1       1  3824142     -0.14818       0.5589
5590         1    2015470    2195395      2       1  3824142     -0.84689      0.80147
100506504    1    2171811    2219360      1       1  3824142      0.77125      0.22028
199990       1    2174460    2247720      2       1  3824142      0.49739      0.30946
6497         1    2193695    2320213      3       2  3824142      0.06524      0.47399
105378592    1    2198942    2250211      2       1  3824142      0.49739      0.30946
79906        1    2311253    2426751      8       1  3824142      0.86346      0.19394
127281       1    2551460    2601469      1       1  3824142       0.8279      0.20386
100287898    1    2626988    2824665      4       2  3824142     0.033876      0.48649
63976        1    3033227    3448621     43       8  3824142      -2.0396      0.97931
1953         1    3477942    3659757     36       7  3824142       1.4232     0.077332
127262       1    3589992    3640131      6       2  3824142      0.82234      0.20544
7161         1    3617565    3746201      7       2  3824142      0.37702      0.35308
49856        1    3620767    3685107      5       1  3824142      0.58003      0.28095
148870       1    3717398    3781645     45       2  3824142      0.45676      0.32392
388588       1    3737761    3785982     44       1  3824142      0.47022       0.3191
57470        1    3770220    3831504     12       1  3824142      0.10235      0.45924
55966        1    4620045    4802534     61       4  3824142     0.025572       0.4898
261734       1    5852808    6027505      6       2  3824142      -1.0243      0.84715
8514         1    5957298    6111193     23       2  3824142       -2.125       0.9832
26038        1    6091787    6215134      7       1  3824142      -2.5949      0.99527
388591       1    6170775    6231299      1       1  3824142     -0.95385      0.82992
6146         1    6175020    6234619      1       1  3824142     -0.95385      0.82992
57449        1    6456092    6555061      2       1  3824142     -0.59897       0.7254
79707        1    6511347    6589598      2       1  3824142     -0.59897       0.7254
55735        1    6624168    6736906      6       1  3824142     -0.02651      0.51057
23261        1    6750324    7779706     87      10  3824142      0.39028      0.34817
9341         1    7736269    7791432     19       1  3824142    -0.014743      0.50588
8863         1    7749380    7855181     21       2  3824142     -0.26589      0.60484
10911        1    7837612    7948610     32       1  3824142     -0.52188      0.69912
3604         1    7905871    7978165      6       1  3824142     -0.88376      0.81159
11315        1    7926654    7995283      1       1  3824142     -0.55917      0.71198
50651        1    8283085    8354167     24       1  3824142     -0.82772      0.79609
473          1    8342404    8852691      8       3  3824142      -2.1256      0.98323
2023         1    8851000    8914092      4       1  3824142       -1.079       0.8597
6518         1    9026943    9106704      1       1  3824142    -0.070665      0.52817
80045        1    9093391    9164170      1       1  3824142       1.9491     0.025643
9563         1    9199776    9281337      5       2  3824142      -3.0257      0.99876
80176        1    9257882    9379532      1       1  3824142      0.81121      0.20862
84275        1    9504469    9592773      8       2  3824142      0.66797      0.25207
199953       1    9553853    9624877      3       1  3824142      0.43718      0.33099
5293         1    9594889    9739114      2       1  3824142      0.82353       0.2051
22883        1    9719021    9859526      9       2  3824142      0.37218      0.35488
56998        1    9838276    9945258     20       1  3824142      0.29547      0.38382
116362       1    9962197   10026020      9       1  3824142      0.98347      0.16269
105376719    1    9986423   10033089     12       1  3824142      0.98581      0.16211
10277        1    9997983   10191239     18       2  3824142      0.89032      0.18665
23095        1   10175706   10391603      2       1  3824142      0.50068       0.3083
5226         1   10363992   10430511      2       1  3824142       2.1846     0.014459
378708       1   10395102   10452815      2       1  3824142       2.1846     0.014459
100526739    1   10395102   10462003      2       1  3824142       2.1846     0.014459
1325         1   10414719   10462003      2       1  3824142       2.1846     0.014459
5195         1   10439946   10640758     18       1  3824142     -0.41558      0.66114
1676         1   10450531   10507556      5       1  3824142     -0.43087      0.66672
54897        1   10626604   10831676     12       4  3824142      0.69203      0.24446
148345       1   10936473   11017037      6       1  3824142      -1.4886       0.9317
23435        1   10977622   11035492      1       1  3824142      -1.0985        0.864
10747        1   11016523   11082239      1       1  3824142       1.1749      0.12002
6723         1   11044592   11095034      1       1  3824142       1.1749      0.12002
5394         1   11056613   11134910      1       1  3824142       1.1749      0.12002
57540        1   11444238   11547583      6       2  3824142      0.10449      0.45839
93611        1   11619375   11673327      1       1  3824142       1.8996     0.028744
26270        1   11629093   11684354      1       1  3824142       1.8996     0.028744
26232        1   11638361   11689831      1       1  3824142       1.8996     0.028744
374946       1   11651647   11730612      4       1  3824142       1.7437     0.040606
10459        1   11664480   11726788      4       1  3824142       1.7437     0.040606
284498       1   11727183   11799585      1       1  3824142      0.18792      0.42547
1185         1   11771096   11853144      1       1  3824142      0.18792      0.42547
4524         1   11775730   11841103      1       1  3824142      0.18792      0.42547
4878         1   11835709   11882783      2       1  3824142      -2.1129       0.9827
4879         1   11847464   11893935      3       1  3824142      -2.0947       0.9819
5351         1   11899667   11985542      1       1  3824142     -0.49974      0.69137
90231        1   11909588   11961428      1       1  3824142     -0.49974      0.69137
7133         1   12131949   12219222      2       1  3824142     -0.15525      0.56169
55187        1   12195039   12522047      6       2  3824142      -1.2654      0.89713
9249         1   12557910   12653361      7       2  3824142      -1.3597      0.91304
126767       1   12681115   12738759      7       2  3824142     -0.12942      0.55149
93190        1   12711186   12771169     16       1  3824142      0.56853      0.28484
390999       1   12728223   12787906     14       1  3824142      0.66211      0.25395
65121        1   12756397   12806628     10       1  3824142      0.68501      0.24667
440560       1   12814380   12866410      2       1  3824142      0.10564      0.45793
65122        1   12822086   12871909      2       1  3824142      0.10564      0.45793
343069       1   12837377   12883756      2       1  3824142      0.10564      0.45793
400735       1   12869212   12921201      1       1  3824142      0.33888      0.36735
441871       1   12881647   12930480      1       1  3824142      0.33888      0.36735
343071       1   12882896   12933270      1       1  3824142      0.33888      0.36735
440561       1   12928472   12982580      2       1  3824142      0.94385      0.17262
400736       1   13186188   13236409      1       1  3824142     -0.67393      0.74982
7799         1   13665240   13835079      1       1  3824142     -0.53272      0.70289
23254        1   13858515   15128048     98      18  3824142     -0.62165      0.73292
55092        1   15117532   15230478      4       1  3824142      0.11462      0.45437
114827       1   15201602   15410283     14       4  3824142    -0.060985      0.52431
79180        1   15374895   15440343     10       1  3824142     -0.17589      0.56981
11330        1   15403442   15459247     14       1  3824142    0.0039624      0.49842
63036        1   15421728   15482091     31       2  3824142      0.26585      0.39518
51032        1   15441101   15501400     27       1  3824142      0.44884      0.32677
842          1   15481401   15561529     13       1  3824142      0.36136      0.35891
23341        1   15491813   15581733     10       2  3824142       0.2024       0.4198
79814        1   15561699   15620110      1       1  3824142      -1.0908      0.86233
84301        1   15582458   15671057      1       1  3824142       1.2127      0.11262
6248         1   15624869   15671722      1       1  3824142       1.2127      0.11262
54751        1   15721171   15796589      1       1  3824142      0.17282       0.4314
23013        1   15812864   15950455      1       1  3824142      0.76908      0.22092
7709         1   15931869   16011132      1       1  3824142      0.22954      0.40923
101928566    1   15941131   16007206      1       1  3824142      0.22954      0.40923
149563       1   15969236   16016695      1       1  3824142      0.22954      0.40923
1187         1   15986991   16044050      1       1  3824142      0.22954      0.40923
27129        1   16004028   16053796      1       1  3824142      0.22954      0.40923
348487       1   16047769   16108632      1       1  3824142       1.2735      0.10141
1969         1   16114337   16191087      1       1  3824142     -0.61273      0.72997
54455        1   16236840   16387491     35       5  3824142       0.3419      0.36621
26099        1   16332030   16408148     22       3  3824142      0.88123       0.1891
374955       1   16377117   16472842     11       3  3824142     -0.12159      0.54839
55707        1   16405672   16470090      6       1  3824142      -1.4663      0.92871
102724970    1   16500773   16546956      5       1  3824142     -0.93812      0.82591
9696         1   16860707   16982979      1       1  3824142      0.24617      0.40277
4237         1   16964500   17016643      7       1  3824142     -0.27052      0.60662
23400        1   16975958   17046972     18       2  3824142      0.22104      0.41253
6390         1   17008722   17089170     17       2  3824142      0.32111      0.37406
11240        1   17056761   17154453      3       1  3824142       1.2265         0.11
29943        1   17170123   17256006      1       1  3824142     -0.21174      0.58385
51702        1   17214082   17294233      6       2  3824142      0.35413      0.36162
23569        1   17273195   17374004     12       2  3824142        1.064      0.14366
353238       1   17337196   17411699     43       2  3824142       1.4909     0.067989
55920        1   17396755   17474754     26       2  3824142       1.5889     0.056039
55160        1   17485197   17707875     20       5  3824142      0.90094      0.18381
81569        1   17677000   17837063      6       2  3824142      -1.0176      0.84556
84966        1   18072746   18388484     30       4  3824142    -0.094498      0.53764
127707       1   18445930   18495999      4       2  3824142     -0.56056      0.71245
5081         1   18596006   18758866     16       2  3824142       1.1375      0.12767
80834        1   18829599   18894661      1       1  3824142    -0.016702      0.50666
8659         1   18861430   18937799     10       1  3824142      -1.1479       0.8745
126917       1   18894280   18991667     10       1  3824142      -1.1479       0.8745
23352        1   19064506   19245319     17       3  3824142      0.17634      0.43001
23065        1   19205664   19286559      6       2  3824142      0.56937      0.28455
51154        1   19216581   19270128      2       1  3824142      0.53066      0.29783
22977        1   19264325   19324346      2       1  3824142      0.84016      0.20041
54896        1   19277246   19342431      2       1  3824142      0.84016      0.20041
832          1   19328773   19520641      2       1  3824142     -0.32701      0.62817
440574       1   19561977   19639821     12       1  3824142       0.3156      0.37615
100532736    1   19561977   19668456     12       1  3824142       0.3156      0.37615
4681         1   19608229   19668456      7       1  3824142      0.32026      0.37439
3362         1   19630287   19690966      1       1  3824142     0.053028      0.47885
255104       1   19672213   19835353     13       1  3824142       1.2046      0.11417
54546        1   19804029   19850278      2       1  3824142       0.8301      0.20324
5322         1   19993339   20101901      4       2  3824142       1.6981     0.044744
127733       1   20148302   20206048      1       1  3824142     -0.38489      0.64984
105376824    1   20153076   20198980      1       1  3824142     -0.38489      0.64984
391013       1   20153991   20210194      1       1  3824142     -0.38489      0.64984
127731       1   20255907   20370221      6       1  3824142       2.7508    0.0029725
1650         1   20641767   20696544      3       1  3824142      -1.1938      0.88373
57576        1   20651643   20753017      6       1  3824142     -0.78162      0.78278
8672         1   20796292   21212320     62       6  3824142       0.1755      0.43034
1889         1   21207247   21380541      3       1  3824142      0.71176      0.23831
249          1   21473982   21588412      1       1  3824142     -0.58304      0.72007
84196        1   21668298   21818199     12       3  3824142       1.3095     0.095177
401944       1   21777265   21835221      7       1  3824142       1.5011     0.066659
3339         1   21812232   21972297     19       4  3824142      -2.5943      0.99526
23436        1   21941925   22008642      5       1  3824142       1.8172     0.034596
10136        1   21966656   22022542      4       1  3824142       1.8987     0.028799
998          1   22017627   22102943      1       1  3824142     0.027918      0.48886
9923         1   22393838   22541157     43       1  3824142     -0.79524      0.78676
2048         1   22675770   22925330      5       3  3824142      -1.2447      0.89337
646262       1   22943043   23007316      1       1  3824142        0.756      0.22482
23028        1   22984443   23093691      7       3  3824142      0.62323      0.26657
729059       1   23000834   23050850      3       1  3824142      0.88405      0.18834
7798         1   23074023   23212808     20       4  3824142      -1.5312      0.93714
3352         1   23181895   23229729      6       1  3824142      -1.7502      0.95996
10236        1   23294688   23379650      2       1  3824142      0.80139      0.21145
80818        1   23349448   23404864      1       1  3824142      0.44012      0.32992
6920         1   23370909   23459779      1       1  3824142      0.44012      0.32992
3399         1   23547930   23594794      3       1  3824142      0.86092      0.19464
6135         1   23656779   23706425      9       1  3824142     -0.51756      0.69762
6924         1   23708366   23772059     24       2  3824142     -0.52821      0.70132
11313        1   23755785   23805539      2       1  3824142      -1.5763      0.94252
2582         1   23785599   23835804      9       1  3824142      -1.7157      0.95689
3155         1   23791877   23860459      9       1  3824142      -1.7157      0.95689
2517         1   23835077   23903369      1       1  3824142     -0.71177       0.7617
1269         1   23863463   23948327      6       1  3824142      0.53418      0.29661
55629        1   23924811   23973462      2       1  3824142      -1.2008      0.88509
10772        1   23954347   24015463      1       1  3824142      0.50313      0.30744
127294       1   24046041   24147175      7       1  3824142       1.6721     0.047255
58985        1   24109771   24178285      5       1  3824142       1.6914     0.045382
163702       1   24144157   24222275      6       2  3824142      0.37437      0.35406
57822        1   24284322   24374482      1       1  3824142    -0.088956      0.53544
90529        1   24346999   24450497      6       1  3824142        1.854     0.031868
57185        1   24378674   24482983     10       2  3824142         1.65     0.049475
11123        1   24467351   24547020     12       4  3824142      0.55321      0.29006
400746       1   24521076   24619328      7       3  3824142     0.070908      0.47174
10250        1   24608012   24683281      2       1  3824142     -0.42104      0.66314
25932        1   24710269   24854324      2       1  3824142      0.99456      0.15998
25949        1   25212276   25267522      3       1  3824142     -0.58476      0.72065
57035        1   25232249   25302915      1       1  3824142      0.27835      0.39037
26119        1   25508580   25601287      2       1  3824142      0.19456      0.42287
57134        1   25582468   25796207     10       3  3824142     -0.80009      0.78817
5051         1   25949764   26033581      5       1  3824142      0.65416       0.2565
2134         1   25986741   26046464      4       1  3824142      0.65417       0.2565
105376910    1   26010895   26059057      1       1  3824142      0.81648      0.20711
