GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
118424       1    1179292    1244234      1       1  890    -0.026916      0.51074
126789       1    1208962    1257057      1       1  890    -0.026916      0.51074
116983       1    1217764    1278304      1       1  890    -0.026916      0.51074
80772        1    1225136    1274276      1       1  890    -0.026916      0.51074
83756        1    1231726    1279844      1       1  890    -0.026916      0.51074
54973        1    1236965    1295067      1       1  890    -0.026916      0.51074
9651         1    2372754    2446964      1       1  890     -0.18939      0.57511
55229        1    2429975    2493061      2       1  890     -0.87611      0.80952
388585       1    2450184    2496684      2       1  890     -0.87611      0.80952
8764         1    2452291    2505268      2       1  890     -0.87611      0.80952
127281       1    2482899    2532908      1       1  890       -1.296      0.90251
79258        1    2512078    2599499      2       1  890      -1.2597      0.89611
100287898    1    2562807    2741230      2       1  890     -0.72853      0.76686
23261        1    6810384    7839766     15       3  890      0.39687      0.34573
9341         1    7796329    7851492      1       1  890     -0.65161      0.74267
8863         1    7809413    7915241     21       2  890      -1.4601      0.92786
10911        1    7897672    7948551      7       2  890     -0.79604        0.787
3604         1    7965931    8038225      5       3  890      -1.4232      0.92266
11315        1    7986714    8055342      5       3  890      -1.9843      0.97639
54206        1    8061779    8121393      1       1  890      -1.3258      0.90755
374946       1   11716781   11790336      1       1  890      0.19217       0.4238
57085        1   11761142   11820828      1       1  890      0.19217       0.4238
284498       1   11788827   11859642      1       1  890      -1.0363      0.84996
1185         1   11831153   11913201      1       1  890      -1.0363      0.84996
4524         1   11835787   11901160      1       1  890      -1.0363      0.84996
9249         1   12617939   12712820      1       1  890      -2.1791      0.98534
55092        1   15444028   15556974      1       1  890       1.6684     0.047621
114827       1   15538730   15734767      1       1  890       1.6684     0.047621
27129        1   16330523   16381084      1       1  890      0.53559      0.29612
1188         1   16335231   16393821      1       1  890      0.53559      0.29612
348487       1   16374264   16435127      1       1  890      0.53559      0.29612
23569        1   17599690   17700495     11       3  890     -0.14761      0.55867
353238       1   17663741   17738195      5       2  890       0.5134      0.30384
55160        1   17811693   18034370      2       1  890      0.78686      0.21568
23352        1   19391000   19571812      1       1  890       1.4571      0.07255
23252        1   20173356   20249438      3       2  890       1.1298      0.12927
30814        1   20236800   20285110      1       1  890      0.13208      0.44746
978          1   20880444   20955401      1       1  890      -1.4571      0.92746
65018        1   20924948   20988004      1       1  890      -1.4571      0.92746
864          1   25216002   25326648      5       3  890    -0.083864      0.53342
115572       1   27321511   27374333      1       1  890       1.0225      0.15327
10076        1   29528028   29663325      1       1  890      0.67539      0.24971
79932        1   35889091   36058037      1       1  890     -0.46676      0.67967
5453         1   38499523   38547450      1       1  890     -0.81184      0.79156
79647        1   39421916   39481737      1       1  890      -3.6205      0.99985
4725         1   39456967   39510308      1       1  890      -3.6205      0.99985
59269        1   41962036   42536596      1       1  890     -0.32688      0.62812
55182        1   44835837   45127396      1       1  890      -1.2264      0.88998
2060         1   51809935   52020026      1       1  890     -0.47051        0.681
9372         1   52572678   52822358      1       1  890     -0.92883      0.82351
255738       1   55470149   55540526      2       1  890      -1.0871      0.86151
23358        1   55522032   55716039      1       1  890     -0.40275      0.65644
400757       1   67547859   67635654      3       2  890      -1.1104      0.86659
149233       1   67569590   67735662      9       5  890     -0.49566      0.68993
3595         1   67738047   67872583     13       5  890       1.0992      0.13584
26135        1   67863493   67931123      1       1  890       2.2951     0.010863
79971        1   68554142   68733284      1       1  890     -0.69569      0.75669
5733         1   71308036   71548497      1       1  890      0.64995      0.25786
5737         1   78921728   79016386      1       1  890     0.020827      0.49169
23566        1   85269086   85393896      1       1  890     -0.75018      0.77343
8915         1   85721459   85777604      2       1  890       1.2958     0.097523
9653         1   87345335   87585681      4       1  890       1.7368     0.041208
7049         1   92135900   92406559      1       1  890     -0.96501      0.83273
676          1   92379928   92489985      4       2  890      0.28251      0.38878
253152       1   92460533   92539093      4       2  890      0.67495      0.24985
284697       1   92510862   92623397      4       2  890       1.3097     0.095153
23285        1   92597609   92660280      4       2  890       1.6261     0.051963
388649       1   92648573   92721367      3       1  890     -0.36745      0.64336
11146        1   92701955   92799566      8       1  890     -0.27271      0.60746
79871        1   92729522   92863732     11       1  890     -0.38478       0.6498
2672         1   92930318   92987433     18       2  890     -0.59066      0.72262
7813         1   92964253   93292961    134       3  890       0.4068      0.34208
6125         1   93262594   93317481      9       1  890      0.16745      0.43351
388650       1   93288286   93462079     15       3  890     0.021313       0.4915
148867       1  101326632  101562821     10       4  890      0.46494      0.32099
2135         1  101327928  101396548      3       1  890      -1.1441      0.87372
51611        1  101445179  101526365      5       2  890       1.1886       0.1173
1301         1  103332023  103609052      1       1  890      -1.0733      0.85842
1952         1  109757641  109828378      1       1  890      0.17663       0.4299
260425       1  113898087  114238545     14       4  890      0.19003      0.42464
10745        1  114229824  114337165      1       1  890       1.0028      0.15798
54665        1  114294454  114390070      2       1  890      -0.5352      0.70374
26191        1  114346433  114449375      2       1  890      -0.5352      0.70374
10717        1  114427370  114482741      3       2  890      0.67443      0.25002
204851       1  114436819  114530491      4       2  890      0.81047      0.20884
56944        1  114487030  114534875      1       1  890      0.90023        0.184
965          1  117047156  117148715      2       1  890       -1.158      0.87657
3321         1  117107020  117245377      1       1  890     -0.27408      0.60799
5738         1  117417689  117542972      2       1  890       1.3309     0.091608
3158         1  120280619  120346555      1       1  890      -1.2062      0.88613
353145       1  152528175  152574229      1       1  890      0.13932       0.4446
353144       1  152538138  152583562      1       1  890      0.13932       0.4446
84648        1  152541860  152587980      1       1  890      0.13932       0.4446
448834       1  152695506  152744529      1       1  890      0.60239      0.27346
353137       1  152713848  152759445      1       1  890      0.60239      0.27346
353135       1  152723753  152770902      1       1  890      0.60239      0.27346
353134       1  152734227  152780657      3       2  890      0.56459      0.28618
353132       1  152749447  152795585      3       2  890      0.28617      0.38737
353131       1  152764949  152810573      3       2  890      0.28617      0.38737
353133       1  152767311  152814107      3       2  890      0.28617      0.38737
448835       1  152780330  152826459      1       1  890      0.10945      0.45642
3782         1  154659938  154877754      2       1  890        1.871     0.030676
1942         1  155065349  155117386      3       2  890     -0.73396      0.76851
55974        1  155072817  155121334      3       2  890     -0.73396      0.76851
55870        1  155295052  155567324      2       1  890    -0.039197      0.51563
7818         1  155622693  155718801      2       1  890      -1.4118      0.92099
54856        1  155709450  155864185     10       3  890      -1.5779      0.94271
23208        1  155794260  155864990      5       2  890      -1.1746      0.87993
6016         1  155857599  155916193      1       1  890      0.22316      0.41171
22889        1  155872834  155939209      2       1  890        0.862      0.19434
339403       1  155876480  155922625      2       1  890        0.862      0.19434
9181         1  155906431  155988396      2       1  890      0.80313      0.21095
6746         1  155968839  156025758      3       1  890      0.90364      0.18309
28956        1  155989517  156038301      3       1  890      0.90364      0.18309
56893        1  155992945  156058613      3       1  890      0.90364      0.18309
57111        1  155995966  156050295      2       1  890      0.99761      0.15923
4000         1  156017369  156119880      1       1  890       1.4347     0.075682
1314         1  160248377  160348354      1       1  890     -0.03276      0.51307
23385        1  160278063  160338742      1       1  890     -0.03276      0.51307
4807         1  160301861  160352638      1       1  890     -0.03276      0.51307
114836       1  160444820  160528052      1       1  890     -0.90483      0.81722
57823        1  160673865  160734611      6       2  890      -1.0804      0.86001
4063         1  160730864  160808045      8       2  890      0.66264      0.25378
51744        1  160789950  160867692      2       1  890     -0.85058       0.8025
55600        1  160836330  160889960      2       1  890     -0.85058       0.8025
142683       1  160904810  160959589      1       1  890      0.49091      0.31175
6391         1  161249166  161344541     10       2  890     -0.49502      0.68971
4359         1  161264525  161314762      4       1  890     -0.94636      0.82802
257177       1  161324521  161372673      6       1  890     -0.16401      0.56514
2212         1  161440205  161499360      1       1  890     -0.63489      0.73725
3310         1  161459036  161506687      1       1  890     -0.63489      0.73725
2215         1  161582986  161636753      6       1  890        1.201      0.11488
2213         1  161597905  161658444      1       1  890     -0.76645      0.77829
84824        1  161641762  161694142      1       1  890     -0.76645      0.77829
11266        1  161684558  161736952      1       1  890       0.7386      0.23007
22926        1  161701034  161943860      1       1  890       0.7386      0.23007
4921         1  162567228  162766409      3       1  890      0.95894      0.16879
440699       1  165478478  165543185      1       1  890      0.39037      0.34813
10560        1  169423147  169490208      1       1  890      -1.3402      0.90992
2153         1  169471192  169590769      5       3  890     -0.07969      0.53176
6403         1  169548087  169634377      1       1  890     0.026655      0.48937
57147        1  169812215  169898100      1       1  890      -1.8223      0.96579
22920        1  169880461  170078882      1       1  890      -1.8223      0.96579
80133        1  170869612  171043906      2       1  890      0.29431      0.38426
7292         1  173142870  173211471      3       2  890      -1.6582      0.95136
64326        1  175903967  176211386      1       1  890       0.3801      0.35194
9857         1  179888908  180094015      1       1  890       1.0529      0.14618
353299       1  182384256  182539732      1       1  890      -0.2178      0.58621
6041         1  182532769  182593420      1       1  890      0.15512      0.43836
23057        1  183207372  183422634      3       2  890      0.40923      0.34118
9887         1  183406506  183533328      5       3  890      -1.4496      0.92641
4688         1  183514697  183595056      3       2  890     -0.62452      0.73386
5321         1  186763032  186968113      2       1  890     -0.13639      0.55424
431704       1  192251122  192346415      3       2  890       0.3913      0.34779
5996         1  192509857  192559159      2       1  890      -1.4569      0.92743
6003         1  192570268  192639441      2       1  890     -0.10761      0.54285
23418        1  197135592  197457585     10       5  890      0.16205      0.43563
163486       1  197463878  197779623      9       2  890     -0.71759      0.76349
388722       1  197836682  197886497      5       3  890      0.92306      0.17799
56956        1  197846635  197914606     11       3  890      0.11698      0.45344
127124       1  198482352  198545075      2       1  890       1.2929     0.098019
5788         1  198573098  198736605      1       1  890      0.55047        0.291
23046        1  200928514  201027828      6       3  890       1.4585     0.072355
779          1  200998635  201116694      2       1  890       1.1686      0.12127
51094        1  202899960  202962700      1       1  890      0.61366      0.26972
51706        1  202921001  202971404      1       1  890      0.61366      0.26972
92703        1  202941520  203003976      1       1  890      0.61366      0.26972
1118         1  203175207  203233860      1       1  890     -0.42969      0.66629
55224        1  204090190  204156307      1       1  890    0.0019926      0.49921
5972         1  204113944  204170465      1       1  890    0.0019926      0.49921
5287         1  204381756  204498943      1       1  890     -0.85243      0.80301
4194         1  204450507  204606131      1       1  890     -0.85243      0.80301
9261         1  206823295  206917630     11       4  890       2.5767    0.0049879
3586         1  206930948  206980839      1       1  890      0.58739      0.27847
29949        1  206937215  207026326      5       2  890     -0.17406      0.56909
50604        1  207003699  207052568      2       1  890     -0.42736      0.66544
1380         1  207592645  207673240      2       1  890     -0.83844      0.79911
1378         1  207634473  207825110      3       2  890     -0.56799      0.71498
3776         1  215143885  215420436      2       1  890     0.032062      0.48721
128153       1  217769684  218050492      1       1  890     -0.53132       0.7024
7100         1  223272748  223351624      1       1  890       1.1764      0.11972
55061        1  223384161  223572564      1       1  890      0.44406       0.3285
127602       1  225082356  225596996      1       1  890    -0.089254      0.53556
79573        1  231031987  231149618      1       1  890     -0.53986      0.70535
64801        1  231079823  231146479      1       1  890     -0.53986      0.70535
148641       1  234005679  234470262      1       1  890      -2.1218      0.98307
55127        1  236702305  236802841      1       1  890     -0.16588      0.56588
88           1  236814754  236937931      1       1  890      0.18199       0.4278
56776        1  240220185  240648491      1       1  890       1.3712     0.085163
114548       1  247544247  247622410      1       1  890      0.68738      0.24592
127623       1  247604331  247650284      1       1  890       1.1339      0.12843
441932       1  247619370  247665711      1       1  890       1.1339      0.12843
267002       1  249165395  249225453      1       1  890     -0.25716      0.60147
54221        2     911554    1381401      1       1  890     -0.53104       0.7023
7837         2    1625659    1783291      1       1  890      0.34312      0.36575
9014         2    9948571   10084545      2       1  890       1.4109     0.079134
3790         2   18024105   18124225      1       1  890      0.69136      0.24467
338          2   21214301   21301945      1       1  890       1.0683       0.1427
1788         2   25441421   25600459     10       3  890     -0.98721      0.83823
1838         2   25590067   25931516      1       1  890     -0.26465      0.60436
151056       2   28683938   28876654      1       1  890      -0.7219      0.76482
4052         2   33137221   33634576      2       1  890     -0.30879      0.62126
25780        2   33626416   33799798      4       2  890      -0.9126      0.81927
6546         2   40329286   40774575      1       1  890     -0.11573      0.54607
678          2   43439541   43488745      4       2  890      -1.8802      0.96996
63892        2   43447975   43858185     25       5  890     -0.32616      0.62785
130271       2   43829439   44005126      4       2  890     -0.12338       0.5491
728819       2   43892292   43938461      1       1  890    -0.055625      0.52218
5495         2   44360984   44481570      1       1  890      -1.8839      0.97021
5581         2   45843454   46425129      1       1  890      0.37539      0.35369
285051       2   47304130   47417517      2       1  890       2.3381    0.0096923
400954       2   54917149   55209157      1       1  890      -1.3509      0.91164
64895        2   60948365   61039221      3       1  890        1.803     0.035693
5966         2   61073709   61181410      6       4  890     -0.43961      0.66989
150962       2   61157548   61280365      4       2  890     -0.86789      0.80727
5194         2   61209812   61289125      2       1  890      -1.3507       0.9116
84542        2   61258005   61375169      5       3  890      0.18584      0.42629
339804       2   61337221   61401964      1       1  890     -0.91364      0.81955
130872       2   61369553   61425240      2       1  890      -1.0295      0.84837
9736         2   61404590   61732868     11       6  890      -0.5245      0.70003
7514         2   61695069   61800440      3       2  890      0.98443      0.16245
10097        2   65419829   65508387      2       1  890      0.27311      0.39239
200734       2   65524580   65694733     16       5  890      0.30634      0.37967
25927        2   68501303   68582183      1       1  890     0.085477      0.46594
5341         2   68557322   68634585      1       1  890       1.1189      0.13158
200558       2   68659691   68849361      8       3  890      0.14193      0.44357
554251       2   68679498   68729448      1       1  890      0.16248      0.43546
9938         2   68926913   69063965      1       1  890     -0.77052       0.7795
10199        2   71322444   71387232      1       1  890     0.044739      0.48216
84693        2   71326806   71392394      1       1  890     0.044739      0.48216
8291         2   71645347   71923895      1       1  890    -0.069334      0.52764
10989        2   86361055   86458264      1       1  890      0.44419      0.32845
65055        2   86431116   86600206      1       1  890      0.44419      0.32845
90342        2   97273574   97380624      1       1  890       1.1451      0.12608
3899         2  100152326  100794037     15       6  890       -1.628      0.94823
164832       2  100879753  100974195      5       3  890      0.62403      0.26631
9486         2  100998322  101069130      2       1  890       0.3044      0.38041
9448         2  102279165  102521152     12       4  890       0.4392      0.33026
7850         2  102573306  102654885      3       2  890       2.4273    0.0076053
3554         2  102651836  102806334      8       5  890     -0.57101        0.716
8808         2  102768433  102866462     10       5  890     -0.06266      0.52498
9173         2  102892962  102978497      3       2  890     -0.72274      0.76508
8809         2  102944093  103025230      2       1  890      0.59797      0.27493
8807         2  103000254  103079025      1       1  890     -0.14507      0.55767
389015       2  103054173  103160433      3       1  890     -0.51498      0.69672
8440         2  106326520  106520730      4       1  890      -2.6009      0.99535
653489       2  107011136  107119801      1       1  890     -0.25678      0.60132
55289        2  111455150  111885799      1       1  890     -0.60265      0.72663
150468       2  113485444  113557254      1       1  890      0.33518      0.36874
27178        2  113635548  113686459      1       1  890      0.28633      0.38731
57628        2  115164899  116613328      1       1  890     -0.91479      0.81985
100506922    2  128100704  128156987      1       1  890      0.15282      0.43927
5624         2  128140996  128196822      1       1  890      0.15282      0.43927
4249         2  134842502  135222192      2       1  890      0.60986      0.27098
7852         2  136861919  136910725      1       1  890      0.90368      0.18308
53353        2  140978996  142924270      3       2  890      -0.7984      0.78768
8942         2  143471497  143809885      1       1  890       1.1914      0.11675
55777        2  148743580  149281046      2       1  890     -0.71204      0.76178
130576       2  149859981  150081776      2       1  890      -0.1836      0.57284
2641         2  162989379  163043914      7       3  890      0.89423       0.1856
2191         2  163017194  163135045     14       4  890      0.68684      0.24609
64135        2  163113589  163210218      3       1  890      0.87226      0.19153
25801        2  163165583  163246525      3       1  890       0.6217      0.26707
90134        2  163217917  163730257      6       2  890       1.0477      0.14739
80034        2  166291157  166555917      1       1  890      -1.3238      0.90721
6335         2  167041695  167267497      1       1  890     -0.47556      0.68281
114880       2  179024208  179274160      1       1  890      0.86093      0.19464
151126       2  180296709  180761232      1       1  890      -1.4074      0.92035
10477        2  181810112  181938154      8       3  890       1.0967      0.13638
91752        2  185428093  185814214     33      11  890      0.72752      0.23345
6772         2  191823762  191913976      5       2  890       1.6275     0.051815
6775         2  191884302  192072404     11       6  890      0.93052      0.17605
56171        2  196592427  196968536      1       1  890       -1.219      0.88859
80055        2  197687728  197826454      4       1  890      0.88341      0.18851
66008        2  202231930  202351319      1       1  890      0.63945      0.26126
55437        2  202281392  202369501      1       1  890      0.63945      0.26126
940          2  204536198  204613635      9       1  890     -0.27115      0.60686
1493         2  204697511  204748683      1       1  890     0.020322      0.49189
29851        2  204766454  204836302      2       1  890     -0.73604      0.76915
117583       2  205375516  206494886      2       1  890     -0.47488      0.68256
8745         2  207273268  207495854      8       4  890       1.6737     0.047095
391475       2  207506345  207618120      3       1  890      0.28005      0.38972
2066         2  212230442  213438879      1       1  890     -0.12208      0.54858
25953        2  219100115  219221516      1       1  890      0.40992      0.34093
375307       2  219186579  219243003      1       1  890      0.40992      0.34093
6556         2  219211752  219271617      1       1  890      0.32202      0.37372
58190        2  219228061  219280664      1       1  890      0.32202      0.37372
7429         2  219248838  219324248      1       1  890      0.32202      0.37372
130367       2  223253771  223437342      2       1  890      0.92365      0.17784
55022        2  229878689  230171057      1       1  890      -2.3517      0.99066
3431         2  231023634  231125444      2       1  890     -0.30258       0.6189
11262        2  231055445  231187930      4       2  890      -1.0529      0.85381
93349        2  231156894  231278445      2       1  890     -0.90773      0.81799
55054        2  234125217  234214320      7       2  890       1.1662      0.12177
6295         2  234181309  234265701      6       2  890       1.3214     0.093187
8527         2  234228149  234390744      3       2  890     -0.22568      0.58928
55230        2  234374165  234510433      3       2  890     -0.68302       0.7527
54576        2  234491291  234691946      1       1  890      0.45327      0.32518
140739       2  238840587  238961423      1       1  890      0.52875      0.29849
150678       2  241055980  241110764      1       1  890      0.30249      0.38114
150677       2  241068446  241115073      1       1  890      0.30249      0.38114
2859         2  241509825  241580676      3       2  890       1.0039      0.15772
653437       2  241605835  241657317      1       1  890     0.047369      0.48111
547          2  241643181  241794725      1       1  890     0.047369      0.48111
285362       3    4392829    4543966      1       1  890     -0.41665      0.66153
10533        3   11279010   11609139      1       1  890     -0.23314      0.59217
79885        3   13486671   13557924      1       1  890      0.19486      0.42275
2199         3   13538824   13689922      1       1  890      0.19486      0.42275
6533         3   14409076   14540857      1       1  890      -0.1566      0.56222
84077        3   14681606   14824543      1       1  890     -0.37939       0.6478
79750        3   21449911   22449132      3       2  890      0.36734      0.35668
8320         3   27747440   27799206      2       1  890     -0.35688      0.63941
131405       3   32824510   32943771      2       1  890       1.9994     0.022782
1233         3   32958066   33006403      5       2  890      0.73494      0.23119
2720         3   33028100   33173694      3       1  890     0.028513      0.48863
643853       3   33028219   33173689      3       1  890     0.028513      0.48863
26032        3   33181537   33295707      1       1  890     -0.68519      0.75339
9942         3   38353251   38466467      1       1  890       1.2735      0.10142
1524         3   39294985   39358226      1       1  890     -0.31567      0.62387
25924        3   39815405   40311812      1       1  890       1.2658       0.1028
100506243    3   42942834   42994284      1       1  890       1.1169      0.13203
54861        3   43293004   43402635      2       1  890     -0.31471      0.62351
23395        3   45395053   45600334      2       1  890     -0.56867      0.71521
54585        3   45854808   45992216      4       2  890      -0.2122      0.58403
10803        3   45892996   45954667      2       1  890     -0.36271      0.64159
79443        3   45949391   46072316      3       2  890    -0.028747      0.51147
10663        3   45949973   45999845      2       1  890      0.34424      0.36533
2829         3   46052291   46103979      2       1  890      -1.2557      0.89539
1230         3   46233200   46284832      4       2  890      0.74718      0.22748
1232         3   46248872   46318197      4       2  890      0.79661      0.21284
729230       3   46360235   46412413      2       1  890      -2.2917      0.98904
1234         3   46376633   46427697      2       1  890      -2.2917      0.98904
9034         3   46413721   46464488      3       1  890     -0.66374      0.74657
4057         3   46467496   46541598      4       2  890      0.24262      0.40415
83597        3   46504485   46552439      3       1  890     0.064868      0.47414
79442        3   46546875   46656589      5       2  890      0.12242      0.45128
6997         3   46581045   46633953      2       1  890     0.061104      0.47564
151903       3   46953220   47058500      4       1  890     -0.73879      0.76998
23218        3   46986173   47061194      4       1  890     -0.73879      0.76998
64147        3   47259516   47359337      1       1  890      -1.5693      0.94171
23276        3   47289116   47398306      2       1  890      -1.5693      0.94171
22937        3   47445184   47552603      1       1  890      -1.5693      0.94171
54859        3   47527130   47590199      1       1  890     -0.29804      0.61716
5364         3   48435261   48506460      1       1  890   0.00046167      0.49982
51372        3   48446686   48495537      1       1  890   0.00046167      0.49982
84126        3   48453114   48519044      1       1  890   0.00046167      0.49982
79714        3   48463580   48516529      1       1  890   0.00046167      0.49982
51246        3   48499197   48577259      3       1  890     -0.30413      0.61949
5210         3   48545117   48633607      5       3  890    -0.056434       0.5225
90226        3   48589151   48636201      2       1  890      0.57373      0.28307
1294         3   48591506   48667593      3       2  890      0.24502      0.40322
7384         3   48626432   48682391      1       1  890    -0.066272      0.52642
440955       3   48648275   48694189      1       1  890    -0.066272      0.52642
65010        3   48653156   48707926      2       1  890       1.3119     0.094775
1951         3   48663896   48735348      2       1  890       1.3119     0.094775
51517        3   48690419   48758366      1       1  890       1.7761     0.037859
51447        3   48715436   48789711      1       1  890       1.5101     0.065509
5576         3   48774017   48920270      2       1  890       1.2691      0.10221
788          3   48884356   48971426      1       1  890      0.58445      0.27946
55152        3   49042832   49093504      2       1  890      0.34268      0.36592
3615         3   49051758   49101875      2       1  890      0.34268      0.36592
54870        3   49057140   49166504      2       1  890      0.34268      0.36592
375341       3   49296030   49349864      2       1  890      0.87716       0.1902
7375         3   49304577   49412536      3       2  890       0.5663      0.28559
2876         3   49384609   49430791      1       1  890     0.012817      0.49489
387          3   49386569   49484526      2       1  890       1.3421     0.089782
