GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3824142      0.54048      0.29443
105378580    1     768398     815130     22      11  3824142      0.15809      0.43719
148398       1     890741     954581     39      19  3824142      -1.5684       0.9416
339451       1     924952     975720     36      17  3824142     -0.82712      0.79592
84069        1     931497     985108     29      14  3824142       -0.997      0.84062
26155        1     934203     994299     38      16  3824142     -0.96274      0.83216
84808        1     965199    1017117     35      12  3824142      -1.0187      0.84584
9636         1     978467    1024540     32      11  3824142     -0.71595      0.76299
375790       1     985101    1066119     72      24  3824142      -1.2908      0.90162
57801        1     988962    1036285     34      13  3824142      -0.3157      0.62389
105369174    1    1026207    1076390     47      17  3824142      -1.1201      0.86866
105378948    1    1055635    1104326     19      14  3824142      0.91374      0.18043
401934       1    1061746    1109307     19      14  3824142       1.0487      0.14716
54991        1    1071818    1151356     52      29  3824142       1.2795      0.10036
254173       1    1138898    1207935     60      29  3824142      0.12813      0.44902
8784         1    1193508    1241709     45      13  3824142     -0.80384      0.78925
126792       1    1197249    1245041     43      13  3824142     -0.48704      0.68688
7293         1    1201326    1249638     42      13  3824142       -1.223      0.88933
51150        1    1206908    1267067     53      15  3824142      -2.1462      0.98407
388581       1    1232446    1282218     37      11  3824142      -1.8568      0.96833
118424       1    1243912    1308854     59      20  3824142      -2.7245      0.99678
6339         1    1245415    1302029     42      13  3824142      -2.2131      0.98655
126789       1    1273571    1321677     44      23  3824142      -1.7152      0.95685
116983       1    1282384    1342925     53      31  3824142      -1.6307      0.94852
80772        1    1289756    1338896     43      27  3824142      -1.2172      0.88825
83756        1    1293999    1345320     43      27  3824142      -1.4252      0.92295
54973        1    1301585    1359687     47      29  3824142      -1.1818      0.88136
1855         1    1325278    1384158     39      16  3824142     -0.97705      0.83573
54587        1    1342689    1398541     29      11  3824142      -0.8992      0.81573
54998        1    1363730    1410438     29      13  3824142     -0.42065      0.66299
81669        1    1375711    1434338     36      16  3824142     -0.36776      0.64347
643965       1    1391128    1437787     27      13  3824142     -0.36551      0.64264
55052        1    1391896    1442834     31      16  3824142     -0.63624      0.73769
64856        1    1400523    1452882     35      19  3824142     -0.34967      0.63671
219293       1    1406301    1480158     40      19  3824142      -0.7619      0.77694
441869       1    1408420    1456820     30      18  3824142     -0.51151       0.6955
83858        1    1436732    1519479     74      27  3824142     -0.92228      0.82181
55210        1    1477143    1544687     70      23  3824142      -1.1046      0.86534
339453       1    1524778    1575360     34      14  3824142      -1.0302      0.84854
29101        1    1531673    1609882     58      22  3824142   -0.0090774      0.50362
142678       1    1579975    1640610     32      24  3824142       1.0625        0.144
643988       1    1588008    1635096     20      14  3824142      0.94249      0.17297
8510         1    1597181    1644654     19      14  3824142     0.015071      0.49399
984          1    1625226    1694839     22      15  3824142      0.77004      0.22064
728661       1    1650025    1727804     34      10  3824142      0.39067      0.34802
728642       1    1692730    1759352     35      11  3824142      0.35659       0.3607
9906         1    1714838    1780999     38      14  3824142      0.41475      0.33916
65220        1    1741232    1815514     21      15  3824142      0.76647       0.2217
2782         1    1775285    1926117     51      26  3824142      -1.2979      0.90285
105378949    1    1850960    1903010     17      10  3824142     -0.86249      0.80579
163688       1    1878752    1927294     22      10  3824142     -0.86751      0.80717
339456       1    1907589    1954301     20       6  3824142      -1.3991      0.91911
85452        1    1911951    2038837     68      38  3824142     -0.66446       0.7468
2563         1    1984329    2040753     37      26  3824142     0.081918      0.46736
5590         1    2015470    2195395    117      51  3824142       -1.559       0.9405
100506504    1    2171811    2219360     17      13  3824142      -1.4012      0.91942
199990       1    2174460    2247720     36      24  3824142      -2.3593      0.99085
6497         1    2193695    2320213     61      38  3824142      -1.7128      0.95663
105378592    1    2198942    2250211     26      16  3824142       -2.149      0.98418
105378594    1    2245383    2294676     20      14  3824142       -1.144       0.8737
79906        1    2311253    2426751     74      50  3824142     -0.10828      0.54311
11079        1    2356314    2415444     32      20  3824142      0.24037      0.40502
9651         1    2380782    2515530     78      42  3824142      -1.5844      0.94345
5192         1    2394802    2448780     36      28  3824142      -1.0821       0.8604
55229        1    2498531    2561628     35      17  3824142     -0.42368       0.6641
388585       1    2518745    2565245     26      12  3824142      -0.3658      0.64274
8764         1    2521365    2575622     34      17  3824142     -0.14788      0.55878
127281       1    2551460    2601469     38      19  3824142       0.4974      0.30945
79258        1    2580639    2668042     27      16  3824142      0.14398      0.44276
100287898    1    2626988    2824665     53      13  3824142     0.063534      0.47467
140625       1    2986482    3032903     44       8  3824142       1.8862     0.029636
63976        1    3033227    3448621    314     127  3824142       1.2063      0.11385
27237        1    3419583    3491115     61      30  3824142     -0.42085      0.66307
1953         1    3477942    3659757    134      60  3824142      -1.8804      0.96998
127262       1    3589992    3640131     37      20  3824142     0.041619       0.4834
7161         1    3617565    3746201     84      51  3824142      -1.4841      0.93111
49856        1    3620767    3685107     44      28  3824142      -1.9245      0.97285
148870       1    3717398    3781645     49      26  3824142     -0.13317      0.55297
388588       1    3737761    3785982     46      21  3824142      0.36691      0.35684
57470        1    3770220    3831504     69      18  3824142      0.28861      0.38644
9731         1    3802081    3892387     40      16  3824142     -0.36038      0.64072
1677         1    3822143    3895429     23      10  3824142      0.08935       0.4644
261734       1    5852808    6027505     87      52  3824142     -0.47908      0.68406
8514         1    5957298    6111193     76      50  3824142    -0.033339       0.5133
26038        1    6091787    6215134     56      29  3824142     -0.64747      0.74133
388591       1    6170775    6231299     33      12  3824142     -0.77249      0.78009
6146         1    6175020    6234619     30      10  3824142      -1.0032      0.84212
390992       1    6209158    6255578     23       8  3824142     -0.69794      0.75739
23463        1    6211193    6270984     31      12  3824142     -0.78749       0.7845
387509       1    6237346    6295990     33      20  3824142     -0.97972      0.83639
11332        1    6254272    6428766    147      32  3824142     -0.85258      0.80305
83715        1    6389776    6470944     62      14  3824142      -1.2857      0.90073
54626        1    6405232    6459664     43       9  3824142      -1.1226       0.8692
8718         1    6451151    6501195     30      12  3824142      0.46885      0.31959
57449        1    6456092    6555061     74      18  3824142     -0.79346      0.78625
79707        1    6511347    6589598     49       8  3824142        -1.71      0.95637
80835        1    6520278    6589757     43       7  3824142      -1.6506      0.95059
3104         1    6544991    6599280     27      10  3824142      -2.1669      0.98488
148479       1    6578696    6634033     22      17  3824142     -0.93509      0.82513
9903         1    6580724    6637898     24      18  3824142     -0.82397      0.79502
90326        1    6589865    6645586     26      17  3824142     -0.54972      0.70875
55735        1    6624168    6736906     37      23  3824142      0.14351      0.44294
23261        1    6750324    7779706    523     197  3824142      -1.4332       0.9241
9341         1    7736269    7791432     30      20  3824142     -0.32509      0.62744
8863         1    7749380    7855181     56      28  3824142     -0.33038      0.62944
10911        1    7837612    7948610     67      24  3824142      0.54054      0.29441
3604         1    7905871    7978165     33      17  3824142     -0.98577      0.83788
11315        1    7926654    7995283     25      14  3824142     -0.35928      0.64031
54206        1    8001719    8061333     14      10  3824142   -0.0073038      0.50291
50651        1    8283085    8354167     30      19  3824142        1.171       0.1208
473          1    8342404    8852691    143      88  3824142       2.0923     0.018208
2023         1    8851000    8914092     29       9  3824142     -0.73972      0.77026
765          1    8910785    8985092     53      26  3824142      -1.1614      0.87726
155184       1    8950853    9061384     69      40  3824142      -0.8852      0.81198
6518         1    9026943    9106704     61      22  3824142     -0.68473      0.75324
80045        1    9093391    9164170     48      28  3824142      0.11284      0.45508
9563         1    9199776    9281337     42      26  3824142      0.39605      0.34603
80176        1    9257882    9379532     97      51  3824142      0.49037      0.31194
84275        1    9504469    9592773     51      18  3824142     -0.77522      0.78089
199953       1    9553853    9624877     36      14  3824142     0.036414      0.48548
5293         1    9594889    9739114     94      34  3824142      -1.5871      0.94375
22883        1    9719021    9859526    107      21  3824142       -1.379      0.91606
56998        1    9838276    9945258     50      26  3824142      0.61126      0.27052
64802        1    9907923    9995501     38      15  3824142     -0.67135        0.749
84328        1    9912110    9978402     31      13  3824142      -1.0774      0.85934
116362       1    9962197   10026020     32       8  3824142      0.25885      0.39788
105376719    1    9986423   10033089     24      10  3824142       0.4112      0.34046
10277        1    9997983   10191239    138      29  3824142      0.50655      0.30623
23095        1   10175706   10391603    140      18  3824142     -0.82207      0.79448
5226         1   10363992   10430511     22       9  3824142      -1.0306      0.84865
