GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600      -1.3229      0.90707
105378580    1     768398     815130     22      11  8087600     -0.69424      0.75623
148398       1     890741     954581     39      19  8087600      0.38482      0.35018
339451       1     924952     975720     36      17  8087600     -0.71887      0.76389
84069        1     931497     985108     29      14  8087600      -1.1162      0.86783
26155        1     934203     994299     38      16  8087600      0.12609      0.44983
84808        1     965199    1017117     35      12  8087600       1.1022      0.13519
9636         1     978467    1024540     32      11  8087600       1.2942     0.097793
375790       1     985101    1066119     72      24  8087600       0.8485      0.19808
57801        1     988962    1036285     34      13  8087600       1.2976     0.097213
105369174    1    1026207    1076390     47      17  8087600    -0.031203      0.51245
105378948    1    1055635    1104326     19      14  8087600     -0.81246      0.79174
401934       1    1061746    1109307     19      14  8087600     -0.92219      0.82179
54991        1    1071818    1151356     52      29  8087600      -1.5185      0.93556
254173       1    1138898    1207935     60      29  8087600      -2.3518      0.99066
8784         1    1193508    1241709     45      13  8087600      -1.7238      0.95763
126792       1    1197249    1245041     43      13  8087600       -1.389      0.91758
7293         1    1201326    1249638     42      13  8087600      -1.7024      0.95566
51150        1    1206908    1267067     53      15  8087600     -0.46227      0.67806
388581       1    1232446    1282218     37      11  8087600      0.83316      0.20238
118424       1    1243912    1308854     59      20  8087600      0.75434      0.22532
6339         1    1245415    1302029     42      13  8087600      0.90622      0.18241
126789       1    1273571    1321677     44      23  8087600      0.83539      0.20175
116983       1    1282384    1342925     53      31  8087600       0.6981      0.24256
80772        1    1289756    1338896     43      27  8087600      0.39703      0.34567
83756        1    1293999    1345320     43      27  8087600      0.69216      0.24442
54973        1    1301585    1359687     47      29  8087600      0.73788      0.23029
1855         1    1325278    1384158     38      16  8087600      0.82566       0.2045
54587        1    1342689    1398541     28      11  8087600      0.15971      0.43656
54998        1    1363730    1410438     28      13  8087600       1.0955      0.13666
81669        1    1375711    1434338     35      16  8087600       1.0858      0.13878
643965       1    1391128    1437787     27      13  8087600       1.1902      0.11698
55052        1    1391896    1442834     31      16  8087600        1.297     0.097319
64856        1    1400523    1452882     35      19  8087600      0.81174      0.20847
219293       1    1406301    1480158     40      19  8087600     -0.18679      0.57409
441869       1    1408420    1456820     30      18  8087600     -0.06863      0.52736
83858        1    1436732    1519479     74      27  8087600    -0.042027      0.51676
55210        1    1477143    1544687     70      23  8087600      0.35572      0.36102
339453       1    1524778    1575360     34      14  8087600     -0.78579        0.784
29101        1    1531673    1609882     58      22  8087600      0.59748      0.27509
142678       1    1579975    1640610     32      24  8087600      0.38689      0.34942
643988       1    1588008    1635096     20      14  8087600      -1.3484      0.91124
8510         1    1597181    1644654     19      14  8087600    0.0065813      0.49737
984          1    1625226    1694839     22      15  8087600      0.52812      0.29871
728661       1    1650025    1727804     34      10  8087600      -0.4084      0.65851
728642       1    1692730    1759352     35      11  8087600     -0.83148      0.79715
9906         1    1714838    1780999     38      14  8087600     -0.77532      0.78092
65220        1    1741232    1815514     21      15  8087600      -1.0538      0.85402
2782         1    1775285    1926117     51      26  8087600      -1.3423      0.91024
105378949    1    1850960    1903010     17      10  8087600     -0.99826      0.84092
163688       1    1878752    1927294     22      10  8087600      -1.0324      0.84905
339456       1    1907589    1954301     20       6  8087600      -1.2597      0.89611
85452        1    1911951    2038837     68      38  8087600      -2.9731      0.99853
2563         1    1984329    2040753     37      26  8087600      -2.2934      0.98909
5590         1    2015470    2195395    117      51  8087600      -1.4569      0.92743
100506504    1    2171811    2219360     17      13  8087600     -0.30631      0.62031
199990       1    2174460    2247720     36      24  8087600      -1.1894      0.88286
6497         1    2193695    2320213     61      38  8087600      -1.3249       0.9074
105378592    1    2198942    2250211     26      16  8087600      -1.4959      0.93266
105378594    1    2245383    2294676     20      14  8087600     -0.49379      0.68927
79906        1    2311253    2426751     74      50  8087600      -1.4289      0.92348
11079        1    2356314    2415444     32      20  8087600      -1.0413      0.85114
9651         1    2380782    2515530     78      42  8087600      -1.0245      0.84719
5192         1    2394802    2448780     36      28  8087600      -1.2659      0.89722
55229        1    2498531    2561628     35      17  8087600      -1.0179      0.84563
388585       1    2518745    2565245     26      12  8087600       -1.166       0.8782
8764         1    2521365    2575622     34      17  8087600      -1.3782      0.91593
127281       1    2551460    2601469     38      19  8087600     -0.68987      0.75486
79258        1    2580639    2668042     27      16  8087600     -0.48786      0.68718
100287898    1    2626988    2824665     53      13  8087600     -0.28409      0.61183
140625       1    2986482    3032903     44       8  8087600     -0.42314       0.6639
63976        1    3033227    3448621    314     127  8087600     -0.88114      0.81088
27237        1    3419583    3491115     61      30  8087600     -0.18675      0.57407
1953         1    3477942    3659757    134      60  8087600       1.2849     0.099411
127262       1    3589992    3640131     37      20  8087600      -1.4413      0.92525
7161         1    3617565    3746201     84      51  8087600      -1.4241      0.92279
49856        1    3620767    3685107     44      28  8087600     -0.30189      0.61863
148870       1    3717398    3781645     49      26  8087600      -1.8049      0.96445
388588       1    3737761    3785982     46      21  8087600      -0.5044      0.69301
57470        1    3770220    3831504     69      18  8087600   -0.0081939      0.50327
9731         1    3802081    3892387     40      16  8087600     -0.25744      0.60158
1677         1    3822143    3895429     23      10  8087600     -0.35982      0.64051
261734       1    5852808    6027505     87      52  8087600      -2.2853      0.98885
8514         1    5957298    6111193     76      50  8087600     -0.48371       0.6857
26038        1    6091787    6215134     56      29  8087600      -1.4067      0.92024
388591       1    6170775    6231299     33      12  8087600     -0.61666      0.73127
6146         1    6175020    6234619     30      10  8087600      -0.4324      0.66727
390992       1    6209158    6255578     23       8  8087600       0.4156      0.33885
23463        1    6211193    6270984     31      12  8087600      0.28256      0.38876
387509       1    6237346    6295990     33      20  8087600      0.89687       0.1849
11332        1    6254272    6428766    147      32  8087600     -0.41806      0.66205
83715        1    6389776    6470944     62      14  8087600     -0.50188      0.69212
54626        1    6405232    6459664     43       9  8087600     -0.34489      0.63491
8718         1    6451151    6501195     30      12  8087600      -0.3072      0.62066
57449        1    6456092    6555061     74      18  8087600     -0.19011      0.57539
79707        1    6511347    6589598     49       8  8087600     -0.34292      0.63417
80835        1    6520278    6589757     43       7  8087600    -0.070806      0.52822
3104         1    6544991    6599280     27      10  8087600     -0.13826      0.55498
148479       1    6578696    6634033     22      17  8087600     -0.48377      0.68573
9903         1    6580724    6637898     24      18  8087600     -0.11145      0.54437
90326        1    6589865    6645586     26      17  8087600     -0.22289      0.58819
55735        1    6624168    6736906     37      23  8087600      0.43826       0.3306
23261        1    6750324    7779706    523     197  8087600       -0.913      0.81938
9341         1    7736269    7791432     30      20  8087600      -1.6567      0.95121
8863         1    7749380    7855181     56      28  8087600       -1.584       0.9434
10911        1    7837612    7948610     67      24  8087600      -1.7729      0.96188
3604         1    7905871    7978165     33      17  8087600      -0.4872      0.68694
11315        1    7926654    7995283     25      14  8087600     -0.11697      0.54656
54206        1    8001719    8061333     14      10  8087600      -0.6614      0.74582
50651        1    8283085    8354167     30      19  8087600     0.028905      0.48847
473          1    8342404    8852691    143      88  8087600      0.97146      0.16566
2023         1    8851000    8914092     29       9  8087600       2.2616     0.011861
765          1    8910785    8985092     53      26  8087600       1.2476      0.10608
155184       1    8950853    9061384     69      40  8087600     -0.56877      0.71524
6518         1    9026943    9106704     61      22  8087600     0.079275      0.46841
80045        1    9093391    9164170     48      28  8087600      0.04262        0.483
9563         1    9199776    9281337     42      26  8087600        1.154      0.12424
80176        1    9257882    9379532     97      51  8087600       1.4916     0.067901
84275        1    9504469    9592773     51      18  8087600     -0.33009      0.62933
199953       1    9553853    9624877     36      14  8087600     -0.79941      0.78797
5293         1    9594889    9739114     94      34  8087600     -0.92213      0.82177
22883        1    9719021    9859526    107      21  8087600     -0.29667      0.61664
56998        1    9838276    9945258     50      26  8087600    0.0046504      0.49814
64802        1    9907923    9995501     38      15  8087600      0.72131      0.23536
84328        1    9912110    9978402     31      13  8087600       0.7613      0.22324
116362       1    9962197   10026020     32       8  8087600       1.2235      0.11058
105376719    1    9986423   10033089     24      10  8087600       2.1004     0.017846
10277        1    9997983   10191239    138      29  8087600       1.4447     0.074266
23095        1   10175706   10391603    140      18  8087600        1.596     0.055249
5226         1   10363992   10430511     22       9  8087600       2.1551     0.015576
378708       1   10395102   10452815     21      11  8087600       2.7023    0.0034433
100526739    1   10395102   10462003     27      14  8087600       2.5951    0.0047288
1325         1   10414719   10462003     19      10  8087600       2.3119     0.010392
5195         1   10439946   10640758     84      44  8087600        2.082     0.018669
1676         1   10450531   10507556     23      14  8087600       1.8522     0.031999
54897        1   10626604   10831676    131      71  8087600     0.071382      0.47155
148345       1   10936473   11017037     38      22  8087600      0.47421      0.31768
23435        1   10977622   11035492     27      16  8087600     -0.39555      0.65378
10747        1   11016523   11082239     41       9  8087600       1.2571      0.10436
6723         1   11044592   11095034     33       6  8087600       1.4598     0.072172
5394         1   11056613   11134910     53       7  8087600        1.536     0.062271
2475         1   11096531   11297557    111      18  8087600       1.3181     0.093729
10218        1   11154289   11205981     33       9  8087600       1.1166      0.13208
29914        1   11238198   11306595     32      10  8087600      0.15953      0.43663
57540        1   11444238   11547583     45      30  8087600     -0.47384      0.68219
93611        1   11619375   11673327     35      18  8087600     -0.21063      0.58341
26270        1   11629093   11684354     35      20  8087600     -0.11738      0.54672
26232        1   11638361   11689831     31      18  8087600      0.33203      0.36993
374946       1   11651647   11730612     48      31  8087600     -0.21391      0.58469
10459        1   11664480   11726788     39      27  8087600     -0.62133      0.73281
57085        1   11700474   11760771     29      21  8087600    0.0063034      0.49749
284498       1   11727183   11799585     27      20  8087600       0.2897      0.38602
1185         1   11771096   11853144     53      16  8087600      0.69865      0.24239
4524         1   11775730   11841103     40      13  8087600      0.70312      0.24099
4878         1   11835709   11882783     46      19  8087600      0.20312      0.41952
4879         1   11847464   11893935     32      15  8087600       0.1556      0.43817
5351         1   11899667   11985542     59      22  8087600     -0.26347      0.60391
90231        1   11909588   11961428     35      13  8087600      -1.2034      0.88558
9927         1   11945181   12023515     41      17  8087600      -1.3707      0.91477
60672        1   11984242   12042049     24      11  8087600     -0.83044      0.79685
943          1   12028330   12154207     65      32  8087600      0.91846      0.17919
7133         1   12131949   12219222     47      24  8087600      0.19818      0.42145
55187        1   12195039   12522047    199      37  8087600      0.81006      0.20895
9249         1   12557910   12653361     71      33  8087600    -0.080259      0.53198
343066       1   12609547   12677086     58      19  8087600     -0.41741      0.66181
126767       1   12681115   12738759     24      18  8087600      0.52676      0.29918
93190        1   12711186   12771169     30      11  8087600     -0.56591      0.71427
390999       1   12728223   12787906     32      12  8087600     -0.85225      0.80296
