GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      -1.2171      0.88823
105378580    1     768398     815130     22      11  3462878      -1.1494      0.87481
148398       1     890741     954581     39      19  3462878       -0.682      0.75238
339451       1     924952     975720     36      17  3462878     -0.82386      0.79499
84069        1     931497     985108     29      14  3462878     -0.77965       0.7822
26155        1     934203     994299     38      16  3462878      -1.3181      0.90626
84808        1     965199    1017117     35      12  3462878      -1.2792      0.89958
9636         1     978467    1024540     32      11  3462878     -0.83918      0.79932
375790       1     985101    1066119     72      24  3462878     -0.57796      0.71835
57801        1     988962    1036285     34      13  3462878     -0.61242      0.72987
105369174    1    1026207    1076390     47      17  3462878      0.10112      0.45973
105378948    1    1055635    1104326     22      14  3462878       1.3159     0.094105
401934       1    1061746    1109307     22      14  3462878       1.1138      0.13269
54991        1    1071818    1151356     55      29  3462878     0.078842      0.46858
254173       1    1138898    1207935     60      29  3462878     -0.65683      0.74435
8784         1    1193508    1241709     45      13  3462878      -1.3981      0.91896
126792       1    1197249    1245041     43      13  3462878      -1.4362      0.92452
7293         1    1201326    1249638     42      13  3462878      -1.8765      0.96971
51150        1    1206908    1267067     53      15  3462878      -2.4078      0.99197
388581       1    1232446    1282218     37      11  3462878      -3.1431      0.99916
118424       1    1243912    1308854     59      20  3462878      -1.1064      0.86573
6339         1    1245415    1302029     42      13  3462878      -1.7433      0.95936
126789       1    1273571    1321677     44      23  3462878      0.26908      0.39394
116983       1    1282384    1342925     53      31  3462878     0.059094      0.47644
80772        1    1289756    1338896     43      27  3462878      0.35218      0.36235
83756        1    1293999    1345320     43      27  3462878      0.15867      0.43696
54973        1    1301585    1359687     47      29  3462878      0.55624      0.28903
1855         1    1325278    1384158     39      16  3462878      0.25528      0.39925
54587        1    1342689    1398541     29      11  3462878      0.51588      0.30297
54998        1    1363730    1410438     29      13  3462878     0.078988      0.46852
81669        1    1375711    1434338     36      16  3462878    -0.051334      0.52047
643965       1    1391128    1437787     27      13  3462878      -0.1499      0.55958
55052        1    1391896    1442834     31      16  3462878      -0.5238      0.69979
64856        1    1400523    1452882     35      19  3462878     -0.76294      0.77725
219293       1    1406301    1480158     40      19  3462878      -1.0135       0.8446
441869       1    1408420    1456820     30      18  3462878     -0.91991      0.82119
83858        1    1436732    1519479     73      26  3462878      0.13593      0.44594
55210        1    1477143    1544687     69      23  3462878      0.20995      0.41685
339453       1    1524778    1575360     34      14  3462878      -1.2951      0.90236
29101        1    1531673    1609882     58      22  3462878      0.20017      0.42067
142678       1    1579975    1640610     32      24  3462878      0.81364      0.20793
643988       1    1588008    1635096     20      14  3462878      0.49356      0.31081
8510         1    1597181    1644654     19      14  3462878     0.076064      0.46968
984          1    1625226    1694839     22      15  3462878       1.0131      0.15551
728661       1    1650025    1727804     34      10  3462878      -0.7446      0.77174
728642       1    1692730    1759352     35      11  3462878      -1.5645      0.94115
9906         1    1714838    1780999     38      14  3462878      -1.0682      0.85729
65220        1    1741232    1815514     21      15  3462878      -1.2297      0.89059
2782         1    1775285    1926117     51      26  3462878     -0.65531      0.74386
105378949    1    1850960    1903010     17      10  3462878      0.74717      0.22748
163688       1    1878752    1927294     22      10  3462878     -0.51889      0.69808
339456       1    1907589    1954301     20       6  3462878      -2.2175       0.9867
85452        1    1911951    2038837     68      38  3462878      -1.5612      0.94076
2563         1    1984329    2040753     37      26  3462878     -0.15316      0.56086
5590         1    2015470    2195395    116      51  3462878       1.1437      0.12638
100506504    1    2171811    2219360     17      13  3462878      0.47731      0.31657
199990       1    2174460    2247720     36      24  3462878    -0.014679      0.50586
6497         1    2193695    2320213     61      38  3462878      -1.0429       0.8515
105378592    1    2198942    2250211     26      16  3462878      -1.1119      0.86692
105378594    1    2245383    2294676     20      14  3462878     -0.54844      0.70831
79906        1    2311253    2426751     73      49  3462878     -0.28104      0.61066
11079        1    2356314    2415444     31      20  3462878     -0.51996      0.69845
9651         1    2380782    2515530     77      42  3462878     -0.65615      0.74414
5192         1    2394802    2448780     35      27  3462878      0.35026      0.36307
55229        1    2498531    2561628     35      17  3462878     0.063236      0.47479
388585       1    2518745    2565245     26      12  3462878    -0.088831      0.53539
8764         1    2521365    2575622     34      17  3462878     -0.51133      0.69544
127281       1    2551460    2601469     38      19  3462878     -0.48556      0.68636
79258        1    2580639    2668042     27      16  3462878     0.026866      0.48928
100287898    1    2626988    2824665     53      13  3462878      -1.2993      0.90309
140625       1    2986482    3032903     44       8  3462878      0.62281       0.2667
63976        1    3033227    3448621    317     132  3462878     -0.45075      0.67391
27237        1    3419583    3491115     61      30  3462878      0.36208      0.35865
1953         1    3477942    3659757    134      60  3462878      0.25822      0.39812
127262       1    3589992    3640131     37      20  3462878     -0.98114      0.83674
7161         1    3617565    3746201     84      51  3462878     -0.80958      0.79091
49856        1    3620767    3685107     44      28  3462878      -1.4188      0.92202
148870       1    3717398    3781645     49      26  3462878      0.53774      0.29538
388588       1    3737761    3785982     46      21  3462878     0.027137      0.48918
57470        1    3770220    3831504     69      18  3462878      -0.3941      0.65325
9731         1    3802081    3892387     40      16  3462878     0.010179      0.49594
1677         1    3822143    3895429     23      10  3462878      0.24992      0.40132
261734       1    5852808    6027505     87      52  3462878      -1.0413      0.85113
8514         1    5957298    6111193     75      49  3462878       1.0085      0.15661
26038        1    6091787    6215134     56      29  3462878      -1.3461      0.91086
388591       1    6170775    6231299     33      12  3462878     0.013342      0.49468
6146         1    6175020    6234619     30      10  3462878       0.0507      0.47978
390992       1    6209158    6255578     23       8  3462878      0.95434      0.16995
23463        1    6211193    6270984     31      12  3462878      0.57322      0.28325
387509       1    6237346    6295990     33      20  3462878     -0.31026      0.62182
11332        1    6254272    6428766    147      32  3462878     0.048374      0.48071
83715        1    6389776    6470944     62      14  3462878     -0.13022      0.55181
54626        1    6405232    6459664     43       9  3462878      0.24669      0.40258
8718         1    6451151    6501195     30      12  3462878     -0.39297      0.65283
57449        1    6456092    6555061     74      18  3462878     0.049626      0.48021
79707        1    6511347    6589598     49       8  3462878      0.32105      0.37409
80835        1    6520278    6589757     43       7  3462878      0.35251      0.36223
3104         1    6544991    6599280     27      10  3462878    0.0022175      0.49912
148479       1    6578696    6634033     21      16  3462878     -0.52846      0.70141
