GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      -2.2043      0.98625
105378580    1     768398     815130     22      11  3462878      -1.0027      0.84199
148398       1     890741     954581     39      19  3462878      0.54013      0.29455
339451       1     924952     975720     36      17  3462878     -0.97766      0.83588
84069        1     931497     985108     29      14  3462878      -1.4768      0.93014
26155        1     934203     994299     38      16  3462878      -1.1932       0.8836
84808        1     965199    1017117     35      12  3462878     -0.54434       0.7069
9636         1     978467    1024540     32      11  3462878     -0.50285      0.69247
375790       1     985101    1066119     72      24  3462878      -1.3518      0.91179
57801        1     988962    1036285     34      13  3462878     -0.79383      0.78635
105369174    1    1026207    1076390     47      17  3462878      -1.0541      0.85408
105378948    1    1055635    1104326     19      14  3462878      0.43214      0.33282
401934       1    1061746    1109307     19      14  3462878      0.59755      0.27507
54991        1    1071818    1151356     52      29  3462878       0.5027      0.30759
254173       1    1138898    1207935     60      29  3462878       1.4051      0.07999
8784         1    1193508    1241709     45      13  3462878       1.3877     0.082615
126792       1    1197249    1245041     43      13  3462878       1.5312     0.062861
7293         1    1201326    1249638     42      13  3462878       1.3989      0.08092
51150        1    1206908    1267067     53      15  3462878       1.3211     0.093235
388581       1    1232446    1282218     37      11  3462878       1.2369      0.10807
118424       1    1243912    1308854     59      20  3462878      0.34401      0.36542
6339         1    1245415    1302029     42      13  3462878      0.53299      0.29702
126789       1    1273571    1321677     44      23  3462878   -0.0055852      0.50223
116983       1    1282384    1342925     53      31  3462878     -0.91229      0.81919
80772        1    1289756    1338896     43      27  3462878     -0.69484      0.75642
83756        1    1293999    1345320     43      27  3462878     -0.97958      0.83635
54973        1    1301585    1359687     47      29  3462878     -0.48824      0.68731
1855         1    1325278    1384158     39      16  3462878     -0.44582      0.67213
54587        1    1342689    1398541     29      11  3462878      0.16418       0.4348
54998        1    1363730    1410438     29      13  3462878      0.57796      0.28165
81669        1    1375711    1434338     36      16  3462878       0.5533      0.29003
643965       1    1391128    1437787     27      13  3462878      0.92502      0.17748
55052        1    1391896    1442834     31      16  3462878      0.77612      0.21884
64856        1    1400523    1452882     35      19  3462878      0.78944      0.21493
219293       1    1406301    1480158     40      19  3462878       0.2587      0.39794
441869       1    1408420    1456820     30      18  3462878      0.42174      0.33661
83858        1    1436732    1519479     74      27  3462878     -0.01182      0.50472
55210        1    1477143    1544687     70      23  3462878      0.30694      0.37944
339453       1    1524778    1575360     34      14  3462878      0.59719      0.27519
29101        1    1531673    1609882     58      22  3462878     -0.10073      0.54012
142678       1    1579975    1640610     32      24  3462878     -0.22385      0.58856
643988       1    1588008    1635096     20      14  3462878      -1.2657      0.89719
8510         1    1597181    1644654     19      14  3462878      -1.6905      0.95454
984          1    1625226    1694839     22      15  3462878      -1.9151      0.97226
728661       1    1650025    1727804     34      10  3462878     -0.31136      0.62224
728642       1    1692730    1759352     35      11  3462878      0.39748      0.34551
9906         1    1714838    1780999     38      14  3462878      0.30342      0.38078
65220        1    1741232    1815514     21      15  3462878      0.28267      0.38871
2782         1    1775285    1926117     51      26  3462878      -1.0227      0.84677
105378949    1    1850960    1903010     17      10  3462878      -1.3204      0.90665
163688       1    1878752    1927294     22      10  3462878     -0.73747      0.76958
339456       1    1907589    1954301     20       6  3462878     -0.74669      0.77238
85452        1    1911951    2038837     68      38  3462878     -0.22499      0.58901
2563         1    1984329    2040753     37      26  3462878      0.73648      0.23072
5590         1    2015470    2195395    118      51  3462878     -0.69873      0.75764
100506504    1    2171811    2219360     18      14  3462878      -0.8706      0.80801
199990       1    2174460    2247720     37      25  3462878      -1.4277      0.92332
6497         1    2193695    2320213     61      38  3462878     -0.73237      0.76803
105378592    1    2198942    2250211     26      16  3462878      -1.0801      0.85995
105378594    1    2245383    2294676     20      14  3462878     -0.27098       0.6068
79906        1    2311253    2426751     74      50  3462878     -0.91586      0.82013
11079        1    2356314    2415444     32      20  3462878     -0.44401      0.67148
9651         1    2380782    2515530     78      42  3462878     -0.80472      0.78951
5192         1    2394802    2448780     36      28  3462878      -1.8719      0.96939
55229        1    2498531    2561628     35      17  3462878       1.8246     0.034033
388585       1    2518745    2565245     26      12  3462878       1.6288     0.051682
8764         1    2521365    2575622     34      17  3462878       1.5752     0.057603
127281       1    2551460    2601469     38      19  3462878       1.0602      0.14452
79258        1    2580639    2668042     27      16  3462878      0.34023      0.36684
100287898    1    2626988    2824665     53      13  3462878      -0.2684       0.6058
140625       1    2986482    3032903     44       8  3462878     -0.83656      0.79858
63976        1    3033227    3448621    314     127  3462878      -1.7953      0.96369
27237        1    3419583    3491115     61      30  3462878      -1.3893      0.91763
1953         1    3477942    3659757    135      59  3462878     -0.85854       0.8047
127262       1    3589992    3640131     37      20  3462878       1.1422      0.12669
7161         1    3617565    3746201     85      51  3462878     0.065259      0.47398
49856        1    3620767    3685107     45      27  3462878    -0.089754      0.53576
148870       1    3717398    3781645     49      26  3462878      0.23931      0.40543
388588       1    3737761    3785982     46      21  3462878      0.72222      0.23508
57470        1    3770220    3831504     69      18  3462878      0.16513      0.43442
9731         1    3802081    3892387     40      16  3462878     -0.62872      0.73524
1677         1    3822143    3895429     23      10  3462878     -0.68392      0.75299
261734       1    5852808    6027505     87      52  3462878     -0.69582      0.75673
8514         1    5957298    6111193     75      49  3462878      0.30735      0.37929
26038        1    6091787    6215134     56      29  3462878     -0.98665      0.83809
388591       1    6170775    6231299     33      12  3462878      -1.3009      0.90336
6146         1    6175020    6234619     30      10  3462878      -1.6683      0.95237
390992       1    6209158    6255578     23       8  3462878     -0.89364      0.81424
23463        1    6211193    6270984     31      12  3462878     -0.79821      0.78763
387509       1    6237346    6295990     33      20  3462878     -0.88627      0.81226
11332        1    6254272    6428766    147      32  3462878      0.79805      0.21242
83715        1    6389776    6470944     62      14  3462878      0.78695      0.21565
54626        1    6405232    6459664     43       9  3462878      0.91786      0.17935
8718         1    6451151    6501195     30      12  3462878      0.13254      0.44728
57449        1    6456092    6555061     74      18  3462878    -0.020564       0.5082
79707        1    6511347    6589598     49       8  3462878      0.24237      0.40425
80835        1    6520278    6589757     43       7  3462878      0.32216      0.37366
3104         1    6544991    6599280     27      10  3462878      0.19932      0.42101
148479       1    6578696    6634033     22      17  3462878     -0.61596      0.73104
9903         1    6580724    6637898     24      18  3462878     -0.68945      0.75473
90326        1    6589865    6645586     26      17  3462878     -0.61321      0.73013
55735        1    6624168    6736906     37      23  3462878     -0.66214      0.74606
23261        1    6750324    7779706    525     200  3462878      -1.0499      0.85312
9341         1    7736269    7791432     30      20  3462878      -1.1545      0.87586
8863         1    7749380    7855181     56      28  3462878      0.40785      0.34169
10911        1    7837612    7948610     67      24  3462878      0.28616      0.38738
3604         1    7905871    7978165     33      17  3462878      -1.3587      0.91288
11315        1    7926654    7995283     25      14  3462878     -0.98608      0.83795
54206        1    8001719    8061333     14      10  3462878     -0.70865      0.76073
50651        1    8283085    8354167     30      19  3462878     -0.29937      0.61767
473          1    8342404    8852691    143      88  3462878      0.96519      0.16722
2023         1    8851000    8914092     29       9  3462878     -0.41756      0.66186
765          1    8910785    8985092     53      26  3462878     -0.82819      0.79622
155184       1    8950853    9061384     69      40  3462878    -0.086913      0.53463
6518         1    9026943    9106704     61      22  3462878      0.63185      0.26374
80045        1    9093391    9164170     48      28  3462878      0.82212       0.2055
9563         1    9199776    9281337     42      26  3462878     -0.27572      0.60862
80176        1    9257882    9379532     97      51  3462878     -0.92495       0.8225
84275        1    9504469    9592773     51      18  3462878       0.5356      0.29612
199953       1    9553853    9624877     36      14  3462878      0.26186      0.39672
5293         1    9594889    9739114     94      34  3462878     -0.97004      0.83399
