GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3824142     -0.72421      0.76553
105378580    1     768398     815130     22      11  3824142       1.3951       0.0815
148398       1     890741     954581     39      19  3824142      0.86884      0.19247
339451       1     924952     975720     36      17  3824142      0.79546      0.21317
84069        1     931497     985108     29      14  3824142      0.45758      0.32363
26155        1     934203     994299     38      16  3824142     -0.11653      0.54638
84808        1     965199    1017117     35      12  3824142     -0.85788      0.80452
9636         1     978467    1024540     32      11  3824142      -1.8427      0.96732
375790       1     985101    1066119     72      24  3824142      -2.5061       0.9939
57801        1     988962    1036285     34      13  3824142      -1.4632      0.92829
105369174    1    1026207    1076390     47      17  3824142       -1.953      0.97459
105378948    1    1055635    1104326     19      14  3824142      0.24995      0.40131
401934       1    1061746    1109307     19      14  3824142      0.56748      0.28519
54991        1    1071818    1151356     52      29  3824142       1.0275       0.1521
254173       1    1138898    1207935     60      29  3824142      0.58808      0.27824
8784         1    1193508    1241709     45      13  3824142     -0.89927      0.81575
126792       1    1197249    1245041     43      13  3824142     -0.69593      0.75676
7293         1    1201326    1249638     42      13  3824142       -1.103      0.86499
51150        1    1206908    1267067     53      15  3824142      -1.7303      0.95821
388581       1    1232446    1282218     37      11  3824142      -1.4542      0.92705
118424       1    1243912    1308854     59      20  3824142       -1.845      0.96748
6339         1    1245415    1302029     42      13  3824142      -1.4978      0.93291
126789       1    1273571    1321677     44      23  3824142      -1.8118      0.96499
116983       1    1282384    1342925     53      31  3824142      -1.8667      0.96903
80772        1    1289756    1338896     43      27  3824142       -1.486      0.93136
83756        1    1293999    1345320     43      27  3824142      -1.7931      0.96353
54973        1    1301585    1359687     47      29  3824142       -1.636      0.94908
1855         1    1325278    1384158     38      16  3824142     -0.71103      0.76147
54587        1    1342689    1398541     28      11  3824142     -0.52103      0.69883
54998        1    1363730    1410438     28      13  3824142   -0.0049768      0.50199
81669        1    1375711    1434338     35      16  3824142    -0.071383      0.52845
643965       1    1391128    1437787     27      13  3824142     0.092666      0.46308
55052        1    1391896    1442834     31      16  3824142      0.10509      0.45815
64856        1    1400523    1452882     35      19  3824142     0.039522      0.48424
219293       1    1406301    1480158     40      19  3824142    -0.027456      0.51095
441869       1    1408420    1456820     30      18  3824142    -0.099405      0.53959
83858        1    1436732    1519479     74      27  3824142     -0.31637      0.62414
55210        1    1477143    1544687     70      23  3824142     -0.71762       0.7635
339453       1    1524778    1575360     34      14  3824142     -0.84555       0.8011
29101        1    1531673    1609882     58      22  3824142      0.41477      0.33916
142678       1    1579975    1640610     32      24  3824142       1.2569      0.10439
643988       1    1588008    1635096     20      14  3824142       1.1453      0.12603
8510         1    1597181    1644654     19      14  3824142    -0.090899      0.53621
984          1    1625226    1694839     22      15  3824142      0.42168      0.33663
728661       1    1650025    1727804     34      10  3824142      0.27249      0.39262
728642       1    1692730    1759352     35      11  3824142      0.64984       0.2579
9906         1    1714838    1780999     38      14  3824142      0.47254      0.31827
65220        1    1741232    1815514     21      15  3824142       0.2022      0.41988
2782         1    1775285    1926117     51      26  3824142      -0.6296      0.73552
105378949    1    1850960    1903010     17      10  3824142      0.47357       0.3179
163688       1    1878752    1927294     22      10  3824142      0.38813      0.34896
339456       1    1907589    1954301     20       6  3824142     -0.72194      0.76483
85452        1    1911951    2038837     68      38  3824142      -0.6529      0.74309
2563         1    1984329    2040753     37      26  3824142     -0.55982       0.7122
5590         1    2015470    2195395    117      51  3824142      -1.1945      0.88386
100506504    1    2171811    2219360     17      13  3824142      -1.4371      0.92465
199990       1    2174460    2247720     36      24  3824142      -1.9735      0.97578
6497         1    2193695    2320213     61      38  3824142     -0.95217      0.82949
105378592    1    2198942    2250211     26      16  3824142      -1.4267      0.92316
105378594    1    2245383    2294676     20      14  3824142     -0.47752       0.6835
79906        1    2311253    2426751     74      50  3824142      -1.1502      0.87497
11079        1    2356314    2415444     32      20  3824142     -0.57199      0.71633
9651         1    2380782    2515530     78      42  3824142      -2.2406      0.98747
5192         1    2394802    2448780     36      28  3824142      -1.4127      0.92113
55229        1    2498531    2561628     35      17  3824142     -0.56857      0.71518
388585       1    2518745    2565245     26      12  3824142     -0.55271      0.70977
8764         1    2521365    2575622     34      17  3824142     -0.23979      0.59476
127281       1    2551460    2601469     38      19  3824142      -0.3782      0.64736
79258        1    2580639    2668042     27      16  3824142     -0.75094      0.77365
100287898    1    2626988    2824665     53      13  3824142      0.65967      0.25473
140625       1    2986482    3032903     44       8  3824142       1.9528     0.025421
63976        1    3033227    3448621    314     127  3824142      0.36474      0.35765
27237        1    3419583    3491115     61      30  3824142      -1.8412       0.9672
1953         1    3477942    3659757    134      60  3824142       -1.401      0.91939
127262       1    3589992    3640131     37      20  3824142      0.70425      0.24064
7161         1    3617565    3746201     84      51  3824142      -2.0221      0.97842
49856        1    3620767    3685107     44      28  3824142      -1.4446      0.92572
148870       1    3717398    3781645     49      26  3824142     -0.60883      0.72868
388588       1    3737761    3785982     46      21  3824142    -0.063585      0.52535
57470        1    3770220    3831504     69      18  3824142       0.3267      0.37195
9731         1    3802081    3892387     40      16  3824142      0.11044      0.45603
1677         1    3822143    3895429     23      10  3824142      0.54339      0.29343
261734       1    5852808    6027505     87      52  3824142      0.71833      0.23628
8514         1    5957298    6111193     76      50  3824142     -0.24182      0.59554
26038        1    6091787    6215134     56      29  3824142        -0.45      0.67364
388591       1    6170775    6231299     33      12  3824142     -0.89263      0.81397
6146         1    6175020    6234619     30      10  3824142     -0.62166      0.73292
390992       1    6209158    6255578     23       8  3824142     -0.52185      0.69911
23463        1    6211193    6270984     31      12  3824142     -0.56985      0.71561
387509       1    6237346    6295990     33      20  3824142     -0.71876      0.76386
11332        1    6254272    6428766    147      32  3824142     -0.28883      0.61364
83715        1    6389776    6470944     62      14  3824142     -0.18518      0.57346
54626        1    6405232    6459664     43       9  3824142    -0.044377       0.5177
8718         1    6451151    6501195     30      12  3824142      0.82717      0.20407
57449        1    6456092    6555061     74      18  3824142     -0.63385      0.73691
79707        1    6511347    6589598     49       8  3824142      -2.1236      0.98315
80835        1    6520278    6589757     43       7  3824142      -2.4645      0.99314
3104         1    6544991    6599280     27      10  3824142      -2.5695      0.99491
148479       1    6578696    6634033     22      17  3824142      -1.5149       0.9351
9903         1    6580724    6637898     24      18  3824142      -1.3101      0.90493
90326        1    6589865    6645586     26      17  3824142     -0.90392      0.81698
55735        1    6624168    6736906     37      23  3824142     0.071925      0.47133
23261        1    6750324    7779706    523     197  3824142     -0.15315      0.56086
