GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600     -0.40597      0.65762
105378580    1     768398     815130     22      11  8087600     -0.13975      0.55557
148398       1     890741     954581     39      19  8087600      0.87819      0.18992
339451       1     924952     975720     36      17  8087600     -0.22722      0.58987
84069        1     931497     985108     29      14  8087600     -0.71558      0.76288
26155        1     934203     994299     38      16  8087600     -0.24994      0.59868
84808        1     965199    1017117     35      12  8087600      0.28085      0.38941
9636         1     978467    1024540     32      11  8087600      0.41739       0.3382
375790       1     985101    1066119     72      24  8087600    -0.029248      0.51167
57801        1     988962    1036285     34      13  8087600      0.52872       0.2985
105369174    1    1026207    1076390     47      17  8087600      -0.6094      0.72887
105378948    1    1055635    1104326     19      14  8087600     -0.64492      0.74051
401934       1    1061746    1109307     19      14  8087600     -0.61724      0.73146
54991        1    1071818    1151356     52      29  8087600     -0.68786      0.75423
254173       1    1138898    1207935     60      29  8087600      -2.3174      0.98976
8784         1    1193508    1241709     45      13  8087600        -1.41      0.92073
126792       1    1197249    1245041     43      13  8087600      -1.1897      0.88292
7293         1    1201326    1249638     42      13  8087600       -1.483      0.93096
51150        1    1206908    1267067     53      15  8087600     -0.55211      0.70956
388581       1    1232446    1282218     37      11  8087600      0.76917       0.2209
118424       1    1243912    1308854     59      20  8087600        0.311       0.3779
6339         1    1245415    1302029     42      13  8087600       0.7377      0.23035
126789       1    1273571    1321677     44      23  8087600       0.1927       0.4236
116983       1    1282384    1342925     53      31  8087600      -0.6083      0.72851
80772        1    1289756    1338896     43      27  8087600      -0.9872      0.83823
83756        1    1293999    1345320     43      27  8087600     -0.70693       0.7602
54973        1    1301585    1359687     47      29  8087600      -0.3748      0.64609
1855         1    1325278    1384158     39      16  8087600     -0.21953      0.58688
54587        1    1342689    1398541     29      11  8087600     -0.62773      0.73491
54998        1    1363730    1410438     29      13  8087600      0.17375      0.43103
81669        1    1375711    1434338     36      16  8087600      0.66003      0.25462
643965       1    1391128    1437787     27      13  8087600      0.99554      0.15974
55052        1    1391896    1442834     31      16  8087600      0.88893      0.18702
