GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    175      32  408112    -0.058218      0.52321
339451       1     860967     911099    127      32  408112     -0.49959      0.69132
84069        1     866872     920488    122      34  408112    -0.032821      0.51309
26155        1     869583     929679    122      35  408112      0.03604      0.48563
84808        1     900579     952473    130      35  408112      0.66331      0.25357
9636         1     913847     959920    124      32  408112       1.2398      0.10752
375790       1     920503    1001499    223      50  408112       1.0595      0.14469
57801        1     924342     971608    126      33  408112      0.97226      0.16546
401934       1     997126    1044687    101      18  408112      0.47757      0.31648
54991        1    1007198    1086736    204      29  408112      0.62914      0.26463
254173       1    1074286    1143315    216      34  408112      0.35128      0.36269
8784         1    1128888    1177163    177      18  408112      0.41917      0.33755
126792       1    1132629    1180421    170      17  408112       0.4856      0.31362
7293         1    1136706    1184703    176      17  408112      0.54461      0.29301
51150        1    1142288    1202447    203      20  408112      0.58905      0.27791
388581       1    1167826    1217102    136      25  408112       1.1745      0.12011
118424       1    1179292    1244234    177      37  408112       1.3292     0.091897
6339         1    1180816    1237409    154      32  408112       1.3143     0.094369
126789       1    1208962    1257057    125      31  408112       1.3242     0.092722
116983       1    1217764    1278304    145      35  408112       1.3943     0.081614
80772        1    1225136    1274276    119      31  408112        1.462     0.071865
83756        1    1231726    1279844    108      27  408112       1.3551     0.087695
54973        1    1236965    1295067    113      27  408112       1.0143      0.15522
1855         1    1260658    1319509    108      25  408112       0.8271      0.20409
54587        1    1278071    1332183     84      21  408112      0.43444      0.33198
54998        1    1299110    1345818     84      18  408112       1.1723      0.12055
81669        1    1311091    1369718    124      17  408112       1.0976      0.13618
643965       1    1326508    1373167    101      14  408112       1.0199      0.15388
55052        1    1327276    1377693    103      15  408112      0.99247      0.16048
64856        1    1335903    1388262     97      13  408112      0.78602      0.21593
219293       1    1343152    1415538     99      15  408112       0.2757      0.39139
441869       1    1343800    1391824     84      12  408112      0.48363      0.31433
83858        1    1372139    1454852     99      13  408112     0.017325      0.49309
55210        1    1412523    1480067    115      14  408112    -0.066276      0.52642
339453       1    1460158    1510740     81      14  408112      -1.3166      0.90601
29101        1    1467053    1545262     81      17  408112       -1.481      0.93069
142678       1    1515795    1575990     44       8  408112     -0.50653      0.69376
643988       1    1523388    1570476     38       7  408112      -1.0842      0.86087
8510         1    1532060    1580030     37       7  408112      -0.3378      0.63224
984          1    1561100    1625473     47       8  408112       1.6523     0.049241
728661       1    1581486    1659243     53      10  408112       1.3947     0.081549
728642       1    1623822    1690999     37       8  408112     -0.56491      0.71393
9906         1    1646277    1712438     50      10  408112     0.089613       0.4643
65220        1    1672671    1746508     73      15  408112    -0.096933      0.53861
2782         1    1706725    1857552    157      24  408112      0.26897      0.39398
163688       1    1811266    1858733     70      11  408112      0.31272      0.37725
339456       1    1839029    1885740     95      15  408112       1.0036       0.1578
85452        1    1843390    1970276    226      35  408112      0.75338      0.22561
2563         1    1915768    1972192     72      15  408112     0.019425      0.49225
5590         1    1946909    2126834    356      64  408112     -0.30664      0.62044
100506504    1    2103250    2150812     86      29  408112      0.87486      0.19082
199990       1    2105899    2179159    126      38  408112        2.031      0.02113
6497         1    2125134    2251652    229      65  408112       2.1382      0.01625
79906        1    2241719    2358190    320      60  408112     -0.31292      0.62283
11079        1    2288214    2346883    130      40  408112     -0.51304      0.69604
5192         1    2326241    2379010    118      46  408112     -0.49185      0.68859
9651         1    2372754    2446964    193      43  408112      -1.5266      0.93657
55229        1    2429975    2493061    158      32  408112     -0.61511      0.73076
388585       1    2450184    2496684     98      24  408112      -0.3776      0.64714
8764         1    2452291    2505268    117      28  408112     -0.49526      0.68979
127281       1    2482899    2532908    116      25  408112      -1.6769      0.95322
79258        1    2512078    2599499    193      30  408112     -0.88385      0.81161
100287898    1    2562807    2741230    216      31  408112     -0.98302       0.8372
140625       1    2903046    2949467    138      12  408112       1.7716      0.03823
63976        1    2950565    3365185   1073     153  408112       4.2634   1.0069e-05
27237        1    3336147    3407677    173      33  408112      0.65216      0.25715
1953         1    3394506    3563059    419      83  408112       1.9291     0.026857
127262       1    3506556    3556695    134      35  408112       2.1127     0.017314
7161         1    3534129    3662765    257      56  408112       1.8067     0.035405
49856        1    3537331    3601671    136      33  408112        2.191     0.014224
148870       1    3633965    3698209    167      34  408112       6.1094        5e-10
388588       1    3654352    3702546    147      28  408112       6.1094        5e-10
57470        1    3686784    3748068    225      30  408112       7.4035   6.6336e-14
9731         1    3718645    3808797    352      34  408112       7.6226    1.243e-14
1677         1    3738845    3811993    298      35  408112       8.3972   2.2865e-17
339448       1    3795697    3851857    133      24  408112       1.9949     0.023028
55966        1    4680105    4853851    726     119  408112      0.26407      0.39586
261734       1    5912870    6087618    538      38  408112      0.82202      0.20553
8514         1    6017358    6171253    338      65  408112      0.75506      0.22511
26038        1    6151847    6275194    248      51  408112      0.14511      0.44231
388591       1    6231189    6291359    118      25  408112      0.42018      0.33718
6146         1    6235080    6294679    111      24  408112      0.35698      0.36055
390992       1    6269252    6315638     87      18  408112     -0.56662      0.71451
23463        1    6271253    6331044    110      21  408112      -1.1864      0.88227
387509       1    6297406    6356035    108      24  408112       1.0775      0.14062
11332        1    6314332    6488826    518      31  408112       2.0019     0.022647
83715        1    6449836    6531004    210      25  408112        1.531     0.062885
54626        1    6465292    6519724    140      19  408112       1.7882     0.036869
8718         1    6510787    6562432    102      22  408112      0.46499      0.32097
57449        1    6516152    6615121    214      41  408112      0.53507       0.2963
79707        1    6571407    6649658    175      29  408112      0.38366      0.35062
80835        1    6579987    6649817    155      26  408112   -0.0018656      0.50074
3104         1    6605051    6659340    126      34  408112     0.028761      0.48853
148479       1    6638756    6694093    103      34  408112     -0.82748      0.79602
9903         1    6640784    6697958    111      36  408112     -0.59855      0.72526
90326        1    6649925    6705646    114      36  408112     -0.47751       0.6835
55735        1    6684228    6796966    219      46  408112    -0.075768       0.5302
23261        1    6810384    7839766   2131     216  408112       1.1256      0.13016
9341         1    7796329    7851492     95      26  408112     -0.29499        0.616
8863         1    7809413    7915241    252      34  408112      0.07256      0.47108
10911        1    7897672    7948551    165      32  408112       1.1472      0.12564
3604         1    7965931    8038225    110      34  408112       2.6387    0.0041616
11315        1    7986714    8055342    109      33  408112        2.719    0.0032744
54206        1    8061779    8121393    101      21  408112       2.5084    0.0060633
50651        1    8343171    8414227    140      35  408112       3.2688   0.00054009
473          1    8402464    8912699    703      50  408112       4.6274   1.8517e-06
2023         1    8911059    8974151    105      30  408112       2.6297    0.0042724
765          1    8970893    9045151    185      53  408112       1.0781       0.1405
155184       1    9053359    9121404    150      40  408112      0.72628      0.23383
6518         1    9087005    9166763    219      38  408112      0.66405      0.25333
80045        1    9153472    9224229    140      38  408112     0.014703      0.49413
9563         1    9259822    9341396    213      46  408112       1.0734      0.14154
80176        1    9300202    9439591    422      87  408112      0.46338      0.32154
84275        1    9564528    9652831    115      28  408112        0.541      0.29425
199953       1    9613932    9684935     82      22  408112      0.55056      0.29097
5293         1    9676789    9799172    225      62  408112     -0.38674      0.65053
22883        1    9779079    9919550    243      53  408112      -1.1941      0.88377
56998        1    9898334   10005316    210      46  408112       2.0214      0.02162
64802        1    9968486   10055556    131      30  408112       2.4152    0.0078625
84328        1    9972168   10038460     99      25  408112       2.6065    0.0045743
116362       1   10022255   10086078    109      22  408112      0.58332      0.27984
10277        1   10058041   10251297    429      36  408112      0.42281      0.33622
23095        1   10235606   10451664    593      28  408112     -0.12144      0.54833
5226         1   10423884   10490565    164      32  408112      0.53066      0.29783
378708       1   10454944   10520239    119      34  408112      0.68602      0.24635
100526739    1   10455159   10522060    121      35  408112      0.59678      0.27533
1325         1   10474776   10522060     76      25  408112      0.49789      0.30928
5195         1   10500003   10700815    324      44  408112      0.55793      0.28845
1676         1   10510588   10567613     95      21  408112       0.8204      0.20599
54897        1   10686661   10891733    368      91  408112      -0.6538      0.74338
148345       1   10996530   11077094    159      28  408112      0.17413      0.43088
23435        1   11037462   11095549     95      19  408112       0.1625      0.43545
10747        1   11076580   11142296    135      15  408112    -0.045092      0.51798
6723         1   11104649   11155091     92       7  408112     -0.77242      0.78007
5394         1   11116675   11194961    145       8  408112      -1.2097      0.88681
2475         1   11156588   11357614    320      18  408112     -0.58271      0.71995
