GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     824993     889961     66       8  63926     -0.88995      0.81325
339451       1     860967     911099     39      12  63926      0.73766      0.23036
84069        1     866872     920488     50      15  63926      0.69606      0.24319
26155        1     869583     929679     51      15  63926      0.80291      0.21101
84808        1     900579     952473     57      13  63926      0.75516      0.22508
9636         1     913847     959920     55      11  63926      0.44627       0.3277
375790       1     920503    1001499     82      19  63926      0.77795       0.2183
57801        1     924342     971608     52      11  63926      0.24677      0.40254
401934       1     997126    1044687     76      12  63926      0.12873      0.44879
54991        1    1007198    1086736    157      20  63926     0.039982      0.48405
254173       1    1074286    1143315    180      28  63926       1.2134       0.1125
8784         1    1128888    1177163    148      12  63926      0.25237      0.40038
126792       1    1132629    1180421    145      12  63926      0.10888      0.45665
7293         1    1136706    1184703    145      11  63926    -0.052855      0.52108
51150        1    1142288    1202447    168      14  63926    -0.073782      0.52941
388581       1    1167826    1217102     99      17  63926      0.55669      0.28887
118424       1    1179292    1244234    124      24  63926      0.71566       0.2371
6339         1    1180816    1237409    107      21  63926      0.68693      0.24606
126789       1    1208962    1257057     81      18  63926       0.8914      0.18636
116983       1    1217764    1278304     89      20  63926      0.94679      0.17187
80772        1    1225136    1274276     74      18  63926       1.1263      0.13001
83756        1    1231726    1279844     64      14  63926       1.1719      0.12063
54973        1    1236965    1295067     65      15  63926       1.0331      0.15077
1855         1    1260658    1319509     69      15  63926      0.81171      0.20848
54587        1    1278071    1332183     57      14  63926      0.68957      0.24523
54998        1    1299110    1345818     62      13  63926       1.2504      0.10557
81669        1    1311091    1369718    101      12  63926      0.99217      0.16056
643965       1    1326508    1373167     83      10  63926      0.92721      0.17691
55052        1    1327276    1377693     88      11  63926      0.87294      0.19135
64856        1    1335903    1388262    100      14  63926      0.61151      0.27043
219293       1    1343152    1415538    123      21  63926    -0.014841      0.50592
441869       1    1343800    1391824     92      14  63926       0.1589      0.43687
83858        1    1372139    1454852    137      23  63926      0.68235      0.24751
55210        1    1412523    1480067    125      18  63926       1.4804     0.069377
339453       1    1460158    1510740     78      15  63926      0.90812      0.18191
29101        1    1467053    1545262    128      21  63926      0.48468      0.31395
142678       1    1515795    1575990     53      13  63926     -0.90567      0.81745
643988       1    1523388    1570476     31       7  63926      -1.2277      0.89021
8510         1    1532060    1580030     22       5  63926      -1.0988      0.86407
984          1    1561100    1625473      9       2  63926      0.83668      0.20139
