GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961     34       5  461460       2.1377     0.016269
339451       1     860967     911099     43       4  461460       2.1689     0.015045
84069        1     866872     920488     39       4  461460       2.1438     0.016025
26155        1     869583     929679     58       5  461460       1.8209     0.034311
84808        1     900579     952473     52       3  461460      0.45252      0.32545
9636         1     913847     959920     47       2  461460      0.21625       0.4144
375790       1     920503    1001499     75       4  461460     -0.22348      0.58842
57801        1     924342     971608     40       2  461460     0.062961       0.4749
401934       1     997126    1044687      1       1  461460     -0.33186         0.63
54991        1    1007198    1086736      7       2  461460      0.14698      0.44157
254173       1    1074286    1143315     17       3  461460     -0.60971      0.72897
8784         1    1128888    1177163      1       1  461460      0.38532         0.35
126792       1    1132629    1180421      1       1  461460      0.38532         0.35
7293         1    1136706    1184703      1       1  461460      0.38532         0.35
51150        1    1142288    1202447      1       1  461460      0.38532         0.35
118424       1    1179292    1244234      9       2  461460     -0.99102      0.83916
6339         1    1180816    1237409      1       1  461460      -1.6449         0.95
126789       1    1208962    1257057     13       2  461460     -0.13134      0.55225
116983       1    1217764    1278304     37       3  461460      0.12224      0.45135
80772        1    1225136    1274276     34       3  461460      0.11806      0.45301
83756        1    1231726    1279844     36       3  461460      0.15826      0.43712
54973        1    1236965    1295067     53       3  461460      0.23274      0.40798
1855         1    1260658    1319509     85       4  461460      0.28579      0.38752
54587        1    1278071    1332183     66       3  461460      0.32245      0.37355
54998        1    1299110    1345818     35       3  461460      0.35677      0.36063
81669        1    1311091    1369718     20       2  461460      0.63204      0.26368
219293       1    1343152    1415538      1       1  461460     0.075269         0.47
83858        1    1372139    1454852      2       1  461460     -0.17961      0.57127
55210        1    1412523    1480067      1       1  461460      0.15097         0.44
339453       1    1460158    1510740      1       1  461460       -1.175         0.88
29101        1    1467053    1545262      6       2  461460       0.6236      0.26644
142678       1    1515795    1575990      8       1  461460       1.2675      0.10248
643988       1    1523388    1570476      8       1  461460       1.2675      0.10248
8510         1    1532060    1580030      6       1  461460       1.4245     0.077153
984          1    1561100    1625473     10       2  461460       1.5657     0.058712
728661       1    1581486    1659243     27       3  461460       1.2136      0.11245
728642       1    1623822    1690999     31       2  461460       1.0577       0.1451
9906         1    1646277    1712438     36       2  461460      0.88712      0.18751
65220        1    1672671    1746508     16       1  461460    -0.045794      0.51826
2782         1    1706725    1857552     38       2  461460     -0.23397      0.59249
163688       1    1811266    1858733      7       2  461460      0.86363       0.1939
339456       1    1839029    1885740      2       1  461460       2.0421     0.020569
85452        1    1843390    1970276      6       3  461460       1.6453     0.049957
