GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  8087600     -0.53222      0.70271
105378580    1     768398     815130     22      11  8087600     -0.56219      0.71301
148398       1     890741     954581     39      19  8087600      0.21788      0.41376
339451       1     924952     975720     36      17  8087600     -0.36538      0.64259
84069        1     931497     985108     29      14  8087600     0.043052      0.48283
26155        1     934203     994299     38      16  8087600      0.27985       0.3898
84808        1     965199    1017117     35      12  8087600       0.5347      0.29643
9636         1     978467    1024540     32      11  8087600      0.58763      0.27839
375790       1     985101    1066119     72      24  8087600       0.1753      0.43042
57801        1     988962    1036285     34      13  8087600      0.60682      0.27198
105369174    1    1026207    1076390     47      17  8087600     -0.19408      0.57694
105378948    1    1055635    1104326     22      14  8087600     -0.62235      0.73314
401934       1    1061746    1109307     22      14  8087600      -0.6114      0.72953
54991        1    1071818    1151356     55      29  8087600     -0.66711      0.74765
254173       1    1138898    1207935     60      29  8087600     -0.88252      0.81125
8784         1    1193508    1241709     45      13  8087600      -1.2189      0.88857
126792       1    1197249    1245041     43      13  8087600      -1.0729      0.85834
7293         1    1201326    1249638     42      13  8087600      -1.3755      0.91551
51150        1    1206908    1267067     53      15  8087600     -0.75863      0.77596
388581       1    1232446    1282218     37      11  8087600      0.39981      0.34465
118424       1    1243912    1308854     59      20  8087600    -0.068478       0.5273
6339         1    1245415    1302029     42      13  8087600      0.24493      0.40326
126789       1    1273571    1321677     44      23  8087600      0.12317      0.45099
116983       1    1282384    1342925     53      31  8087600     -0.45417      0.67515
80772        1    1289756    1338896     43      27  8087600     -0.54017      0.70546
83756        1    1293999    1345320     43      27  8087600      -0.2818      0.61095
54973        1    1301585    1359687     47      29  8087600     -0.18859      0.57479
1855         1    1325278    1384158     39      16  8087600    -0.047604      0.51898
54587        1    1342689    1398541     29      11  8087600     -0.35707      0.63948
54998        1    1363730    1410438     29      13  8087600      0.81296      0.20812
81669        1    1375711    1434338     36      16  8087600      0.82325      0.20518
643965       1    1391128    1437787     27      13  8087600       0.9841      0.16253
55052        1    1391896    1442834     31      16  8087600      0.86451      0.19365
64856        1    1400523    1452882     35      19  8087600      0.22578      0.41069
219293       1    1406301    1480158     40      19  8087600     -0.59571      0.72431
441869       1    1408420    1456820     30      18  8087600     -0.52781      0.70118
83858        1    1436732    1519479     74      27  8087600      0.28353      0.38839
55210        1    1477143    1544687     70      23  8087600      0.79233      0.21408
339453       1    1524778    1575360     34      14  8087600    -0.081744      0.53258
29101        1    1531673    1609882     58      22  8087600      0.97727      0.16422
142678       1    1579975    1640610     32      24  8087600      0.13228      0.44738
643988       1    1588008    1635096     20      14  8087600      -1.6407      0.94957
8510         1    1597181    1644654     19      14  8087600      -0.1338      0.55322
984          1    1625226    1694839     22      15  8087600      0.66796      0.25208
728661       1    1650025    1727804     34      10  8087600    -0.066975       0.5267
728642       1    1692730    1759352     35      11  8087600     -0.46803      0.68012
9906         1    1714838    1780999     38      14  8087600     -0.35279      0.63788
65220        1    1741232    1815514     21      15  8087600     -0.42144      0.66328
2782         1    1775285    1926117     51      26  8087600      -1.7505      0.95999
105378949    1    1850960    1903010     17      10  8087600      -1.4119        0.921
163688       1    1878752    1927294     22      10  8087600      -2.1168      0.98286
339456       1    1907589    1954301     20       6  8087600      -2.0625      0.98042
85452        1    1911951    2038837     68      38  8087600      -3.2254      0.99937
2563         1    1984329    2040753     37      26  8087600      -2.4315      0.99248
5590         1    2015470    2195395    117      51  8087600      -1.8402      0.96713
100506504    1    2171811    2219360     17      13  8087600     -0.47597      0.68295
199990       1    2174460    2247720     36      24  8087600      -1.3075      0.90448
6497         1    2193695    2320213     61      38  8087600       -1.448      0.92619
105378592    1    2198942    2250211     26      16  8087600       -1.628      0.94824
105378594    1    2245383    2294676     20      14  8087600     -0.58575      0.72098
79906        1    2311253    2426751     73      49  8087600     -0.70232      0.75876
11079        1    2356314    2415444     31      20  8087600     -0.22165      0.58771
9651         1    2380782    2515530     77      42  8087600     -0.56512        0.714
5192         1    2394802    2448780     35      27  8087600     -0.53646      0.70418
