GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878       -1.822      0.96577
105378580    1     768398     815130     22      11  3462878       0.9357      0.17471
148398       1     890741     954581     39      19  3462878      0.12303      0.45104
339451       1     924952     975720     36      17  3462878     -0.17772      0.57053
84069        1     931497     985108     29      14  3462878      -1.2277      0.89023
26155        1     934203     994299     38      16  3462878     -0.76342      0.77739
84808        1     965199    1017117     35      12  3462878      0.77689      0.21861
9636         1     978467    1024540     32      11  3462878      0.73773      0.23034
375790       1     985101    1066119     72      24  3462878      0.79038      0.21465
57801        1     988962    1036285     34      13  3462878      0.57591      0.28234
105369174    1    1026207    1076390     47      17  3462878      0.58709      0.27857
105378948    1    1055635    1104326     19      14  3462878       1.5805     0.056997
401934       1    1061746    1109307     19      14  3462878        1.294     0.097836
54991        1    1071818    1151356     52      29  3462878      0.52517      0.29973
254173       1    1138898    1207935     60      29  3462878      0.13491      0.44634
8784         1    1193508    1241709     45      13  3462878     -0.53064      0.70217
126792       1    1197249    1245041     43      13  3462878      0.22876      0.40953
7293         1    1201326    1249638     42      13  3462878      0.53258      0.29716
51150        1    1206908    1267067     53      15  3462878      0.47394      0.31777
388581       1    1232446    1282218     37      11  3462878      0.99906      0.15888
118424       1    1243912    1308854     59      20  3462878      0.89448      0.18553
6339         1    1245415    1302029     42      13  3462878      0.24158      0.40455
126789       1    1273571    1321677     44      23  3462878      0.55588      0.28915
116983       1    1282384    1342925     53      31  3462878       0.1083      0.45688
80772        1    1289756    1338896     43      27  3462878   -0.0034762      0.50139
83756        1    1293999    1345320     43      27  3462878        0.109       0.4566
54973        1    1301585    1359687     47      29  3462878      0.16208      0.43562
1855         1    1325278    1384158     39      16  3462878     -0.92797      0.82329
54587        1    1342689    1398541     29      11  3462878     -0.14643      0.55821
54998        1    1363730    1410438     29      13  3462878       1.4567     0.072597
81669        1    1375711    1434338     36      16  3462878       1.4221     0.077496
643965       1    1391128    1437787     27      13  3462878       1.9089     0.028138
55052        1    1391896    1442834     31      16  3462878       1.9158     0.027692
64856        1    1400523    1452882     35      19  3462878       1.8747     0.030416
219293       1    1406301    1480158     40      19  3462878       0.2136      0.41543
441869       1    1408420    1456820     30      18  3462878       0.7155      0.23715
83858        1    1436732    1519479     74      27  3462878     -0.68797      0.75426
55210        1    1477143    1544687     70      23  3462878     -0.67146      0.74904
339453       1    1524778    1575360     34      14  3462878     -0.49383      0.68929
29101        1    1531673    1609882     58      22  3462878       -1.253      0.89489
142678       1    1579975    1640610     32      24  3462878       -1.129      0.87055
643988       1    1588008    1635096     20      14  3462878      -1.1648      0.87795
8510         1    1597181    1644654     19      14  3462878      -1.1568      0.87632
984          1    1625226    1694839     22      15  3462878     -0.70474      0.75951
728661       1    1650025    1727804     34      10  3462878    -0.059782      0.52384
728642       1    1692730    1759352     35      11  3462878      0.69143      0.24465
9906         1    1714838    1780999     38      14  3462878       1.0543      0.14587
65220        1    1741232    1815514     21      15  3462878       2.3398    0.0096472
2782         1    1775285    1926117     51      26  3462878       1.7162     0.043062
105378949    1    1850960    1903010     17      10  3462878       1.4478     0.073839
163688       1    1878752    1927294     22      10  3462878       1.6999     0.044573
339456       1    1907589    1954301     20       6  3462878       1.3722     0.085008
85452        1    1911951    2038837     68      38  3462878      0.88149      0.18903
2563         1    1984329    2040753     37      26  3462878     -0.10033      0.53996
5590         1    2015470    2195395    118      51  3462878     -0.71898      0.76392
100506504    1    2171811    2219360     18      14  3462878       1.3969     0.081221
199990       1    2174460    2247720     37      25  3462878      0.28802      0.38666
6497         1    2193695    2320213     61      38  3462878     0.047715      0.48097
105378592    1    2198942    2250211     26      16  3462878      0.14289      0.44319
105378594    1    2245383    2294676     20      14  3462878    -0.024383      0.50973
79906        1    2311253    2426751     74      50  3462878     -0.98924      0.83873
11079        1    2356314    2415444     32      20  3462878      -1.2733      0.89855
9651         1    2380782    2515530     78      42  3462878      -1.0657      0.85671
5192         1    2394802    2448780     36      28  3462878      -1.8136      0.96513
55229        1    2498531    2561628     35      17  3462878     -0.74885      0.77303
388585       1    2518745    2565245     26      12  3462878     -0.96671      0.83316
8764         1    2521365    2575622     34      17  3462878       -1.453      0.92689
127281       1    2551460    2601469     38      19  3462878     -0.82072       0.7941
79258        1    2580639    2668042     27      16  3462878     -0.26707      0.60529
100287898    1    2626988    2824665     53      13  3462878     -0.39254      0.65267
140625       1    2986482    3032903     44       8  3462878      0.52304      0.30047
63976        1    3033227    3448621    314     127  3462878      -1.3364       0.9093
27237        1    3419583    3491115     61      30  3462878     -0.90027      0.81601
1953         1    3477942    3659757    135      59  3462878      -1.6166      0.94701
127262       1    3589992    3640131     37      20  3462878     0.087467      0.46515
7161         1    3617565    3746201     85      51  3462878      0.41611      0.33866
49856        1    3620767    3685107     45      27  3462878      -1.0266       0.8477
148870       1    3717398    3781645     49      26  3462878      0.43466       0.3319
388588       1    3737761    3785982     46      21  3462878      0.82037        0.206
57470        1    3770220    3831504     69      18  3462878     -0.13645      0.55427
9731         1    3802081    3892387     40      16  3462878      -1.8641      0.96885
1677         1    3822143    3895429     23      10  3462878      -1.9143      0.97221
261734       1    5852808    6027505     87      52  3462878      0.08274      0.46703
8514         1    5957298    6111193     75      49  3462878     -0.93968      0.82631
26038        1    6091787    6215134     56      29  3462878      0.36847      0.35626
388591       1    6170775    6231299     33      12  3462878       1.5336      0.06256
6146         1    6175020    6234619     30      10  3462878       1.7301     0.041809
390992       1    6209158    6255578     23       8  3462878       2.4138    0.0078946
23463        1    6211193    6270984     31      12  3462878        2.189     0.014297
387509       1    6237346    6295990     33      20  3462878      0.89286      0.18597
11332        1    6254272    6428766    147      32  3462878      0.19767      0.42165
83715        1    6389776    6470944     62      14  3462878     -0.22372      0.58851
54626        1    6405232    6459664     43       9  3462878     -0.58475      0.72064
8718         1    6451151    6501195     30      12  3462878      0.29306      0.38474
57449        1    6456092    6555061     74      18  3462878    -0.040977      0.51634
79707        1    6511347    6589598     49       8  3462878     0.057011      0.47727
80835        1    6520278    6589757     43       7  3462878    -0.013194      0.50526
3104         1    6544991    6599280     27      10  3462878     -0.84177      0.80004
148479       1    6578696    6634033     22      17  3462878     -0.10868      0.54327
9903         1    6580724    6637898     24      18  3462878     -0.30009      0.61795
90326        1    6589865    6645586     26      17  3462878      0.22921      0.40935
55735        1    6624168    6736906     37      23  3462878      0.25501      0.39936
23261        1    6750324    7779706    526     199  3462878      0.50844      0.30557
9341         1    7736269    7791432     30      20  3462878      0.80516      0.21036
8863         1    7749380    7855181     56      28  3462878       1.7336     0.041495
10911        1    7837612    7948610     67      24  3462878      0.40854      0.34144
3604         1    7905871    7978165     33      17  3462878      -1.2779      0.89937
11315        1    7926654    7995283     25      14  3462878      -1.2347      0.89153
