GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    324      34  408112    -0.059395      0.52368
339451       1     860967     911099    253      32  408112      0.95749      0.16916
84069        1     866872     920488    259      36  408112        1.126      0.13009
26155        1     869583     929679    281      39  408112      0.87916      0.18966
84808        1     900579     952473    269      30  408112      0.82867      0.20364
9636         1     913847     959920    257      26  408112       1.0714      0.14199
375790       1     920503    1001499    455      48  408112      0.40471      0.34285
57801        1     924342     971608    257      28  408112      0.96789      0.16655
401934       1     997126    1044687    177      25  408112      -0.1965      0.57789
54991        1    1007198    1086736    351      29  408112       -1.084      0.86082
254173       1    1074286    1143315    348      35  408112       1.3949     0.081519
8784         1    1128888    1177163    254      20  408112       2.4806    0.0065589
126792       1    1132629    1180421    241      20  408112       1.9361     0.026427
7293         1    1136706    1184703    245      19  408112       1.7906     0.036677
51150        1    1142288    1202447    296      22  408112       2.0716     0.019152
388581       1    1167826    1217102    224      30  408112       2.8167    0.0024261
118424       1    1179292    1244234    318      40  408112       3.3164   0.00045585
6339         1    1180816    1237409    271      33  408112       3.2825   0.00051448
126789       1    1208962    1257057    235      42  408112        3.014    0.0012891
116983       1    1217764    1278304    275      34  408112       2.9602    0.0015371
80772        1    1225136    1274276    222      39  408112       2.8674    0.0020693
83756        1    1231726    1279844    211      35  408112       3.0201    0.0012634
54973        1    1236965    1295067    237      33  408112       2.9701    0.0014884
1855         1    1260658    1319509    306      25  408112       3.2747    0.0005288
54587        1    1278071    1332183    261      20  408112       3.1607   0.00078704
54998        1    1299110    1345818    219      24  408112       3.1671   0.00076976
81669        1    1311091    1369718    226      23  408112       3.4057   0.00033003
643965       1    1326508    1373167    169      21  408112       3.3146   0.00045891
55052        1    1327276    1377693    178      22  408112       3.2898   0.00050138
64856        1    1335903    1388262    167      20  408112       3.2139   0.00065465
219293       1    1343152    1415538    190      22  408112       2.9299    0.0016956
441869       1    1343800    1391824    152      18  408112       2.9234    0.0017311
83858        1    1372139    1454852    209      20  408112       2.4353    0.0074397
55210        1    1412523    1480067    214      19  408112       2.4112    0.0079492
339453       1    1460158    1510740    152      16  408112       1.3796     0.083853
29101        1    1467053    1545262    170      21  408112       1.4234     0.077308
142678       1    1515795    1575990     88      11  408112      0.73827      0.23017
643988       1    1523388    1570476     79       9  408112      0.72612      0.23388
8510         1    1532060    1580030     72      10  408112      0.55232      0.29036
984          1    1561100    1625473     98      12  408112      0.51039      0.30489
728661       1    1581486    1659243    132      16  408112      0.34845      0.36375
728642       1    1623822    1690999    113      11  408112      0.48972      0.31217
9906         1    1646277    1712438    142      15  408112      0.69121      0.24472
65220        1    1672671    1746508    152      19  408112       1.0778      0.14056
2782         1    1706725    1857552    298      25  408112        1.236      0.10823
163688       1    1811266    1858733    130      15  408112      0.99076       0.1609
339456       1    1839029    1885740    187      17  408112      0.66784      0.25212
85452        1    1843390    1970276    459      36  408112       0.3248      0.37267
2563         1    1915768    1972192    146      20  408112     -0.26426      0.60421
5590         1    1946909    2126834    699      54  408112       1.5422     0.061513
100506504    1    2103250    2150812    134      33  408112        3.671   0.00012082
199990       1    2105899    2179159    211      43  408112       6.1094        5e-10
6497         1    2125134    2251652    408      66  408112       7.4793   3.7346e-14
