GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
401934       1     997126    1044687     51       3  35802     -0.37537      0.64631
54991        1    1007198    1086736    117       6  35802     0.017101      0.49318
254173       1    1074286    1143315     55       4  35802     -0.43271      0.66739
8784         1    1128888    1177163     12       1  35802    -0.069747       0.5278
126792       1    1132629    1180421      7       1  35802     0.010832      0.49568
7293         1    1136706    1184703      1       1  35802      0.70952        0.239
51150        1    1142288    1202447      1       1  35802      0.70952        0.239
388581       1    1167826    1217102      2       1  35802       0.2588       0.3979
118424       1    1179292    1244234     12       1  35802     -0.70208      0.75869
6339         1    1180816    1237409      8       1  35802     -0.54508      0.70715
126789       1    1208962    1257057     15       2  35802       -0.572      0.71634
116983       1    1217764    1278304     32       2  35802      0.16264       0.4354
80772        1    1225136    1274276     28       2  35802     0.080429      0.46795
83756        1    1231726    1279844     31       2  35802      0.18991      0.42469
54973        1    1236965    1295067     43       2  35802      0.47697      0.31669
1855         1    1260658    1319509     59       2  35802      0.60768       0.2717
54587        1    1278071    1332183     46       2  35802      0.61157      0.27041
54998        1    1299110    1345818     33       2  35802        0.454      0.32492
81669        1    1311091    1369718     51       2  35802      0.44815      0.32702
643965       1    1326508    1373167     34       1  35802       0.4171       0.3383
55052        1    1327276    1377693     34       1  35802       0.4171       0.3383
64856        1    1335903    1388262     32       1  35802       0.4108      0.34061
219293       1    1343152    1415538     27       1  35802      0.48352      0.31436
441869       1    1343800    1391824     26       1  35802      0.46297      0.32169
339453       1    1460158    1510740      2       1  35802       2.5796    0.0049454
29101        1    1467053    1545262      2       1  35802       2.5796    0.0049454
728642       1    1623822    1690999     40       2  35802     0.079102      0.46848
9906         1    1646277    1712438     77       6  35802      0.23519      0.40703
65220        1    1672671    1746508     86       7  35802      0.49881      0.30896
2782         1    1706725    1857552    194      14  35802       1.1277      0.12972
163688       1    1811266    1858733     98       9  35802       1.4577     0.072462
339456       1    1839029    1885740    133       9  35802       1.4739      0.07025
85452        1    1843390    1970276    138      10  35802       1.5728     0.057881
2563         1    1915768    1972192      1       1  35802    -0.047644        0.519
5590         1    1946909    2126834    354      22  35802       3.1095   0.00093694
100506504    1    2103250    2150812     93      18  35802       3.9242   4.3512e-05
199990       1    2105899    2179159    154      25  35802       3.6126   0.00015156
6497         1    2125134    2251652    311      39  35802       2.9072    0.0018237
