GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      -1.3008      0.90334
105378580    1     768398     815130     22      11  3462878      -1.0999      0.86431
148398       1     890741     954581     39      19  3462878     -0.68121      0.75213
339451       1     924952     975720     36      17  3462878     -0.60542      0.72755
84069        1     931497     985108     29      14  3462878     -0.37946      0.64783
26155        1     934203     994299     38      16  3462878       -0.895      0.81461
84808        1     965199    1017117     35      12  3462878     -0.97244      0.83458
9636         1     978467    1024540     32      11  3462878     -0.82718      0.79593
375790       1     985101    1066119     72      24  3462878     -0.28675      0.61285
57801        1     988962    1036285     34      13  3462878     -0.53398      0.70332
105369174    1    1026207    1076390     47      17  3462878      0.45206      0.32561
105378948    1    1055635    1104326     19      14  3462878      0.97132      0.16569
401934       1    1061746    1109307     19      14  3462878      0.71814      0.23634
54991        1    1071818    1151356     52      29  3462878      0.21001      0.41683
254173       1    1138898    1207935     60      29  3462878     -0.13579      0.55401
8784         1    1193508    1241709     45      13  3462878     -0.81307      0.79191
126792       1    1197249    1245041     43      13  3462878     -0.87454      0.80909
7293         1    1201326    1249638     42      13  3462878      -1.3332      0.90877
51150        1    1206908    1267067     53      15  3462878      -1.7462      0.95961
388581       1    1232446    1282218     37      11  3462878      -2.9695      0.99851
118424       1    1243912    1308854     59      20  3462878     -0.99882      0.84106
6339         1    1245415    1302029     42      13  3462878      -1.4277       0.9233
126789       1    1273571    1321677     44      23  3462878      0.21477      0.41497
116983       1    1282384    1342925     53      31  3462878   -0.0011597      0.50046
80772        1    1289756    1338896     43      27  3462878     0.028879      0.48848
83756        1    1293999    1345320     43      27  3462878     -0.11288      0.54494
54973        1    1301585    1359687     47      29  3462878      0.31613      0.37595
1855         1    1325278    1384158     39      16  3462878     0.051768      0.47936
54587        1    1342689    1398541     29      11  3462878      0.34986      0.36322
54998        1    1363730    1410438     29      13  3462878   -0.0079523      0.50317
81669        1    1375711    1434338     36      16  3462878     0.022485      0.49103
643965       1    1391128    1437787     27      13  3462878    -0.045566      0.51817
55052        1    1391896    1442834     31      16  3462878     -0.44029      0.67014
64856        1    1400523    1452882     35      19  3462878     -0.80957      0.79091
219293       1    1406301    1480158     40      19  3462878      -1.3284      0.90798
441869       1    1408420    1456820     30      18  3462878      -1.0366      0.85003
83858        1    1436732    1519479     74      27  3462878     -0.43871      0.66956
55210        1    1477143    1544687     70      23  3462878     -0.17209      0.56832
339453       1    1524778    1575360     34      14  3462878      -1.5634      0.94102
29101        1    1531673    1609882     58      22  3462878     0.045263      0.48195
142678       1    1579975    1640610     32      24  3462878      0.89491      0.18542
643988       1    1588008    1635096     20      14  3462878       0.4358      0.33149
8510         1    1597181    1644654     19      14  3462878      0.05967      0.47621
984          1    1625226    1694839     22      15  3462878       1.2501      0.10563
728661       1    1650025    1727804     34      10  3462878     -0.17058      0.56772
728642       1    1692730    1759352     35      11  3462878      -1.1947      0.88391
9906         1    1714838    1780999     38      14  3462878      -0.9197      0.82114
65220        1    1741232    1815514     21      15  3462878      -1.2393      0.89238
2782         1    1775285    1926117     51      26  3462878     -0.59819      0.72514
105378949    1    1850960    1903010     17      10  3462878      0.52135      0.30106
163688       1    1878752    1927294     22      10  3462878     -0.53157      0.70249
339456       1    1907589    1954301     20       6  3462878      -2.1078      0.98247
85452        1    1911951    2038837     68      38  3462878      -1.9538      0.97464
2563         1    1984329    2040753     37      26  3462878     -0.60091      0.72605
5590         1    2015470    2195395    117      51  3462878      0.87892      0.18972
100506504    1    2171811    2219360     17      13  3462878      0.19006      0.42463
199990       1    2174460    2247720     36      24  3462878     -0.25513      0.60069
6497         1    2193695    2320213     61      38  3462878      -1.1476      0.87444
105378592    1    2198942    2250211     26      16  3462878      -1.0839       0.8608
105378594    1    2245383    2294676     20      14  3462878     -0.33872      0.63259
79906        1    2311253    2426751     74      50  3462878      0.17508      0.43051
11079        1    2356314    2415444     32      20  3462878     -0.42259       0.6637
9651         1    2380782    2515530     78      42  3462878    -0.038706      0.51544
5192         1    2394802    2448780     36      28  3462878        1.109      0.13372
55229        1    2498531    2561628     35      17  3462878      0.13236      0.44735
388585       1    2518745    2565245     26      12  3462878    -0.089822      0.53579
8764         1    2521365    2575622     34      17  3462878     -0.66603      0.74731
127281       1    2551460    2601469     38      19  3462878     -0.03086      0.51231
79258        1    2580639    2668042     27      16  3462878      0.55457      0.28959
100287898    1    2626988    2824665     53      13  3462878     -0.82001      0.79389
140625       1    2986482    3032903     44       8  3462878      0.58308      0.27992
63976        1    3033227    3448621    314     127  3462878      0.13708      0.44548
27237        1    3419583    3491115     61      30  3462878      0.48323      0.31447
1953         1    3477942    3659757    134      60  3462878      0.41064      0.34067
127262       1    3589992    3640131     37      20  3462878       -0.725      0.76577
7161         1    3617565    3746201     84      51  3462878      -0.7322      0.76798
49856        1    3620767    3685107     44      28  3462878      -1.7155      0.95687
148870       1    3717398    3781645     49      26  3462878      0.56997      0.28435
388588       1    3737761    3785982     46      21  3462878     0.011549      0.49539
57470        1    3770220    3831504     69      18  3462878     -0.56896      0.71531
9731         1    3802081    3892387     40      16  3462878     -0.20229      0.58016
1677         1    3822143    3895429     23      10  3462878     0.061459       0.4755
261734       1    5852808    6027505     87      52  3462878      -1.5495      0.93937
8514         1    5957298    6111193     76      50  3462878      0.65209      0.25717
26038        1    6091787    6215134     56      29  3462878      -1.5801      0.94296
388591       1    6170775    6231299     33      12  3462878    -0.055384      0.52208
6146         1    6175020    6234619     30      10  3462878    -0.024116      0.50962
390992       1    6209158    6255578     23       8  3462878      0.90341      0.18316
23463        1    6211193    6270984     31      12  3462878      0.52214      0.30079
387509       1    6237346    6295990     33      20  3462878     -0.50316      0.69257
11332        1    6254272    6428766    147      32  3462878    -0.092041      0.53667
83715        1    6389776    6470944     62      14  3462878     -0.73849      0.76989
54626        1    6405232    6459664     43       9  3462878     -0.27016      0.60648
8718         1    6451151    6501195     30      12  3462878     -0.40185       0.6561
57449        1    6456092    6555061     74      18  3462878     -0.30109      0.61833
79707        1    6511347    6589598     49       8  3462878    -0.051249      0.52044
80835        1    6520278    6589757     43       7  3462878     0.017834      0.49289
3104         1    6544991    6599280     27      10  3462878     -0.32527      0.62751
148479       1    6578696    6634033     22      17  3462878     -0.49798      0.69075
9903         1    6580724    6637898     24      18  3462878     -0.75514      0.77492
90326        1    6589865    6645586     26      17  3462878     -0.85297      0.80316
