GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
84808        1     900579     952473      1       1  128024       -1.706        0.956
9636         1     913847     959920      1       1  128024       -1.706        0.956
375790       1     920503    1001499      4       2  128024     -0.48368      0.68569
57801        1     924342     971608      1       1  128024       -1.706        0.956
401934       1     997126    1044687     21       5  128024       -1.071      0.85792
54991        1    1007198    1086736     36       8  128024      -1.0819      0.86035
254173       1    1074286    1143315     20       7  128024     -0.45655        0.676
8784         1    1128888    1177163     13       5  128024      -1.0656      0.85669
126792       1    1132629    1180421     13       4  128024      -1.0728      0.85833
7293         1    1136706    1184703     14       4  128024     -0.59316      0.72346
51150        1    1142288    1202447     19       6  128024    -0.098446      0.53921
388581       1    1167826    1217102     13       5  128024      0.37479      0.35391
118424       1    1179292    1244234     15       5  128024      0.22412      0.41133
6339         1    1180816    1237409     14       5  128024      0.22423      0.41129
126789       1    1208962    1257057      6       2  128024     -0.26938      0.60618
116983       1    1217764    1278304      5       1  128024     -0.37814      0.64734
80772        1    1225136    1274276      3       1  128024     -0.47293      0.68187
83756        1    1231726    1279844      1       1  128024      0.42834       0.3342
54973        1    1236965    1295067      2       1  128024      0.32339       0.3732
1855         1    1260658    1319509      4       2  128024     -0.31413      0.62329
54587        1    1278071    1332183      4       2  128024     -0.31413      0.62329
54998        1    1299110    1345818      2       1  128024    -0.073055      0.52912
64856        1    1335903    1388262      1       1  128024       0.8827       0.1887
219293       1    1343152    1415538      1       1  128024       0.8827       0.1887
441869       1    1343800    1391824      1       1  128024       0.8827       0.1887
83858        1    1372139    1454852      7       2  128024      0.77519      0.21911
55210        1    1412523    1480067     17       4  128024       0.1948      0.42278
339453       1    1460158    1510740     21       2  128024     -0.17057      0.56772
29101        1    1467053    1545262     20       2  128024     -0.16059      0.56379
728661       1    1581486    1659243      1       1  128024      0.20599       0.4184
728642       1    1623822    1690999      2       1  128024     0.056307      0.47755
9906         1    1646277    1712438      6       2  128024      0.39062      0.34804
65220        1    1672671    1746508     17       4  128024     -0.18553      0.57359
2782         1    1706725    1857552     47       6  128024     -0.41282      0.66013
163688       1    1811266    1858733      8       2  128024      -2.2544      0.98792
339456       1    1839029    1885740     15       3  128024      -1.6578      0.95132
85452        1    1843390    1970276     14       3  128024      -1.5599       0.9406
5590         1    1946909    2126834     68       7  128024       0.8245      0.20483
100506504    1    2103250    2150812     13       3  128024        1.147      0.12569
199990       1    2105899    2179159     30       6  128024       2.0733     0.019071
6497         1    2125134    2251652     81      18  128024       1.9357      0.02645
79906        1    2241719    2358190     90      22  128024        1.143      0.12651
11079        1    2288214    2346883     34      12  128024      0.70155      0.24148
5192         1    2326241    2379010     19       7  128024      0.59884      0.27464
9651         1    2372754    2446964     43       9  128024     -0.42144      0.66328
55229        1    2429975    2493061     17       4  128024      -0.8539      0.80342
388585       1    2450184    2496684      9       2  128024     -0.74924      0.77314
8764         1    2452291    2505268     15       3  128024     -0.97241      0.83458
127281       1    2482899    2532908     29       3  128024     -0.80687      0.79013
79258        1    2512078    2599499     25       2  128024      0.15827      0.43712
100287898    1    2562807    2741230     24       5  128024     -0.25532      0.60076
140625       1    2903046    2949467     47       3  128024     -0.43989      0.66999
63976        1    2950565    3365185    352      70  128024      0.64533      0.25936
27237        1    3336147    3407677     35       5  128024     -0.32442      0.62719
1953         1    3394506    3563059     90      28  128024      0.78305       0.2168
127262       1    3506556    3556695     23       6  128024       1.1078      0.13398
7161         1    3534129    3662765     71      23  128024      -1.0676      0.85714
49856        1    3537331    3601671     28      11  128024     0.081888      0.46737
148870       1    3633965    3698209     60      16  128024       1.8591     0.031505
388588       1    3654352    3702546     51      13  128024       2.7906    0.0026308
57470        1    3686784    3748068     88       9  128024       2.1016     0.017795
9731         1    3718645    3808797    126      15  128024         2.15     0.015776
1677         1    3738845    3811993     82      14  128024       2.0812     0.018708
339448       1    3795697    3851857     28       5  128024      -1.1595      0.87687
55966        1    4680105    4853851    271      37  128024     -0.50223      0.69225
261734       1    5912870    6087618    117      19  128024      -1.2875      0.90103
8514         1    6017358    6171253     88      21  128024      -2.0406      0.97935
26038        1    6151847    6275194     37      12  128024     -0.46681      0.67968
388591       1    6231189    6291359     25       7  128024      0.87931      0.18962
6146         1    6235080    6294679     24       7  128024      0.93593      0.17465
390992       1    6269252    6315638     22       4  128024       1.4091     0.079399
23463        1    6271253    6331044     26       4  128024         1.41     0.079264
