GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
401934       1     997126    1044687     54       4  4084       1.7622     0.039019
54991        1    1007198    1086736    118       6  4084       1.9137     0.027829
254173       1    1074286    1143315     93      10  4084     -0.22372      0.58851
8784         1    1128888    1177163    118       4  4084      0.57328      0.28323
126792       1    1132629    1180421    115       4  4084      0.73364      0.23158
7293         1    1136706    1184703    114       3  4084        0.745      0.22814
51150        1    1142288    1202447    124       4  4084      0.75414      0.22538
388581       1    1167826    1217102     42       3  4084       1.1369       0.1278
118424       1    1179292    1244234     41       6  4084       0.3952      0.34635
6339         1    1180816    1237409     32       6  4084      0.50929      0.30528
126789       1    1208962    1257057     31       4  4084      -1.2838       0.9004
116983       1    1217764    1278304     57       5  4084      -1.4184      0.92197
80772        1    1225136    1274276     48       5  4084      -1.5587      0.94047
83756        1    1231726    1279844     49       5  4084      -1.5903      0.94412
54973        1    1236965    1295067     72       5  4084      -1.3512      0.91169
1855         1    1260658    1319509    160      10  4084     -0.80319      0.78907
54587        1    1278071    1332183    141      10  4084     -0.75813      0.77581
54998        1    1299110    1345818    112       9  4084     -0.76557      0.77803
81669        1    1311091    1369718     53       5  4084      -2.0703      0.98079
643965       1    1326508    1373167     22       3  4084      -1.9119      0.97205
55052        1    1327276    1377693     22       3  4084      -1.9119      0.97205
64856        1    1335903    1388262     16       2  4084      -1.7446      0.95947
219293       1    1343152    1415538      7       1  4084     -0.81953      0.79376
441869       1    1343800    1391824      6       1  4084      -0.8336      0.79775
83858        1    1372139    1454852     12       2  4084      0.14322      0.44306
55210        1    1412523    1480067     49       6  4084     -0.66319       0.7464
339453       1    1460158    1510740     86       7  4084      -1.0118      0.84417
29101        1    1467053    1545262     82       6  4084     -0.93462      0.82501
142678       1    1515795    1575990      1       1  4084     0.052413       0.4791
9906         1    1646277    1712438     32       4  4084       1.6588      0.04858
65220        1    1672671    1746508     55       6  4084       1.7417     0.040783
2782         1    1706725    1857552    186      13  4084      0.86866      0.19252
163688       1    1811266    1858733     99       9  4084     0.040325      0.48392
339456       1    1839029    1885740    121       8  4084      0.12047      0.45206
85452        1    1843390    1970276    145      11  4084      0.13381      0.44678
2563         1    1915768    1972192     16       1  4084      0.20178      0.42004
5590         1    1946909    2126834    196      12  4084     -0.62624      0.73442
100506504    1    2103250    2150812     54       8  4084     -0.88252      0.81125
199990       1    2105899    2179159     90      12  4084       -1.323      0.90709
6497         1    2125134    2251652    194      28  4084     -0.25313      0.59992
79906        1    2241719    2358190    229      32  4084       1.2938      0.09787
11079        1    2288214    2346883     87      17  4084      0.97747      0.16417
5192         1    2326241    2379010     49      11  4084     -0.46417      0.67874
9651         1    2372754    2446964     83      10  4084      0.77355       0.2196
55229        1    2429975    2493061     83       7  4084      0.66761      0.25219
388585       1    2450184    2496684     49       5  4084      0.88038      0.18933
8764         1    2452291    2505268     66       5  4084      0.78834      0.21525
127281       1    2482899    2532908     93       4  4084      0.10835      0.45686
79258        1    2512078    2599499    124       3  4084     -0.10368      0.54129
100287898    1    2562807    2741230     64       6  4084      0.35902      0.35979
140625       1    2903046    2949467    108       3  4084     -0.33228      0.63016
63976        1    2950565    3365185    718      90  4084      -1.4669      0.92879
27237        1    3336147    3407677    146      13  4084      -1.0234      0.84693
1953         1    3394506    3563059    287      38  4084      0.07907      0.46849
127262       1    3506556    3556695     60      10  4084      0.15733      0.43749
7161         1    3534129    3662765    193      33  4084       2.0169     0.021854
49856        1    3537331    3601671     65      12  4084      -2.0786      0.98117
148870       1    3633965    3698209    145      22  4084       2.1069     0.017563
388588       1    3654352    3702546    102      17  4084      0.48479      0.31391
57470        1    3686784    3748068    214      16  4084    -0.017394      0.50694
9731         1    3718645    3808797    295      13  4084      0.61165      0.27038
1677         1    3738845    3811993    223      17  4084      0.68823      0.24566
339448       1    3795697    3851857     64       7  4084       1.9232     0.027229
55966        1    4680105    4853851    565      67  4084      0.10777      0.45709
261734       1    5912870    6087618    297      11  4084      -2.2636       0.9882
8514         1    6017358    6171253    230      28  4084      -1.4776      0.93024
26038        1    6151847    6275194    273      25  4084      0.95946      0.16866
388591       1    6231189    6291359     94      11  4084       1.1652      0.12198
6146         1    6235080    6294679     88      11  4084       1.1781      0.11939
390992       1    6269252    6315638     68       8  4084       1.4592      0.07226
23463        1    6271253    6331044     94       9  4084       1.0235      0.15304
387509       1    6297406    6356035     92      11  4084      0.43376      0.33223
11332        1    6314332    6488826    285      13  4084      0.70066      0.24176
83715        1    6449836    6531004     91       7  4084      0.69978      0.24203
54626        1    6465292    6519724     57       5  4084      0.79354      0.21373
8718         1    6510787    6562432     32       3  4084      0.22444      0.41121
57449        1    6516152    6615121    161       7  4084    -0.078703      0.53137
79707        1    6571407    6649658    142       3  4084      -1.0841      0.86085
80835        1    6579987    6649817    121       3  4084      -1.2511      0.89455
3104         1    6605051    6659340     70       5  4084     -0.38019       0.6481
148479       1    6638756    6694093     59       6  4084       1.2266      0.10998
9903         1    6640784    6697958     66       6  4084       1.2164      0.11192
90326        1    6649925    6705646     65       6  4084       1.2744      0.10126
55735        1    6684228    6796966    153       9  4084       1.3617     0.086649
23261        1    6810384    7839766   1858     126  4084       1.6289     0.051665
9341         1    7796329    7851492     92      14  4084        1.262      0.10348
8863         1    7809413    7915241    210      21  4084       -0.197      0.57809
10911        1    7897672    7948551    178      20  4084       -1.019      0.84591
3604         1    7965931    8038225     50       6  4084     -0.20202      0.58005
11315        1    7986714    8055342     51       5  4084       0.1815      0.42799
54206        1    8061779    8121393     46       4  4084      0.39303      0.34715
50651        1    8343171    8414227    121      13  4084      0.21311      0.41562
473          1    8402464    8912699    383      16  4084       0.8414      0.20006
2023         1    8911059    8974151     90      10  4084      0.75604      0.22481
765          1    8970893    9045151    162      29  4084    -0.078457      0.53127
155184       1    9053359    9121404    171      25  4084     -0.78455      0.78364
6518         1    9087005    9166763    223      21  4084     -0.20238      0.58019
80045        1    9153472    9224229    115      12  4084     -0.68041      0.75188
9563         1    9259822    9341396    215      22  4084      -1.2977       0.9028
80176        1    9300202    9439591    305      38  4084     -0.93593      0.82535
84275        1    9564528    9652831     81       6  4084      0.25495      0.39938
199953       1    9613932    9684935     52       3  4084      0.85991      0.19492
5293         1    9676789    9799172    137      20  4084       2.5205    0.0058597
22883        1    9779079    9919550    111       6  4084      0.70159      0.24147
56998        1    9898334   10005316     85      10  4084      0.46294       0.3217
64802        1    9968486   10055556     98       8  4084      0.97614       0.1645
84328        1    9972168   10038460     81       7  4084       1.0237      0.15298
116362       1   10022255   10086078     53       4  4084       0.6513      0.25743
10277        1   10058041   10251297    112      13  4084    -0.038382      0.51531
23095        1   10235606   10451664    313       7  4084       0.5797      0.28106
5226         1   10423884   10490565    119       9  4084      0.67139      0.25099
378708       1   10454944   10520239    114      10  4084      0.25826       0.3981
100526739    1   10455159   10522060    114      10  4084      0.25826       0.3981
1325         1   10474776   10522060     83       7  4084      0.13625      0.44581
5195         1   10500003   10700815    296      15  4084       1.7214      0.04259
1676         1   10510588   10567613     90       6  4084       1.5332     0.062617
54897        1   10686661   10891733    185      43  4084     -0.18111      0.57186
148345       1   10996530   11077094    152      15  4084       0.6485      0.25833
23435        1   11037462   11095549     96       8  4084     -0.48894      0.68756
10747        1   11076580   11142296     77       3  4084     -0.13459      0.55353
6723         1   11104649   11155091     47       1  4084      0.13469      0.44643
5394         1   11116675   11194961     52       1  4084      0.26464      0.39564
2475         1   11156588   11357614    141       4  4084    0.0031991      0.49872
10218        1   11214346   11266038     20       2  4084       0.2846      0.38797
29914        1   11298255   11358491     58       4  4084     -0.53382      0.70327
57540        1   11504295   11607640    227      15  4084       0.1458      0.44204
93611        1   11679432   11733384     64       8  4084      0.23797      0.40595
26270        1   11689150   11744411     57      10  4084    0.0049091      0.49804
26232        1   11697924   11749888     33       8  4084    -0.058032      0.52314
374946       1   11716781   11790336     64      13  4084       1.0099      0.15628
10459        1   11724537   11786678     61      12  4084       1.0763       0.1409
57085        1   11761142   11820828     82      15  4084     -0.41139      0.65961
284498       1   11788827   11859642    181      15  4084      -1.0278      0.84798
1185         1   11831153   11913201    232       9  4084     -0.10622       0.5423
4524         1   11835787   11901160    192       7  4084     -0.11327      0.54509
4878         1   11895766   11942840    108      14  4084      0.49623      0.30987
4879         1   11907521   11953992    140      14  4084      0.30988      0.37833
5351         1   11959724   12045599    226      20  4084       0.3005       0.3819
90231        1   11969645   12021485    140      14  4084      0.14882      0.44085
9927         1   12005238   12083572    143      13  4084      0.80288      0.21102
60672        1   12044299   12102106     74       7  4084       1.6723     0.047229
943          1   12088434   12214264    172      31  4084      0.38541      0.34997
7133         1   12192044   12279279    157      17  4084       1.0281      0.15194
55187        1   12255101   12582099    125      11  4084      0.78732      0.21555
9249         1   12617939   12712820    158      25  4084     -0.88136      0.81094
343066       1   12669566   12737097     83      13  4084     -0.84835      0.80188
126767       1   12741118   12798726     12       3  4084      -2.2987      0.98924
93190        1   12771163   12831102      6       2  4084      -1.2465      0.89372
390999       1   12799984   12848049     10       2  4084      0.44768      0.32719
65121        1   12816546   12866777     26       3  4084     -0.40844      0.65853
440560       1   12874468   12926264     20       1  4084     -0.25032      0.59883
65122        1   12881941   12931764     20       1  4084     -0.25032      0.59883
343069       1   12897261   12943578     20       1  4084     -0.25032      0.59883
126755       1   13791445   13875242    219      30  4084       1.8233     0.034126
10630        1   13875252   13954452    165      28  4084       2.5504    0.0053798
7799         1   13991714   14161574    224      20  4084       1.3318     0.091465
23254        1   14184646   15454544   2961     227  4084      0.61849      0.26813
55092        1   15444028   15556974    462      30  4084      0.52485      0.29984
727684       1   15480692   15533120    202      18  4084     -0.87521      0.80927
114827       1   15538730   15734767    482      42  4084      0.59934      0.27447
79180        1   15701391   15766839     88       9  4084     -0.48948      0.68775
11330        1   15729938   15783153     55      10  4084     -0.63628       0.7377
63036        1   15748223   15808586     84      11  4084     -0.92818      0.82334
51032        1   15767596   15827895    117      13  4084      0.87675      0.19031
842          1   15807896   15886407    188       7  4084       2.1064     0.017584
23341        1   15818343   15908228    195       7  4084       1.9176      0.02758
79814        1   15888194   15946605    173       6  4084      0.93896      0.17387
84301        1   15908953   16005539    225       5  4084      0.73102      0.23238
6248         1   15951364   15998217     67       2  4084       0.2179      0.41375
23207        1   15975632   16071264    139       5  4084       1.0253       0.1526
284723       1   16027721   16077884     81       5  4084       1.1095      0.13361
388595       1   16033987   16084292     86       7  4084      0.92977      0.17625
54751        1   16048107   16123089     90      11  4084       1.0063      0.15714
440567       1   16123657   16169194     70       5  4084       1.1567       0.1237
23013        1   16139359   16276951    147       9  4084      0.97506      0.16476
7709         1   16258364   16337627    152      12  4084      0.80968      0.20906
101928566    1   16267626   16333701    138      11  4084       0.7181      0.23635
149563       1   16295731   16343184    145      12  4084      0.81646      0.20712
1187         1   16313486   16370548    213      15  4084      0.65731      0.25549
27129        1   16330523   16381084    182      16  4084      0.76268      0.22283
1188         1   16335231   16393821    178      16  4084      0.68583      0.24641
348487       1   16374264   16435127     91       8  4084        1.286     0.099215
1969         1   16440832   16517582    122      13  4084       2.0045     0.022506
128272       1   16514599   16574104    111       7  4084       1.4514     0.073339
101927546    1   16541343   16588528     55       4  4084      0.25568       0.3991
79363        1   16548182   16598659     64       4  4084       0.3828      0.35094
54455        1   16563339   16713965    183       6  4084      0.32987      0.37075
26099        1   16658525   16734643     91       6  4084      0.56491      0.28607
374955       1   16712101   16798919    107      14  4084      0.46831      0.31978
55707        1   16732167   16796585     78      11  4084      0.35798      0.36018
