GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3462878      -2.8911      0.99808
105378580    1     768398     815130     22      11  3462878      0.49074       0.3118
148398       1     890741     954581     39      19  3462878      0.39918      0.34488
339451       1     924952     975720     36      17  3462878      -1.4293      0.92354
84069        1     931497     985108     29      14  3462878      -1.0359      0.84987
26155        1     934203     994299     38      16  3462878      -1.2464       0.8937
84808        1     965199    1017117     35      12  3462878     -0.88506      0.81194
9636         1     978467    1024540     32      11  3462878     -0.73103      0.76762
375790       1     985101    1066119     72      24  3462878     -0.77123      0.77971
57801        1     988962    1036285     34      13  3462878      0.19491      0.42273
105369174    1    1026207    1076390     47      17  3462878      -0.3074      0.62073
105378948    1    1055635    1104326     19      14  3462878      0.81909      0.20637
401934       1    1061746    1109307     19      14  3462878       1.0088      0.15655
54991        1    1071818    1151356     52      29  3462878      0.97542      0.16468
254173       1    1138898    1207935     60      29  3462878       1.0845      0.13907
8784         1    1193508    1241709     45      13  3462878     -0.10284      0.54095
126792       1    1197249    1245041     43      13  3462878     0.010468      0.49582
7293         1    1201326    1249638     42      13  3462878     -0.64317      0.73994
51150        1    1206908    1267067     53      15  3462878      -0.6809      0.75203
388581       1    1232446    1282218     37      11  3462878     -0.19377      0.57682
118424       1    1243912    1308854     59      20  3462878     -0.37097      0.64467
6339         1    1245415    1302029     42      13  3462878     -0.16969      0.56737
126789       1    1273571    1321677     44      23  3462878      0.13381      0.44678
116983       1    1282384    1342925     53      31  3462878     -0.63525      0.73737
80772        1    1289756    1338896     43      27  3462878     -0.32007      0.62554
83756        1    1293999    1345320     43      27  3462878     -0.54862      0.70837
54973        1    1301585    1359687     47      29  3462878     -0.48156      0.68494
1855         1    1325278    1384158     39      16  3462878      -1.0754       0.8589
54587        1    1342689    1398541     29      11  3462878     -0.21996      0.58705
54998        1    1363730    1410438     29      13  3462878      0.56527      0.28594
81669        1    1375711    1434338     36      16  3462878      0.53364      0.29679
643965       1    1391128    1437787     27      13  3462878      0.62608      0.26563
55052        1    1391896    1442834     31      16  3462878      0.30412      0.38052
64856        1    1400523    1452882     35      19  3462878      0.82229      0.20546
219293       1    1406301    1480158     40      19  3462878      0.66424      0.25327
441869       1    1408420    1456820     30      18  3462878      0.93014      0.17615
