GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
105378947    1     576287     646297      2       1  3824142      -1.0233      0.84693
105378580    1     768398     815130     22      11  3824142       1.5307     0.062916
148398       1     890741     954581     39      19  3824142      0.33629      0.36833
339451       1     924952     975720     36      17  3824142       0.7112      0.23848
84069        1     931497     985108     29      14  3824142       0.9808      0.16335
26155        1     934203     994299     38      16  3824142      0.47605      0.31702
84808        1     965199    1017117     35      12  3824142     -0.78285      0.78314
9636         1     978467    1024540     32      11  3824142      -1.9689      0.97552
375790       1     985101    1066119     72      24  3824142      -1.9896      0.97668
57801        1     988962    1036285     34      13  3824142      -1.2212        0.889
105369174    1    1026207    1076390     47      17  3824142      -1.3488       0.9113
105378948    1    1055635    1104326     22      14  3824142     -0.50629      0.69367
401934       1    1061746    1109307     22      14  3824142     -0.22559      0.58924
54991        1    1071818    1151356     55      29  3824142      0.53663      0.29576
254173       1    1138898    1207935     60      29  3824142      0.46731      0.32014
8784         1    1193508    1241709     45      13  3824142    -0.047656        0.519
126792       1    1197249    1245041     43      13  3824142     0.012229      0.49512
7293         1    1201326    1249638     42      13  3824142     -0.20835      0.58252
51150        1    1206908    1267067     53      15  3824142     -0.76179      0.77691
388581       1    1232446    1282218     37      11  3824142      -1.6398      0.94948
118424       1    1243912    1308854     59      20  3824142      -1.6496      0.95049
6339         1    1245415    1302029     42      13  3824142      -1.5905      0.94414
126789       1    1273571    1321677     44      23  3824142      -1.1014      0.86463
116983       1    1282384    1342925     53      31  3824142     -0.94989      0.82892
80772        1    1289756    1338896     43      27  3824142     -0.56199      0.71294
83756        1    1293999    1345320     43      27  3824142     -0.77357      0.78041
54973        1    1301585    1359687     47      29  3824142     -0.66183      0.74596
1855         1    1325278    1384158     39      16  3824142     -0.23036      0.59109
54587        1    1342689    1398541     29      11  3824142      -0.4453      0.67195
54998        1    1363730    1410438     29      13  3824142     -0.10416      0.54148
81669        1    1375711    1434338     36      16  3824142     -0.39566      0.65382
643965       1    1391128    1437787     27      13  3824142     -0.24655      0.59737
55052        1    1391896    1442834     31      16  3824142     -0.48723      0.68695
64856        1    1400523    1452882     35      19  3824142     -0.24367      0.59626
219293       1    1406301    1480158     40      19  3824142     -0.23295       0.5921
441869       1    1408420    1456820     30      18  3824142     -0.32512      0.62746
83858        1    1436732    1519479     73      26  3824142     -0.51924       0.6982
55210        1    1477143    1544687     69      23  3824142        -1.36      0.91308
339453       1    1524778    1575360     34      14  3824142      -1.1907      0.88312
29101        1    1531673    1609882     58      22  3824142     0.034303      0.48632
142678       1    1579975    1640610     32      24  3824142      0.73601      0.23086
643988       1    1588008    1635096     20      14  3824142      0.86362       0.1939
8510         1    1597181    1644654     19      14  3824142    -0.065796      0.52623
984          1    1625226    1694839     22      15  3824142     0.034425      0.48627
728661       1    1650025    1727804     34      10  3824142      0.89099      0.18647
728642       1    1692730    1759352     35      11  3824142       1.1551      0.12402
9906         1    1714838    1780999     38      14  3824142       1.1066      0.13424
65220        1    1741232    1815514     21      15  3824142      0.32241      0.37357
2782         1    1775285    1926117     51      26  3824142     -0.25807      0.60182
105378949    1    1850960    1903010     17      10  3824142       0.8633      0.19399
163688       1    1878752    1927294     22      10  3824142      0.28715        0.387
339456       1    1907589    1954301     20       6  3824142      -1.0911      0.86239
85452        1    1911951    2038837     68      38  3824142     -0.58869      0.72197
2563         1    1984329    2040753     37      26  3824142    -0.081419      0.53245
5590         1    2015470    2195395    116      51  3824142      -1.1529      0.87552
100506504    1    2171811    2219360     17      13  3824142      -1.1632      0.87763
199990       1    2174460    2247720     36      24  3824142      -1.9047      0.97159
6497         1    2193695    2320213     61      38  3824142     -0.50745      0.69408
105378592    1    2198942    2250211     26      16  3824142      -1.4429      0.92547
105378594    1    2245383    2294676     20      14  3824142     -0.32598      0.62778
79906        1    2311253    2426751     73      49  3824142     -0.55721      0.71131
11079        1    2356314    2415444     31      20  3824142      0.10411      0.45854
9651         1    2380782    2515530     77      42  3824142      -1.4414      0.92526
5192         1    2394802    2448780     35      27  3824142     -0.13962      0.55552
55229        1    2498531    2561628     35      17  3824142      -1.5843      0.94344
388585       1    2518745    2565245     26      12  3824142      -1.4583      0.92762
8764         1    2521365    2575622     34      17  3824142      -0.9533      0.82978
127281       1    2551460    2601469     38      19  3824142     -0.88193      0.81109
79258        1    2580639    2668042     27      16  3824142      -0.7299      0.76727
100287898    1    2626988    2824665     53      13  3824142     -0.17229      0.56839
140625       1    2986482    3032903     44       8  3824142       1.4922     0.067818
63976        1    3033227    3448621    317     132  3824142     -0.16989      0.56745
27237        1    3419583    3491115     61      30  3824142      -2.2433      0.98756
1953         1    3477942    3659757    134      60  3824142     -0.66969      0.74847
127262       1    3589992    3640131     37      20  3824142      0.52387      0.30018
7161         1    3617565    3746201     84      51  3824142       -1.846      0.96755
49856        1    3620767    3685107     44      28  3824142     -0.87305      0.80868
148870       1    3717398    3781645     49      26  3824142     -0.49447      0.68951
388588       1    3737761    3785982     46      21  3824142     0.058516      0.47667
57470        1    3770220    3831504     69      18  3824142      0.23154      0.40845
9731         1    3802081    3892387     40      16  3824142     -0.33893      0.63267
1677         1    3822143    3895429     23      10  3824142     -0.10181      0.54055
261734       1    5852808    6027505     87      52  3824142      0.02262      0.49098
8514         1    5957298    6111193     75      49  3824142     -0.76603      0.77817
26038        1    6091787    6215134     56      29  3824142     -0.38751      0.65081
388591       1    6170775    6231299     33      12  3824142      -1.1565      0.87625
6146         1    6175020    6234619     30      10  3824142     -0.87463      0.80911
390992       1    6209158    6255578     23       8  3824142     -0.63834      0.73837
23463        1    6211193    6270984     31      12  3824142     -0.80259      0.78889
387509       1    6237346    6295990     33      20  3824142     -0.79534      0.78679
11332        1    6254272    6428766    147      32  3824142      0.37568      0.35358
83715        1    6389776    6470944     62      14  3824142      0.61702      0.26861
54626        1    6405232    6459664     43       9  3824142      0.66367      0.25345
8718         1    6451151    6501195     30      12  3824142      0.94654      0.17194
57449        1    6456092    6555061     74      18  3824142     -0.36469      0.64233
79707        1    6511347    6589598     49       8  3824142      -1.4597      0.92781
80835        1    6520278    6589757     43       7  3824142      -1.5201      0.93575
3104         1    6544991    6599280     27      10  3824142      -2.0977      0.98203
148479       1    6578696    6634033     21      16  3824142      -1.4898      0.93187
9903         1    6580724    6637898     23      17  3824142      -1.1077        0.866
90326        1    6589865    6645586     25      16  3824142     -0.32059      0.62574
55735        1    6624168    6736906     37      23  3824142      0.48932      0.31231
23261        1    6750324    7779706    522     188  3824142      0.50529      0.30668
9341         1    7736269    7791432     30      20  3824142    -0.083352      0.53321
8863         1    7749380    7855181     56      28  3824142     0.035256      0.48594
10911        1    7837612    7948610     67      24  3824142      0.30834      0.37891
3604         1    7905871    7978165     33      17  3824142     -0.66926      0.74833
11315        1    7926654    7995283     25      14  3824142     -0.53176      0.70255
54206        1    8001719    8061333     14      10  3824142     -0.63582      0.73755
50651        1    8283085    8354167     31      20  3824142      0.15214      0.43954
473          1    8342404    8852691    143      88  3824142      0.96666      0.16686
2023         1    8851000    8914092     29       9  3824142     -0.55473      0.71046
765          1    8910785    8985092     53      26  3824142      -1.6735      0.95288
155184       1    8950853    9061384     69      40  3824142      -0.8051      0.78962
6518         1    9026943    9106704     61      22  3824142     -0.15457      0.56142
80045        1    9093391    9164170     48      28  3824142     -0.56894       0.7153
