GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    324      34  408112      0.89794      0.18461
339451       1     860967     911099    252      34  408112      0.66953      0.25158
84069        1     866872     920488    258      36  408112        1.567     0.058563
26155        1     869583     929679    280      38  408112        1.678     0.046676
84808        1     900579     952473    268      30  408112       2.7386    0.0030852
9636         1     913847     959920    257      26  408112       2.7945    0.0025989
375790       1     920503    1001499    455      48  408112       2.9989    0.0013549
57801        1     924342     971608    257      28  408112       2.7412    0.0030606
401934       1     997126    1044687    177      25  408112       1.1664      0.12173
54991        1    1007198    1086736    351      29  408112       1.6258     0.051995
254173       1    1074286    1143315    348      35  408112       2.3535    0.0092987
8784         1    1128888    1177163    254      20  408112       1.8908     0.029324
126792       1    1132629    1180421    241      20  408112       1.6404     0.050462
7293         1    1136706    1184703    245      19  408112       1.5904     0.055868
51150        1    1142288    1202447    296      22  408112       2.0618     0.019613
388581       1    1167826    1217102    224      30  408112        2.985    0.0014178
118424       1    1179292    1244234    318      40  408112       3.5928   0.00016357
6339         1    1180816    1237409    271      33  408112       3.5188   0.00021672
126789       1    1208962    1257057    235      42  408112        3.435   0.00029632
116983       1    1217764    1278304    275      34  408112       3.4877   0.00024356
80772        1    1225136    1274276    222      39  408112       3.3312   0.00043241
83756        1    1231726    1279844    211      35  408112        3.541   0.00019929
54973        1    1236965    1295067    237      33  408112       3.4563   0.00027387
1855         1    1260658    1319509    307      24  408112       3.2025   0.00068126
54587        1    1278071    1332183    262      20  408112       2.9019    0.0018544
54998        1    1299110    1345818    220      24  408112       2.6166    0.0044403
81669        1    1311091    1369718    227      23  408112       2.8064    0.0025047
643965       1    1326508    1373167    169      21  408112       2.7013    0.0034531
55052        1    1327276    1377693    178      22  408112       2.6584    0.0039254
64856        1    1335903    1388262    167      20  408112       2.5652    0.0051551
219293       1    1343152    1415538    190      22  408112       2.3352    0.0097667
441869       1    1343800    1391824    152      18  408112       2.3096     0.010456
83858        1    1372139    1454852    209      20  408112       2.0295     0.021201
55210        1    1412523    1480067    214      19  408112       1.9703     0.024404
339453       1    1460158    1510740    152      16  408112      0.40167      0.34396
29101        1    1467053    1545262    170      21  408112      0.39622      0.34597
142678       1    1515795    1575990     88      11  408112      0.58759      0.27841
643988       1    1523388    1570476     79       9  408112      0.61631      0.26884
8510         1    1532060    1580030     72      10  408112      0.53633      0.29586
984          1    1561100    1625473     98      12  408112       2.0253     0.021417
728661       1    1581486    1659243    132      16  408112       2.0411     0.020619
728642       1    1623822    1690999    113      11  408112       4.7622   9.5735e-07
9906         1    1646277    1712438    141      14  408112       5.7994   3.3282e-09
65220        1    1672671    1746508    150      18  408112       6.1586   3.6685e-10
2782         1    1706725    1857552    297      24  408112       6.3696   9.4779e-11
163688       1    1811266    1858733    130      15  408112       6.0491   7.2836e-10
339456       1    1839029    1885740    187      17  408112       5.9863   1.0733e-09
85452        1    1843390    1970276    459      36  408112       5.7185   5.3731e-09
2563         1    1915768    1972192    146      20  408112       1.3201     0.093409
5590         1    1946909    2126834    699      54  408112       3.4946   0.00023736
100506504    1    2103250    2150812    134      33  408112       6.1094        5e-10
199990       1    2105899    2179159    211      43  408112       6.1094        5e-10
6497         1    2125134    2251652    408      66  408112       8.3129   4.6714e-17
79906        1    2241719    2358190    563      75  408112       2.1629     0.015276
11079        1    2288214    2346883    237      52  408112       2.2764     0.011412
5192         1    2326241    2379010    209      55  408112       0.5695      0.28451
9651         1    2372754    2446964    332      47  408112    -0.036947      0.51474
55229        1    2429975    2493061    272      35  408112     -0.24994      0.59868
388585       1    2450184    2496684    175      32  408112      0.12156      0.45162
8764         1    2452291    2505268    209      33  408112      0.51736      0.30245
127281       1    2482899    2532908    222      25  408112       1.5931     0.055564
79258        1    2512078    2599499    323      24  408112       1.9127     0.027895
100287898    1    2562807    2741230    505      24  408112      0.71553      0.23714
140625       1    2903046    2949467    235      15  408112       -1.519      0.93562
63976        1    2950565    3365185   1815     186  408112        1.174      0.12019
27237        1    3336147    3407677    306      33  408112       1.1424      0.12664
1953         1    3394506    3563059    704      97  408112       1.3976     0.081123
127262       1    3506556    3556695    243      43  408112       1.2441      0.10673
7161         1    3534129    3662765    469      75  408112       1.0479      0.14734
49856        1    3537331    3601671    236      46  408112       1.2498      0.10569
148870       1    3633965    3698209    259      36  408112       5.3207   5.1698e-08
388588       1    3654352    3702546    218      34  408112       6.1094        5e-10
57470        1    3686784    3748068    377      26  408112       7.3935   7.1522e-14
9731         1    3718645    3808797    613      37  408112       8.8635   3.8785e-19
1677         1    3738845    3811993    506      34  408112       7.4679   4.0729e-14
339448       1    3795697    3851857    211      30  408112       3.2484   0.00058019
55966        1    4680105    4853851   1113     124  408112      -1.4407      0.92516
261734       1    5912870    6087618    806      40  408112      0.76299      0.22274
8514         1    6017358    6171253    578      71  408112       2.6049    0.0045955
26038        1    6151847    6275194    439      50  408112      0.96798      0.16653
388591       1    6231189    6291359    180      28  408112      0.16843      0.43312
6146         1    6235080    6294679    167      27  408112      0.14626      0.44186
390992       1    6269252    6315638    134      22  408112     -0.10729      0.54272
23463        1    6271253    6331044    176      25  408112      -0.4749      0.68257
387509       1    6297406    6356035    172      28  408112     -0.61971      0.73228
11332        1    6314332    6488826    765      32  408112      0.94668       0.1719
83715        1    6449836    6531004    318      24  408112        1.398      0.08105
54626        1    6465292    6519724    201      21  408112       1.3651     0.086115
8718         1    6510787    6562432    157      28  408112       2.0159     0.021907
57449        1    6516152    6615121    401      40  408112       6.9045   2.5188e-12
79707        1    6571407    6649658    350      26  408112       7.0601   8.3217e-13
80835        1    6579987    6649817    301      27  408112       7.4464   4.7961e-14
3104         1    6605051    6659340    222      35  408112       6.9058   2.4957e-12
148479       1    6638756    6694093    172      39  408112       4.1372   1.7577e-05
9903         1    6640784    6697958    184      38  408112       4.0495   2.5669e-05
